wavelength,Back_SalCoef,Belly_SalCoef,Breast_SalCoef,Crissum_SalCoef,Crown_SalCoef,DorTail_SalCoef,Patch10_SalCoef,Patch11_SalCoef,Rump_SalCoef,Throat_SalCoef,WingTip_SalCoef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-110.0,-130.714285714,-183.333333333,-126.666666667,-230.0,-1.9999788492e-10,-106.666666667,29.9999999999,-166.666666667,-140.0,-193.333333333
179.16,57.5757333333,96.2771523809,114.848433333,97.5757333333,99.3939333333,64.8484666667,87.2725999999,81.8180666667,102.4242,96.3636666667,87.2727333333
179.54,110.3704,162.433871428,133.703633333,121.481466667,131.851933333,99.2591333335,130.3704,111.851733333,151.111,156.296266667,162.962933333
179.93,43.3332666667,91.7461666665,93.3333333333,89.9999333332,63.3334,25.5556,63.3332666667,43.3333333333,128.888933333,137.777866667,134.444466667
180.31,149.7778,242.142880952,238.4445,242.444466667,234.000066667,155.333333333,196.444333333,186.2222,283.111133333,270.6666,286.666666667
180.69,159.7778,272.555528571,262.7779,266.8888,259.111066667,174.444466667,220.0,204.666666667,309.999866667,293.111,311.555533333
181.07,162.020266667,276.435785714,265.454433333,276.767866667,252.929266667,193.737333334,222.0202,218.7878,309.495066667,294.949533333,312.727333333
181.45,289.473666667,493.809561905,454.5614,497.192933333,445.964933333,362.105133333,389.473666667,378.9472,551.228,519.6492,571.228133333
181.83,360.476266667,645.034,595.000066667,663.3334,580.952333333,491.904666667,499.0476,499.047733333,719.5238,671.904866667,754.761933333
182.21,-1488.88873333,-2927.14281905,-2572.2223,-2931.11106667,-2577.77773333,-2282.2222,-2211.11113333,-2317.77766667,-3162.22226667,-2951.11113333,-3353.33333333
182.59,-430.0,-1012.08333333,-857.499999999,-971.666666667,-845.0,-752.500000001,-735.0,-829.166666667,-1077.5,-971.666666667,-1125.83333333
182.97,-748.333333333,-2014.76190476,-1568.33333333,-1863.33333333,-1555.0,-1368.33333333,-1348.33333333,-1476.66666667,-2058.33333333,-1730.0,-2108.33333334
183.35,-1380.0,-4040.47619048,-2975.0,-3640.0,-2920.0,-2730.0,-2586.66666667,-2796.66666667,-3916.66666667,-3236.66666667,-4026.66666667
183.73,-223.8094,-1015.23799048,-682.380966667,-869.523800001,-658.0952,-657.1428,-598.095266666,-637.142933333,-940.952399999,-740.952333333,-932.380999999
184.11,-216.666666666,-1663.69047619,-1090.83333333,-1411.66666667,-1018.33333333,-1111.66666667,-986.666666667,-1010.0,-1475.0,-1141.66666667,-1330.0
184.49,32.5333333333,-206.533333333,-110.0,-165.866666667,-102.933333333,-127.733333333,-113.866666667,-109.6,-168.0,-117.066666667,-140.8
184.87,55.4385333333,-104.147823809,-44.6491666667,-72.9824666666,-41.228,-58.4210666667,-47.0175333333,-41.9298666667,-81.7543999999,-44.3860666667,-59.8246000001
185.25,78.9630666667,-54.0846380953,-7.11113333328,-28.2962,-12.1482,-17.3332666667,-17.1852,-4.59246666674,-38.5184666666,-1.33333333334,-14.6667333333
185.63,106.518466667,-19.1323095238,26.0739666667,7.70366666666,17.7778666667,18.9629333333,9.03693333333,20.8889333333,-6.07406666666,34.3704,24.8888666667
186.01,116.969733333,-6.9263714285,36.8182333333,21.3636666667,23.1818666667,28.4848666667,16.6666,23.3334666666,3.18173333334,51.0605999999,39.2424000001
186.39,124.516133333,-34.4392999999,17.2041333333,-6.02153333333,1.50533333341,16.559,-0.64526666666,3.22586666668,-25.5913999999,61.9355333333,35.0538666668
186.77,110.114866667,-45.8949619048,0.68973333332,-26.6666666667,-19.7702666668,0.6896,-16.3218666667,-13.1033333333,-40.6896666667,45.0574,32.1838666667
187.15,109.462333333,-18.7558000001,2.25809999994,-18.0644666666,-19.9999333334,9.24726666674,-10.3227333333,-7.3118,-31.3978666666,51.3978666665,42.5806666667
187.53,86.3415333333,-7.81657619054,6.0976666666,-6.82926666666,-16.2601333333,15.6095333333,-6.3414666666,-7.47986666668,-24.8780666667,50.0813333333,43.7399333333
187.91,73.7253333335,-39.0336333334,-25.7843333333,-30.5881333333,-56.0783999999,-13.1372,-36.8627333333,-39.8038,-63.3333333333,26.8626666666,16.4706
188.29,61.0525999999,-39.2355714286,-28.6841666666,-28.772,-53.6842000001,-3.50873333332,-42.807,-47.8946666667,-56.4913333334,15.4385333333,4.21046666668
188.67,41.6667333333,-48.4390904763,-41.5740333335,-43.8890000001,-70.1851333334,-10.7407333333,-57.2222666667,-66.4813999999,-84.2593333332,-0.3704,-10.7408
189.05,5.83333333334,-76.7708333334,-57.8125,-81.0416666667,-101.25,-27.9166666667,-80.8333333333,-108.125,-112.5,-20.0,-25.0
189.43,-39.3103333333,-128.423652381,-81.9540333334,-120.459666667,-145.747133333,-67.5862,-117.471266667,-164.138,-158.160866667,-56.3217333333,-66.6667333333
189.81,-118.666666667,-241.357142857,-166.0,-225.666666667,-264.0,-144.333333333,-229.333333333,-296.0,-276.333333333,-137.333333333,-149.0
190.19,-128.533333333,-221.466666667,-160.133333333,-209.866666667,-234.666666667,-134.666666667,-208.533333333,-262.133333333,-249.866666667,-141.066666667,-144.266666667
190.57,-95.1111333333,-166.031842857,-113.555633333,-160.2224,-184.444466667,-103.777733333,-164.0,-205.777666667,-199.111,-115.111133333,-108.2222
190.95,-109.4252,-184.745657143,-118.505733333,-178.3908,-208.9654,-120.2298,-185.976866667,-221.379333333,-218.160933333,-122.988533333,-136.5516
191.33,-89.5000000001,-141.535714286,-83.7500000001,-138.0,-149.0,-97.1666666666,-148.833333334,-173.333333333,-159.5,-94.6666666666,-110.666666667
191.71,-73.6231333334,-109.399552381,-59.2752333333,-112.173866667,-119.2754,-82.7536000001,-126.376866667,-140.1448,-127.1014,-76.9564,-91.5942
192.09,-65.5556,-93.938395238,-45.7636666666,-105.277733333,-105.277733333,-70.4166666666,-114.305466667,-122.500066667,-113.333333333,-66.3888666667,-82.3611333334
192.47,-72.2223333334,-100.009895238,-49.5137999999,-113.472066667,-107.0834,-78.1943999999,-119.305533333,-121.666666667,-126.5278,-69.0277999999,-93.7499333331
192.85,-98.7719333335,-136.842171429,-66.5787666666,-157.719266666,-145.087866667,-105.789466667,-151.754333333,-165.4386,-162.806866667,-85.6140666667,-137.193066667
193.23,-199.047533333,-266.008961905,-140.793666667,-302.539733333,-276.5078,-214.603133333,-313.0158,-319.6826,-328.5714,-177.1428,-286.031866667
193.61,-159.697066667,-221.277057143,-111.818033333,-254.848466667,-224.545466667,-166.666533333,-271.5152,-263.939533333,-280.0,-133.3334,-234.545466667
193.99,-70.2858666666,-110.013514286,-43.619,-124.7618,-111.047666667,-78.6666,-136.0,-131.619066667,-139.809533333,-48.5714,-114.2856
194.37,-72.3457333335,-118.800861905,-28.1480999999,-135.0618,-114.567866667,-85.1852,-160.7408,-139.753066667,-154.321,-31.3581333333,-119.259333333
194.75,-81.2698666667,-143.492014286,-21.7460666667,-162.539666667,-135.238133333,-111.746133333,-204.761866667,-182.5398,-167.936533333,-27.9366,-144.127133333
195.13,-42.5640666667,-86.5017619048,11.4103,-104.615333333,-81.7949333333,-60.5128,-125.8974,-120.769266667,-92.8204666667,13.5896666667,-83.3333333333
195.51,-93.3333333335,-130.144885714,-28.6957333334,-149.855133333,-135.942066667,-104.637666667,-166.376733333,-182.6086,-126.086866667,-2.31886666666,-124.058
195.89,2216.66666667,2494.76190476,1338.33333333,2676.66666667,2606.66666667,2070.0,2750.0,3110.0,2293.33333333,836.666666666,2493.33333333
196.27,1428.33333333,1477.14285714,855.0,1565.0,1561.66666667,1221.66666667,1608.33333333,1820.0,1383.33333333,543.333333333,1446.66666667
196.65,1666.66666667,1567.73809524,917.5,1598.33333333,1726.66666667,1305.0,1721.66666667,1961.66666667,1393.33333333,561.666666667,1541.66666667
197.03,1014.28573333,956.666723809,552.381033334,863.809533333,1009.52373333,782.857266666,1051.4284,1158.0954,780.952533333,370.4764,883.8094
197.40,-1424.0,-1304.28571429,-792.0,-1198.66666667,-1442.66666667,-1117.33333333,-1418.66666667,-1682.66666667,-1012.0,-523.999999999,-1224.0
197.78,7973.33333333,7243.80952381,4823.33333334,6666.66666667,8093.33333334,6393.33333334,7786.66666667,9446.66666667,5700.0,3406.66666667,7040.0
198.16,519.6078,473.277276191,334.1176,455.294133334,529.019666667,438.039066667,519.607866667,616.0784,403.921533333,270.588266666,479.215733333
198.54,1142.5,1029.94047619,771.249999999,1036.66666667,1214.16666667,982.499999999,1159.16666667,1397.5,942.5,659.999999999,1088.33333333
198.92,821.025599999,753.919480952,603.589733334,745.641066666,892.820600001,719.487266667,844.615333333,983.076799999,740.000066667,523.076866667,804.615333334
199.30,1078.1818,1003.37655714,811.515266667,976.363666666,1140.60606667,952.121200001,1127.27273333,1267.2728,996.969666667,715.757533333,1030.90906667
199.68,583.333333333,560.285714286,444.166666667,530.333333333,633.666666667,529.333333333,616.0,690.333333333,572.0,400.333333333,565.666666667
200.06,789.047533333,780.033938095,607.381100001,737.619066667,875.714199999,722.857066666,849.047666667,963.333466666,816.190466667,570.0,780.4762
200.44,405.714333333,405.068071429,323.095266666,387.142933333,458.333333333,379.761933333,442.380933333,503.571466667,432.1428,311.1904,413.0952
200.82,343.75,354.538690476,278.645833333,352.083333333,406.875,333.333333333,376.666666667,450.0,382.916666667,278.125,361.458333333
201.19,358.333333333,363.49702381,288.541666666,376.666666667,421.25,350.0,389.791666667,460.416666667,400.833333333,283.125,373.541666667
201.57,393.5632,393.152809524,311.609166667,407.356333333,452.643733333,380.9196,422.988466667,482.299066667,439.7702,295.6322,409.425333333
201.95,288.9394,279.588809524,228.2576,297.878666667,320.909133333,280.7576,304.8486,337.424,323.636333333,214.545533333,292.7272
202.33,351.111133333,339.438195238,276.666633333,363.418733333,381.196533333,340.0,361.5384,405.299133333,384.7862,253.846133333,354.358933334
202.71,317.878866667,303.625514286,244.1667,325.454666667,332.4242,301.060533333,320.151666666,355.606066667,337.121133333,218.0304,314.5454
203.09,333.008133334,312.276428571,243.6586,335.609733333,334.146266667,300.487733333,320.975666667,354.471533333,340.813066667,206.991866667,320.0
203.47,293.191533333,272.137747619,213.971566667,293.475066667,288.085066667,255.460866667,278.439733333,308.5106,298.4396,179.858066667,280.425533333
203.85,307.0834,282.797623809,233.055733333,314.1666,298.055666667,267.638933333,296.805466667,325.139,305.833333333,193.472266667,296.5278
204.22,331.111066667,305.735504762,252.296333333,336.444466667,319.111,295.851866667,325.6296,353.7778,329.036933333,202.2222,321.481466667
204.60,387.894666667,357.493757143,291.754266667,386.491133333,364.210466667,345.614066667,377.017666667,422.982533334,379.122666667,228.947266667,382.4562
204.98,348.740866667,316.073919048,262.296333333,331.111133333,317.629666667,309.629533333,335.7038,374.8148,330.518466667,208.444466667,339.1112
205.36,328.888933333,292.232142857,250.972266667,306.666733333,292.2222,284.583266667,308.1944,350.8334,307.361066667,199.583333333,313.4722
205.74,295.723266667,265.0944,230.8805,281.886733333,265.786266667,254.339666667,276.477933333,319.8742,277.232733333,184.528333333,283.773666667
206.12,311.866666667,277.323809524,241.466666667,291.066666667,279.866666667,266.533333333,288.933333333,342.666666667,288.4,193.6,295.466666667
206.50,256.333266667,220.063428571,196.0555,230.555466667,228.888866667,214.555533333,230.333466667,282.333466667,233.777866667,158.000066667,237.444333333
206.87,255.728933333,217.871852381,199.114366667,228.333133333,230.312266667,213.437266667,226.041533333,277.916466667,229.687266667,165.8332,234.8958
207.25,317.9592,273.838690476,245.306133333,285.850266667,291.2926,266.3946,280.952466667,352.108666667,285.033933333,213.061133333,291.020466667
207.63,310.0654,266.909552381,237.1242,279.3464,290.326733333,264.0522,274.248333333,338.562,273.464133333,217.516133333,284.0522
208.01,296.0786,254.211,219.280933333,258.170066667,273.725533333,240.3922,251.372533333,314.248133333,260.261333333,210.326733333,262.614466667
208.39,342.3256,285.21602381,245.1162,292.403066667,306.046533333,260.775133333,274.2636,352.093,292.7132,240.155066667,286.821733333
208.77,391.0526,320.676585714,282.368466667,331.0526,352.6316,297.719333333,313.508733333,397.368333334,335.263133333,271.754466667,311.7544
209.14,437.058733333,352.142852381,317.941166667,379.6078,401.960733333,331.372533333,349.803933333,451.372533333,378.0392,302.7452,341.9608
209.52,473.541666667,388.883928571,343.541666667,411.458333333,445.208333333,369.375,383.541666667,489.791666667,412.5,337.5,371.458333333
209.90,354.468066667,293.840028571,255.0355,307.375733333,329.5036,276.312133334,290.6382,362.269666667,307.659533333,263.262333333,277.588666667
210.28,339.183666667,289.514061905,253.2653,303.401266667,318.6394,268.7074,280.136066667,346.666666666,298.5034,261.088533333,277.687066667
210.66,329.281066667,286.190380953,250.849666667,298.17,308.366066667,259.738533333,276.2092,334.248333333,290.4574,255.817,276.731933333
211.03,312.156933333,274.883233333,233.8562,284.182866667,298.170066667,247.581733333,268.7582,329.150266666,280.261533333,240.522866666,266.143933333
211.41,225.0,196.521180952,173.194433333,205.925933333,213.148133333,180.463,196.8518,246.2964,200.740666667,174.073933333,194.629666667
211.79,202.465866667,173.196371428,156.3927,186.484,192.237466667,162.922333333,177.9908,226.483933333,181.4612,152.237333333,179.4522
212.17,204.0376,173.561438095,160.187833333,190.610466667,198.967133333,168.356733333,185.915533333,231.643266667,184.413266667,152.4884,185.352
212.55,181.069933333,155.267442857,145.267533333,169.547266667,180.987733333,149.135866666,168.888933333,208.230466667,166.502,134.568,166.831266667
212.92,154.0068,134.386785714,123.737333333,146.1954,153.737466667,126.868666667,141.952933333,172.727333333,141.144933333,116.228866667,142.693533333
213.30,138.070066667,124.912352381,114.269033333,131.052733333,136.608266667,116.725066667,130.292333334,150.468,128.537933333,108.245533333,129.1814
213.68,126.8182,116.244642857,108.080833333,121.5152,124.192,111.6666,123.030266667,139.696866667,122.070666667,101.313,122.373733333
214.06,122.676733333,115.588009524,110.4041,117.9798,123.4848,114.5454,124.2426,139.898933333,121.616133333,97.1717333333,122.828333333
214.44,123.202066667,114.683195238,109.606266667,117.270266667,125.0394,113.2284,125.3544,140.21,120.0524,96.9030666665,119.5276
214.81,131.635133333,123.616204762,118.301933333,128.050333333,137.798666667,122.641533333,137.987533333,154.465533333,129.308133333,102.704333333,126.037666667
215.19,134.9686,122.708804762,121.163566666,129.6226,139.7484,125.157266667,138.993666667,153.522066667,131.823933333,105.660533334,127.547133333
215.57,155.880133333,137.581604762,134.307166667,146.891466667,160.973733333,141.498,157.0038,168.3146,153.408333334,119.175933333,145.018733333
215.95,160.430066667,142.360480953,137.4911,147.3118,163.799333333,141.075266667,157.706,169.964333333,156.200733333,122.078866667,148.1004
216.32,149.411666667,130.50897619,128.496733333,134.5098,148.7582,130.718733333,144.8366,156.8628,141.0458,112.9412,136.666666667
216.70,148.141066667,130.105328571,126.730833333,136.218066667,146.9872,133.2692,143.076866667,155.833333333,139.4872,115.7052,139.102533333
217.08,168.433733333,147.097090476,148.714866667,156.4658,167.951866667,153.574266667,167.9518,181.6868,160.883533333,134.939733333,160.803133333
217.46,214.736866667,179.832947619,186.491133333,197.426933333,210.7602,192.631533333,213.567266667,241.4036,210.643266667,166.432733333,202.807066667
217.83,313.535333333,250.519580953,268.787933333,288.686866667,316.363666667,258.383933334,306.464666667,350.303066667,304.6466,232.323333333,294.343533333
218.21,442.898466667,343.56102381,349.1304,405.507266667,427.826066667,339.7102,413.3332,477.101466667,415.942066667,323.4782,406.086933333
218.59,343.448266667,272.545147619,273.4482,311.494266667,330.574666666,268.045866666,328.275866667,379.5402,327.356266667,246.666666667,329.195333333
218.97,286.3248,238.205014286,233.931466667,254.8718,271.6238,234.359066667,273.6752,314.359,277.6068,213.675266667,281.5384
219.34,274.0,244.94047619,234.916666667,252.0,268.166666667,226.333333333,267.833333333,306.166666667,272.333333333,208.333333334,275.5
219.72,219.629466667,199.294404762,198.7036,204.691466667,215.308666666,182.2222,220.4938,242.469133333,218.888933333,174.691266667,217.037066667
220.10,230.640866666,213.214195238,216.025633333,222.435733333,223.718066667,195.769333333,234.4872,257.692333333,234.102533333,188.205,227.051266667
220.47,243.773533333,226.073771429,225.0944,239.371133333,236.2264,208.050333333,243.144666667,266.415133333,250.440266667,199.371133333,239.1194
220.85,291.111133333,264.359852381,270.888933333,279.851933333,277.925933333,249.925866667,286.666733333,312.296133333,288.148133333,236.592533333,282.6666
221.23,356.666733333,320.5954,325.648133333,342.222266667,344.444466667,305.925933333,349.8148,381.8518,346.111133333,280.0,348.148133333
221.61,303.478266667,275.662490476,275.289866667,288.4058,299.420333333,258.8406,294.347866667,315.507266667,283.913066666,245.2174,297.2462
221.98,298.8888,275.079433333,270.4167,288.3334,299.305533333,266.25,292.083333333,317.639,282.361066666,249.7222,290.4166
222.36,295.460933333,270.648380952,272.766033333,286.950266667,305.815666667,267.6596,291.0638,318.865266667,288.936133333,251.773,291.3474
222.74,450.0,401.047580952,407.666633333,442.666733333,462.666666667,398.6666,434.222266667,479.333133333,438.444466667,385.777666667,440.2222
223.11,511.851933333,449.135919048,452.9629,504.4444,524.197666666,437.037,485.679133333,532.345733333,490.123466667,435.802466667,486.913666667
223.49,1027.17946667,891.3919,883.846233334,1002.56413333,1043.58973333,874.8718,950.769133333,1071.79486667,956.922933334,868.205066667,969.743533333
223.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224.24,6723.33333333,5997.85714286,5903.33333333,6396.66666667,6983.33333333,6070.0,6270.0,7180.0,6470.0,5680.0,6616.66666667
224.62,-1574.16666667,-1416.96428571,-1424.16666667,-1474.16666667,-1673.33333333,-1425.0,-1501.66666667,-1724.16666667,-1530.0,-1345.83333333,-1597.5
225.00,-1762.85713333,-1606.8707381,-1594.76196667,-1673.3334,-1934.2858,-1580.9524,-1730.4762,-1926.6666,-1778.0954,-1498.09533333,-1799.0476
225.38,2650.66666667,2507.52380952,2488.0,2530.66666667,2830.66666667,2404.0,2616.0,2874.66666667,2744.0,2305.33333333,2742.66666667
225.75,1786.6666,1724.14965714,1727.61903334,1721.9048,1935.23806667,1668.57153333,1817.14293333,1954.28573333,1905.71426667,1530.47626667,1885.71433333
226.13,1844.7618,1761.76866191,1764.28573333,1719.99993333,1920.95233333,1680.00006667,1855.238,1947.61906667,1864.76186667,1517.14293333,1925.71426667
