wavelength,Back_DigIndf,Belly_DigIndf,Breast_DigIndf,Crissum_DigIndf,Crown_DigIndf,DorTail_DigIndf,Patch10_DigIndf,Rump_DigIndf,Throat_DigIndf,WingTip_DigIndf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,118.518666667,155.555333333,-11.111,107.407333333,150.0,118.518666667,111.111333333,166.666666667,92.5926666667,88.889
179.16,110.526333333,115.789333333,81.579,66.667,128.947333333,107.017666667,103.508666667,117.543666667,107.017333333,103.509
179.54,143.333333333,133.333333333,35.0,40.0,141.666666667,76.6666666667,133.333333333,153.333333333,156.666666667,46.6666666667
179.93,50.0,62.5,-25.0,-25.0,60.4166666667,95.8333333333,62.5,33.3333333333,33.3333333333,-41.6666666667
180.31,139.649333333,123.509,20.5265,83.8596666667,141.403333333,137.192666667,127.719,131.579,109.824666667,94.035
180.69,152.325333333,134.884,6.9765,87.9843333333,156.589166667,154.263666667,143.023333333,148.837333333,118.992,101.550666667
181.07,140.31,125.581,4.651,81.3956666667,151.5505,147.674666667,140.31,137.209333333,111.628,94.5736666667
181.45,158.889,143.333,-35.0,83.3333333333,170.000166667,170.555666667,152.222333333,146.666666667,122.222333333,91.1113333333
181.83,205.0,185.0,-95.0,110.0,221.666666667,261.666666667,184.166666667,179.166666667,146.666666667,120.833333333
182.21,185.106333333,170.213,-69.149,109.929,194.326,237.589,171.631,171.631333333,134.042666667,136.879666667
182.59,182.407333333,142.592666667,-125.0,81.4816666667,191.2035,255.555333333,175.0,167.592666667,133.333333333,147.222
182.97,222.222333333,146.031666667,-257.1425,53.9683333333,226.190333333,368.253666667,201.587333333,193.650666667,150.793666667,176.190666667
183.35,124.603,88.889,-91.667,42.0633333333,127.777833333,196.032,110.317333333,105.555333333,100.000333333,92.8573333333
183.73,114.815,78.5186666667,-56.6665,38.5186666667,111.111333333,172.592666667,107.407666667,94.0743333333,92.5923333333,78.5186666667
184.11,98.485,62.1213333333,-62.5,27.273,81.0608333333,163.636333333,96.2123333333,104.545333333,76.5153333333,71.212
184.49,116.666666667,51.3886666667,-143.75,12.5,99.3056666667,191.667,133.333333333,159.722333333,69.4446666667,94.4443333333
184.87,153.623333333,60.8696666667,-108.6955,14.4926666667,70.29,198.550666667,107.246333333,149.275333333,81.1593333333,91.3043333333
185.25,-411.111333333,-44.4446666667,633.333,238.889,69.4443333333,-350.000333333,-83.3333333333,-349.999666667,-155.555666667,-138.889
185.63,-290.476333333,23.8093333333,500.0,147.619333333,209.524166667,-209.523666667,-47.6186666667,-199.999666667,-66.6666666667,-100.0
186.01,383.333333333,99.9996666667,-483.333,-122.222333333,-300.000166667,38.889,77.778,177.777666667,5.55566666667,144.444333333
186.39,-47.9166666667,45.8333333333,253.125,152.083333333,194.791666667,110.416666667,104.166666667,22.9166666667,79.1666666667,45.8333333333
186.77,-26.667,5.71433333333,147.143,64.762,92.381,55.238,56.1903333333,14.286,40.0,31.4286666667
187.15,-25.1703333333,-9.524,116.3265,40.8163333333,76.8705,49.6603333333,49.66,15.6463333333,37.4153333333,17.007
187.53,-5.0,5.0,90.0,47.5,70.0,58.75,57.0833333333,32.0833333333,46.25,32.5
187.91,8.192,20.339,79.2375,45.4803333333,63.7006666667,57.627,57.6273333333,38.983,44.6326666667,34.4633333333
188.29,15.3663333333,22.6953333333,73.4045,49.645,60.0471666667,61.9386666667,61.9383333333,49.6453333333,44.2083333333,35.461
188.67,19.3626666667,21.0786666667,72.0585,50.245,61.6423333333,62.5,70.3433333333,53.1863333333,42.402,34.5586666667
189.05,19.312,15.3436666667,75.0,51.852,57.9363333333,67.725,71.9576666667,55.5556666667,46.8256666667,31.746
189.43,9.60466666667,15.8193333333,68.2205,45.763,50.2823333333,57.3443333333,68.6436666667,53.3896666667,45.763,27.1186666667
189.81,-1.12033333333,8.68366666667,68.0675,46.7786666667,38.9355,52.6613333333,59.1036666667,41.7366666667,41.4566666667,28.5713333333
190.19,-4.28566666667,11.6663333333,50.0,41.4286666667,32.1426666667,45.2376666667,50.0,34.2856666667,34.762,25.0
190.57,-7.99966666667,11.5553333333,46.3335,31.7776666667,28.1111666667,45.778,47.1113333333,37.5556666667,31.111,20.4443333333
190.95,-4.60533333333,11.1843333333,41.1185,34.2106666667,28.2896666667,44.0793333333,47.5873333333,36.184,36.623,26.7546666667
191.33,-4.42866666667,12.5873333333,35.6645,38.4613333333,29.6038333333,49.417,50.816,35.198,33.3336666667,31.2353333333
191.71,-4.623,5.839,34.3065,34.063,31.8733333333,43.309,48.175,32.36,28.467,23.358
192.09,0.862,0.0,37.931,43.3906666667,33.7645,49.1376666667,58.0463333333,40.23,33.0456666667,24.7126666667
192.47,-11.6506666667,-3.55966666667,25.243,36.246,21.0356666667,41.4236666667,53.398,35.9223333333,26.2136666667,18.7703333333
