wavelength,Back_SpoSchf,Belly_SpoSchf,Breast_SpoSchf,Crissum_SpoSchf,Crown_SpoSchf,DorTail_SpoSchf,Patch10_SpoSchf,Patch11_SpoSchf,Rump_SpoSchf,Throat_SpoSchf,WingTip_SpoSchf
198.16,-24.5613333333,90.1754666667,-95.0877333333,0.70173333334,63.1579333334,15.0878000001,-50.5261999999,27.5439333333,-30.1754,109.1228,75.4385999999
198.54,-76.6666666667,136.666666667,-172.0,-15.3333333335,86.0000000002,-5.3333333334,-122.666666667,11.0,-41.3333333334,175.333333333,70.6666666666
198.92,388.333333334,-185.0,561.666666667,140.0,-13.3333333334,248.333333333,553.333333333,141.666666667,296.666666667,-255.0,-33.3333333332
199.30,18.0951333333,120.952466667,-3.4921333334,61.5873333334,88.2539333335,29.5238666667,-26.3492000001,56.3492000001,35.5556000001,124.444466667,77.4603333334
199.68,39.1871333333,86.6666,26.0163666667,70.4065333334,80.3251333335,48.7804,12.683,53.1706666667,53.8212,91.7072666666,77.5611333334
200.06,40.1112666667,67.5554666666,28.9444333333,60.0,67.1111333333,50.2221333333,21.8889333333,47.2221666667,51.8889333333,77.7776666666,64.3332666666
200.44,37.9569333333,64.5160666667,26.3978,57.5268666667,62.4732666667,51.6128666666,22.9032666667,50.6451666667,52.1506,73.9784000001,59.4623333334
200.82,27.9999333333,57.0908,12.9090666667,51.0303333333,55.0303999999,46.3030666666,13.4544666667,47.3939666667,42.7879333333,65.4545333333,47.5151333334
201.19,27.5308666667,53.7035999999,18.2098666667,51.1110666667,60.4939333333,48.1483333334,10.8643333333,45.2468,40.3703333333,68.8888666667,46.0494666667
201.57,52.1986,83.2623333333,45.0355333333,83.8297999999,94.3262,75.0352666667,35.0354666667,76.1701333332,72.3403333334,102.978666667,77.4466666667
201.95,57.9363999999,85.5555999999,46.7460666667,86.8253333334,94.6031333331,75.7143999999,34.6031333333,77.3015666667,80.3174666667,107.619,86.8252666667
202.33,71.3724666666,96.8628,53.1372666666,99.6079333333,117.254866667,89.0196666667,38.2352666667,101.470633333,101.764666667,137.255,109.019533333
202.71,72.4444666665,84.5925999999,50.7406666667,93.4815333332,109.629733333,87.8518666667,44.7407999999,92.8148,90.8147333333,122.3704,104.296266667
203.09,83.7681999999,90.8697333333,56.0869999999,97.1014666666,117.536266667,102.173933333,60.0000666667,98.0435333332,101.3044,125.797066666,115.362466667
203.47,98.6667999999,93.7777333333,61.7036666667,106.074133333,127.7036,119.5556,72.5924666667,103.9259,114.370333333,136.1482,132.888866667
203.85,105.208333333,86.875,48.8541666666,113.541666667,146.875,136.25,67.0833333333,112.604166667,127.5,151.041666667,146.25
204.22,136.923066667,110.256333333,63.5896000001,140.512733333,182.051333333,156.153933333,75.8974666667,124.872,153.333266667,171.7948,180.769266667
204.60,149.090866667,116.060533333,60.6061000001,147.8788,208.484933333,164.545333333,63.3334666665,115.454633333,166.0606,188.484866667,198.484733334
204.98,170.175333333,134.035066667,69.2982999999,155.789466667,236.140333333,175.4386,40.7019333333,106.6666,193.333333333,211.579,204.210533333
205.36,144.102666667,125.641,69.4871333333,133.0768,198.4616,138.205133333,46.4101999999,102.8205,170.256333333,174.615466667,173.589733333
205.74,101.1766,86.8627333333,52.0587333334,91.7647333332,146.666666667,95.0980666667,29.8038000001,65.2941333333,120.9804,119.411733333,134.7058
206.12,109.019666667,109.4118,67.0588999999,101.568666667,164.1176,106.8626,33.3332,81.9607666666,125.490133333,137.4512,148.235333333
206.50,95.2381333334,98.2858,57.5238333334,89.5237333333,152.571466667,95.6191333333,21.7143333333,61.2382,104.7618,121.904666667,134.2858
206.87,88.7500000001,95.4166666667,44.1666666667,74.7916666668,147.291666667,90.4166666667,7.49999999988,41.4583333332,93.9583333335,111.875,130.208333333
207.25,74.7367333333,85.2631333333,37.4561000001,61.2279999999,125.263133333,78.2456666668,-0.1754,34.2982666667,64.7368666668,93.3333999999,113.3334
207.63,65.0000666667,84.4871333333,49.2307999999,58.7179333333,102.435866667,68.2052666666,11.4102666667,35.2564,53.4615333334,80.3845333333,95.5128666665
208.01,58.2142,79.7618666667,48.3927666667,51.4286,90.4761999999,61.9048,10.1191333333,29.1665000001,42.8572666667,72.3809333333,82.1428666667
208.39,53.1972666667,74.2858000001,42.5849333334,46.2585333333,87.2108666666,60.8163333333,-2.85726666664,29.6598333334,37.5510666667,74.0135333333,80.9523333333
208.77,71.2499333333,90.1388666667,54.3055666667,61.5277333335,99.7222666666,72.0833333334,14.4444,47.2917333334,52.4999333333,87.0833333333,97.6389333332
209.14,81.8840666667,96.5217333333,60.7970333334,73.9129333335,102.608733333,85.6520666665,24.4928,63.2608000001,59.2753333333,101.594266667,108.260866667
209.52,110.9402,115.3846,83.4188666667,98.9742000001,117.435933333,116.410333333,43.077,92.8204666667,75.8974666667,122.735,136.5812
209.90,100.476133333,111.2698,77.5396000001,98.7303333332,111.746133333,112.381066667,40.7936,92.1430333333,73.9681333333,111.269733333,118.73
210.28,103.0476,114.476266667,78.0950999999,104.571466667,109.714266667,114.8572,37.5238,87.0476000001,76.3808666665,108.571533333,117.523866667
210.66,115.3332,136.6666,91.1110666667,135.111133333,113.777733333,131.333333333,41.3332666667,100.777766667,80.6668000001,113.5556,127.3334
211.03,140.833333334,180.555533333,121.388866667,177.222266667,141.3888,152.7778,53.6111333333,137.083333333,82.7778,139.1666,152.2222
211.41,181.666666667,229.0,150.666666667,225.0,180.0,172.0,83.9999999999,186.5,121.666666667,173.666666667,182.333333333
211.79,-311.111133333,-377.7778,-177.777666667,-376.296266667,-326.666666667,-257.777733334,-84.4444666667,-333.333266667,-168.888866667,-231.111066667,-234.074133333
212.17,-59.7980666666,-73.5353333334,-16.9697333333,-65.2526,-55.7574666667,-39.5958666667,5.85853333332,-63.2322666667,-14.9494,-31.3130666667,-36.3637333334
212.55,-50.303,-58.1818666667,-18.0301666667,-47.1212666666,-47.5757999999,-30.6060666667,-3.78793333334,-43.0303333333,-5.60593333334,-22.8786666667,-31.9697333333
212.92,-39.5453999999,-39.6970000001,-8.48486666667,-37.2728666667,-33.0303333333,-22.5756666667,2.12126666666,-31.8939,5.75746666666,-2.57566666666,-25.9091333333
213.30,-51.9192666666,-53.1314,-13.2323666667,-55.7575999999,-50.5049333333,-28.2829333333,-2.02019999999,-42.3231666667,-4.24246666667,3.63639999998,-51.9192000001
213.68,-105.0,-103.666666667,-38.5,-114.666666667,-108.0,-50.6666666667,-16.6666666667,-82.1666666666,-40.6666666666,-7.3333333334,-105.666666667
214.06,-92.2666666667,-57.3333333333,-8.66666666672,-69.8666666667,-73.3333333334,-29.6,-0.533333333394,-47.8666666667,6.00053340349e-12,-1.60000000008,-78.1333333334
