wavelength,Back_PooThof,Belly_PooThof,Breast_PooThof,Crissum_PooThof,Crown_PooThof,DorTail_PooThof,Rump_PooThof,Throat_PooThof,WingTip_PooThof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,180.555555556,183.333333333,25.0,-33.3333333333,116.666666667,26.3888888889,25.0,13.8888888889,36.1111111111
179.16,60.7842222222,50.327,56.8628888889,56.2092222222,55.5557777778,79.7385555556,94.7713333332,83.0065555555,81.6993333333
179.54,4.16666666666,-50.0,11.1111111111,19.4444444445,4.16666666667,-2.77777777777,56.9444444445,70.8333333333,34.7222222222
179.93,-244.444444444,-33.3333333337,-455.555555555,-355.555555556,-133.333333333,66.6666666667,200.0,111.111111111,300.0
180.31,-40.3174444443,-32.0635555557,-16.8254444445,7.61888888891,-18.7301111111,35.8727777777,77.143,54.9206666667,28.8888888889
180.69,-7.91255555553,-1.00999999997,12.1211111111,21.8855555555,5.55555555557,33.6699999999,65.8251111112,48.9898888889,32.8283333333
181.07,9.89166666667,18.1571111111,15.8537777778,25.3387777778,22.2222222222,39.7697222223,67.3443333334,52.9808888889,41.1924444444
181.45,-0.548666666633,13.8547777778,4.38944444447,11.3853333333,11.7971111111,27.9151666667,53.3607777778,39.7805555556,26.8862222222
181.83,-3.33333333333,14.8611111111,-0.833333333343,3.75,5.55555555557,28.3333333333,46.9444444444,29.8611111111,19.1666666667
182.21,4.11522222223,24.1425555555,11.9341111111,10.1508888889,10.974,35.2537777778,49.3827777778,33.882,18.3813333333
182.59,-5.01799999997,20.3106666667,8.24388888889,3.34511111112,5.0181111111,23.8946666667,35.723,23.0584444444,14.3368888889
182.97,-9.4202222222,13.1642222222,7.8501111111,-6.03877777777,4.46866666663,19.3234444444,34.1787777778,17.3913333334,11.4734444444
183.35,-4.07033333333,14.5215555555,8.91088888889,-3.30033333333,6.93066666667,18.4818333333,32.1232222222,18.042,12.3213333333
183.73,2.38833333333,13.6032222222,11.7341111111,-1.14233333333,9.96877777777,19.2107777778,33.9564444444,20.4568888889,13.3956666667
184.11,9.65788888887,17.2648888889,18.1196666667,8.9742222222,17.7778888889,25.5554444445,36.4956666667,27.0085555556,20.5982222222
184.49,12.1142222222,20.6016666667,19.5216666667,12.6543333334,20.2932222222,26.3887777778,36.6513333333,26.3887777778,20.8332222222
184.87,10.8605555556,17.6273333333,14.3692222222,10.5264444444,18.0451111111,28.655,34.4195555556,26.3157777778,22.3894444444
