wavelength,Back_TanPalm,Belly_TanPalm,Breast_TanPalm,Crissum_TanPalm,Crown_TanPalm,DorTail_TanPalm,Patch10_TanPalm,Patch11_TanPalm,Patch12_TanPalm,Rump_TanPalm,Throat_TanPalm,WingTip_TanPalm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-237.5,-270.833333333,-366.666666667,-333.333333333,-170.833333333,-283.333333333,-245.833333333,-258.333333333,-325.0,-204.166666667,-304.166666667,-145.833333333
179.16,-152.777916667,-122.222333333,-224.999916667,-111.111,-136.111083333,-183.333333333,-119.444416666,-208.333333333,-150.0,-163.888916667,-63.889,-158.333416667
179.54,-39.2858333333,-46.4286666666,-89.2857499999,-68.4523333333,-36.90475,-66.6666666666,-76.1905000001,-69.0476666667,-72.619,-79.7618333333,-32.143,-13.0951666666
179.93,19.2981666667,22.3683333333,-4.38591666666,17.1052916667,20.6140833333,8.77199999999,14.9123333333,-2.63158333335,7.45600000001,3.07025000001,11.842,10.5263333333
180.31,-18.01075,-19.26525,-36.7383333333,-21.8637083334,-14.4265,-10.4839166667,-19.62375,-33.8709166667,-42.294,-30.0180833333,-19.4443333333,-9.14008333333
180.69,-13.9421666666,-14.6636666667,-29.24675,-15.2244583333,-13.30125,-6.65058333333,-14.1026666667,-29.7275833333,-34.3750833333,-23.3174166667,-15.06425,-6.57050000003
181.07,-11.43075,-13.6430833333,-24.33625,-10.619625,-13.7168333333,-5.82591666667,-12.9055,-26.3273333334,-29.6461666667,-24.4838333333,-15.0441666667,-7.15333333334
181.45,-1.92783333335,-5.47258333334,-13.9303333333,-0.497375,-4.29116666665,3.42033333333,-3.98008333334,-12.1268333333,-16.8531666667,-11.5050833333,-7.89808333333,2.86058333334
181.83,-2.45108333332,-3.92150000002,-14.09325,2.29770833333,-6.18875,6.37275,-3.12516666667,-10.6618333333,-15.6250833333,-11.0294166667,-10.23275,0.612499999993
182.21,0.12083333335,-1.389,-9.66175,9.02775,-3.80425000002,11.7753333333,-0.543416666675,-4.89149999999,-11.8358333333,-8.33341666667,-7.00483333333,5.25366666668
182.59,1.34800000002,-1.71566666667,-10.7230833333,11.8566666667,-1.65433333333,8.57849999999,-0.674166666668,-5.33066666667,-12.2546666667,-5.14708333332,-8.39466666667,5.69841666665
182.97,-0.902750000017,-3.75008333333,-18.1944166667,12.118,-4.30566666668,5.76383333332,-7.56941666668,-12.7776666667,-14.7915833333,-9.93049999997,-15.7639166667,1.31950000002
183.35,5.31516666668,-2.23108333332,-12.7295833333,16.1744166667,0.262500000018,8.39908333332,-7.61158333333,-8.98949999999,-8.53024999998,-2.69016666667,-12.4671666667,5.24924999999
183.73,3.82891666667,-6.0058333333,-19.3694166667,17.68,-3.30333333332,1.35116666667,-14.9399166667,-12.4625,-9.90991666665,-7.50741666668,-20.8708333333,-0.375333333342
184.11,-1.60816666667,-6.14041666665,-24.0496666667,14.291,-5.84783333335,-3.94741666667,-18.49425,-12.5,-9.503,-9.2105,-24.7076666667,-3.2895
184.49,-3.93091666667,-3.53791666667,-27.8303333333,13.99375,-11.3993333333,-7.46841666667,-23.349,-13.758,-7.07558333334,-9.59124999998,-25.8648333333,-5.18866666668
184.87,-9.28575000001,-7.69833333333,-32.2223333334,10.7143333333,-10.5556666666,-10.5555,-27.5396666667,-16.6665833333,-11.2698333333,-13.0159166667,-28.254,-5.87308333333
185.25,-4.62124999999,-2.87875,-28.4090833333,13.9014166667,-4.92433333333,-3.93941666666,-20.6815833333,-13.8635833334,-8.10591666668,-6.13641666665,-21.2879166667,-1.66666666665
185.63,-11.3475833333,-9.84058333333,-36.525,8.15600000001,-14.1845,-11.7906666667,-31.9149166667,-25.8865,-18.7055833333,-19.5036666666,-26.0638333333,-13.5638333333
186.01,-1.66666666666,-1.91666666666,-23.9166666667,13.3333333333,-4.75000000001,-7.16666666666,-20.75,-18.5833333333,-10.5833333333,-13.8333333334,-14.5,-3.66666666666
186.39,-10.3413333333,-9.63850000001,-34.1365,-1.80725,-11.2449166667,-24.4979166667,-31.1245833333,-32.6305833333,-21.2851666667,-25.502,-24.4978333333,-19.4778333333
186.77,-31.7949166666,-27.436,-60.0000833333,-24.9359166668,-33.9745,-52.8204166667,-54.1024166667,-54.6154166668,-43.3333333332,-57.6923333333,-44.2309166667,-46.7947499999
187.15,-25.502,-20.7831666667,-44.3774166667,-16.0642083334,-30.221,-43.6746666667,-38.3533333333,-40.9638333334,-36.7469166667,-49.29725,-34.739,-40.7633333332
187.53,-37.3333333333,-25.0,-54.0000833334,-21.3888333333,-40.1111666667,-53.2221666666,-44.0,-54.1110833333,-47.5555000001,-64.3334166667,-46.1110833334,-52.6668333333
187.91,-26.05475,-11.2869166666,-39.9789166667,-11.2869583333,-29.4303333333,-43.6709166667,-29.2193333333,-37.8692499999,-37.4474166667,-51.3713333333,-29.4304166667,-39.2405833334
188.29,-23.3796666667,-15.3934166667,-34.9536666667,0.46283333335,-27.8934166667,-45.949,-23.1483333333,-34.6064166667,-43.6341666667,-53.4720833333,-21.8750833333,-42.4769166666
188.67,-9.67441666668,-7.56700000001,-21.6475,9.67425,-15.4214166667,-27.8736666667,-7.75866666665,-15.03825,-31.2260833333,-40.9005,-9.09958333333,-24.9999166667
189.05,-6.62866666667,-8.61741666665,-26.8940833334,5.63466666667,-23.9583333334,-30.2083333333,-12.2159166667,-13.731,-33.3335,-46.6856666667,-14.678,-31.6288333333
189.43,-17.3075833333,-12.8204166667,-39.7435,2.62825,-39.1025,-45.8974166666,-24.7435,-14.3590000001,-48.7178333333,-70.641,-26.6666666667,-47.5640000001
189.81,-32.4653333333,-23.7846666667,-65.2778333335,2.604125,-63.0208333333,-76.73625,-39.9304166667,-20.4861666667,-63.5418333333,-99.65275,-54.8610833334,-72.5694166666
190.19,-67.4018333333,-51.4705833333,-116.42175,-20.2205416667,-114.460833333,-143.872583333,-77.6960833335,-45.0981666668,-99.5097499999,-152.20575,-92.4019999999,-130.882333333
190.57,-77.1506666666,-61.0214166665,-133.333333333,-23.5214583332,-138.172,-154.301083334,-86.8279166667,-41.9355833334,-116.935416667,-161.290416667,-107.52675,-133.602166667
190.95,-52.3149166667,-28.0091666667,-90.9721666666,3.35629166675,-95.1388333333,-112.5,-46.7592499999,-12.2685833334,-75.2315833334,-117.592583333,-71.06475,-79.1664999999
191.33,-26.8018333333,2.02708333325,-53.82875,18.2432083333,-63.2883333334,-91.8918333334,-11.26125,32.2070833332,-40.5404999999,-84.6848333334,-29.05425,-40.76575
191.71,-33.6666666667,-2.66666666665,-79.6666666666,31.0,-99.3333333334,-141.333333333,-9.66666666675,65.6666666668,-47.3333333333,-125.333333333,-39.0,-68.6666666667
192.09,0.268833333335,26.344,-35.2150000001,52.285125,-47.8495000001,-82.2580833334,28.7635000001,64.2471666668,5.914,-65.3226666666,-11.8278333333,-28.4945833333
192.47,-28.8460833333,17.9485000001,-74.6795833334,9.1345416665,-102.564083334,-132.051333333,0.641000000075,51.9231666666,-1.28199999992,-109.615333333,-59.9359166667,-47.4359999999
192.85,-39.6825,13.0953333332,-88.4920000001,-10.9127083333,-162.301666666,-184.920666667,-19.4444166668,30.1589166665,-2.38099999983,-133.3335,-90.4764166668,-84.5238333334
193.23,17.2221666666,104.444583333,-31.1111666667,32.5000833333,-168.333333334,-210.555666667,60.5555000001,110.555666667,61.1112499999,-101.666666667,-47.77775,-22.22225
193.61,37.9033333333,55.9138333334,1.07533333332,21.9086666667,-76.6127499999,-97.3118333333,53.2257500001,63.9785,49.731,-31.4516666666,-2.15049999999,4.30124999999
193.99,35.2838333333,46.8084999999,12.0566666667,8.86533333335,-40.6029166667,-58.51075,42.9078333334,48.5816666667,37.7659166666,-13.8298333332,5.67366666665,14.3616666666
194.37,42.3611666666,45.6596666666,22.9166666667,16.4929166667,-30.0345833333,-41.4929166667,46.8750833333,59.5485833333,45.6596666666,-5.3819999999,-0.868,21.1806666666
194.75,39.2593333333,38.8890000001,21.11125,7.59254166667,-39.25925,-52.2223333333,48.5184166667,55.92575,57.7777499999,-17.22225,-3.14825,6.85183333325
195.13,44.2176666667,23.4692500001,24.31975,2.21091666665,-37.7549166666,-46.2586666667,39.4558333333,52.2109166666,55.7823333333,-17.0068333333,4.25191666668,-0.680250000075
195.51,42.7631666667,16.0086666666,12.5000833333,-18.7500416667,-65.3509166667,-68.85975,32.4563333333,49.3420833333,55.4823333332,-33.5525,-8.99116666668,-22.5875833332
195.89,40.81175,11.9658333333,2.35058333332,-18.6965,-72.4359166667,-68.3761666667,27.3505833333,45.0854999999,39.5298333333,-35.4699999999,-14.7435,-26.9230000001
