wavelength,Back_SpoCorf,Belly_SpoCorf,Breast_SpoCorf,Crissum_SpoCorf,Crown_SpoCorf,DorTail_SpoCorf,Patch10_SpoCorf,Rump_SpoCorf,Throat_SpoCorf,WingTip_SpoCorf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,5.55555555556,55.5555555556,66.6666666667,13.8888888889,47.2222222222,136.111111111,66.6666666668,108.333333333,41.6666666666,162.5
179.16,-1.01011111112,22.7272777778,15.1515555556,50.5049444444,15.1514444444,12.1212222222,53.5354444446,-6.06044444443,16.1617777778,-50.5052222222
179.54,72.2222222223,13.8888888889,-19.4444444443,-17.3611111111,31.9444444444,36.1111111111,37.5,54.1666666666,19.4444444444,71.5277777779
179.93,-238.888888889,-47.2222222222,-172.222222222,136.111111111,88.888888889,-44.4444444447,105.555555555,72.2222222221,-61.111111111,144.444444445
180.31,218.055555556,36.4583333333,171.527777778,-109.722222222,159.722222222,247.916666667,61.8055555554,193.055555556,38.8888888889,197.569444444
180.69,401.587333333,7.143,249.206444444,-374.603277778,230.158555556,495.238111111,11.1112222224,326.984222222,-60.3174444447,361.110888889
181.07,-750.000000001,-48.6111111112,-408.333333334,697.222222222,-413.888888889,-819.444444443,-19.4444444443,-533.333333333,183.333333333,-461.11111111
181.45,-1183.33333333,-8.33333333333,-711.11111111,1555.55555556,-872.222222221,-1611.11111111,-66.6666666667,-949.999999999,672.222222221,-152.77777778
181.83,-1433.33333333,-338.888888889,-1427.77777778,1150.0,-1383.33333333,-1988.88888889,-355.555555554,-1238.88888889,288.888888889,-263.88888889
182.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.59,-10.1851111111,42.1297222222,-60.1852222222,152.777666667,-57.4075555555,-68.5184444445,62.963,-10.6482222222,121.296333333,24.7685555557
182.97,46.7701111111,65.8914444444,22.4804444444,130.103333333,13.1784444445,1.80888888888,80.1034444446,37.4676666667,108.527222222,68.8629444446
183.35,53.7878888889,53.4090555554,23.4848888889,109.848611111,11.1111111111,-2.02,74.2423333332,35.1008888889,111.616111111,67.8029444444
183.73,54.074,48.7407777778,32.8886666667,81.8519444444,23.7037777778,22.8148888889,57.3333333334,43.8517777778,73.1852222222,56.5926666668
184.11,53.1851111111,44.0742222222,31.4073333333,76.5925,17.926,23.8517777778,62.2223333334,45.4815555556,67.9998888889,50.5924444444
184.49,50.4166666667,39.7222222222,29.8611111111,66.7361111111,20.9722222222,28.8888888889,57.7777777778,52.3611111111,58.1944444444,49.3750000001
184.87,53.1852222222,44.5183888889,23.5554444445,73.1850555556,18.2221111111,32.7406666667,60.1482222222,53.0371111111,54.8146666667,52.4446111111
185.25,46.932,42.6202222222,9.28688888888,63.1842222222,8.126,21.7246666667,54.2287777778,46.6003333333,41.6251111111,39.8008333333
185.63,38.7152222222,39.5833333333,5.38200000001,45.3993888889,3.12500000001,20.139,47.7431111112,53.1247777778,30.903,28.8194444444
186.01,44.4443333333,44.331,23.1291111111,47.5059444444,24.4896666667,32.88,52.1541111111,57.4828888889,40.5893333333,38.2651666667
186.39,35.5336666667,35.2034444444,18.8117777778,41.3641111111,19.0317777778,28.7126666667,45.7644444445,47.6345555556,32.7832222222,36.1934444444
186.77,16.9753333333,22.145,4.01244444444,32.4072777778,-4.16655555554,16.0494444445,29.9384444444,37.8087777778,16.6664444444,24.3826111111
187.15,16.25,27.0833333333,-4.44444444442,28.4722222222,-8.61111111111,15.0,25.4166666667,35.0,17.3611111111,14.4444444444
187.53,12.037,25.4049444445,-3.12488888889,27.1411111111,-10.1853333334,16.8981111111,20.9488888889,29.3981111111,13.8888888889,12.5002222222
187.91,7.23522222223,20.6718333333,-20.0258888889,22.1576111111,-17.9587777778,14.0827777778,20.4135555556,30.7494444445,5.16800000001,16.0207222222
188.29,12.0371111111,26.7856111111,-20.2382222222,21.7595,-8.86244444444,16.6667777778,19.0477777778,34.2594444445,7.80422222223,30.9524444444
188.67,25.621,43.464,-6.536,33.3332777778,3.13722222223,33.7254444445,28.1044444444,41.4377777778,26.1436666667,47.5163333333
189.05,27.4656666666,48.5018888889,7.11622222224,31.5856111111,10.362,40.3246666667,31.4607777778,49.8127777778,34.2072222222,53.1836111111
189.43,44.4444444444,63.7426666667,31.813,43.567,26.4327777778,60.351,44.4444444444,67.4854444444,49.9415555556,72.0466666667
189.81,40.0672222222,58.1371111111,24.3547777778,40.1795,22.7834444444,52.6374444444,38.7205555555,58.4734444445,37.8226666667,62.9627777778
190.19,28.0628888889,48.3617222222,4.70077777777,21.7235555556,3.27633333334,37.4644444445,24.7863333333,46.1537777778,19.0882222222,57.906
190.57,26.9841111111,43.5786111111,5.48355555553,12.4818333333,-3.03033333332,32.7562222222,22.9437777778,46.4646666667,12.6984444444,52.8138333333
190.95,27.1478888889,37.9153333333,5.26911111113,6.4146111111,-4.92544444444,30.2404444445,18.0983333333,41.3515555555,10.1947777778,47.9382222222
191.33,25.086,32.1877777778,8.59077777777,-2.74927777777,-3.78022222221,28.8661111111,17.0673333333,42.1534444444,6.18544444444,48.6826666667
191.71,30.3783333333,34.8700555555,13.7114444445,-4.55083333333,1.65488888889,32.9786666667,16.5486666667,50.1182222222,6.61944444446,55.9101666667
192.09,14.1974444445,26.4197777778,10.8642222222,-16.4197222222,-9.25933333332,24.4445555555,4.81488888889,35.5556666666,-7.77788888888,42.2222222222
192.47,11.2244444444,24.3762777778,16.5533333333,-14.7393333333,-10.3173333333,27.3242222222,6.57577777777,33.7867777778,-9.07033333333,40.9298888889
192.85,1.40355555557,7.25144444447,4.44433333336,-29.5321111111,-25.0291111111,11.111,-4.21055555557,21.7542222222,-31.1112222222,27.7778888889
193.23,-7.05877777777,-6.73216666668,-18.1698888889,-43.2678888889,-42.0915555555,-0.653666666657,-16.8627777778,10.9802222222,-57.647,17.9086111111
