wavelength,Back_SpoAlbf,Belly_SpoAlbf,Breast_SpoAlbf,Crissum_SpoAlbf,Crown_SpoAlbf,DorTail_SpoAlbf,Patch10_SpoAlbf,Patch11_SpoAlbf,Rump_SpoAlbf,Throat_SpoAlbf,WingTip_SpoAlbf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,83.3333333333,283.333333333,-50.0,100.0,433.333333333,183.333333333,216.666666667,283.333333333,-33.3333333333,266.666666667
179.16,52.7776666667,105.555333333,22.2223333333,72.2223333333,52.778,16.6666666667,83.3333333333,44.4443333333,44.4446666667,63.889,-25.0003333333
179.54,187.5,83.3333333333,41.6666666667,104.166666667,104.166666667,37.5,87.5,137.5,66.6666666667,162.5,-50.0
179.93,-466.666666667,-1200.0,200.0,-200.0,-566.666666667,233.333333333,-433.333333333,-466.666666667,-433.333333333,-566.666666667,-733.333333333
180.31,54.088,103.773666667,-54.088,54.7173333333,33.3333333333,-19.497,72.956,50.3143333333,87.4216666667,114.465,-42.7673333333
180.69,64.9716666667,105.084666667,-52.5423333333,62.712,32.2033333333,-14.1243333333,79.661,48.0226666667,94.3503333333,112.429333333,-33.898
181.07,59.3073333333,102.597333333,-23.377,57.5756666667,39.3936666667,13.4196666667,81.3853333333,45.4543333333,106.493333333,100.865666667,-11.688
181.45,54.5046666667,94.5946666667,-22.973,53.153,38.7383333333,7.65733333333,82.4326666667,42.7926666667,109.91,99.9996666667,-9.91
181.83,35.526,88.5966666667,-25.8773333333,39.4736666667,29.8246666667,0.438666666667,76.7543333333,31.1403333333,113.157666667,89.035,-3.94766666667
182.21,32.1286666667,73.494,-20.8836666667,34.538,20.0803333333,4.81933333333,75.9036666667,21.6866666667,101.606333333,77.51,-21.6866666667
182.59,41.8806666667,77.7776666667,-11.5386666667,41.0256666667,20.0856666667,10.2563333333,83.3333333333,21.795,108.547,88.889,-32.0516666667
182.97,46.316,70.5263333333,5.96466666667,48.772,31.5786666667,21.4036666667,81.4036666667,16.8423333333,98.2456666667,87.3686666667,-6.667
183.35,59.4773333333,81.6996666667,24.183,55.5553333333,36.2743333333,33.3336666667,89.5423333333,25.817,107.189333333,95.4246666667,9.804
183.73,63.24,83.489,25.545,54.2053333333,35.514,40.187,95.016,22.7413333333,105.295666667,95.95,14.9533333333
184.11,64.4443333333,84.7616666667,27.619,49.841,39.0476666667,43.1746666667,96.1906666667,20.9526666667,101.904666667,86.0313333333,7.619
184.49,72.0126666667,85.5346666667,31.132,57.2326666667,38.994,47.1696666667,97.4843333333,19.497,104.088,92.1383333333,5.66033333333
184.87,72.9166666667,89.2363333333,33.6806666667,62.8473333333,35.4163333333,49.3056666667,97.5693333333,13.8886666667,104.513666667,100.694333333,-3.81933333333
185.25,84.058,93.116,36.232,71.7393333333,36.9566666667,46.739,105.072333333,25.3623333333,93.116,107.971,-10.507
185.63,91.87,97.1546666667,27.236,67.0733333333,22.3576666667,52.439,110.975666667,20.7316666667,90.6506666667,108.13,-33.74
