wavelength,Back_CamHelm,Belly_CamHelm,Breast_CamHelm,Crissum_CamHelm,Crown_CamHelm,DorTail_CamHelm,Rump_CamHelm,Throat_CamHelm,WingTip_CamHelm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,143.333333333,128.333333333,180.0,125.0,196.666666667,237.5,23.3333333333,115.0,99.9999999999
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,112.7272,107.272733333,83.0302000001,66.0606666667,118.181866667,154.848566667,110.606033333,78.1816666667,88.4848666667
179.93,11.6666666667,29.1666666667,71.6666666665,116.666666667,-48.3333333334,-1.66666666666,113.333333333,196.666666666,103.333333333
180.31,-107.0,-180.833333333,-118.666666667,-51.6666666667,-231.666666667,-245.5,-1.83333333326,-12.3333333335,-64.0
180.69,-65.3333333333,-120.4,-57.0666666667,-25.8666666667,-144.0,-165.066666667,33.2,32.2666666667,-22.1333333333
181.07,1.86059999998,-36.1239333334,10.3877333333,21.5505333333,-53.3334,-56.3566666667,47.9069000001,52.8680666667,8.6822
181.45,-12.4821333333,-45.1772666667,-2.41133333333,7.09226666665,-60.7092,-63.1206666667,27.6596333333,34.3262666667,-7.94333333342
181.83,15.8888666667,-17.4444333334,14.2222,19.8888000001,-26.9999333333,-18.6665666667,43.9444333333,46.7777333333,9.11106666666
182.21,12.2751333333,-24.7619333333,2.64540000001,10.5820666667,-27.3016666667,-20.1586333333,28.5186666667,28.3597999999,-4.4446
182.59,20.3508,-29.5321,2.22233333333,14.5028666667,-28.6549333333,-22.3978,33.8597,35.7893333334,-1.4034
182.97,27.1730666667,-5.1054,10.9705333333,22.8691333334,-7.3418,-10.2952666667,37.1309,39.3248666666,9.4514
183.35,34.0562,2.61046666666,18.0722666667,33.2530000001,1.60646666667,-4.69883333334,38.9959333333,45.5421333333,16.4658666667
183.73,42.49,8.87553333333,24.6588,41.9277333334,12.4496666667,6.50613333332,43.2530666667,53.5744000001,18.4738
184.11,34.3282666667,-10.5474,11.2437333333,37.7113999999,4.37793333334,-5.7212,32.6866,47.7610666666,-2.78606666666
184.49,40.2598,3.37666666668,22.5973333333,48.6579333333,21.8181333333,15.6278666667,43.0735666667,57.4026666666,14.1991333333
184.87,33.8824666667,-0.62743333334,13.9608666667,44.0783333334,8.70586666666,6.07823333332,33.5294,47.6863333333,6.03926666668
185.25,26.9076666667,-7.38956666666,7.55033333332,40.8834,5.62246666665,1.32523333334,26.4657666667,47.7912666666,3.21280000002
185.63,36.0544,9.38783333333,20.3402666667,43.1972666667,19.5236666667,15.7824333333,36.0884,54.2176,15.442
186.01,30.1550666667,2.71316666666,13.0232666667,38.2172,12.7907333333,7.75203333334,32.7906,58.0620000001,4.96120000002
186.39,35.0876,6.84203333333,14.6665333333,40.3509333333,20.2807333333,13.1577333333,39.5439,65.123,14.1052
186.77,37.5333333333,12.0,17.8,44.4666666667,26.8666666667,25.7,42.7666666667,67.2,14.7333333333
187.15,38.0302666667,8.21983333334,19.0909333333,44.9242666666,28.4847333333,26.4393333333,43.0303,74.9243333333,10.9090666667
187.53,34.3702666667,2.66666666666,19.1111333333,37.7778,24.7407333333,26.8888,39.5187,69.7776666667,9.18519999998
187.91,33.3333333333,0.67526666666,19.2405333333,38.2281333334,29.8734,33.0380333333,45.1055666667,76.1181333334,8.86066666668
188.29,46.1375333333,4.17993333332,28.9948666667,51.7460666667,40.5290666667,46.5078666667,64.0211666667,105.185133333,23.8094666667
188.67,58.6364,-8.03026666668,31.8181333333,47.8788000001,34.8484666667,46.4393,79.3182333334,141.363533333,15.7575333333
189.05,70.1010666666,-40.101,21.8182,41.6160666667,38.7878666666,43.1313000001,87.8788000001,173.7374,-1.8182
189.43,129.019666667,-141.764666667,1.9607999998,24.7057999999,58.0391999999,103.137266667,135.490366667,298.431333333,-13.3333333334
189.81,455.555533333,-1228.8889,-402.222266667,-197.777733333,-62.2223333333,491.1112,451.1111,1235.55573333,-304.444400001
190.19,-1326.66666667,3970.0,1073.33333333,540.000000001,-100.0,-1610.0,-1180.0,-3100.00000001,613.333333333
190.57,-10.8641333333,178.641933333,62.963,58.7653333333,35.3086,-20.6172,-7.16050000008,-70.6173333333,69.1357333333
190.95,20.8081333335,189.2928,87.6769333334,105.2524,69.2929333333,40.7069333333,32.5252,-7.07073333319,94.9494666668
191.33,24.1666666667,169.083333333,84.9999999999,92.8333333334,65.1666666666,34.5,40.9166666667,13.4999999999,87.8333333334
191.71,25.683,123.060033333,75.3005333333,75.0818666667,53.3334,36.5029666667,44.3169666667,19.8906666667,75.41
192.09,30.8046000001,136.379533334,81.3792666667,85.1724666667,64.8275333333,37.0115,47.1838999999,18.3908666667,80.5746666665
192.47,-7.03686666666,341.4815,164.8148,192.963,95.5556666667,19.6296000001,58.5184999998,-27.4072,162.5926
192.85,-120.0,1017.33333333,460.0,483.999999999,61.3333333333,-102.666666667,64.0000000006,-173.333333333,402.666666666
193.23,316.0,-736.666666666,-237.333333333,-202.666666667,265.333333333,414.0,238.0,449.333333333,-48.0000000006
193.61,106.1112,-277.500066667,-106.666733333,-82.2221333335,132.222133333,110.000033333,97.2222000001,163.3334,-35.5556666666
193.99,211.999999999,-611.333333333,-182.666666667,-190.666666667,421.333333333,49.3333333333,211.333333333,324.000000001,-179.999999999
194.37,76.0606000001,-102.424233333,-0.60599999998,-10.3030666667,128.4848,43.1816666667,97.1210999999,114.2424,-3.0303333332
194.75,50.2856666665,-68.3809666667,17.7142,0.19053333334,89.7142666666,39.9046666667,61.4287,70.4762,8.00006666667
195.13,56.6666666669,-108.166666667,33.6666666667,16.3333333334,174.333333333,101.5,89.8333333332,127.333333333,28.6666666667
195.51,79.0804666667,-27.4714,70.3448,48.5057333333,168.965666667,122.758566667,105.517266667,133.1034,63.6782
195.89,50.1852666667,-22.5925,60.0001333333,35.7408,133.148133333,96.4815333333,85.3704333335,95.5554666665,52.5926
196.27,65.6141333333,1.92980000002,88.7719333333,51.579,156.842066667,112.017533333,100.087633333,101.403533333,63.3332000001
196.65,57.7777333334,-31.1111666667,120.833266667,50.5555333333,224.166666666,150.9721,122.361066667,106.944333333,62.2221333334
197.03,77.5757333334,-31.9697666666,147.5758,60.0000666667,245.1516,163.181733333,143.181766667,133.6364,90.9091333335
197.40,80.0000000001,-78.125,189.583333333,29.5833333333,300.416666667,184.375,173.333333333,123.333333333,94.1666666666
197.78,71.7645999999,-70.196,214.1178,50.1960000001,316.078333333,202.941166667,187.843133333,166.274466667,83.5293333333
198.16,70.2380666668,-23.4523666667,161.666666667,64.7618666667,218.809533333,176.428666667,145.952433333,141.4286,88.8096
198.54,82.2222666667,-4.11113333334,164.666666667,81.1110666665,234.444333333,184.6668,152.7778,145.333333333,100.444333333
198.92,84.7059333335,33.3331666667,169.215666667,89.2156666668,238.8236,186.568566667,153.8236,148.235333333,107.254933333
199.30,84.1333333335,39.6,140.4,82.1333333334,182.0,148.066666667,131.533333333,120.4,95.5999999999
199.68,77.4358000001,47.8974666667,129.230733333,77.6409333333,153.743666667,120.153833333,117.5897,102.974466667,87.1795333334
200.06,78.8572666667,54.5238,126.476066667,77.1427333333,145.047666667,121.571466667,120.0952,101.428533333,87.5238666667
200.44,87.8787333334,58.7879333333,138.888933333,86.0604666667,156.464466667,126.414233333,129.393866667,108.4848,97.2727333334
200.82,95.7077999999,71.9178,140.822066666,90.4110666667,155.798933333,123.972566667,131.0502,118.630066666,101.4612
201.19,103.118333334,83.9785333333,155.268866667,99.4623333332,179.462333333,146.451566667,144.8386,138.3872,104.9462
201.57,112.444533333,100.000066667,169.3334,117.222266667,200.7778,173.9443,151.6668,153.888866667,119.4444
201.95,118.607066667,109.651833333,173.9302,123.084666666,195.323333333,177.313566667,156.318333333,153.432933333,130.248866667
202.33,155.925866667,145.864166667,229.629666667,157.654333333,248.271466667,238.271466667,200.7408,198.641866667,172.592666667
202.71,198.6364,194.242433333,296.060733333,196.9698,305.757533333,299.772666667,249.1667,241.060533333,222.121066667
203.09,231.1628,233.1784,319.379866667,213.9536,330.077466667,323.410766667,286.5116,280.465133333,250.5426
203.47,246.1906,255.1587,330.4762,219.6826,349.5238,326.269766667,299.761933333,298.888733333,249.2064
203.85,338.024666667,362.345633333,472.098733333,312.5926,501.2346,481.604833333,428.395166667,433.827133333,334.320866667
204.22,605.0,616.875,832.916666667,555.833333333,889.166666667,816.458333333,731.666666667,767.083333333,599.583333333
204.60,502.592666667,551.296333333,705.555466667,455.925933333,773.703666667,713.148066667,611.851833333,651.481466667,515.926
204.98,3743.33333333,4315.0,5490.0,3363.33333333,6230.0,5838.33333333,4528.33333333,4920.0,4003.33333333
205.36,721.212066667,834.242366667,1098.78786667,681.8182,1200.606,1115.45463333,907.878833333,924.242399999,795.151399999
205.74,418.333333333,479.333333334,643.666666667,386.333333333,671.333333333,619.666666667,520.666666667,512.666666666,430.333333333
206.12,333.333333333,382.4,499.466666666,298.4,525.866666667,478.666666667,400.8,372.266666667,333.6
206.50,225.057466667,285.402266667,368.5056,198.160933333,391.494266666,354.7128,282.988533334,265.977,227.586266667
206.87,155.121933333,198.780433333,247.804866666,138.374066667,278.536533333,255.9349,200.406466667,199.187,157.7236
207.25,121.25,152.152866667,210.6944,116.805666667,226.8056,211.1804,158.402833333,154.027866667,126.666733333
207.63,99.7619333333,130.357266667,181.071533333,97.6188666667,188.333333333,178.4524,138.869033333,131.428533333,112.619133333
208.01,107.1186,133.446233333,178.644066667,95.0282666667,185.536733333,174.293766667,145.8191,135.480333333,118.644133333
208.39,94.6892666666,123.8417,166.8926,84.5196000001,173.446333333,160.678033333,133.2203,120.452,105.1978
208.77,103.333266667,124.085933333,165.268666667,93.4407333333,171.7204,163.5484,142.795633333,126.666666667,114.946333333
209.14,124.858666667,142.316533333,189.152533333,111.751333333,190.056466667,180.564866667,169.265566667,144.858666667,137.288
209.52,116.767733333,132.929233333,169.898933333,96.4646000001,169.696933333,164.040466667,153.131233333,125.1516,129.595933333
209.90,135.2542,155.9886,189.6046,114.463266667,188.0226,179.096033333,179.434933333,146.214533333,158.983066667
210.28,195.0794,232.777866667,274.4444,164.4444,261.904666667,251.0316,260.952566667,215.238,232.698333333
210.66,208.611266667,239.236,276.8056,180.972266667,264.166666667,240.9721,265.9722,220.555533333,231.1112
211.03,448.666666667,528.833333333,613.0,386.333333333,568.666666667,526.333333333,594.666666666,469.666666667,502.666666667
211.41,500.701666666,594.9123,657.894733333,445.263066667,628.772,598.245566667,658.771933333,502.806933333,567.368466667
211.79,1170.0,1414.58333333,1559.16666667,1103.33333333,1479.16666667,1500.83333333,1514.58333333,1166.66666667,1310.83333333
212.17,1141.66666667,1420.83333333,1554.16666667,1122.5,1530.0,1498.75,1492.91666667,1128.33333333,1350.83333333
212.55,411.538466667,521.794733333,555.641,421.7948,547.435933333,532.820533333,537.179433333,418.461533333,501.538266667
212.92,318.181866667,406.666533333,436.9696,320.808,423.0302,400.5051,409.7979,324.2424,381.0102
213.30,212.933333333,279.133333333,297.066666667,221.733333334,280.933333333,274.733333333,281.0,225.6,260.0
213.68,249.037066666,324.889033333,340.592533333,262.962933333,321.7778,309.777866667,325.259266667,271.407466667,300.2964
214.06,250.877266667,345.6141,358.245666667,261.579133333,338.0702,322.105433333,337.368266667,291.579,306.3158
214.44,229.0196,334.411833333,341.372466667,246.8628,334.1176,323.627466667,318.2352,280.3922,286.862866667
214.81,303.1578,513.684133333,505.613933333,342.807,496.842133333,470.175333333,477.017433333,404.912466667,424.5614
215.19,167.752,256.434033333,268.527133334,183.410866667,252.248133333,232.713333333,237.751933333,207.596866666,224.961466667
215.57,196.5516,321.6093,343.908,206.666666667,319.769933334,273.333466667,296.206833333,273.563133333,274.4828
215.95,215.5554,347.9167,380.0,204.1666,353.6112,259.999866667,320.416533333,301.111066667,306.944333333
216.32,192.424266667,317.121233333,368.181866667,160.606133333,314.242533334,220.757533333,269.8485,279.3938,294.242533333
216.70,757.777733331,1607.7779,1848.88893333,433.333466668,1646.66673333,1037.77786667,1264.44446667,1451.1112,1271.11113333
217.08,-233.3334,-521.481466667,-551.851933333,-71.8519333331,-517.7778,-340.7409,-402.963033333,-461.481466667,-394.814933333
217.46,-26.4583333334,-96.1458333333,-111.458333333,21.4583333335,-110.833333333,-52.3958333334,-68.2291666666,-92.7083333333,-65.4166666667
217.83,33.0080666666,-26.3413666667,-35.4472,61.4634,-32.6828666667,3.25206666666,-7.96746666659,-28.1301999999,-3.41460000001
218.21,31.2057333334,-17.1631666667,-22.6950666667,51.0638000001,-21.4184,-6.87940000006,-5.24820000001,-18.1560000001,1.70226666667
218.59,32.4,-21.9333333333,-21.8666666667,57.9999999999,-13.2,6.80000000006,-11.6666666667,-10.4,2.93333333333
218.97,19.8413333334,-39.2064333333,-36.6665333333,45.5555333332,-35.8730666667,-13.7300666667,-34.4445333333,-36.9841333334,-15.873
219.34,38.6666666666,-31.0833333333,-4.83333333332,61.0000000001,-20.3333333333,-4.5,-20.0833333333,-33.3333333333,-2.33333333334
219.72,39.2753333333,-22.9710333333,1.15946666666,53.1883333334,-15.5072,-6.73916666674,-15.7247333333,-21.0145333334,1.88393333333
220.10,22.1569333333,-67.1569333333,-27.8430666667,41.5686666665,-55.0979333333,-39.4118666666,-62.6470666667,-54.1176666666,-38.4314666667
220.47,-7.14279999998,-87.2223666667,-49.9999333333,6.34913333332,-64.2857333333,-57.2221666668,-85.6350666667,-72.8570666667,-57.6191333333
220.85,-17.0942,-103.5043,-74.3589999999,1.19653333332,-70.2564000001,-57.4358,-94.1026000001,-78.8034666665,-82.7350666666
221.23,12.0634666667,-74.9206666667,-48.0952000001,16.0317333333,-34.9206,-27.2222333333,-58.0158666666,-38.8887333333,-59.5238000001
221.61,-9.36933333333,-117.207233333,-78.3784000001,-9.90993333326,-62.1620666667,-59.1892,-94.3243333335,-67.2072,-82.8828666667
221.98,-19.4202666667,-94.2753666667,-67.1015333333,-10.4347333333,-47.6810666667,-56.9567,-72.7536,-57.5363333333,-74.0580000001
222.36,-23.4921333333,-101.6668,-81.2698666666,-9.52366666668,-54.9207333333,-49.9207666668,-82.1428666668,-52.381,-93.8095333333
222.74,-25.5072,-80.9421000001,-65.2174000001,-14.0579333333,-58.5507333333,-39.2029333334,-69.203,-57.9710000001,-94.3479333335
223.11,-15.1282666667,-52.3717666667,-43.9743333333,-1.53846666668,-37.0512666667,-19.2946666668,-53.2051,-36.0255333333,-76.5384666667
223.49,-14.4631333333,-37.4011666667,-42.5989333333,2.14686666666,-30.3956,-11.4689,-42.8812333333,-25.1976,-62.0339999999
223.87,-43.688,-72.1985666667,-75.1772666667,-24.9645333333,-52.0567333333,-31.9855666666,-74.4680666668,-48.7944666666,-108.226933334
224.24,-2.22213333333,-23.5858333333,-22.4244,7.07073333333,-7.97986666666,0.40403333326,-23.0808,-12.8282666667,-48.2828666667
224.62,14.3722666667,-0.12986666666,9.78353333335,25.5411333333,10.0433333333,16.9695666667,5.02156666666,12.9870666667,-17.1429333333
225.00,13.9047333333,-3.09533333333,14.8572,23.9048,8.09520000001,9.95236666674,1.28566666667,7.52373333334,-20.9524666667
225.38,16.7520666667,0.982833333333,22.2222666667,23.1624,9.99993333332,16.0257,6.32473333332,11.1112,-12.906
225.75,36.9919333333,26.4635333333,49.0244666667,45.6097333333,33.9023333333,43.4552,31.9105,33.9024,9.10566666666
226.13,42.4875333333,28.2586666667,61.5921333333,52.4378,30.0498,58.5073333333,35.5224333333,42.4876666667,8.75626666666
226.51,44.0693333333,37.4459,66.6665333333,54.7186,36.7097333333,59.9136,41.6451,47.7055333333,23.2035333333
226.88,50.0412,44.6091333333,74.0739333333,60.0822666666,50.9465333333,65.0618666667,52.1811666667,60.2468666667,35.9670666667
227.26,43.5248666667,34.5593666667,65.2106666667,49.502,42.5286666667,55.4405333333,48.1993,53.6398666666,30.0383333333
227.64,47.6280666667,37.2435,71.3462,51.218,44.0385333333,58.9101666667,49.3269333333,56.0898,36.923
228.01,51.0476666667,45.3811,70.4284666667,55.1905333333,46.2380666667,57.0237666667,53.4047666667,56.5238,43.2858
228.39,44.9276666666,43.1468666667,62.0289333333,48.0331333334,40.2484,49.3789,48.6748666667,52.7535333333,40.911
228.76,40.6237333333,38.0507,53.9961333333,41.1696666666,35.1268,44.2495666667,40.6236666667,43.6648666667,35.1658
229.14,41.6252666667,40.4644,54.1626,41.8243333333,37.8441333333,46.7661666667,42.9851333333,42.985,37.9106
