wavelength,Back_ConCinf,Belly_ConCinf,Breast_ConCinf,Crissum_ConCinf,Crown_ConCinf,DorTail_ConCinf,Patch10_ConCinf,Patch11_ConCinf,Rump_ConCinf,Throat_ConCinf,WingTip_ConCinf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,16.6666666665,91.6666666666,450.0,391.666666667,270.833333333,266.666666667,141.666666667,216.666666667,591.666666667,154.166666667,200.0
179.16,65.4761666667,114.285583333,138.09525,116.666583334,158.33325,97.6191666668,115.47625,94.0475833335,152.380833333,125.595125,89.2859166667
179.54,108.333333333,550.0,500.0,91.6666666668,512.500000001,333.333333333,174.999999999,441.666666667,900.000000002,562.5,250.0
179.93,34.5236666667,21.42875,4.76191666667,47.6191666668,4.16654166668,24.9999166666,11.90475,21.4285833333,-29.7619166667,-14.285625,-4.762
180.31,16.6666666668,-560.416666667,-658.333333333,-141.666666668,-644.791666667,-354.166666667,-302.083333334,-516.666666666,-1016.66666666,-640.625,-358.333333333
180.69,120.0,-348.333333333,-406.666666667,-1.66666666575,-431.666666667,-191.666666667,-118.333333332,-356.666666667,-733.333333332,-425.833333334,-141.666666666
181.07,3.33333333332,455.0,414.999999999,78.3333333333,549.166666666,275.0,261.666666668,473.333333333,821.666666666,568.333333333,285.0
181.45,-80.5555833334,-680.555666667,-655.555583333,-147.222333333,-900.000083333,-583.33325,-527.777749999,-941.66675,-1461.11108334,-931.9445,-563.888916667
181.83,104.166666668,691.666666666,920.833333333,245.833333334,1264.58333333,845.833333332,679.166666668,1295.83333333,1991.66666667,1293.75,708.333333333
182.21,-25.7575833333,82.5758333333,150.000083333,38.6363333333,193.939333334,158.333416666,84.8485833334,232.575833333,318.181833333,214.015125,93.9394166665
182.59,-251.388833333,-88.8889166667,36.1110833333,-70.8333333333,110.416833333,88.8889166666,-68.0554166669,229.166666667,415.277833332,143.055583333,-70.8333333334
182.97,203.787833334,163.636416667,78.03025,100.000083333,43.9393333332,40.9091666668,157.57575,-25.7576666667,-141.666583333,25.3788333332,124.242416667
183.35,322.22225,248.611083333,58.3333333332,122.222166667,27.0833333333,-13.8889999997,254.16675,-150.0,-308.333333334,-14.5834166668,150.000083333
183.73,84.6155,98.7178333334,-32.6922500001,-19.8717499998,-50.9614166665,-55.1283333334,66.6666666667,-144.230833333,-216.025583333,-53.2051666666,5.76933333326
184.11,69.4445833332,121.66675,-16.6665833334,6.11116666672,-41.9445,-44.4445,88.8887500002,-126.111083333,-171.66675,-26.6666666668,-14.4443333334
184.49,641.666666667,1491.66666667,-849.999999998,-575.000000001,-1387.5,-1375.0,391.666666665,-2133.33333333,-2941.66666667,-558.333333332,-741.666666667
184.87,37.9629999999,93.5185000001,-51.8519166666,-34.7224166667,-74.0742083333,-88.8889166667,16.2037499999,-104.166666667,-162.5,-27.7777083332,-42.5926666666
185.25,52.1368333333,86.5384166666,12.8205,19.87175,5.23491666667,-13.0341666667,54.0599166666,-10.0428333333,-27.7777500001,30.2348750001,30.9828333333
185.63,73.8333333333,96.5,48.0,44.6666666667,35.0833333333,24.1666666667,80.8333333333,28.6666666667,21.6666666667,55.6666666667,59.3333333333
186.01,66.299,83.4558333334,50.7353333333,42.7696666667,36.1519999999,30.8823333334,70.8334166667,37.2549166666,31.98525,56.066125,57.5979166667
186.39,62.1031666667,79.0675,53.5715,44.6428333333,40.8234166666,40.1785,67.9563333332,46.4286666667,38.4921666667,63.0457499999,57.34125
186.77,59.0757499999,72.8546666666,49.175,42.079,41.6255000001,41.8315833333,64.3564166667,46.78225,41.83175,58.2095833334,52.0626666667
187.15,61.0507500001,69.6559166666,48.8225,35.9600833333,36.9113750001,36.5035833333,61.7753333333,47.2825833333,36.7753333332,54.7102916667,54.1666666668
187.53,63.8315833333,70.7045833333,56.4433333333,37.7148333333,41.2801250001,40.9793333333,62.28525,54.2956666666,40.7217499999,57.9897916667,59.3643333333
187.91,72.0405833332,79.2056666667,67.9906666666,48.8316666667,51.40175,50.9345833333,71.1838333333,66.7445833334,51.324,65.8099583332,67.1339166667
188.29,70.2272499999,79.8483333332,70.8333333334,48.8634999999,53.9015416667,49.6970833334,67.1210833334,69.3179999999,51.6666666666,64.0907500001,71.5151666667
188.67,71.2752500002,81.6288333334,76.7677499999,53.2827499999,57.4178333333,55.9974166667,70.0126666667,70.3282500001,58.5859166668,65.8144583333,72.9797499999
189.05,75.5255833332,91.8919166667,84.5345,55.4054166666,61.2988750001,61.5615,75.7507500001,77.2521666667,64.0389166665,70.8707083334,77.7776666666
189.43,76.1262499999,89.93975,83.6337499998,56.3812499998,60.3604166666,63.7387499999,73.1981666666,78.3033333335,63.4385833332,73.0480416666,76.6517500001
189.81,68.9603333333,84.8624999999,77.6758333333,53.5932500001,58.6390833333,56.8806666668,69.8013333333,73.1650833333,56.6515,72.7827499999,70.9480833334
190.19,72.5246666668,88.6139166668,84.6535833334,56.3531666667,63.7375833333,58.0858333334,70.462,73.4324166666,60.1486666665,75.4125833333,72.1946666666
190.57,78.1787499999,91.4090833333,92.7834999998,60.9105833335,66.537875,61.5120833332,76.9759166667,76.5463333334,67.0961666666,78.3933333334,81.7009166666
190.95,81.6667499998,98.0700833332,102.807083333,63.4210833332,70.9649166668,63.2455833333,80.0876666666,81.0525833334,73.5965,82.8509166667,92.7193333332
191.33,88.8277499999,113.09525,114.28575,68.7730000001,78.2051249998,71.4284166667,87.3625833335,86.1720833332,85.62275,93.1774999999,103.1135
191.71,91.6667500001,117.464583333,115.602833334,70.3900833332,85.5940000001,74.5568333335,94.2375833334,88.1205,91.8440833332,96.1879166667,102.571166667
192.09,86.3295833334,109.644,116.01125,65.075,83.9420416666,68.0710833333,90.075,85.3931666667,91.6665833333,93.5861666667,100.655583333
192.47,101.219416667,121.849666666,131.097583333,75.2032499999,97.5610416667,82.3171666667,101.5245,97.9675000002,110.569166667,110.060875,111.585333333
192.85,134.452833333,154.601916667,165.04975,97.2636666666,133.76875,106.218916667,129.85075,128.358333333,147.388083333,139.6145,142.288583333
193.23,137.837833333,154.16675,169.482083333,95.8333333335,138.344625,110.810833333,135.698166666,131.081,152.36475,143.750041667,143.69375
193.61,136.176416667,156.0785,165.392333333,99.2156666668,141.225375,118.7255,137.941,133.137083333,153.823583333,137.451083333,140.098
193.99,145.34875,169.670666667,177.4225,109.689833333,154.699833333,129.941916667,149.903083333,146.124166667,172.383583333,140.406916667,155.426416667
