wavelength,Back_CyaCysf,Belly_CyaCysf,Breast_CyaCysf,Crissum_CyaCysf,Crown_CyaCysf,DorTail_CyaCysf,Patch10_CyaCysf,Rump_CyaCysf,Throat_CyaCysf,WingTip_CyaCysf
185.25,-52.8572,-35.5238000001,-82.4762000001,-71.4286,-68.4760666667,-26.9048333333,-13.2856666667,-41.6188666667,-72.6666666667,-73.4285333333
185.63,-53.5965333333,-40.5263333333,-82.0175333333,-73.5964,-69.8246,-31.9079166667,-14.9121666667,-46.3158666667,-68.5088000001,-75.7893999999
186.01,-29.7318666667,-18.0842666667,-53.0268666667,-47.5096,-39.2337333333,-13.5055833333,6.62826666666,-20.0766,-42.7585333333,-48.7356
186.39,-27.6086666667,-16.9566,-49.2029333333,-44.855,-35.1450666666,-17.21,9.529,-21.884,-39.7100666667,-47.7536666667
186.77,-9.1156,3.19726666666,-27.1428666667,-26.4625333333,-15.5101333333,2.04074999999,24.7960666667,-6.59866666666,-19.6597333333,-24.8298666667
187.15,-7.20926666666,0.310066666666,-29.3798666667,-29.5349333333,-16.3565333333,1.84116666666,31.8217,-1.4728,-20.0,-26.2791333333
187.53,-3.24999999999,3.25,-28.6666666667,-34.5,-17.0,0.520833333325,35.5,4.08333333332,-15.5,-25.8333333333
187.91,-1.20008891713e-11,6.23940000001,-24.7863333333,-33.7607333333,-11.7948666667,-7.90599999999,33.9743666667,9.05993333331,-12.3076,-24.0172
188.29,9.73693333336,23.9472666667,-11.9298666667,-21.8421333333,4.64906666665,7.12708333332,49.4299333333,21.4034666667,5.87720000001,-5.17533333334
188.67,7.381,27.8571333333,-10.8332666667,-30.9523333333,0.35713333334,4.76183333335,58.8094999999,23.9286,10.4762,-6.90473333334
189.05,20.2338,34.8538666667,-1.75433333334,-18.7134666667,8.88900000001,7.74858333326,69.4149666667,33.6842,21.8713333333,5.9648666666
189.43,19.8851333333,32.4138,-0.80453333334,-19.5402,12.2988,7.3275,61.6092333334,31.2643333334,19.3103333333,-0.80466666666
189.81,8.49673333334,32.6796,-12.1568666667,-25.8824666667,6.4052,-4.41183333342,54.1176666667,27.1895333332,8.75806666668,-5.2288
190.19,-49.3333333334,7.46666666673,-86.3999999999,-111.466666667,-52.5333333333,-82.9999999999,41.2,-11.2,-37.3333333334,-70.1333333336
190.57,-37.8789333332,23.6364,-77.5757333334,-110.606066667,-53.0304000001,-66.2878333333,51.3635333332,6.96960000007,-31.8181333333,-54.8484000001
190.95,-65.2173333334,-12.4636666666,-119.1304,-133.912933333,-77.6812000002,-106.521583333,15.0725666667,-27.2464666667,-68.1159333334,-90.1449333334
191.33,-193.333333333,-60.6060666668,-312.1212,-285.454533333,-204.848466667,-285.606,-74.8485000002,-119.394,-189.090933333,-205.454466667
191.71,415.238133333,257.142933333,673.333266667,539.047533333,455.238066667,554.762,275.7145,340.000066667,475.238,446.666666667
192.09,140.909266667,124.545466667,252.727266667,185.454733333,176.969866667,188.63625,119.848466667,133.333333333,183.333333333,163.3334
192.47,109.259333333,113.5186,177.592466667,137.407333334,126.6666,134.953583333,112.129566667,108.333533333,141.296333333,124.999933333
192.85,96.8182666667,102.575733333,160.000066667,115.000133333,103.333266667,117.992333333,98.4090666666,97.4242000001,122.5758,106.515133333
193.23,97.3333999999,120.571333333,189.142866666,135.428533333,107.428466667,133.809416667,120.476233333,104.380866667,135.619,119.238
193.61,134.074066667,258.5186,500.740733333,277.7778,141.481533333,288.888916667,243.333233333,173.3334,260.0,181.481466667
193.99,59.1666666668,224.166666667,440.833333333,222.5,89.1666666669,217.708333333,209.583333333,107.5,225.833333333,114.166666667
194.37,-44.4444,205.555666667,493.333333334,197.777666667,7.77780000014,174.999916667,201.111066667,32.2222666667,202.2222,45.5557333333
194.75,-102.5,61.6666666668,314.166666667,37.5000000001,-88.3333333335,62.4999999998,71.2499999999,-4.16666666646,70.8333333333,-16.6666666665
195.13,-147.333333333,-34.0,144.0,-65.3333333332,-148.666666667,-18.3333333335,5.6666666668,-84.0000000001,-29.9999999999,-82.0
195.51,379.047733333,228.5714,-0.9524666666,198.0954,438.0952,216.66675,158.095233333,224.7618,196.190466667,207.619066667
195.89,395.833333333,315.833333333,128.333333333,241.666666667,510.0,247.916666667,199.166666667,261.666666667,270.833333333,273.333333333
196.27,238.571333333,217.619,122.8572,140.9524,325.714266667,162.499916667,160.000166667,174.762,182.381,177.1428
196.65,142.898466667,153.0436,103.4782,105.797133333,211.884133333,109.058,119.5653,121.449333333,115.652133333,112.753666667
197.03,107.350466667,112.9914,88.2050666668,84.1025333333,144.786466667,86.5384166666,86.2393666667,93.1622666667,86.4958000001,87.1793333334
197.40,160.555533333,194.166666667,164.166666667,141.944466667,230.833266667,139.583333333,142.639066667,149.166666667,139.4446,147.777733333
197.78,1280.0,1956.66666666,1460.0,1346.66666667,2176.66666667,1125.0,1293.33333333,1263.33333333,1073.33333333,1180.0
198.16,-520.0,-762.666666667,-612.0,-590.666666667,-933.333333333,-449.999999999,-519.999999999,-458.666666667,-485.333333333,-482.666666667
198.54,-176.111133333,-305.0,-269.999933333,-241.666666667,-408.8888,-199.305583333,-219.166733333,-177.2222,-198.333266667,-183.3334
198.92,-90.5883333333,-190.196133333,-185.882466667,-150.9804,-272.941133333,-101.960666667,-98.8236,-113.725533333,-120.392133333,-120.0
199.30,-52.8888666667,-110.000066667,-105.333266667,-92.0,-149.333266667,-52.7778333331,-60.3333,-63.7777333333,-78.6666666667,-79.5554666667
199.68,-31.3513333333,-78.0180666667,-68.1081333332,-78.0180666667,-99.6397333334,-24.3242499999,-31.0810666667,-43.9639333333,-45.9459333334,-57.2973999999
200.06,-67.8571333334,-120.238066667,-115.7142,-128.333333333,-148.5714,-58.3333333334,-61.9046333332,-80.2380000001,-93.0952666668,-98.8094666667
200.44,-61.2612000001,-93.6937333333,-99.8198666667,-114.234266667,-125.225266667,-49.3244166668,-45.0449999999,-63.6035333333,-77.2972000001,-85.4052666667
200.82,-72.3333333333,-91.3333333333,-104.0,-114.833333334,-116.833333333,-52.0833333332,-44.9166666667,-65.3333333333,-82.5000000001,-91.0
201.19,-51.6665333333,-59.3589333334,-71.2821333333,-83.7180666666,-83.718,-32.8524999999,-22.3717666667,-42.0512666667,-50.1282666667,-61.5384666667
201.57,-58.298,-66.9504666667,-81.2765333333,-98.1558666666,-96.4539333334,-38.6525833333,-22.1276,-47.0922,-50.922,-66.5248666666
201.95,-61.4965999999,-69.932,-91.2924000001,-100.272133333,-100.272133333,-41.8367499999,-19.6597666667,-52.2448666667,-56.3264666667,-75.3740000001
202.33,-58.0,-59.7333333333,-84.6666666667,-92.6666666665,-91.7333333333,-32.0,-16.4,-49.6000000001,-52.8,-70.5333333334
202.71,-124.375,-111.25,-164.791666667,-181.458333333,-155.833333333,-59.1145833333,-41.1458333333,-87.4999999999,-98.5416666667,-138.541666667
203.09,-502.777733333,-418.8888,-612.2222,-670.555666667,-558.8888,-320.833416667,-291.111066667,-362.2222,-408.8888,-543.888866667
203.47,1161.11093333,991.111133335,1428.88886667,1493.33333333,1284.4444,836.111166665,700.555533334,838.888866667,931.111133332,1261.1112
203.85,1486.66666667,1324.0,1981.33333333,1898.66666667,1769.33333333,1166.66666667,968.666666667,1144.0,1281.33333333,1690.66666667
204.22,1060.0,949.5238,1476.19046667,1380.00006667,1256.19033334,875.000083332,664.285899999,781.904800001,885.7142,1192.38106667
204.60,475.7142,450.9524,700.9524,654.285666667,562.8572,400.595083333,286.4286,329.0476,387.1428,529.0476
204.98,756.296200001,739.259333334,1111.8518,1025.18506667,939.259199999,677.777749999,451.851733333,558.518400001,613.333266667,848.148133333
205.36,949.523866667,944.761799999,1489.5238,1284.762,1248.5714,894.047583333,603.809433333,755.238066667,823.809466667,1090.47613333
205.74,3106.66666667,3110.0,5120.0,4213.33333333,4053.33333333,2904.16666667,1931.66666667,2373.33333333,2600.0,3593.33333333
206.12,1032.2222,1007.77793333,1676.66666667,1390.0,1329.99993333,966.666583333,629.999933334,725.555533335,803.333266666,1153.33333333
206.50,2122.22226667,2175.55553333,3453.33333333,2886.66673333,2773.3334,2002.77783333,1280.00006667,1577.77766667,1659.99993333,2388.88886667
206.87,-465.555466667,-482.7778,-798.889,-654.444466667,-667.777733333,-461.805583333,-245.555666667,-346.666733333,-361.666666667,-531.666733333
207.25,-152.857266667,-159.0476,-287.619066666,-213.571466667,-240.952333333,-144.34525,-57.0238333333,-106.904733333,-101.904733333,-165.0
207.63,-68.7405999999,-59.1109333334,-140.296333333,-90.2222666666,-113.925933333,-58.5185,-0.666633333346,-34.9630666667,-24.7407333333,-60.8888666666
208.01,-86.1787333333,-65.2033333332,-158.373933333,-107.317133333,-125.203333333,-63.8212499999,-10.5691,-43.2521333333,-27.4796666666,-72.0325333333
208.39,-59.7484666667,-42.2642000001,-112.7044,-78.3647333333,-98.4906,-38.2075833333,-2.51576666668,-35.0942666666,-13.2074666666,-46.4150666667
208.77,-80.0000666667,-59.3589999999,-133.717866667,-104.2308,-121.1538,-62.0193333333,-15.0641,-60.641,-34.7435333333,-69.7435333332
209.14,-137.7776,-103.3334,-212.222133333,-180.000133333,-196.6668,-102.083333333,-49.4444333334,-99.2591999999,-71.2961999998,-119.2592
209.52,-110.769266667,-91.4529333334,-185.470066667,-164.444333333,-165.983066667,-72.86325,-31.2821,-77.9486666666,-44.9572666667,-105.641
209.90,-233.333333333,-168.695666667,-353.043466666,-307.246333333,-324.927533333,-159.420333333,-82.4637999999,-172.173933333,-114.203,-220.579733333
210.28,-128.772,-84.2105333334,-199.8246,-163.5088,-187.017466667,-79.6052499999,-29.3861,-94.7368,-55.9648666667,-118.420933333
