wavelength,Back_MelRicm,Belly_MelRicm,Breast_MelRicm,Crissum_MelRicm,Crown_MelRicm,DorTail_MelRicm,Rump_MelRicm,Throat_MelRicm,WingTip_MelRicm
214.81,139.394,125.541333333,178.787666667,124.242333333,147.619,142.424,122.511,145.454333333,142.424333333
215.19,128.352666667,116.092333333,154.789333333,117.624666667,136.781666667,139.847,110.728,140.613,126.819666667
215.57,139.706,127.941,176.960666667,132.843,152.941,161.764666667,125.980666667,175.000333333,145.098333333
215.95,154.802,151.412333333,201.13,141.243,165.536333333,170.056666667,136.723,210.734333333,153.107333333
216.32,172.121333333,146.060666667,195.151666667,153.333666667,160.606333333,173.333666667,147.878666667,218.788,148.485
216.70,177.777666667,165.278,207.639,179.166666667,161.111333333,167.361,149.305666667,255.555333333,151.389
217.08,137.853,141.242666667,171.751,169.491666667,144.632666667,152.542666667,131.638666667,220.904,123.163666667
217.46,123.59,150.769333333,157.436,170.769333333,141.025666667,153.846333333,132.820333333,220.512666667,125.641
217.83,140.384333333,184.615333333,191.025666667,227.564,185.897333333,183.974333333,167.948333333,275.641,172.436
218.21,150.757666667,209.848666667,220.454333333,272.727333333,208.333,215.909333333,204.545333333,333.333333333,200.757666667
218.59,160.36,229.729666667,252.252333333,311.711666667,254.955,233.333666667,251.351,418.018333333,212.612333333
218.97,190.0,227.5,284.166666667,326.666666667,277.5,250.0,258.333333333,430.0,243.333333333
219.34,265.517,304.597666667,381.609333333,419.540333333,356.322,314.942666667,348.276,589.655,319.54
219.72,213.158,232.456333333,305.263,331.578666667,280.701666667,258.772,267.544,444.737,228.07
220.10,162.222333333,172.222333333,208.333333333,235.0,200.0,186.666666667,197.777666667,312.777666667,182.778
220.47,191.503333333,196.078333333,244.444333333,278.431,235.294,222.875666667,218.954333333,378.431333333,224.183
220.85,200.575,193.678333333,228.735666667,261.494333333,217.816,217.815666667,204.023,351.149333333,228.161
221.23,199.462333333,175.806333333,224.193333333,241.397666667,205.914,201.613,200.537333333,341.935666667,220.967666667
221.61,223.958333333,177.083666667,257.812666667,251.042,225.0,219.271333333,221.875333333,353.646,233.333666667
221.98,202.631666667,157.894666667,228.947333333,208.772,196.052333333,203.509,198.245666667,316.666666667,198.684333333
222.36,211.574,174.074,243.518333333,221.759,222.685,228.240666667,201.389,338.426,217.129666667
222.74,168.300666667,134.967333333,189.215666667,174.183,170.261333333,176.797666667,152.287666667,256.862666667,171.242
223.11,161.859,129.487,178.525666667,172.115333333,156.41,171.474666667,145.833333333,238.141,165.064
