wavelength,Back_HetXanf,Belly_HetXanf,Breast_HetXanf,Crissum_HetXanf,Crown_HetXanf,DorTail_HetXanf,Patch10_HetXanf,Patch11_HetXanf,Patch12_HetXanf,Rump_HetXanf,Throat_HetXanf,WingTip_HetXanf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,550.0,691.666666667,441.666666667,191.666666667,858.333333333,850.0,441.666666667,325.0,508.333333333,367.261904762,866.666666667,483.333333333
179.54,52.0833333333,53.8195,50.6943333334,26.7361666667,49.65275,63.1945,40.27775,34.8957916667,45.4860833333,40.7987053571,63.5416666667,45.1388333333
179.93,48.3333333333,38.88875,12.7777916667,2.22225,26.6666666667,48.8888333334,18.8888333333,15.83325,27.77775,12.2619255952,62.77775,32.7778333333
180.31,59.56525,69.3479166667,42.6810833333,22.9709166667,64.5651666667,82.1013333334,49.058,52.3550416667,67.75375,46.9474226191,71.2318333334,56.2318333333
180.69,61.1771666666,69.9075,43.2208333334,25.1984166667,66.7326666667,86.3094999999,50.1986666667,51.5543333334,65.4099166667,47.4063541667,73.9419166667,57.4735833333
181.07,60.4469166667,67.8744166667,44.414375,26.75125,64.976,85.56775,50.42275,49.275375,65.3985,46.2797604167,71.3768333333,56.8840833333
181.45,62.4725,66.28025,47.4887083333,29.415,65.7285833333,83.278,50.6070833333,52.5385416667,65.9491666667,47.9570639881,68.9844166667,60.265
181.83,62.6174166667,62.96925,44.7769583333,28.7558333333,65.1408333333,83.392,48.35675,52.9929583333,66.7840833333,43.4974196428,66.07975,61.3848333334
182.21,68.7941666668,69.97625,52.9254583333,35.6974166666,72.1040833334,89.4209166668,54.9054166667,61.8496666667,73.0496666667,50.0790610119,72.0450833333,70.7446666667
182.59,70.0466666666,74.3005833333,58.508125,39.627,73.89275,91.3170833332,58.4499166667,66.083875,77.9136666666,54.8108199405,75.5825833334,75.2330833333
182.97,72.1392500001,75.8704166667,54.975125,39.6145,75.1865,93.6567499999,59.3905833333,67.84825,77.8608333334,54.7808407738,78.9180833333,75.8084166667
183.35,72.7150833334,70.8333333333,50.7392083333,39.24725,74.664,95.9005,57.8628333333,67.641125,76.2769166667,52.8923169642,84.1397499999,77.8897499999
183.73,73.8934166666,70.8334166666,50.9440416667,41.7968333334,73.5026666667,96.4193333334,58.2030833333,67.741,75.9766666667,51.6998854167,88.02075,78.51575
184.11,69.6565833334,63.9314166667,48.314375,38.486,70.1653333333,90.9032499999,52.8625833334,63.2315416667,68.89325,43.4659895834,85.0509166667,75.5089166667
184.49,68.6755833333,63.76475,44.6057916667,31.3245,72.09825,94.4196666668,46.7261666667,58.7425,63.3928333333,39.3679880952,90.0298333333,77.9760833333
184.87,69.8529166667,69.03575,45.5472916667,29.65675,75.3268333333,95.9966666668,48.2024166667,64.9101666666,72.0585833333,38.5503705357,94.8530833332,83.2516666667
185.25,76.5243333333,73.9837499999,47.8149583333,25.4064166667,85.67075,105.08125,52.94725,73.1707916666,79.6748333333,40.3653526786,112.296583333,94.7153333334
185.63,86.2434166667,86.9047499999,48.4787916667,26.7196666668,100.132333333,125.264416667,64.1534166667,82.2089583332,97.0898333334,45.4601607143,135.052916667,111.7725
186.01,97.8814166667,99.8587500001,52.9659583334,35.4519166666,115.536666667,135.31075,76.8362499999,95.6214583332,107.909583333,60.5277425594,149.152666667,120.339
186.39,103.86175,112.398333333,45.1219583332,22.3578333334,137.601666666,169.10575,85.5689166667,105.995916666,124.186833333,58.765202381,178.658416666,139.024416667
186.77,111.0215,114.784916667,33.871,9.9462500001,155.37625,210.752583333,87.0967499999,126.478541667,126.343916667,51.1232336309,208.064333333,166.129083333
