wavelength,Back_DiuDium,Belly_DiuDium,Breast_DiuDium,Crissum_DiuDium,Crown_DiuDium,DorTail_DiuDium,Patch10_DiuDium,Rump_DiuDium,Throat_DiuDium,WingTip_DiuDium
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,86.6666666668,117.333333333,113.333333333,158.666666667,86.6666666666,8.0,97.3333333334,-29.3333333333,129.333333333,146.666666667
179.16,-96.6666666669,-376.666666667,-499.999999999,-133.333333333,-633.333333334,-400.0,-313.333333334,40.0000000001,-473.333333333,-546.666666666
179.54,46.6666666668,-46.6666666667,120.0,70.0000000001,73.3333333333,61.6666666667,73.3333333333,-60.0000000001,146.666666667,210.0
179.93,52.3333333333,38.0,52.0,79.3333333334,68.0,30.6666666666,42.6666666666,25.3333333333,79.3333333333,35.9999999999
180.31,89.6175666667,90.2732333333,116.174933334,146.448066667,105.5738,94.6448,112.021933333,65.5737333333,120.437133333,120.437133333
180.69,93.0256999999,94.8205333334,119.5898,156.0,110.974333333,99.6923,121.3334,74.7692000001,126.359133333,126.461533333
181.07,95.9259,92.6984333333,120.8466,157.460333333,112.8042,107.8836,121.904666667,81.6932,123.5978,126.984133334
181.45,107.375866667,87.2340666667,131.773066667,195.602866667,126.382933333,118.227,133.191533333,93.4751999999,138.581466667,133.900733333
181.83,120.370366667,98.9815,146.296266667,234.8148,145.555466667,140.000033333,151.296266666,109.2592,158.518533334,148.703733334
182.21,115.083333333,90.6666666666,128.5,215.333333333,126.0,128.0,142.166666667,105.5,150.5,145.833333333
182.59,118.571433333,97.4287,123.4286,229.523933333,130.095266667,139.5237,141.523666667,105.904733333,160.952333333,149.904666667
182.97,74.6666666667,76.2,86.5333333333,157.466666667,91.3333333333,89.4666666667,93.1999999998,75.2,115.866666667,113.066666667
183.35,63.4848666666,60.4546,69.0909333333,247.878733333,94.2424666666,72.7272333333,93.9393333332,56.6665333333,156.6666,140.303133333
183.73,22.3333333332,43.0,12.6666666666,-404.0,-104.0,-29.0000000001,-48.0000000001,17.3333333335,-224.666666667,-86.0000000001
184.11,48.333333332,-535.0,-66.6666666666,1970.0,543.333333335,75.0,129.999999999,-273.333333333,906.666666667,273.333333334
184.49,67.3333333334,345.333333333,190.666666667,-726.666666666,-280.0,110.666666667,94.6666666668,161.333333333,-234.666666667,-14.6666666666
184.87,62.9412333333,130.392166667,122.353,-156.862666667,-29.0196,78.6273333333,96.0782666668,104.313733333,-20.3920666667,61.5685999999
185.25,51.2122666665,120.909166667,130.303133333,-305.454533334,-134.545333333,38.7878000001,87.8789333333,70.9092000001,-120.606,18.1817333333
185.63,26.3766999997,44.3478333333,64.0578666667,-140.0,-44.0578666667,31.7392999999,51.5941333335,41.7391333333,-58.2608666667,7.82613333334
186.01,-17.4074666667,-2.963,47.4074666665,-464.4444,-194.074066667,-15.1852333334,37.0370666666,8.14820000008,-214.814733333,-88.8888
186.39,30.3603333334,28.1081666667,28.2883333333,-77.1170666667,-31.5315999999,10.5406666666,30.4505333334,18.9190666666,-11.3513333333,-0.90093333332
186.77,26.7424666667,24.8484666667,30.303,-59.0908000001,-22.7272,5.60606666667,29.6969333333,11.5151333334,-5.45446666665,0.1514
187.15,4.34513333332,17.5,14.4048,-43.3333333333,-19.7618,-11.9643,15.119,-0.95253333332,-7.85706666668,-8.69033333333
187.53,-53.5963999999,-39.1228333333,-34.2105333333,-121.9298,-90.5263999999,-87.1053,-42.6315333334,-74.2105333333,-81.4034,-77.5437333333
187.91,-105.694533333,-88.8889999999,-65.2778666668,-198.611133333,-153.333333333,-165.138866667,-84.7222666667,-149.4444,-148.888933333,-155.000066667
188.29,-24.1269333333,-18.254,12.6984,-70.7937333334,-45.0793333333,-60.8730666667,-7.61919999994,-54.7617333333,-45.3968666667,-41.1111333333
188.67,-72.0370666668,-73.8888000001,-50.0,-117.963,-97.4074000001,-116.388866667,-59.4443333333,-114.629533333,-115.9258,-94.2592
189.05,-129.425233333,-115.172433333,-90.8047333333,-174.712666667,-151.264333333,-177.2414,-111.724133333,-183.4482,-179.3104,-150.5746
189.43,-86.3888666667,-69.9999999999,-46.4814666667,-112.777733333,-99.2592666667,-120.925933333,-71.4815999999,-127.222266667,-124.444466667,-94.8148000001
189.81,-3001.66666667,-2671.66666667,-2120.0,-3420.0,-3283.33333333,-3781.66666667,-2636.66666667,-3793.33333333,-3676.66666667,-3096.66666667
190.19,-720.833333333,-584.583333333,-424.166666667,-802.499999999,-768.333333332,-850.833333334,-578.333333333,-882.5,-882.5,-699.166666667
190.57,544.102566667,461.538466667,329.743666667,575.384666667,558.974266667,623.589733333,398.9744,637.435866666,674.358866667,484.102666667
190.95,477.142833333,398.571433333,315.238,504.285666667,536.190466667,540.952333333,354.285666667,590.476066667,622.857133333,418.571533333
191.33,612.424233334,546.969733333,391.515,704.848399999,722.424266667,710.6061,472.7274,792.121266667,823.6364,532.1212
191.71,1497.5,1277.5,813.333333333,1613.33333333,1763.33333333,1694.16666667,981.666666667,1908.33333333,1968.33333333,1256.66666667
192.09,1882.22213333,1404.4445,862.222066667,1913.3334,2206.6668,2053.33333333,1251.1112,2408.88886667,2315.55553333,1502.22226667
192.47,376.25,250.208333333,186.666666667,358.75,410.416666667,382.916666667,229.583333333,457.083333334,449.166666667,304.166666667
192.85,579.583333333,314.583333333,105.0,483.333333333,551.666666667,603.75,260.0,708.333333333,622.5,414.166666667
193.23,170.138966667,105.138966667,43.6111333334,156.944466667,180.0,200.694533333,74.9999333333,228.0556,195.555666667,132.7778
193.61,247.7778,117.555566667,31.1110666667,222.222266667,251.111066667,277.333266667,79.9999333334,316.444533333,265.333333333,150.666733333
193.99,-307.333333334,60.6666666668,285.333333333,-229.333333333,-278.666666667,-422.666666667,105.333333333,-564.0,-309.333333333,-53.3333333333
194.37,258.484833333,147.272566667,20.0000666667,228.484733333,241.212,308.7879,107.2728,445.454533333,280.0,140.605866667
194.75,141.3888,98.7499666668,31.6666000001,143.888866667,118.611133333,167.499866667,72.2221999999,214.166733333,136.6666,90.5555333333
195.13,105.9459,78.1982666667,30.0902000001,101.621666667,75.6756666667,128.8288,61.4414,145.585666667,90.2703333333,69.3692
195.51,105.614,22.9824333333,-47.3684666667,72.2808,19.2982666665,152.456066667,-2.807,182.807066667,53.6841333334,-2.45620000002
195.89,114.637733333,41.3042999999,-16.5216666667,81.7389333335,20.0000666667,143.3333,16.5217333334,172.463866667,70.1448666667,18.8405333333
196.27,107.291666667,73.6458333334,29.1666666667,87.7083333334,29.9999999999,128.541666667,26.875,148.958333334,92.7083333334,42.0833333333
196.65,113.137266667,92.0587,47.2549333333,105.098,59.0195333334,134.803933333,39.4116666667,161.960866667,103.921733333,62.3528666666
197.03,91.3580333333,83.1480666666,57.9012000001,90.1233333333,66.6666666667,103.950566667,44.9383333333,130.246866667,88.0246666667,61.358
197.40,102.517033333,84.0135666666,54.0135999999,85.5782,65.7143333333,106.8707,44.2177333333,139.863933333,88.5713333333,64.3536000001
197.78,94.6079333334,87.1077333333,63.1372666667,80.9803999999,67.7451333334,96.4216999999,51.7647333333,126.1764,83.8235333334,72.0589333334
198.16,81.0078,74.3023333333,53.6432666666,67.6744,56.0466,75.3487000001,44.5735333333,102.093066667,71.4729333333,60.0774000001
198.54,76.0438333334,69.7802666667,51.0621333333,63.4432,53.0402666667,71.7216333333,38.9742666667,92.9670666667,66.2271333333,60.1464666666
198.92,71.6104666667,62.2097,45.1684666667,51.6106,48.6142,62.5093666667,36.4794666667,91.7602666666,61.1984666667,51.9851333333
199.30,67.2285,57.0413666667,42.1723333333,47.7152666667,42.9962666667,53.9326,32.5094,90.5617333333,57.9024666667,47.9401333334
199.68,68.9115666667,68.6395,49.2516,55.0339333333,50.7483333333,56.7347,43.6734666667,91.1564666666,65.1020666667,59.4558
200.06,64.1666,67.9862,51.1111333333,53.1945333333,48.8889333333,54.2361333333,47.0138,90.4861333334,62.5694666667,55.5556
200.44,69.3398333333,76.3036666667,59.2739333333,61.5182,56.2376666667,60.9571,55.6435333333,96.9636666668,65.1484666667,65.2146
200.82,89.5045666666,97.9278999999,73.1532,73.3333333334,65.7657333333,80.5404999999,72.7928000001,125.585733333,80.9008666665,80.0900666667
201.19,117.0691,131.091833333,91.6092000001,96.6666000001,77.5862666667,101.551833333,91.6093333335,156.6668,105.2872,99.0805333334
201.57,124.313666667,144.182966667,101.6992,98.8235333334,84.4444666667,111.045766667,88.6275333333,176.339866667,115.817,105.620933333
201.95,114.347966667,133.550766667,85.7970666667,88.5507333333,66.3768000001,105.942,76.8115999999,171.304466667,107.681266667,100.579733333
202.33,132.702666667,150.3603,105.225266667,89.7297333333,73.8737999999,131.891833333,95.1351333332,202.702666667,120.3604,115.1352
202.71,331.389,357.777766667,215.0,162.777866667,101.666733333,318.611266667,194.444333333,509.999933333,296.666666667,213.889
203.09,-1045.5555,-1287.7778,-611.111066667,-502.222333334,-213.333266666,-1128.88896667,-631.111199999,-1771.11113333,-908.888866666,-608.888933333
203.47,-133.888833333,-198.3332,-62.5926666666,-60.0000666666,-21.4814666667,-142.037,-60.3704666667,-253.333333333,-117.777733333,-68.1480666667
203.85,-237.0,-323.666666667,-106.666666667,-112.0,-65.3333333336,-268.333333333,-114.666666667,-465.333333333,-206.0,-128.666666667
204.22,294.8148,378.888833333,139.999933333,99.9999333333,92.5926666666,340.000066667,127.407333333,510.370466667,233.3334,143.7038
204.60,530.833333333,727.5,238.333333333,70.0000000007,61.6666666666,590.833333333,118.333333334,936.666666667,396.666666666,63.3333333328
204.98,69.8449333333,97.1318666666,61.2403333333,42.3256000001,33.9534666667,83.6435333333,43.5659333334,110.542533333,70.2326000001,25.8914666667
205.36,45.6110666667,64.8333666666,52.7777333333,26.889,24.5555333333,62.3889666667,34.5556666667,80.0001333334,53.1109999999,25.2222
205.74,40.0469333333,61.3146,51.1736666666,28.9202666667,25.2582666667,56.5727333333,38.6854,67.3237999999,50.3286666667,28.0751333333
206.12,42.0174666667,63.4211666666,53.4210000001,32.9825333333,27.0174666667,51.7544333333,40.5264,66.8419999999,50.2630666667,24.4736
206.50,43.5249333333,65.1723333333,54.023,35.0957333333,33.3334666667,50.1916333333,41.9157333333,65.3639999999,54.0994,32.7969333333
206.87,36.2153,60.7987,50.4167333334,32.6388666667,32.0138,42.2569333333,41.736,58.2638,46.5277333333,31.6666
207.25,31.8027,53.3332,48.7755333333,27.483,25.5102,33.5034333333,34.8979333333,51.1565333333,39.4556666667,29.3878666667
207.63,34.4048333333,51.0416,49.1073333333,29.5239333333,26.5475333333,36.0416333333,36.8452666667,50.3572,39.6427333333,29.0477333333
208.01,37.0079,52.6508,49.3963333333,33.9632666667,27.8215333333,39.0026333333,39.4227333333,50.8661333333,39.9474666667,29.5538
208.39,32.3302666667,49.1151333333,46.4897333333,35.1032,21.6518666667,33.2742333333,35.4572,47.6694666666,37.1681333333,25.4866666667
208.77,28.3610333333,41.0279,38.6110666667,29.8889333333,16.7223333334,27.0277666667,31.5556,38.5556,30.8334,22.8888666667
209.14,20.7693,37.9807,25.5128666667,18.7820666667,3.20506666667,16.1538,23.077,30.7052,20.1924666667,15.5769333333
209.52,10.5555333333,28.5186,15.3332,10.8148666667,-6.00006666668,0.5555,15.7036666667,24.5184,7.48146666667,3.7778
209.90,-6.48880000002,10.3111333333,-0.35566666668,-0.977933333326,-25.9556,-21.4222,-2.8444,4.97779999999,-16.4444666667,-16.4446666667
210.28,-15.8119,6.41023333332,-2.3932,-9.48733333333,-29.7436666667,-26.7093,-7.09400000002,-6.66666800008e-05,-16.8376666667,-21.1966
210.66,-26.2600666667,-7.1138,-18.4553333333,-15.8536666667,-42.5203333333,-37.7642333333,-18.8617333333,-10.1626,-28.6993333333,-32.9269333333
