wavelength,Back_PooCabf,Belly_PooCabf,Breast_PooCabf,Crissum_PooCabf,Crown_PooCabf,DorTail_PooCabf,Patch10_PooCabf,Patch11_PooCabf,Patch12_PooCabf,Rump_PooCabf,Throat_PooCabf,WingTip_PooCabf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-44.4445333333,-131.111,-211.1112,-188.888866667,-79.9999333333,-148.8888,-157.777866667,-164.4446,-104.444466667,-84.4444666666,-189.023549495,-99.9999333334
179.16,90.0,186.666666667,340.0,133.333333333,223.333333333,236.666666667,220.0,210.0,103.333333333,196.666666667,298.585858586,240.0
179.54,-90.6666666666,-72.0000000001,-112.0,-69.3333333333,-141.333333333,-86.6666666667,-134.666666667,-121.333333333,-84.0,-73.3333333333,-122.545454545,-102.666666667
179.93,15.5554,-31.8519333333,-41.4815333333,-18.5184666666,-61.4815333334,-39.2592666667,-34.0741333333,-28.1480666667,-30.3703333333,-20.0,-60.9428303031,-22.2222666667
180.31,81.6092666666,-18.3908666665,-82.7586666666,36.3218666666,-31.2644666667,-52.6436666667,-30.1149333333,-18.161,-10.3448666667,25.977,-81.9296444443,-13.1034
180.69,75.0000666667,-50.7143333334,-127.142933333,11.4286,-56.1906,-89.9999333333,-63.5714666665,-48.0952666667,-36.4286666667,0.47613333334,-124.386729293,-42.3810666667
181.07,93.3333333334,-48.8096000001,-114.0476,19.9999333333,-47.8572666667,-93.5714666668,-59.2858000001,-25.2380666667,-28.0951999999,-1.90486666668,-122.979785858,-37.1428
181.45,98.4313333333,-24.1176666667,-73.5293999999,34.1176666666,-16.0783333334,-66.4704666667,-35.2940666667,-5.4902,-12.3530000001,12.1569333333,-84.1354646462,-11.5686
181.83,135.483933333,-16.9892000001,-66.6666666667,46.8816666666,9.03226666674,-66.4516,-20.2150666666,3.44079999998,-7.95686666674,29.2473333333,-83.2909515153,8.60206666665
182.21,172.820466667,-11.5384,-51.0257333334,73.0769333334,36.6666666666,-59.9999333333,-1.02559999986,20.0000666667,5.64100000007,51.5384666667,-74.7241171717,24.359
182.59,168.405733333,-41.7391999999,-71.5942,56.5217333333,12.7535999999,-92.4637333333,-32.4637333331,-0.8696,-17.9710666667,19.7102000001,-109.942919192,-10.1448666666
182.97,338.181733333,-137.575733333,-191.515266667,75.7576666666,-4.8484666666,-242.4242,-119.393933333,-59.3939333335,-70.3030666667,-9.09079999994,-268.484729293,-44.2424
