wavelength,Back_SpoPerm,Belly_SpoPerm,Breast_SpoPerm,Crissum_SpoPerm,Crown_SpoPerm,DorTail_SpoPerm,Patch10_SpoPerm,Patch11_SpoPerm,Rump_SpoPerm,Throat_SpoPerm,WingTip_SpoPerm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,5.55558333332,-4.1666666666,80.5556666668,84.7222500001,1.38891666668,54.1665833333,65.2778333334,59.7221666667,81.9444166668,38.1945833333,80.5555000001
179.16,-133.333333334,-120.833333333,54.1666666667,33.3333333334,-145.833333333,-49.9999999998,83.3333333332,170.833333333,79.1666666668,87.5,158.333333333
179.54,77.7776666667,180.555583333,266.666583333,236.111083334,100.0,236.111083333,249.999916667,277.777833333,288.88875,202.77775,333.3335
179.93,11.6665,36.1111666667,50.0000833333,50.5555833334,27.7778333333,46.6666666667,51.6666666667,58.33325,59.4443333333,48.0554583333,69.9999166667
180.31,11.4406666667,23.4463333333,39.4068333333,38.3473333333,19.5620833333,34.0396666667,47.3163333333,47.5283333333,40.25425,27.6834583333,51.342
180.69,15.8151666667,28.10225,43.0655,40.9975833333,23.6619166667,36.9220833333,49.8783333333,48.9659166667,42.8831666667,30.5354583333,51.7030833333
181.07,17.69325,32.8500833333,44.9879166667,40.5796666666,27.05325,38.4663333333,48.6715,50.4830833334,44.9880833333,32.8805,52.83825
181.45,14.223,32.3935,43.5464166667,36.7794166667,25.2506666666,38.72175,45.36325,47.4310833333,43.2331666667,31.1089166667,50.00025
181.83,12.6479166667,28.0141666667,37.29325,28.4276666667,23.2269166667,33.51075,40.13,41.4301666667,37.8844166666,26.6548333333,42.7896666666
182.21,9.29266666666,25.6595833333,32.5540833333,22.36225,21.1630833333,28.2973333333,37.8899166667,35.6115833333,33.9329166667,21.2829166667,38.48925
182.59,7.40733333334,28.1746666667,33.3995833333,22.6851666667,23.0159166667,27.5794166666,38.8888333334,36.5740833333,37.63225,21.99075,40.2776666667
182.97,-0.718333333333,25.6466666667,29.8850833334,19.9711666667,18.8936666667,23.6350833333,34.9855833333,35.63225,39.36775,20.7616666667,39.8705833333
183.35,-10.85625,16.4373333333,21.0245,9.70958333333,7.64533333333,17.431,26.98775,27.59925,34.7858333333,15.0995,36.5443333333
183.73,-9.882,14.2330833333,18.6576666667,7.52216666667,5.89966666668,13.3481666667,23.2301666667,22.86125,34.7345833333,13.7905833333,33.4070833334
184.11,-8.969,14.7598333333,16.3135,5.50850000002,4.096,9.39258333332,19.4914166667,19.7034166666,35.2401666667,12.3940833333,30.5790833333
184.49,-5.91183333334,20.1565833333,17.7351666667,10.61275,6.48150000001,9.97133333333,19.0881666667,24.2876666667,40.6693333333,14.601125,34.6866666667
184.87,-23.10225,7.09574999998,1.98016666666,-6.84816666667,-8.66325,-5.03299999998,1.32,11.38625,32.01325,-1.15504166667,26.1551666667
185.25,-29.4498333333,2.10366666665,-4.85433333333,-12.6214166667,-15.0485833333,-11.40775,-3.39808333333,5.09716666665,26.5373333333,-7.68629166667,21.76375
185.63,-27.0649166667,0.737416666675,-3.9085833333,-9.80833333335,-12.0944166667,-11.062,-4.05625,6.48983333335,24.9263333333,-9.328875,21.6814166667
186.01,-30.66025,1.10058333332,-6.13225,-9.66983333333,-16.03775,-13.2860833333,-9.27666666666,8.33333333335,26.2578333333,-13.6793333333,22.6416666667
186.39,-29.9075,3.61125,-2.59275000003,-11.389,-15.9259166667,-11.8519166667,-12.6850833334,14.8148333333,33.33325,-13.1018333333,29.4443333333
186.77,-28.3145,5.58700000003,-0.189333333358,-15.7196666667,-16.856,-12.1211666667,-13.2576666666,15.9091666667,36.3638333333,-16.19325,31.8181666667
187.15,-30.59075,8.12233333336,1.05483333331,-19.0928333334,-19.5148333332,-12.9745833333,-19.4094166666,17.5105,35.23225,-23.4177083334,33.1223333333
187.53,-52.7299166666,8.76441666668,-3.59191666667,-32.6149166666,-33.7643333334,-26.2931666667,-37.3563333333,14.9425833334,39.7986666666,-37.6437083333,34.1954166668
187.91,-109.804,4.65683333325,-21.3235833333,-77.9410833333,-74.2646666666,-57.353,-85.7843333333,12.2548333333,55.1470833335,-75.9804166668,46.0784166668
188.29,-332.5,41.6666666667,-1.66666666668,-274.166666667,-205.0,-115.0,-274.166666667,103.333333333,235.833333333,-247.5,199.166666667
188.67,439.28575,-69.0474999999,1.19050000008,451.190499999,278.5715,128.571416667,400.000000001,-141.66675,-304.761833333,365.476125,-309.523833333
189.05,152.222166667,-70.5554999999,-37.7778333333,189.44425,106.666666667,21.6665833333,150.0,-103.333166667,-167.77775,131.944458333,-180.0
189.43,62.8789166668,-34.09075,-16.1615833334,86.61625,43.9394166667,7.82825000002,66.1616666667,-44.192,-59.3434166667,66.1615833333,-80.5555833333
189.81,10.4760833333,-69.9999166667,-47.143,50.9524166667,11.6667500002,-21.6665833333,24.2856666667,-69.5239166666,-85.9524166667,30.238,-109.047583333
190.19,-4.16666666666,-93.4895833333,-63.0208333332,41.6666666667,-1.3020833335,-41.6666666667,11.7187499999,-78.6458333334,-98.6979166665,14.84375,-120.833333333
190.57,-5.91375000009,-85.7526666667,-65.8600833333,39.7848333332,14.2475000001,-41.9354166667,23.9248333334,-72.8492499999,-97.8494166668,9.543,-110.752666667
190.95,3.05558333343,-65.5554999999,-39.4444166668,63.0556666667,32.7777500001,-25.8334166667,53.0554999999,-55.8334166667,-68.8889166667,16.6666666667,-91.9444166666
191.33,-13.8889166667,-95.8333333333,-65.6250000001,64.5834166667,7.98608333318,-50.6945,29.8610833334,-87.5000833335,-116.6665,-6.77079166667,-150.6945
191.71,-46.0,-101.666666667,-75.9999999999,44.6666666667,-13.6666666667,-57.0,25.0000000001,-95.6666666668,-123.666666667,-9.5,-144.0
192.09,-76.9999999999,-117.0,-96.3333333334,20.3333333331,-41.3333333334,-85.0,15.0000000001,-114.666666667,-140.333333333,-36.3333333333,-152.333333333
192.47,-73.6666666667,-117.0,-83.3333333333,19.6666666665,-37.3333333332,-80.0000000001,28.9999999999,-100.666666667,-134.666666667,-44.9999999999,-141.0
192.85,-88.1576666668,-139.91225,-113.157916667,35.9648333333,-49.1227499998,-106.140333333,40.7894166668,-120.1755,-175.438583333,-54.60525,-174.122666667
193.23,-99.1666666665,-156.666666667,-123.333333333,2.08333333333,-85.8333333331,-114.166666667,17.9166666665,-116.666666667,-195.833333333,-90.2083333333,-190.833333333
193.61,-100.7935,-130.5555,-102.777666667,16.6668333335,-74.9999166667,-109.126916667,34.9205833333,-114.285833333,-192.0635,-99.9998333334,-181.746
193.99,-28.611,-53.33325,-36.1110833332,57.7776666666,-17.2222499999,-39.4445833334,80.0,-41.6665833333,-96.1111666667,-41.9444583334,-88.6110833333
194.37,-3.20516666665,-19.4443333333,-15.1709166667,66.2393333333,3.20508333335,-0.213666666683,87.8202500001,-10.6836666667,-58.76075,-22.6495416667,-59.8289999999
194.75,9.77566666668,-9.13458333333,1.60266666667,52.4039166667,3.20508333332,9.45516666668,77.5640833333,0.32041666665,-34.2949166667,-10.0159583333,-41.6665833333
195.13,-4.91066666666,-27.08325,-16.6665833333,25.2976666667,-5.8035,-4.01791666668,57.58925,-6.84525,-43.6011666667,-17.4850416666,-50.14875
195.51,-2.50008333335,-25.7143333333,-7.49991666665,22.262,2.61891666665,-0.357249999992,51.78575,1.90475,-29.28575,-6.726375,-32.2619166667
195.89,1.79324999999,-23.10125,-6.6455,19.72575,6.43458333332,-3.90299999999,47.67925,5.9071666667,-25.0000833333,-3.48104166667,-31.0126666667
196.27,21.0785,1.63408333333,12.1730833334,31.45425,24.183,14.46075,54.1666666667,25.4903333333,-0.816916666675,14.1747916667,-7.35299999998
196.65,25.4385833333,8.62591666666,14.6198333333,32.31,28.8741666667,20.7600833333,55.0436666666,28.728,7.96775,18.6404583333,-2.04666666668
197.03,29.7074166667,16.4121666667,21.4375833333,33.715,31.4249166667,26.4630833333,59.1603333333,32.9515833333,13.2950833333,21.6603333333,5.53441666667
