wavelength,Back_SalAtpf,Belly_SalAtpf,Breast_SalAtpf,Crissum_SalAtpf,Crown_SalAtpf,DorTail_SalAtpf,Patch10_SalAtpf,Patch11_SalAtpf,Rump_SalAtpf,Throat_SalAtpf,WingTip_SalAtpf
178.4,0,0,0,0,0,0,0,0,0,0,0
178.78,-226.6666667,-366.6666667,40,-186.6666667,-173.3333333,-216.6666667,-180,-813.3333333,-226.6666667,-286.6666667,-333.3333333
179.16,-180,-560,-413.3333333,-533.3333333,-426.6666667,-720,-146.6666667,-573.3333333,-380,-493.3333333,-586.6666667
179.54,51.66666667,100,10,96.66666667,65,97.5,-28.33333333,93.33333333,70,18.33333333,78.33333333
179.93,56.66666667,91.33333333,99.33333333,81.33333333,91.33333333,51.66666667,131.3333333,38.66666667,61.33333333,73.33333333,71.33333333
180.31,148,300.6666667,20.66666667,267.3333333,188,263.3333333,32,478,147.3333333,264.6666667,162
180.69,153.3332667,340,35.55553333,276.2964,220.0000667,267.4072667,58.5184,548.1482,167.4073333,293.3332,162.2222
181.07,175.2380667,426.6668,59.0476,321.9046667,257.1429333,318.0950667,24.76166667,634.2856667,193.3332667,360,146.6667333
181.45,176,432,-56,254.6666667,198.6666667,226.6666667,-24,732,149.3333333,338.6666667,13.33333333
181.83,284.4444667,624.4444,-42.22226667,411.1110667,320,420.0000667,71.11113333,1213.333267,277.7778,608.8888667,-48.889
182.21,140.0001333,219.6078667,103.5295333,169.0194667,156.4706667,169.9998667,149.4118,302.7451333,139.2156667,202.7452,78.4314
182.59,182.1054667,238.2456,140.7017333,180,170.1756,179.8246333,177.8947333,315.0877333,166.6667333,212.2804667,90.17526667
182.97,1051.111133,1384.444467,753.3333333,824.4445333,813.3333333,910.0000333,917.7778,1817.777733,911.1111333,1224.444467,422.2221333
183.35,487.5,589.1666667,359.1666667,289.1666667,405,321.25,425,759.1666667,419.1666667,545.8333333,202.5
183.73,1043.333333,1203.333333,818.3333333,510,901.6666667,754.1666667,941.6666667,1611.666667,983.3333333,1155,491.6666667
184.11,253.3334,303.7036,214.4445333,130.7407333,223.7039333,194.6297333,245.9259333,375.5557333,251.8518,297.4073333,148.8888667
184.49,301.7776667,327.1111333,236.4444,135.1111333,235.1110667,215.9999667,259.1110667,395.1112,276.4444667,296,171.1110667
184.87,214.4444,222.2222,148.6110667,94.16666667,146.6666,142.0834,165.0000667,258.889,186.3889333,190.8333333,125.8333333
185.25,210.5748,214.9424667,149.885,102.9884667,146.6666667,144.2530333,175.6324,230.1149333,186.6666667,183.6781333,135.1722667
185.63,252.7778,266.9444667,159.7221333,117.2221333,169.4444,155.2778,200.2778,259.7222667,211.6667333,211.9444,156.1110667
186.01,384.4443333,447.5554667,235.1110667,149.7778,246.6666667,207.5555,310.6666,383.5556,306.6666,327.1110667,233.3333333
186.39,355.8974667,432.8205333,166.6666667,57.9488,195.8972667,136.1539,262.5641333,318.9744,247.6923333,275.3847333,153.8462
186.77,313.3332667,404.6153333,132.3078,-3.077,140,93.33343333,197.4359333,239.4871333,205.6410667,237.9486667,97.436
187.15,118.148,147.0371333,53.70366667,5.1852,53.51853333,49.72203333,91.48153333,79.25933333,71.48146667,92.03693333,39.99993333
187.53,100.1904667,137.9047333,50.28586667,5.714266667,36.76206667,46.7619,88.95246667,55.23806667,59.619,85.14286667,37.14286667
187.91,91.55546667,123.5554667,52.2964,17.48166667,42.963,50.59253333,89.1852,51.11113333,57.48146667,87.70373333,47.70346667
188.29,76.87073333,105.9864,37.82313333,9.5238,31.02033333,32.78903333,74.2858,30.068,37.68713333,63.67346667,30.6122
188.67,64.68766667,89.79173333,33.54166667,7.708333333,26.4584,25.88563333,67.60433333,27.81246667,29.37506667,51.8752,25.31273333
189.05,72.6922,105.8974667,38.7178,3.461533333,28.71793333,28.20526667,81.53853333,23.718,26.53853333,63.84626667,23.07693333
189.43,40.48786667,76.2602,2.7642,-44.39013333,-10.89426667,-12.9268,59.3496,-22.7642,-17.3984,32.03253333,-20.97566667
189.81,27.25926667,66.37046667,6.3702,-49.92593333,-16.74086667,-7.4816,58.66666667,-25.92573333,-21.92606667,30.81493333,-26.22213333
190.19,22.5136,52.13106667,14.53553333,-36.61193333,-13.44266667,-5.683,45.68313333,-22.62293333,-12.02173333,26.776,-14.20766667
190.57,34.6914,68.642,32.71606667,-24.9382,-10.24686667,2.1604,58.51846667,-13.5802,-2.222333333,41.3582,-5.3086
190.95,30.9524,71.19053333,32.0238,-15.47613333,-7.142866667,6.3096,67.38086667,-11.19046667,1.547666667,40.95246667,3.809466667
191.33,31.579,63.9766,37.07593333,-15.4386,-3.391866667,-4.9123,58.12866667,-14.03506667,3.976666667,36.7252,2.105333333
191.71,22.02393333,46.90473333,26.42846667,-31.42866667,-16.66673333,-22.262,39.1666,-26.07153333,-2.976266667,21.66666667,-13.3332
192.09,-5.941933333,25.79706667,11.15933333,-66.52166667,-41.44913333,-58.4782,12.8986,-61.30433333,-30.145,-0.2898,-40.28986667
192.47,-18.07033333,12.80706667,1.929866667,-94.73686667,-58.42086667,-68.94736667,6.4912,-82.98253333,-43.68413333,-11.0526,-52.1054
192.85,-21.6296,7.703733333,15.5556,-73.33333333,-39.55553333,-56.37026667,6.222066667,-75.25913333,-34.6668,-0.740733333,-38.51853333
193.23,-25.06666667,-2.933333333,21.86666667,-66.13333333,-35.33333333,-42.13333333,7.733333333,-66.26666667,-32.66666667,-4.933333333,-30.8
193.61,-14.2372,2.598666667,25.53686667,-48.92646667,-22.48593333,-25.93223333,10.73433333,-45.64966667,-23.05086667,1.694866667,-21.35593333
193.99,-20.10926667,-12.6776,19.8906,-53.98906667,-26.55726667,-35.1913,-3.169466667,-52.45906667,-30.38246667,-5.4644,-29.836
194.37,-31.58966667,-33.74346667,0.615333333,-64.20506667,-36.10266667,-46.92303333,-17.53846667,-61.23086667,-45.436,-21.3334,-39.89753333
194.75,-42.45613333,-39.3862,-8.684266667,-71.57893333,-45.35086667,-58.99123333,-25.8772,-70.26313333,-50.7018,-32.6316,-37.89473333
195.13,-56.62106667,-53.60733333,-17.8996,-92.51146667,-63.92706667,-77.71683333,-40.18273333,-95.525,-71.32426667,-47.67106667,-54.064
195.51,-109.3081333,-94.96853333,-51.57233333,-154.3396,-113.2074667,-130.3774,-76.3522,-157.4842,-123.8992667,-93.45926667,-94.59113333
195.89,-181.4034,-149.8244667,-91.9298,-235.4385333,-179.8246,-205.9648667,-114.9122667,-246.3157333,-197.3684667,-153.8596,-148.4210667
196.27,-198.8032,-171.6238667,-119.6582667,-255.8974,-215.7264,-215.4701,-133.5044667,-270.9401333,-223.7606,-178.8033333,-170.7691333
196.65,-216.0316,-187.1428667,-129.2062667,-269.8410667,-228.5714,-236.4284,-161.5873333,-284.2857333,-236.0318,-201.9048,-188.4127333
197.03,-616.2964,-561.1110667,-428.8889333,-751.8518,-657.0371333,-677.5927333,-511.4816,-784.4446,-662.9628667,-595.1852,-569.6295333
197.4,-400.2380667,-364.9999333,-289.0475333,-497.1428667,-440,-454.5238333,-357.857,-535.2380667,-439.2856667,-398.5713333,-384.0477333
197.78,-490.4348,-431.8839333,-336.2318667,-609.855,-537.6811333,-559.8551667,-447.5362,-671.8840667,-540,-477.1016,-463.4783333
198.16,-328.3333333,-281.4583333,-211.25,-403.9583333,-359.7916667,-363.5416667,-289.1666667,-456.0416667,-355.625,-318.5416667,-294.1666667
198.54,-592.2222,-488.5185333,-385.5556,-718.5184667,-644.0741333,-634.2593,-519.6296667,-822.2222,-650.3704,-581.1110667,-530.0001333
198.92,-1506.666667,-1325.714267,-1012.381133,-1836.190467,-1631.428533,-1557.619167,-1324.761933,-2087.6192,-1689.523867,-1477.142933,-1382.857267
199.3,-678.2222667,-606.2222,-440.4444,-820,-696.4444667,-690.2223,-607.5556,-907.5555333,-735.1112667,-656,-619.1111333
199.68,-297.7083333,-276.4583333,-178.75,-357.2916667,-307.5,-288.0208333,-271.0416667,-398.75,-323.9583333,-280.2083333,-277.9166667
200.06,-243.5898,-224.6154,-146.8375333,-301.3674667,-255.8974,-234.9573667,-225.9829333,-328.547,-275.3846,-228.7180667,-237.6068667
200.44,-211.2121333,-195.1514667,-121.6665333,-258.1818,-219.8485333,-213.4092,-198.4848667,-289.8484,-235.1514667,-196.3637333,-204.6968667
200.82,-242.4761333,-229.3332,-127.2380667,-296.5714,-266.2858,-236.4762,-222.0952,-349.9047333,-270.4763333,-219.2380667,-241.9048
201.19,-219.2793333,-204.5046,-106.126,-276.0360667,-245.9459333,-220.0901,-196.9368667,-326.1261333,-249.7298667,-199.6397333,-216.9368667
201.57,-331.7948,-299.4870667,-166.6665333,-404.1026667,-364.8718667,-346.1536667,-285.6410667,-475.8974667,-365.3846667,-286.9232,-334.1025333
201.95,-304.8275333,-282.2988667,-163.6781333,-364.1379333,-325.977,-319.1952333,-248.9654,-428.9654667,-332.4138,-260.4599333,-292.8736
202.33,-554.1176667,-507.0587333,-305.4902,-641.9608,-583.1372667,-599.0196,-447.0588667,-765.8824,-589.4117333,-470.1959333,-512.9411333
202.71,-613.75,-573.3333333,-335.4166667,-685.8333333,-652.9166667,-669.7916667,-481.6666667,-831.6666667,-621.6666667,-509.1666667,-570.8333333
203.09,-452.0635333,-426.9842,-232.6983333,-514.2856667,-475.8729333,-504.7620333,-350.7937333,-620.6351333,-457.4602667,-349.2066,-434.603
203.47,-458.3333333,-442.6666667,-217.3333333,-514.6666667,-477.3333333,-497.5,-325,-638,-469.6666667,-340.6666667,-426
203.85,2578.333333,2430,1393.333333,2876.666667,2668.333333,2852.5,1885,3556.666667,2631.666667,1950,2381.666667
