wavelength,Back_HapRusf,Belly_HapRusf,Breast_HapRusf,Crissum_HapRusf,Crown_HapRusf,DorTail_HapRusf,Rump_HapRusf,Throat_HapRusf,WingTip_HapRusf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-196.666666667,-126.666666667,96.6666666668,13.3333333333,-126.666666667,-206.666666667,-27.0833333333,-33.3333333331,-46.6666666665
179.16,65.3333333335,53.3333333333,-22.6666666667,45.3333333333,77.3333333334,121.333333333,18.3333333333,56.0000000001,117.333333333
179.54,51.3333333333,52.3333333333,37.0,48.3333333334,53.6666666667,67.3333333333,45.25,50.6666666667,56.3333333333
179.93,42.6666666667,12.0,41.3333333333,20.0,66.6666666667,42.6666666666,41.3333333332,35.9999999999,51.9999999999
180.31,112.7776,58.8888666666,-142.222266667,-38.8889333333,105.5556,199.999933333,83.4027833334,22.2221999998,74.7222
180.69,103.809466667,64.2856666668,-138.0954,-31.9048000001,96.6666666668,187.619,90.1784916667,8.5713333332,76.1905666664
181.07,54.2857333333,26.0319333333,-106.666666667,-26.6666000001,53.6508,117.1428,52.896825,-20.6348666667,42.8571666667
181.45,69.5237333332,26.0316666667,-104.127,-27.3017333333,52.6984666667,115.872933333,83.7301833334,-15.5555333333,25.2380666666
181.83,1380.0,33.333333332,-2466.66666667,-953.333333334,606.666666666,2173.33333333,1740.0,-500.0,136.666666668
182.21,-237.777866667,20.0,461.111133333,194.444466667,-95.5555333334,-383.3332,-277.63875,95.5556666667,-20.0
182.59,-143.636533333,-30.9089333333,235.151466667,87.8786666667,-110.909133333,-267.2726,-190.757525,20.0000666668,-74.8485666665
182.97,-148.8888,-66.6666,197.2222,89.4443999999,-160.555533333,-261.666666667,-185.277683334,3.33339999994,-133.8888
183.35,-54.0,-5.00000000006,153.333333333,78.6666666667,-64.3333333333,-129.666666666,-72.7916666667,16.6666666666,-53.1666666666
183.73,-80.5555333334,-16.1110666666,235.0,93.3333333333,-87.2222,-203.888933333,-150.4861,45.5555333333,-91.9443666665
184.11,-188.888866667,-74.0740000001,251.851866667,51.1111333333,-154.814866667,-282.222333333,-257.129583333,15.5555333333,-168.518566667
