wavelength,Back_ParHumm,Belly_ParHumm,Breast_ParHumm,Crissum_ParHumm,Crown_ParHumm,DorTail_ParHumm,Patch10_ParHumm,Patch11_ParHumm,Patch12_ParHumm,Patch13_ParHumm,Rump_ParHumm,Throat_ParHumm,WingTip_ParHumm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,283.333333334,216.666666667,466.666666667,16.6666666667,133.333333333,450.0,300.0,400.0,266.666666666,350.0,216.666666667,283.333333334,166.666666667
179.16,-200.0,-99.9999999999,-116.666666667,208.333333333,233.333333334,-83.3333333335,-66.6666666668,-83.3333333333,-33.3333333332,83.3333333332,16.6666666665,-16.6666666666,33.3333333332
179.54,75.0,-58.3333333333,-16.6666666667,-108.333333333,-133.333333333,16.6666666665,8.333333333,-25.0,41.6666666667,0.0,-25.0,33.3333333333,-75.0
179.93,161.111,61.111,133.333333334,88.8886666666,38.889,72.2221666665,72.2223333332,61.1111666667,88.8889999999,50.0,27.7776666666,83.3333333333,44.4443333334
180.31,-47.778,63.3333333335,-12.2223333333,96.1110833335,158.889,44.4444999999,59.9998333335,6.66683333333,29.9998333334,86.6666666667,92.2223333332,95.5556666665,152.2225
180.69,-57.2916666667,70.8333333331,-11.4583333333,97.9166666665,162.5,43.7499999999,69.7916666667,0.0,42.7083333333,96.8749999999,90.625,111.458333333,155.208333333
181.07,-93.9391666666,84.8483333335,-27.2728333334,150.75775,215.1515,72.7273333335,109.091,0.0,66.6668333331,143.939333333,121.211833333,177.272666667,228.788
181.45,-25.4901666667,90.1960000002,7.8431666667,116.17625,152.941166667,85.2940000002,95.098,27.4511666667,70.5881666665,122.549166667,104.902,151.961,181.3725
181.83,-1.3333333333,80.6666666667,19.3333333334,89.6666666667,117.333333333,73.3333333335,80.6666666669,34.6666666667,56.0,107.333333333,92.6666666665,130.0,140.0
182.21,21.0781666666,86.2741666666,40.6861666667,98.0390833335,112.255,74.5096666665,82.3530000001,48.5293333333,64.2158333333,98.5293333333,87.2548333332,122.549,130.392166667
182.59,36.207,112.643666667,59.7703333334,135.919833333,145.402333333,87.3563333332,111.494333333,73.5631666669,90.8046666667,124.137833333,111.4945,153.448166667,168.391
182.97,45.4545,143.939333334,79.5455,176.893833333,186.363666666,108.333333333,128.787833334,91.6666666667,109.090833333,157.575833333,140.151333333,189.394,214.394
183.35,41.9353333334,108.0645,73.1183333333,137.096666666,139.247333333,79.5696666666,97.8495,79.0321666669,81.1828333332,123.655833333,104.301,147.849333333,159.6775
183.73,44.2708333333,102.604166667,78.125,146.614583333,135.9375,76.5625000001,94.2708333333,79.6875000001,85.9375000001,121.354166666,97.9166666665,146.875,157.291666667
184.11,42.9823333333,95.1755000002,76.3158333333,135.745583334,120.614,64.9123333334,91.2278333333,82.456,85.0876666666,106.579,89.4736666669,127.193166667,140.351
