wavelength,Back_IriReim,Belly_IriReim,Breast_IriReim,Crissum_IriReim,Crown_IriReim,DorTail_IriReim,Patch10_IriReim,Patch11_IriReim,Patch12_IriReim,Rump_IriReim,Throat_IriReim,WingTip_IriReim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-80.6666666667,-70.6666666666,-79.9999999999,-52.0,-64.0,-47.3333333334,-73.3333333333,-57.3333333333,-79.9999999999,-94.6666666668,-78.6666666667,-32.0
179.16,-185.333333333,-144.0,-137.333333333,-146.666666667,-136.0,-168.0,-162.666666667,-141.333333333,-180.0,-154.666666667,-172.0,-128.0
179.54,-45.0,-46.6666666667,-51.6666666667,-51.6666666666,-60.8333333334,-39.1666666667,-54.1666666666,-55.0,-56.6666666666,-49.1666666667,-65.8333333333,-11.6666666667
179.93,-33.3333333335,6.6666666668,6.6666666668,-20.0,-19.9999999992,-60.0,-13.3333333333,-39.9999999998,-40.0000000001,-246.666666667,-33.3333333332,180.0
180.31,-29.2307999999,-19.4872,-15.6410666667,-25.8975333333,-44.7436666667,-23.7178666667,-25.6410666667,-19.6154,-53.9744,-62.6923333333,-57.5641333333,-18.5898
180.69,-52.6796666667,-36.7321333333,-32.0262,-44.0522000001,-65.2287333333,-38.4313333333,-50.3268666667,-40.2614666667,-83.7909333333,-84.8365333333,-81.1764666666,-39.2157333334
181.07,-57.6666666666,-29.6666666667,-31.8333333333,-48.6666666668,-77.8333333333,-47.1666666667,-62.0,-44.1666666667,-92.6666666668,-98.8333333334,-95.1666666666,-50.1666666667
181.45,-33.4848,-7.12113333333,-19.3939333333,-31.0606666667,-60.9091333334,-22.4242666667,-46.0606666667,-23.4848000001,-75.9091333333,-83.1818666666,-71.0606,-31.5152
181.83,-25.8915333333,-0.465066666652,-14.5737333333,-21.8604,-55.0386666667,-18.7596666667,-40.3100000001,-18.1395333333,-77.3642,-86.6667333334,-60.4651333333,-32.0929333333
182.21,-34.6342666667,-7.80499999999,-14.7968666667,-20.1626666667,-67.8050000001,-23.4145333333,-42.439,-14.7966666667,-79.8373333333,-89.4309333333,-70.0812666667,-35.1218666667
182.59,-89.1111333334,-49.9999333334,-63.5556000001,-68.6666666665,-139.111066667,-61.5555333333,-93.5555333333,-62.2222666666,-141.333266667,-164.2222,-121.333333333,-93.7778
182.97,-342.222333333,-231.666666667,-296.110933333,-301.111133333,-442.222133333,-265.555533333,-349.444533333,-265.5556,-456.666666667,-537.7778,-356.6668,-372.222266667
183.35,-349.999933333,-193.333333333,-326.1112,-325.0,-436.6666,-270.5554,-364.999933333,-297.777866666,-436.1112,-526.666666667,-309.444466667,-354.999933333
183.73,-387.272666667,-170.303066667,-336.969666667,-325.454533334,-455.1516,-266.060533333,-433.333333333,-316.363466667,-469.090933333,-560.606066667,-321.8182,-363.636333333
184.11,-897.333333335,-424.000000001,-765.333333333,-696.0,-1048.0,-535.999999999,-993.333333332,-708.000000001,-1056.0,-1244.0,-754.666666666,-765.333333333
184.49,4806.66666667,2286.66666667,4026.66666667,3533.33333333,5686.66666666,2773.33333333,5513.33333333,3753.33333334,5506.66666667,6320.0,4046.66666667,4166.66666667
184.87,-720.0,-194.666666667,-605.333333333,-492.0,-904.000000001,-272.000000001,-812.000000001,-453.333333333,-760.000000001,-1010.66666667,-523.999999999,-640.0
185.25,-153.333333333,-24.0741999999,-119.2592,-115.185266667,-209.2592,-41.4814666667,-179.999933333,-81.8518000002,-189.259333333,-240.7406,-97.0370666665,-142.963
185.63,1406.66666667,310.0,1000.0,1023.33333333,1893.33333333,543.333333334,1666.66666667,696.666666668,1583.33333333,2050.0,880.000000001,1253.33333333
186.01,272.777666667,69.4444000001,186.1112,213.888866667,370.555533333,116.666666667,319.444333333,125.000066666,281.666666667,357.222133333,196.111066667,253.333266667
186.39,302.564,103.589666667,258.461666667,292.307666667,391.794866667,186.1538,373.333333333,191.794866667,344.102533333,399.487066667,235.8974,339.4872
186.77,4286.66666667,1660.0,4280.0,4133.33333333,5213.33333334,3053.33333333,5586.66666667,2826.66666667,4773.33333333,5586.66666667,3566.66666667,5200.0
187.15,2.81474976711e+15,1.16001808584e+15,2.78916113286e+15,2.75504295387e+15,3.37769972053e+15,2.06414982921e+15,3.90653149495e+15,1.95326574748e+15,3.24122700455e+15,3.72741105523e+15,2.7166600025e+15,3.50137811938e+15
187.53,871.111000001,455.555533334,840.000066667,909.999999999,1011.11106667,680.0,1149.99993333,549.999933333,1036.66666667,1134.44433334,863.333266665,1051.11106667
187.91,-1137.33333333,-677.333333333,-1154.66666667,-1229.33333333,-1310.66666667,-898.666666667,-1444.0,-737.333333331,-1318.66666667,-1437.33333333,-1104.0,-1352.0
188.29,-194.814866667,-113.827066667,-201.975333333,-222.469133333,-214.814933333,-164.197533333,-255.555533333,-116.790133333,-230.1234,-249.876533333,-187.901333334,-247.160533333
188.67,-93.0495333333,-46.0992666666,-99.4326666667,-113.191533333,-108.227,-85.3899999999,-129.787266667,-42.8367333333,-113.333333333,-125.673666667,-91.2056666667,-125.248333334
189.05,-51.7874666667,-19.7101333333,-57.488,-70.8212666667,-66.7633333333,-54.8792,-80.7729333333,-16.1352666667,-70.7247999999,-75.4589333333,-58.9371333333,-75.7488000001
189.43,-69.7435999999,-33.2307999999,-73.7435333332,-87.5898000001,-82.7692666665,-67.7949999999,-100.307733333,-28.4103333333,-82.0511999999,-88.6154666665,-77.8462000001,-96.6155333334
189.81,-52.1073333333,-25.1342,-57.1647333333,-67.5095333333,-62.0690666666,-48.7356,-74.0230666667,-22.069,-67.2030666667,-68.2759333334,-60.0,-80.8428666665
190.19,-43.3676666667,-17.938,-50.9964666667,-59.3126666667,-48.4535333333,-42.8177333333,-65.7730666667,-16.6323333333,-59.7251333333,-59.3127333333,-50.4468666667,-72.3023999999
