wavelength,Back_IncPerm,Belly_IncPerm,Breast_IncPerm,Crissum_IncPerm,Crown_IncPerm,DorTail_IncPerm,Patch10_IncPerm,Patch11_IncPerm,Rump_IncPerm,Throat_IncPerm,WingTip_IncPerm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,72.2223333334,-22.2221666667,41.6665,66.6665,58.3333333332,52.7778333335,19.4443333333,63.8888333333,55.5556666667,-5.5555,122.222166667
179.16,150.0,-33.3333333333,100.0,158.333333333,33.3333333332,41.6666666665,41.666666667,191.666666667,241.666666666,-66.666666667,208.333333334
179.54,-91.6668333333,-88.889,-63.8888333335,25.0,-33.3333333333,-41.6666666665,-58.3335,30.5556666667,-16.6665,-63.8890000002,11.111
179.93,-183.333333333,-229.166666667,-233.333333333,-129.166666667,-229.166666667,-154.166666667,-154.166666667,-133.333333333,-133.333333334,-133.333333333,-116.666666667
180.31,-247.619,-391.666666666,-232.142833333,-42.8568333333,-192.857166667,-30.9523333335,-196.428666667,34.5238333335,-3.5715,-128.5715,54.762
180.69,-200.0,-318.627666666,-197.058833333,-3.9215,-127.451,-2.9411666665,-136.274666667,65.6863333335,18.6275,-85.294166667,82.3531666665
181.07,-345.0,-496.666666667,-286.666666666,18.3333333335,-201.666666667,36.666666667,-150.0,180.0,51.6666666667,-65.0,188.333333334
181.45,-448.148166667,-598.148,-375.926,-40.7408333335,-259.2595,18.5186666665,-148.148166667,168.518666667,7.40733333335,-51.8518333335,148.148333333
181.83,-199.019666667,-269.607833333,-140.196,-12.745166667,-101.960833333,42.157,-49.0195,106.862833333,33.3336666667,16.6668333335,110.784333333
182.21,-427.083333333,-533.333333333,-237.5,-45.833333333,-154.166666666,81.25,-102.083333334,229.166666667,87.5,56.25,241.666666666
182.59,-1055.5555,-1211.11133333,-533.333166667,33.3333333335,-211.110999999,238.889,-100.000166665,788.888833333,438.889,361.111,799.999833331
182.97,291.666666666,324.999833333,150.0,45.833333333,72.222166667,23.6111666665,47.222333333,-188.889,-91.6666666667,-91.6666666667,-158.333333334
183.35,155.072666667,169.565166667,95.6523333334,76.0871666667,45.6521666665,50.7248333333,31.8841666668,-84.0581666667,-13.768,-36.9565,-62.3188333331
183.73,137.3015,142.857,83.3333333333,82.5394999998,30.9524999998,30.1588333334,34.1270000001,-92.8573333335,-33.3333333333,-49.2063333334,-75.3968333335
184.11,200.0,222.727,80.303,96.9695,12.1213333335,-10.606,1.5153333335,-253.030166667,-119.696833333,-146.969833333,-168.181833333
184.49,361.111166667,397.222166667,63.8888333332,222.222166667,33.3333333335,55.5555,-36.111,-444.444333334,-180.555333333,-183.3335,-263.888833333
184.87,200.0,268.333333333,10.0000000002,203.333333333,5.0,36.666666667,16.666666667,-271.666666667,-61.6666666667,-96.6666666667,-133.333333333
