wavelength,Back_SicRaif,Belly_SicRaif,Breast_SicRaif,Crissum_SicRaif,Crown_SicRaif,DorTail_SicRaif,Patch10_SicRaif,Rump_SicRaif,Throat_SicRaif,WingTip_SicRaif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,93.3333333333,133.333333333,100.0,230.0,146.666666667,130.0,173.333333333,83.3333333333,100.0,186.666666667
179.16,-80.0,-40.0,-13.3333333333,70.0,-153.333333333,50.0,-66.6666666667,76.6666666667,66.6666666667,106.666666667
179.54,48.4846666667,78.788,69.6973333333,-4.5455,18.1816666667,59.091,87.879,100.0,66.6666666667,30.3026666667
179.93,102.564333333,87.1793333333,74.3593333333,130.7695,58.9746666667,69.2305,102.564,141.025833333,94.8716666667,94.872
180.31,35.849,36.478,3.77366666667,56.6035,-79.2453333333,40.566,35.849,66.0378333333,30.8173333333,23.2703333333
180.69,43.2096666667,27.1603333333,-9.87666666667,56.4815,-91.9753333333,37.9625,25.3086666667,59.8766666667,24.074,27.1603333333
181.07,55.5556666667,55.0723333333,29.4686666667,86.232,-52.174,65.2175,48.309,68.8405,40.0966666667,51.691
181.45,52.6746666667,58.025,39.506,78.395,-36.214,59.259,51.029,58.2306666667,34.568,39.9176666667
181.83,49.405,52.381,39.2853333333,112.5,-86.9046666667,55.357,48.2143333333,49.405,17.8573333333,33.9286666667
182.21,19.3333333333,38.0,18.6666666667,94.0,-125.333333333,34.0,30.0,12.6666666667,-8.0,8.0
182.59,14.6666666667,36.6666666667,26.0,85.0,-123.333333333,44.0,35.3333333333,17.3333333333,-9.33333333333,30.0
182.97,21.8183333333,47.2726666667,47.2726666667,109.091,-90.303,65.4545,43.03,28.4848333333,-2.424,57.5756666667
183.35,29.9433333333,38.4176666667,53.1076666667,88.1355,-84.7456666667,58.4745,57.0623333333,42.6555,2.825,49.7176666667
183.73,53.2336666667,30.348,72.637,85.0745,-60.6966666667,65.6715,65.6716666667,54.2288333333,15.9203333333,41.2936666667
184.11,35.9373333333,13.0213333333,69.7916666667,75.7815,-69.2703333333,62.5,44.7916666667,26.5626666667,-3.64566666667,11.4586666667
184.49,29.353,12.9353333333,62.189,78.358,-85.5723333333,61.194,46.2683333333,12.9355,-6.46733333333,7.96033333333
184.87,23.5633333333,12.069,104.023,83.621,-100.574666667,72.414,64.3676666667,18.9655,-15.5173333333,-5.17233333333
185.25,18.2393333333,-13.2076666667,83.019,71.698,-134.591333333,48.1135,58.4906666667,4.08783333333,-34.5913333333,-18.239
185.63,29.4573333333,-39.535,103.100666667,80.2325,-166.666666667,44.1865,79.07,8.52716666667,-50.3876666667,-24.8063333333
186.01,50.877,-14.62,93.5673333333,71.9295,-118.128666667,53.509,87.1343333333,35.965,-26.9003333333,-2.33933333333
186.39,75.7573333333,-56.0603333333,134.848666667,90.9095,-159.848333333,80.6815,109.848666667,62.5001666667,-42.424,-10.606
