wavelength,Back_IriAnaf,Belly_IriAnaf,Breast_IriAnaf,Crissum_IriAnaf,Crown_IriAnaf,DorTail_IriAnaf,Patch10_IriAnaf,Rump_IriAnaf,Throat_IriAnaf,WingTip_IriAnaf
186.39,19.881,11.9047333333,49.0475999999,-16.1904,39.8809333333,73.0951333333,70.2381333333,16.4285333333,-24.7620666667,5.11899999992
186.77,13.5863333333,17.0464666667,43.7975333333,-2.27846666668,32.405,56.3714,56.1180666667,15.6118,-12.5739333334,8.77626666666
187.15,7.11606666667,13.1836666667,36.8538666667,1.87273333333,28.8390666667,48.8389333333,43.3708,12.2846,-17.5280666667,6.21719999999
187.53,17.8979333333,26.3662666667,44.3242,14.6546666667,36.5165333333,52.6727333333,47.0270666667,25.0451333333,1.50146666667,22.1620666667
187.91,15.6639333333,23.1977333333,39.9458666667,9.8102,33.0622,47.6423333333,43.7397333333,19.3495333333,2.11373333334,19.6748
188.29,5.29593333332,19.5014666667,31.9002666667,-1.74453333333,25.2959333333,40.5608666667,39.1276,10.3426666667,-9.34573333332,8.59813333333
188.67,4.33606666666,16.4768,27.2086,-2.05973333334,19.8373333333,37.0190666667,33.2790666667,11.2738666667,-6.50413333332,5.74533333334
189.05,3.57333333334,15.4133333333,23.84,-5.33333333333,18.1333333333,35.5733333334,27.0933333333,8.85333333333,-9.17333333335,3.20000000001
189.43,0.361866666674,11.7829333333,20.6201333333,-7.49346666667,16.7959333333,32.5580666667,23.1524,7.08013333334,-10.7492666667,1.75726666665
189.81,-2.50666666665,11.2,19.6266666667,-9.81333333333,16.2666666667,32.5333333333,19.68,6.08,-10.24,1.65333333332
190.19,-8.57879999999,9.09560000001,14.7286,-11.9896666667,13.7467333333,28.8888666667,14.987,3.97933333335,-10.4391333333,1.08526666667
190.57,-30.7936,-7.30153333333,-2.73026666667,-36.6984,-1.7778,17.1428666667,-5.14280000001,-15.4285333333,-30.5396,-18.0316666667
190.95,-47.6079333333,-25.0195333333,-15.8430666667,-56.0,-13.5686,11.3726,-16.4704,-29.0980666667,-46.2746,-33.0980666667
191.33,-72.5822,-48.1689333333,-36.2441333333,-83.8496,-33.6148666667,-0.281666666674,-29.4836,-50.7981333334,-63.5680666667,-56.1502666667
191.71,-129.583266667,-89.1667999999,-80.9722,-146.666666667,-69.4443333333,-25.9723333333,-67.3611333333,-99.7222,-116.1112,-113.8888
192.09,-180.833333333,-123.833333333,-120.5,-198.166666667,-107.166666667,-53.3333333333,-105.5,-136.0,-156.333333333,-165.5
192.47,-276.904666667,-189.5238,-190.0,-303.571533333,-178.8096,-100.476133333,-175.476133333,-195.238,-249.047666667,-251.428666667
192.85,-1283.8096,-860.9524,-904.761800001,-1321.9048,-836.190333334,-580.952266667,-845.714333333,-973.333199999,-1152.38086667,-1122.8572
193.23,-2376.66666667,-1536.66666667,-1668.33333333,-2261.66666667,-1591.66666667,-1210.0,-1618.33333333,-1818.33333333,-2111.66666667,-2093.33333333
193.61,5260.0,3550.0,3860.0,4823.33333333,3913.33333333,3080.0,3863.33333333,4226.66666667,4713.33333333,4666.66666667
193.99,-2385.0,-1605.0,-1793.33333333,-2186.66666667,-1806.66666667,-1416.66666667,-1788.33333333,-1958.33333334,-2210.0,-2088.33333333
194.37,2446.66666667,1816.66666667,1970.0,2338.33333333,1968.33333333,1631.66666667,1980.0,2178.33333333,2346.66666667,2255.0
194.75,2085.33333333,1580.0,1690.66666667,1929.33333333,1749.33333333,1501.33333333,1714.66666667,1877.33333333,1997.33333333,1934.66666667
195.13,5216.66666667,3826.66666667,4143.33333333,4793.33333333,4516.66666667,3963.33333333,4433.33333333,4750.0,4980.0,4973.33333333
195.51,-2483.33333334,-1875.0,-1973.33333333,-2346.66666667,-2265.0,-2020.0,-2250.0,-2260.0,-2455.0,-2471.66666667
195.89,-1329.16666667,-1073.33333333,-1078.33333333,-1244.16666667,-1265.83333333,-1144.16666667,-1246.66666667,-1192.5,-1295.83333333,-1345.0
196.27,-1202.96306667,-948.888933333,-976.296399999,-1094.81473333,-1137.037,-1046.66666667,-1142.22226667,-1081.48153333,-1163.70366667,-1162.22226667
196.65,-648.627466667,-492.9412,-512.941133333,-554.509866667,-583.5294,-533.333333333,-598.431466667,-577.647,-600.000066666,-591.764733333
197.03,-1353.3332,-1084.4444,-1077.03693333,-1145.92586667,-1208.88893334,-1128.8888,-1251.85193333,-1197.77773333,-1215.55546667,-1270.3704
197.40,1637.5,1405.83333333,1361.66666667,1423.33333333,1463.33333334,1401.66666667,1526.66666666,1460.83333334,1482.5,1515.0
