wavelength,Back_TanXagm,Belly_TanXagm,Breast_TanXagm,Crissum_TanXagm,Crown_TanXagm,DorTail_TanXagm,Patch10_TanXagm,Patch11_TanXagm,Patch12_TanXagm,Rump_TanXagm,Throat_TanXagm,WingTip_TanXagm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,11.111,62.9630000001,44.4443333334,83.3332222222,16.6665555555,83.3332222221,29.6297777778,44.4444444444,55.5556666665,11.1111111111,55.5555555556,70.3704444444
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,77.7776666667,112.962888889,118.518555556,81.4815555555,88.8888888889,53.7036666666,124.074,125.925888889,153.703666667,138.888888889,88.8889999999,90.740888889
179.93,-211.111111111,-444.444444444,-455.555555556,-611.111111112,-511.111111111,-466.666666667,-244.444444444,-166.666666667,-88.8888888887,-155.555555556,-588.888888889,-222.222222222
180.31,106.666666667,305.925888889,207.407444444,356.296333333,247.407555556,308.148111111,328.148222222,240.740555555,79.2592222223,117.777777778,352.592555556,207.407444444
180.69,174.074,566.666666666,388.888888889,625.926000001,438.271444444,575.308666667,597.530888889,459.259222222,146.913666667,241.975222222,664.197444444,385.185111111
181.07,-168.888888889,-815.555555557,-524.444444444,-926.666666667,-660.000000001,-851.111111111,-962.222222221,-675.555555553,-59.9999999999,-346.666666666,-1053.33333334,-493.333333333
181.45,127.777666667,703.703777778,529.629555556,848.14811111,607.407444446,674.074,809.259222221,631.481444444,83.3333333334,342.592444445,905.555555556,394.444555556
181.83,349.999999999,2466.66666667,1838.88888889,2666.66666667,1927.77777778,2061.11111111,2655.55555556,2211.11111111,650.0,1188.88888889,2838.88888889,1077.77777778
182.21,-36.111111111,-1222.22222222,-766.666666665,-1263.88888889,-769.444444443,-1019.44444444,-1302.77777778,-1127.77777778,-283.333333333,-511.111111111,-1280.55555555,-475.0
182.59,311.111111111,2483.33333333,1555.55555556,2566.66666667,1500.0,2255.55555556,2822.22222222,2555.55555556,977.777777779,1011.11111111,2450.0,1150.0
182.97,148.148111111,853.703666667,455.555555556,901.852000001,433.333333333,748.148222222,868.518666666,870.370444447,368.518444444,359.259111111,868.518555557,424.074
183.35,-13.5803333333,-482.716111111,-219.753,-486.419777777,-174.074333333,-369.135666667,-409.876333333,-438.271444444,-169.136,-97.5308888887,-444.444555555,-113.580222222
183.73,66.6665555554,-622.222222222,-279.629555555,-638.888666667,-146.296222222,-481.481444444,-483.333444444,-451.851888889,-172.222444444,-31.4814444444,-525.925888889,33.3333333333
184.11,51.1111111111,-150.555555555,-64.9999999999,-160.0,-6.66666666677,-126.666666667,-108.333333333,-90.0000000003,-32.2222222223,14.4444444446,-131.111111111,80.5555555556
184.49,19.0475555557,-257.936555555,-117.460111111,-270.634888889,-45.2382222223,-225.396888889,-207.142777778,-194.444555556,-113.492111111,-23.0157777777,-220.635,70.6348888887
184.87,25.9260000001,-327.777777778,-117.592555556,-304.629555556,-73.1480000001,-255.555555556,-261.111222222,-207.407555556,-133.333444444,-11.111,-235.185222222,141.666777778
185.25,316.666666667,1500.0,861.11111111,1297.22222222,702.777777778,1252.77777778,1286.11111111,930.555555557,841.666666665,338.888888889,1138.88888889,-36.111111111
185.63,-1183.33333333,-3605.55555556,-2077.77777778,-3077.77777778,-2061.11111111,-3133.33333333,-3200.0,-2194.44444445,-2150.0,-1050.0,-2805.55555556,-377.777777778
186.01,270.085555556,638.461444445,402.564,541.880222222,379.487222222,597.435888889,611.111222222,399.145333334,404.273444445,242.735111111,552.991555555,148.717888889
186.39,193.236777778,359.903444444,247.826,307.729444444,240.096777778,354.106222222,378.743888889,249.758333333,240.096666666,157.487888889,347.342888889,96.6182222223
186.77,239.444444444,398.888888889,322.777777778,373.888888889,277.222222222,431.111111111,426.666666667,308.333333333,292.222222222,198.888888889,425.555555555,146.666666667
187.15,274.691444445,459.259333333,373.456777778,421.604888889,349.382777778,511.728222222,504.938111111,351.234444444,362.345666667,232.716,477.777666666,217.901222222
187.53,486.419666666,892.592555557,676.543222222,797.53088889,667.901222222,974.073999999,1009.87666667,624.691444445,701.234555556,461.728222222,996.296333331,465.432111111
