wavelength,Back_TanXagm,Belly_TanXagm,Breast_TanXagm,Crissum_TanXagm,Crown_TanXagm,DorTail_TanXagm,Patch10_TanXagm,Patch11_TanXagm,Patch12_TanXagm,Rump_TanXagm,Throat_TanXagm,WingTip_TanXagm
187.91,-4022.22222222,-7866.66666668,-5466.66666667,-6277.77777778,-5344.44444444,-8622.22222221,-8566.66666667,-5144.44444444,-5722.22222222,-3700.0,-8633.33333333,-4011.11111111
188.29,4933.33333333,8355.55555557,5888.88888889,6666.66666668,6033.33333333,9333.33333334,9022.22222222,5844.44444445,6188.88888889,4277.77777778,9388.88888888,5000.0
188.67,-593.650777778,-1023.80977778,-692.063333332,-788.888777777,-796.825333332,-1214.28555555,-1161.90488889,-661.904666667,-761.904666667,-474.603111112,-1219.04766667,-584.127111111
189.05,-280.555555556,-411.805555555,-302.777777778,-363.194444444,-323.611111111,-561.805555556,-499.305555556,-297.916666666,-334.027777778,-201.388888889,-552.083333333,-275.0
189.43,-224.338666667,-321.164,-223.280444444,-306.349444445,-234.920555556,-427.513333333,-379.894111111,-240.740666667,-250.264555556,-171.957888889,-430.158777778,-222.222333333
189.81,-305.228777778,-421.568555556,-286.274444444,-424.182888889,-301.307222222,-557.516333333,-514.379,-349.019666667,-337.255,-238.562222222,-538.562,-303.268111111
190.19,-446.031888889,-560.317555555,-416.666777778,-618.254,-467.460333334,-738.888777778,-677.777777778,-485.714333333,-480.158666667,-374.603222222,-648.412666666,-485.714444444
190.57,-6166.66666667,-8277.77777777,-6122.22222222,-9099.99999999,-7100.0,-10588.8888889,-9488.88888888,-6500.0,-7233.33333333,-5555.55555556,-8733.33333332,-7177.77777778
190.95,-1744.44444444,-2599.99988889,-1759.25933333,-2725.92588889,-2296.29622222,-3281.48144444,-3088.88888889,-1774.07411111,-2222.22233333,-1655.55566667,-2525.92577778,-2111.11111111
191.33,-444.444444444,-592.592666667,-465.740777778,-656.481666667,-571.296222222,-813.88888889,-775.0,-438.888888889,-546.296222222,-430.555555555,-608.333333333,-462.037111111
191.71,-720.833333333,-933.333333334,-747.222222223,-1031.94444444,-895.833333335,-1319.44444444,-1194.44444444,-743.055555555,-829.166666669,-672.222222222,-834.722222222,-659.722222222
192.09,812.345666667,961.728444446,833.333333332,1123.45688889,981.481555557,1334.56788889,1300.0,908.641999999,944.444444447,776.543111111,932.098666668,728.394777778
192.47,416.666666666,509.876666667,441.358222222,575.308555556,504.938222222,690.740666667,687.037111111,487.037111111,504.938222222,402.468888889,467.284111111,397.531111111
192.85,411.640333333,487.301666667,456.613888889,542.327888889,466.666555555,636.507888889,634.391444445,487.830666667,482.539777778,397.883666667,438.624333333,393.650888889
193.23,283.154111111,331.182777778,315.053777778,360.931777778,319.713222222,416.129,432.258111111,327.598555556,340.860222222,267.742,280.286777778,270.609333333
193.61,276.190444444,302.778,317.857,339.285666667,312.301444445,417.063333333,433.333333333,322.619,350.396888889,250.793666667,250.793666667,230.952222222
193.99,387.719333333,401.169666667,459.064333334,459.649111111,429.239777778,579.532333333,616.959,439.181333333,506.432888889,363.742666667,350.877333334,350.292555556
194.37,288.425777778,287.037111111,343.981555556,329.629555555,315.277666667,429.166666667,460.185111111,319.907333333,396.759222222,265.740777778,283.796333333,249.536888889
194.75,831.944444444,812.5,972.222222223,938.888888888,884.722222222,1248.61111111,1381.94444444,944.444444445,1194.44444444,725.000000001,852.777777777,740.277777779
195.13,1747.22222222,1730.55555555,1961.11111111,1980.55555556,1738.88888889,2575.0,2700.0,1969.44444445,2494.44444444,1522.22222222,1936.11111111,1552.77777778
195.51,1655.55555555,1694.44444445,1908.33333333,1950.0,1586.11111111,2455.55555556,2511.11111111,1913.88888889,2433.33333333,1505.55555556,1911.11111111,1483.33333333
195.89,557.036888889,540.000111111,618.518444444,592.592666667,504.444555556,717.777666667,763.703666667,614.074,777.036999999,489.629444445,606.666555555,533.333444445
196.27,560.130777778,540.522777778,607.843222222,559.477111111,479.738444445,653.594888889,705.882555555,560.784333333,740.522888889,500.0,576.470444444,558.169888889
196.65,909.999999999,938.888888888,1015.55555556,914.444444446,784.444444445,1037.77777778,1160.0,934.444444443,1234.44444444,834.444444446,962.222222223,905.555555556
197.03,543.827,569.753222222,609.876555556,519.135777778,471.604888889,612.963,667.284,538.888888889,716.049444444,520.370333333,566.666666667,556.173
197.40,351.111111111,376.296333333,407.407222222,342.962888889,320.740777778,395.185222222,428.888888889,357.037222222,456.666666667,347.778,381.852,390.740888889
197.78,271.212,302.272555556,309.848333334,275.505,258.838444444,304.545444445,330.808,283.333333334,355.555666667,281.313222222,303.030333333,312.878666667
198.16,308.108,344.444333333,345.645666666,305.705777778,295.795777778,345.045,368.168222222,312.312222222,404.504555555,313.513666666,347.447333333,345.345222222
198.54,413.675222222,476.068333333,464.957333333,404.273333333,394.444333333,463.675222222,495.299,430.769111111,546.581,420.085555555,457.692222222,469.230666667
198.92,430.041111111,480.246888889,486.008333333,409.465,413.991888889,463.374555556,481.481555556,439.917888889,551.851777778,425.514444444,452.263333333,477.777666667
199.30,318.157333333,350.135444444,353.387444445,302.71,303.252,324.119333334,355.013333333,324.661333333,385.365888889,305.420222222,315.176222222,339.566444444
199.68,240.0,257.222111111,260.555555556,230.0,231.111111111,244.814888889,261.851777778,242.407444444,279.629666666,222.592666667,233.148333333,254.259444444
200.06,239.080333333,255.747111111,256.705,236.973,231.800777778,244.444555556,259.578666667,242.720333333,275.862111111,229.310444444,241.953888889,257.854444444
200.44,309.401666667,333.333222222,339.886222222,315.669555555,312.820555555,326.780666667,333.903111111,325.640888889,373.504222222,303.134,325.925888889,337.321888889
200.82,322.839555556,334.876333333,345.679,331.790111111,331.481444444,347.839333333,351.543,337.654333333,391.666666667,312.345666667,338.271666667,363.271555556
201.19,287.222222222,281.388888889,291.111111111,296.944444444,285.0,302.777777778,309.722222222,290.555555555,342.222222222,265.277777778,300.277777778,321.111111111
201.57,384.674444444,364.367777778,389.272,394.635888889,372.413777778,408.429222222,418.007666667,393.486555555,461.302777778,358.237444444,394.253,408.429
201.95,778.571555557,680.158555554,810.317555556,785.714333333,723.809777778,843.650777779,828.571444445,819.841222222,911.904777779,688.888888888,800.793666666,875.396666666
202.33,619.135666667,535.802555555,663.580111111,645.061666667,575.926,683.950666667,650.617222222,675.925888889,711.728333333,545.679111111,626.543,707.407333333
202.71,931.481555556,774.999999999,1019.44433333,1008.33333333,904.629555556,1052.77766667,1005.55555555,1055.55566666,1058.33333333,843.518666666,1006.48166667,1058.33333333
203.09,9944.44444445,8077.77777778,11366.6666667,10922.2222222,9688.88888889,11544.4444445,11133.3333333,11555.5555555,11322.2222222,9588.88888889,11255.5555556,11511.1111111
203.47,-933.333444444,-698.765333333,-1119.75311111,-1058.02477778,-937.037111109,-1144.44455556,-1087.65422222,-1096.29633333,-1148.14811111,-928.39511111,-1098.76544445,-1145.679
203.85,-271.428555556,-203.174444444,-337.301444444,-309.523777778,-275.0,-343.650888889,-330.952222222,-332.936333333,-343.254,-279.761777778,-336.507888889,-339.285666667
204.22,-338.164222222,-252.657,-431.884,-362.801888889,-346.376777778,-436.714888889,-407.729444445,-419.806666667,-432.850333333,-350.724777778,-425.120777778,-410.628111111
204.60,-688.888888889,-525.0,-881.481666668,-715.740888889,-721.296222223,-900.926111112,-833.333333333,-851.851777778,-837.963000002,-696.296333332,-850.925888888,-817.592444446
204.98,3122.22222222,2437.03688889,3922.22222222,3085.18522222,3125.92577778,3885.18533333,3566.66655556,3751.85188889,3692.59266667,3122.22233333,3637.037,3425.926
205.36,-4561.11111111,-3800.0,-6144.44444445,-4655.55555555,-5105.55555556,-6083.33333333,-5394.44444444,-5705.55555555,-5600.0,-4822.22222222,-5338.88888889,-5044.44444444
205.74,1240.27777778,1052.77777778,1605.55555556,1270.83333334,1356.94444444,1619.44444444,1377.77777778,1437.5,1445.83333333,1305.55555556,1402.77777778,1341.66666667
206.12,377.407444444,337.037111111,467.407444444,382.592555555,424.814666667,457.037,413.703666667,421.481444444,424.444222222,397.037,421.481222222,382.222333333
206.50,299.735444445,267.989555555,361.375666667,292.063444444,321.164,342.327888889,326.455,317.195666667,322.222111111,309.523888889,315.608444444,300.793555556
206.87,277.777777778,248.0,313.555555555,260.888888889,274.444444444,299.777777778,289.333333333,276.222222222,277.555555556,264.888888889,272.222222222,270.444444444
207.25,235.937333333,211.284555556,256.596888889,220.312333333,226.562222222,248.958,237.326111111,234.895666667,232.117777778,220.138777778,227.951111111,232.465111111
207.63,284.126888889,249.603222222,301.785777778,256.349222222,272.619,298.412666667,275.000111111,279.365111111,269.841333333,261.508,261.706555556,268.254
208.01,241.384888889,208.212555556,249.919444444,208.534666667,231.078777778,250.241555556,227.536222222,229.951777778,222.866222222,216.425111111,214.170666667,225.120666667
208.39,290.303,247.474888889,295.555444444,247.676888889,277.171777778,294.949666667,275.353555556,272.525222222,255.959555556,252.121333333,242.828222222,268.485
208.77,286.904666667,249.206444445,292.658666667,251.984,282.936555555,291.468222222,274.603111111,268.849444444,257.738222222,246.031777778,238.492,270.634777778
209.14,440.523,372.549,443.464,400.980444445,453.921555555,451.634111111,426.797222222,403.921444444,388.888888889,372.875777778,361.111,419.280888889
209.52,427.469222222,351.543222222,424.382666666,395.987444445,425.926,434.259333333,412.962888889,386.728333333,378.395111111,367.283777778,357.098666667,416.358111111
209.90,604.166666667,498.148,594.907333333,560.648333333,611.111222222,619.444555556,595.833333333,553.240666667,523.147888889,517.592555556,506.018444444,594.444444444
210.28,1865.07933333,1507.93655556,1823.80933333,1733.33344444,1831.74611111,1987.30166667,1811.11111111,1698.41266667,1596.82544444,1563.49211111,1468.254,1909.52377778
210.66,-12088.8888889,-9877.77777778,-11766.6666667,-11444.4444444,-12222.2222222,-13511.1111111,-11622.2222222,-11288.8888889,-10488.8888889,-10233.3333333,-9866.66666667,-12555.5555556
211.03,2188.88888889,1811.11111111,2220.0,2075.55555556,2368.88888889,2471.11111111,2186.66666667,2166.66666666,2020.0,1986.66666667,1831.11111111,2333.33333333
211.41,1197.531,1038.27177778,1241.97533333,1174.07411111,1365.43222222,1365.432,1272.83955555,1192.59277778,1140.74066667,1116.04944444,1039.50622222,1246.91377778
211.79,532.777777778,471.111111111,558.333333333,524.444444444,600.0,597.777777778,577.222222222,537.777777778,518.888888889,500.555555556,483.333333333,579.444444445
212.17,411.111,360.256444445,445.299111111,421.794777778,456.837666667,449.999888889,467.093888889,420.085444445,417.093888889,389.316222222,384.615333333,454.700777778
212.55,398.290666667,352.136777778,442.307666667,412.820666667,447.436,449.572666667,456.837666667,411.965666667,426.495555556,382.051333333,386.324777778,448.290555556
212.92,702.564,583.760666667,810.256555555,728.205222222,785.47,822.222222222,821.367444445,728.205111111,746.153777778,689.743666667,687.179555555,789.743777778
213.30,546.527777778,461.805555556,672.222222222,553.472222222,584.027777778,651.388888889,656.25,593.75,595.138888889,543.75,545.833333333,622.916666667
213.68,1001.38888889,831.944444444,1222.22222222,906.944444444,1034.72222222,1150.0,1195.83333333,1125.0,1083.33333333,940.277777778,977.777777777,1086.11111111
214.06,364.646444444,285.353333333,458.080777778,334.343555556,370.202,414.141555556,430.303,424.747444445,404.040444445,316.666555556,332.323222222,396.969888889
214.44,312.0,240.444444445,373.333333333,272.444444445,316.888888889,340.444444444,358.222222222,350.666666667,322.666666667,265.333333333,286.222222222,324.444444445
214.81,373.202777778,271.241777778,474.509777778,325.490222222,390.849555556,425.490222222,437.254888889,435.947666667,391.503111111,314.379,356.862777778,398.692666667
215.19,285.858666667,198.990111111,362.121111111,258.080777778,296.464666667,337.373666667,326.262666667,329.798,278.282777778,253.030333333,262.121111111,295.454333333
215.57,823.809666668,453.968222222,1033.33355556,685.714333333,768.253999999,942.85711111,879.365111113,923.809555557,693.650777779,657.143000001,653.968222222,788.889000001
215.95,-2661.11111111,-1211.11111111,-3250.0,-2138.88888889,-2416.66666667,-2838.88888889,-2800.0,-2894.44444444,-2094.44444444,-1894.44444444,-2061.11111111,-2205.55555556
216.32,-196.491222222,-58.4795555555,-256.140333333,-149.123,-183.625666667,-240.935666667,-205.847888889,-239.181111111,-119.882888889,-133.918,-144.444444444,-139.766222222
216.70,-178.947444444,-35.0877777778,-223.391888889,-143.275,-160.818777778,-216.959,-195.906444444,-223.391888889,-94.7368888889,-111.111222222,-119.883,-101.754222222
217.08,-256.296222222,-61.4815555555,-302.222222222,-201.481444444,-208.888888889,-272.592444445,-281.481555556,-320.740666667,-168.148333333,-155.555666667,-169.629666667,-166.666555555
217.46,-2833.33333333,-994.444444445,-2894.44444444,-2366.66666667,-2522.22222222,-2572.22222222,-2772.22222222,-2977.77777778,-2044.44444444,-1811.11111111,-2072.22222222,-2177.77777778
217.83,-979.629555558,-398.148111111,-1003.70366667,-903.703666668,-918.518333332,-864.814666667,-935.18522222,-1009.25933333,-750.0,-605.555555557,-750.0,-866.666555556
218.21,-297.883555556,-142.857111111,-288.888888889,-258.730222222,-278.835888889,-242.327888889,-277.248666666,-301.587333334,-240.740777778,-176.190333333,-252.381,-267.195444444
218.59,-149.287666667,-58.6894444443,-146.153777778,-130.199444444,-142.450222222,-113.105555556,-138.461444444,-146.723555556,-127.065555556,-75.7835555557,-120.512777778,-139.885888889
218.97,-139.141333333,-51.0101111111,-138.383888889,-130.555777778,-135.353666667,-108.333555555,-136.363777778,-140.404111111,-123.484888889,-71.4645555557,-115.151444444,-135.101
219.34,-115.959555556,-48.2828888889,-127.070777778,-110.505,-118.989888889,-100.201888889,-118.181777778,-116.363666667,-116.767777778,-55.5553333334,-110.505333333,-124.848555555
219.72,-132.0,-59.3333333333,-144.222222222,-119.555555556,-130.0,-115.111111111,-125.777777778,-124.0,-130.444444445,-64.8888888889,-130.444444444,-145.333333333
220.10,-117.429111111,-61.656,-146.187333333,-109.150222222,-125.708111111,-116.993444445,-119.607888889,-120.697222222,-117.211222222,-57.9520000001,-122.004444444,-151.851888889
220.47,-92.7140000001,-43.8978888889,-113.479,-80.51,-95.0818888889,-87.6137777779,-96.9032222221,-94.1712222223,-93.4425555554,-32.9688888889,-91.439111111,-126.776222222
220.85,-107.341111111,-50.9921111111,-126.984111111,-97.2223333333,-112.301555556,-103.571333333,-106.944333333,-114.087111111,-102.777666666,-45.4364444444,-102.976222222,-156.150777778
221.23,-106.557333333,-54.2804444444,-118.761444444,-91.2567777777,-107.467888889,-104.918222222,-99.9998888889,-111.839777778,-95.9927777778,-46.9945555556,-93.4425555555,-149.544777778
221.61,-58.2686666667,-20.2843333333,-59.69,-42.2478888889,-54.6512222222,-58.7856666667,-51.4213333333,-59.8191111111,-44.8318888889,-16.7958888889,-43.4107777778,-83.9793333333
221.98,-63.9943333333,-25.1757777778,-65.8227777778,-51.4768888889,-60.0562222222,-70.8861111111,-61.4626666666,-69.4795555556,-47.6793333333,-23.6287777778,-46.1322222222,-90.7171111111
222.36,-62.9107777778,-16.2754444444,-64.1626666666,-55.3992222222,-60.2504444445,-69.1705555556,-59.468,-63.8497777778,-41.6274444444,-33.1768888889,-40.0626666666,-93.5838888889
222.74,-95.3703333334,-34.7221111111,-101.620333333,-83.7961111111,-90.277888889,-113.194444445,-95.1391111112,-100.231333333,-66.4352222222,-59.7223333332,-62.963,-134.027888889
223.11,-265.217333333,-137.198111111,-256.038666667,-203.381555556,-235.265555555,-278.260888889,-265.700444444,-245.410555555,-196.135444445,-176.328555556,-182.608888889,-315.941888889
223.49,-109.302222222,-36.9506666667,-90.4394444445,-67.4417777778,-88.6304444444,-100.258222222,-109.302222222,-103.875888889,-65.8914444444,-63.8243333334,-50.646,-130.232555556
223.87,-138.562,-43.7908888889,-110.457333333,-86.2744444444,-116.339888889,-122.875777778,-147.058888889,-142.483555556,-88.2353333333,-75.817111111,-61.1110000001,-166.339777778
224.24,-247.685222222,-89.3520000001,-177.777888889,-171.759333333,-182.407444444,-199.074111111,-247.222222222,-237.5,-169.907333333,-159.722222222,-129.166666667,-259.722111111
224.62,-226.068333333,-88.8888888889,-170.94,-169.658,-175.213777778,-186.752111111,-239.743777778,-232.051222222,-168.803333333,-170.512666667,-138.461444444,-249.145333333
225.00,-112.373777778,-41.1616666667,-96.4646666667,-73.4847777778,-89.6464444445,-93.1815555557,-129.798111111,-117.929333333,-82.3232222221,-80.5555555556,-78.2827777779,-115.656555556
225.38,-132.063555555,-55.8731111111,-105.397,-86.984,-113.968333334,-109.841222222,-163.174777778,-139.365,-97.4604444444,-94.9205555557,-99.9999999999,-142.857111111
225.75,-267.901222222,-150.0,-235.185222222,-194.444444444,-237.654333333,-232.716111111,-338.889,-300.000111111,-219.135888889,-206.790111111,-252.469111111,-309.259333333
226.13,-62.8788888889,-13.1313333333,-53.5355555556,-23.4847777778,-66.6666666667,-47.2222222222,-87.1212222223,-72.9797777778,-50.0,-32.0706666667,-64.3941111111,-72.7273333334
226.51,-36.1581111111,-7.15644444447,-33.71,-5.64988888888,-45.1976666667,-32.0151111111,-62.9002222222,-59.1337777778,-33.8982222222,-8.6628888889,-52.9188888889,-47.4577777778
226.88,-17.7776666667,-1.72844444442,-19.2593333333,-0.740555555567,-25.1851111111,-13.0865555556,-36.2963333333,-33.3333333333,-14.4443333333,1.35800000001,-33.4566666667,-31.358
227.26,0.67333333332,8.41766666666,-4.7981111111,9.34344444443,-9.25922222222,1.17833333333,-9.34322222222,-14.5623333333,-1.01011111111,9.17522222222,-14.899,-9.84855555556
227.64,-6.90222222223,1.01033333333,-10.6902222222,-2.77777777778,-17.0032222222,-11.0266666667,-13.0471111111,-17.5926666666,-7.57577777777,2.18866666669,-23.4007777778,-15.909
228.01,-0.731888888877,1.79644444444,-4.8568888889,-3.72577777779,-15.1697777778,-6.9858888889,-6.52022222222,-13.0405555556,-4.92344444446,2.26222222223,-16.567,-10.0466666667
228.39,3.58600000001,6.4668888889,0.0587777777757,1.52844444443,-13.11,-5.17344444444,0.587666666668,-8.936,0.822888888889,6.46677777777,-9.22988888889,-3.586
228.76,-6.02633333333,-0.87877777778,-6.84244444443,-8.97677777777,-22.7245555556,-13.371,-3.76655555556,-16.5725555555,-4.89644444444,-1.19288888889,-15.5054444444,-7.40733333334
229.14,-6.82355555556,-1.93244444444,-5.61588888889,-10.93,-23.0676666667,-13.0434444444,-2.65688888889,-14.9757777778,-5.6158888889,-1.87188888889,-13.1037777778,-7.72955555557
229.52,-1.49877777778,2.11877777778,-1.75722222222,-6.71833333332,-15.5554444445,-5.42644444444,3.256,-8.26877777777,-0.465111111113,1.49866666667,-6.66655555557,-1.03333333333
229.89,-1.811,0.734222222223,-5.8248888889,-8.71266666666,-15.4675555555,-6.46111111111,1.81100000001,-11.0622222222,-2.49644444444,-1.07677777778,-5.6288888889,-0.685333333333
230.27,-7.31966666666,-4.84477777779,-11.9536666666,-17.0088888889,-20.6951111111,-13.3226666667,-4.95,-18.9045555556,-8.9521111111,-7.53033333333,-12.0588888889,-9.4788888889
230.65,-4.74,-2.90522222222,-9.07244444444,-13.6594444444,-16.8707777778,-11.0092222222,-1.17222222223,-14.9847777778,-5.75955555555,-5.148,-8.66455555554,-6.67677777779
231.02,-0.909222222232,-0.353555555553,-4.84822222222,-11.5152222222,-13.5351111111,-10.4041111111,1.66666666668,-14.3433333333,-2.82833333333,-4.69711111111,-5.85855555556,-2.52522222222
231.40,-1.31644444444,-0.684555555557,-3.94944444444,-12.5327777778,-12.9543333333,-10.4266666667,1.21122222222,-15.5345555555,-3.05422222222,-4.476,-3.31755555556,-4.10755555556
231.78,-1.89577777778,-2.00111111111,-5.00233333333,-11.1636666667,-13.7967777778,-9.21544444443,0.842666666667,-19.168,-3.94933333333,-3.31766666667,-2.73822222222,-6.68766666666
232.15,-7.61111111112,-5.77777777778,-11.8333333333,-14.8888888889,-17.0555555556,-14.4444444445,-4.1111111111,-23.6666666667,-8.83333333332,-7.61111111111,-6.94444444444,-11.2777777778
232.53,-8.71033333333,-7.42599999999,-12.8418888889,-14.573,-16.8621111111,-13.8468888889,-7.14677777777,-23.1155555556,-10.2734444444,-7.92844444443,-8.93366666667,-12.842
232.90,-5.7158888889,-6.83777777779,-11.3783333333,-8.86766666668,-15.4914444444,-12.3396666667,-6.78422222223,-18.9102222222,-10.8438888889,-4.59400000001,-8.22655555555,-12.7673333333
233.28,-12.2107777778,-7.69688888888,-16.5508888889,-12.7315555556,-20.4283333333,-15.9723333333,-9.83800000002,-23.8424444444,-14.9306666666,-7.06033333333,-10.9376666667,-18.7502222222
233.66,-14.427,-7.91166666668,-17.8592222222,-14.5435555555,-21.8731111111,-18.0918888889,-10.8784444445,-27.4577777778,-16.2304444444,-8.78411111113,-11.6927777778,-18.7315555556
234.03,-9.13077777779,-4.40033333334,-11.4411111111,-9.84577777777,-18.922,-13.9162222222,-4.07044444444,-20.8471111111,-10.3961111111,-3.46544444445,-7.20566666668,-13.5311111111
234.41,-10.0217777778,-5.33777777778,-10.3486666667,-11.111,-19.7168888889,-13.1807777778,-3.10466666667,-18.7907777778,-9.2592222222,-5.44655555557,-7.0261111111,-11.2746666667
234.78,-10.5477777778,-5.99088888887,-11.111,-12.903,-19.7644444444,-14.0297777778,-4.50611111111,-19.611,-9.57511111111,-6.298,-7.27088888889,-9.21655555557
235.16,-13.0841111111,-6.49011111112,-10.3322222222,-13.4476666667,-20.8204444444,-13.2917777778,-5.03633333335,-19.7818888889,-10.1763333333,-4.77666666667,-7.26911111111,-8.77466666667
235.54,-12.1668888889,-3.97188888889,-9.25111111112,-11.1111111111,-18.9541111111,-11.7143333333,-3.4691111111,-18.2503333333,-6.33477777777,-1.80999999999,-6.68677777777,-4.7761111111
235.91,-9.84955555554,-2.08622222222,-6.35622222222,-8.15144444443,-15.2837777778,-10.8685555555,-1.79522222222,-15.1867777778,-3.63888888889,-1.2131111111,-5.09477777778,-2.32899999999
236.29,-5.82244444445,0.67933333332,-1.64977777778,-5.09455555556,-12.6637777778,-8.53944444444,-0.970333333333,-13.8283333333,-0.436777777777,1.79522222222,-4.02722222222,0.436666666667
236.66,-5.05044444444,1.15444444446,-0.96211111111,-6.49355555554,-11.9287777778,-7.07066666667,-0.0962222222333,-12.6023333334,-1.01011111111,3.41488888889,-4.23255555556,1.15455555556
237.04,-5.31188888889,2.77788888889,-0.828444444443,-7.60233333333,-11.2085555556,-5.8478888889,0.974666666643,-13.5964444444,0.341222222223,4.23988888888,-4.87322222222,3.36233333333
237.41,-1.57366666667,1.62144444444,0.333777777777,-6.00855555556,-8.10677777779,-4.57788888889,1.8598888889,-12.8754444445,2.24122222222,4.76855555554,-6.58077777778,7.05755555556
237.79,-3.75444444445,-2.13077777778,-4.36311111111,-8.87888888888,-13.648,-9.18333333333,-1.67433333333,-16.5906666667,-1.11611111111,1.16677777778,-12.9883333333,3.45022222222
238.17,-4.48622222223,-2.03455555556,-6.62488888889,-10.4853333333,-14.6584444444,-10.5374444444,-3.49511111112,-18.7793333333,-1.09555555556,1.51288888889,-14.6583333333,3.54733333333
238.54,-1.73155555554,0.336666666667,-5.24288888889,-10.0048888889,-10.9185555555,-6.58977777777,-1.82777777777,-15.921,2.64555555555,6.06066666667,-12.2173333333,6.34933333333
238.92,1.10655555557,3.50377777778,-3.13511111111,-7.00788888889,-8.43722222223,-4.33377777777,1.24477777778,-13.0013333334,5.94733333333,8.16066666667,-8.4371111111,7.23855555556
239.29,-1.96077777778,0.43577777778,-8.71466666666,-10.109,-11.8082222222,-7.88666666667,-2.70155555557,-17.1678888889,1.35077777778,3.355,-11.0676666667,3.70377777778
