wavelength,Back_HemGuim,Belly_HemGuim,Breast_HemGuim,Crissum_HemGuim,Crown_HemGuim,DorTail_HemGuim,Patch10_HemGuim,Patch11_HemGuim,Rump_HemGuim,Throat_HemGuim,WingTip_HemGuim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,56.2963333333,51.8518,72.9631333333,75.926,66.6666666666,69.2593333334,64.4444666667,64.8147333333,64.4446,66.6666666667,58.1481333334
179.16,46.6666666667,62.8571333333,99.0476000001,86.6666666667,104.761866667,67.6190666667,82.8573333333,45.7142666667,71.4286666667,79.0476000001,96.1904
179.54,-6.66666666666,28.8888666667,37.7778,97.7778,68.8888666667,75.5555333333,17.7778666667,44.4445333332,-35.5556000001,15.5555999999,-31.1111333334
179.93,-53.3333333333,-86.6666666667,-69.9999999999,13.3333333334,8.33333333334,-6.00003602358e-11,-21.6666666667,-31.6666666667,-106.666666667,-84.9999999999,-86.6666666666
180.31,42.8828,44.1442666666,47.4774,78.9188000001,81.3514,68.7386666666,57.6577333333,56.3964,29.0991999999,40.9909333333,55.1352000001
180.69,43.5341333333,46.6666666666,44.5783333333,77.9116,76.7872,69.7188666667,56.7068666667,55.5019333333,29.3975333333,39.4378,56.2250666667
181.07,42.0105333333,46.2433333333,38.0952,85.291,81.3757333333,73.1217999999,52.1693333333,51.7458666667,15.6612666666,30.1586666666,57.1428000001
181.45,43.2098666667,47.0369333333,29.2591333333,91.7284,85.5554666667,85.3086000001,53.8271333333,53.9506,11.1111333334,25.5555333334,54.0741333332
181.83,39.5767333333,35.9788666667,18.2011333333,77.0369999999,73.4392,77.5661333333,54.9204666667,47.619,10.0529333333,20.7407333333,48.3597333334
182.21,52.25,50.6666666667,34.0833333333,79.5833333333,77.8333333333,80.5833333333,67.3333333334,56.6666666667,33.4166666666,39.5,59.75
182.59,57.3528666667,53.7255333333,34.2158,87.4510666666,80.4901333333,85.9804,71.6666666666,60.3922000001,36.9608,37.3530666666,60.6862
182.97,52.381,49.1004666667,24.762,89.9470666666,77.6719333333,80.8465333333,66.3492000001,52.3809333333,35.2380666666,26.5608666667,52.5924666667
183.35,46.9841333333,43.0687333333,15.873,82.328,66.9841333333,73.5449333333,63.8094666667,45.1851333333,34.7090666666,19.3650666667,42.3280666667
183.73,45.8888,36.2223999999,14.2223333333,78.9999333333,62.1110666666,74.7777333334,58.3332666667,37.2222,34.4444666666,17.0,39.5554666667
184.11,55.0927333333,43.6110666667,26.9444666667,78.2407333333,66.7593333333,81.6666000001,61.7591333333,47.8703333333,44.0740666667,27.7777333333,49.074
184.49,65.7778,55.9999333334,38.3112,87.9999999999,75.9110666666,90.9334000001,67.3777333333,57.7778000001,56.5333333333,38.1332666667,55.2889333333
184.87,66.0605333333,53.9394000001,40.5052,91.1111999999,81.111,96.0606666667,72.6263333333,56.7678000001,55.3534000001,35.8584,53.0302666667
185.25,55.2656,44.4446,26.9565333333,74.0095333334,73.9129333333,88.4057999999,66.9566,45.7970666667,50.0483999999,23.0918,43.5748
185.63,51.626,40.4878666666,25.9349333333,61.9512,61.1380666666,72.6829333334,57.3983333333,39.4308666667,45.2031333333,20.0813333333,40.1625333333
186.01,53.3332666667,45.9361333334,22.8311333333,61.5525333334,62.1918,72.6941333334,53.7899333333,38.1734000001,49.7715999999,23.379,40.6394666667
186.39,41.6295333333,22.3701999999,-17.3333333333,51.1111333332,49.6295999999,66.0741333333,30.074,4.59266666667,26.9629333333,-15.2592,15.2592666667
186.77,13.0613333333,6.12239999995,-41.4967333333,23.6735333333,22.3129333333,43.4012666667,10.2040666667,-16.5986666667,0.95246666674,-35.2381333334,-0.136000000006
187.15,-2.74513333326,-28.8236666668,-73.1373333335,0.392133333246,3.5295333334,43.3333333333,1.7646666667,-55.0980666666,-27.8430666667,-68.6273999999,-18.4313333334
187.53,-8.98539999988,-57.3913333331,-112.173866667,-16.2318666667,2.31880000006,50.7246000001,-6.95646666674,-92.4637999999,-47.2464000001,-107.246466667,-28.1159333333
187.91,-35.5555333333,-69.2062666667,-140.634933333,-43.4921333333,-14.2857333333,42.2222000001,-27.3015333334,-118.095266667,-77.7777333334,-121.269933333,-47.6190666667
188.29,-256.666666667,-381.666666667,-580.0,-369.166666667,-201.666666667,-126.666666667,-240.0,-535.833333333,-355.0,-479.166666667,-365.833333333
188.67,1786.66666667,2303.33333333,3176.66666667,2586.66666667,1510.0,1473.33333333,1576.66666667,2906.66666667,2143.33333333,2606.66666667,2296.66666667
189.05,480.833333333,650.0,858.333333334,764.999999999,418.333333333,476.666666667,455.0,785.833333333,575.0,691.666666667,676.666666667
189.43,213.75,302.916666667,414.166666667,375.416666667,192.083333333,251.25,208.75,363.75,259.166666667,309.583333333,330.0
189.81,112.500133333,139.1666,178.75,165.138933334,92.7778000001,122.916466667,109.583466667,154.0278,125.277733333,134.5834,145.139
190.19,91.4446000001,114.111066667,137.5556,130.333333334,74.8888666667,101.8888,89.8889333333,127.111066667,100.5556,113.0,116.666666667
190.57,113.2,126.266666667,157.466666667,154.666666667,90.9333333333,123.6,104.933333333,144.133333333,115.466666667,129.066666667,140.266666667
190.95,103.555466667,125.629666667,142.3704,153.333266667,82.2223333335,122.370333333,99.5556,143.703666667,107.851866667,119.2592,139.7038
191.33,108.4058,122.4638,147.826066667,157.101466667,92.4637333334,126.086866667,118.260866667,144.347933333,108.260933333,115.942133333,140.579666667
191.71,121.944533333,134.861066667,169.305533333,179.1666,112.916666667,144.166666667,137.2222,161.111066667,124.305666667,127.361066667,158.194533333
192.09,115.862133333,126.2068,157.816133333,166.321866667,110.3448,136.666666667,132.183933333,146.206933333,113.2184,120.115,146.207
192.47,111.290266667,115.806466667,150.322733333,157.311933333,108.709666667,130.752733333,123.0108,137.419333333,110.215066667,115.053733334,138.924733333
