wavelength,Back_HemReyf,Belly_HemReyf,Breast_HemReyf,Crissum_HemReyf,Crown_HemReyf,DorTail_HemReyf,Rump_HemReyf,Throat_HemReyf,WingTip_HemReyf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-95.8333333332,-79.1666666665,-91.6666666667,-116.666666666,-62.5,-14.2361111112,4.16666666665,-116.666666667,137.5
179.16,91.6668333332,103.5715,78.5713333333,75.0001666667,52.381,76.5873611111,85.1191666668,89.2856666667,58.92875
179.54,75.0,95.0000000002,46.6666666667,101.666666667,88.3333333331,53.0555555553,92.4999999998,130.0,60.0
179.93,40.0,36.6666666667,-30.0,56.6666666667,-69.9999999999,43.8888888887,13.3333333333,16.6666666666,105.0
180.31,116.129166666,153.225833333,95.1611666669,78.4946666665,97.3118333335,91.8008888888,172.849416667,185.483833334,19.35475
180.69,149.074166666,200.926,105.555833333,82.4075,91.6666666667,107.407638889,244.4445,280.5555,-31.94425
181.07,90.6666666665,130.666666667,80.0,45.3333333332,56.6666666668,100.555555555,166.0,200.666666666,-10.0
181.45,168.333333334,243.333333334,196.666666666,135.0,115.0,245.138888889,375.0,470.0,-5.0
181.83,-312.5,-420.833333333,-266.666666667,-295.833333333,-158.333333335,-586.111111112,-679.166666667,-995.833333331,225.0
182.21,145.0,186.666666666,103.333333333,130.0,41.6666666665,227.638888889,272.5,431.666666667,-102.5
182.59,137.179833333,141.0255,153.846,138.4615,41.0255,215.170916667,176.923083333,348.718,-90.3845
182.97,90.0,131.666666667,139.166666667,138.333333333,59.1666666665,193.888888889,128.333333334,257.5,-36.25
183.35,67.1171666666,113.513666667,118.018166666,119.819833333,64.8650000002,142.305013889,85.5857499999,158.108,5.4055
183.73,68.9656666667,103.448,96.2645,108.046,64.0805000002,114.77475,74.7125833333,126.436833333,28.87925
184.11,58.9285,96.7261666668,82.4406666667,103.869,58.3333333333,95.5855694447,67.5593333333,111.3095,8.92825
184.49,50.8198333334,86.8853333335,88.5246666668,103.0055,63.661,98.5427222224,56.5575,104.918,15.574
184.87,50.4166666667,82.7083333331,82.7083333331,92.4999999998,65.8333333333,90.9375,56.3541666667,95.8333333331,35.3125
185.25,49.39,84.5530000002,73.5771666667,92.2765000002,65.6504999998,82.0629305556,60.0610833333,91.4635000001,41.4635
185.63,48.5963333334,90.1753333335,66.8421666667,83.1578333333,66.6666666665,77.9093333333,59.5613333333,85.965,38.42125
186.01,42.4778333333,82.006,65.3393333333,73.599,60.1769999998,69.4198611111,57.5221666667,74.3361666667,44.46925
186.39,48.4276666667,95.4403333333,76.1005,87.7358333334,64.4653333333,82.7042916668,66.9024166666,85.0628333333,61.32075
186.77,55.724,110.437666667,80.4715,97.6431666668,74.0741666668,95.7912638888,76.2625833333,96.2963333333,79.0405
187.15,55.303,111.174333333,82.0078333332,93.9395000001,74.2423333335,95.6598333335,73.48475,93.9391666666,88.3525
187.53,48.2355,106.666666667,71.5684999999,88.2353333331,62.9413333335,84.4935555555,69.9019166667,93.1371666667,79.41175
187.91,43.137,107.107833333,65.196,90.9313333332,58.8235,85.3960833335,59.06875,95.5881666669,73.897
188.29,55.208,121.875,82.8125000002,103.124833333,65.1038333333,93.7715972221,71.3540833333,112.499833333,92.5785
188.67,75.893,161.3095,100.595333333,120.833333333,81.8453333332,113.095347222,109.970333334,138.6905,123.21425
189.05,73.129,182.313,121.0885,124.489666667,78.9115,113.435444445,111.734666667,142.517166667,129.592
189.43,62.1428333333,142.380833333,110.952666667,103.095166667,63.8096666665,92.9564305555,93.4521666667,117.619,107.85725
189.81,53.5715,125.9525,103.333166667,99.7618333332,57.8571666665,86.1108611113,82.143,111.904666667,101.4285
190.19,62.2221666666,130.222166667,111.555333333,103.111,57.3331666665,82.6663749998,92.11125,120.889166667,94.33325
190.57,54.016,112.650666667,102.208833333,90.5621666669,57.4296666665,76.1376805556,84.0359166667,106.827333333,83.1325
190.95,33.5498333333,91.7749999998,89.6101666667,78.1385,44.8050000002,63.9609583333,70.8875833333,95.0216666666,72.07775
191.33,39.3575,96.1848333332,81.7266666665,85.7430000002,47.5903333331,59.8057777778,73.19275,101.003833333,75.0
191.71,44.074,90.3704999998,84.6296666666,82.222,45.9258333332,59.4444027777,71.2963333333,96.1111666669,86.3885
192.09,39.1303333334,90.3985,85.5070000002,83.5145,45.6521666665,64.4324583333,76.8115,101.8115,92.93475
192.47,32.1705,86.6278333335,84.6900000001,77.5193333334,41.2791666666,63.2590555555,73.74025,96.8993333331,95.05825
192.85,26.0416666667,78.9583333331,89.7916666669,81.0416666667,33.9583333333,62.3958333332,66.9791666667,95.2083333331,92.5
193.23,32.4786666666,83.547,90.1711666666,91.2394999998,33.7608333333,66.7558194443,77.1368333331,102.3505,88.782
193.61,36.3638333334,91.6668333333,99.7476666665,101.262666667,40.1516666667,76.3046944447,80.8081666668,114.898833333,93.182
193.99,31.0,97.9999999999,111.0,106.666666667,26.3333333334,72.777777778,78.6666666668,122.666666667,108.0
194.37,20.7206666667,95.9458333333,123.874166667,119.819833334,25.6756666668,99.8874166666,67.7927500002,133.783833333,143.919
194.75,28.0953333333,109.523833333,117.142833333,139.524,24.762,116.547680555,76.4285833332,147.619,157.143
195.13,71.5909999998,123.8635,131.818333333,145.075833333,48.1060000002,120.044027778,92.6137499999,146.591,153.40925
195.51,90.4761666669,127.551,145.918333333,159.523833333,65.3061666667,131.717986111,93.5373333332,150.680333333,159.69375
195.89,135.135,183.333333333,190.09,218.468333333,114.414333333,196.283777778,133.558666667,211.711666666,239.86475
196.27,182.857,217.142833333,227.619166667,267.619,165.7145,224.801375,156.4285,244.762,272.85725
196.65,126.969833333,156.969833333,156.97,188.484833334,121.212166667,162.878861111,114.091,176.363833333,186.3635
197.03,133.333333333,163.793,155.747333333,180.747,120.402166666,155.771208333,109.770166667,173.275666667,188.79325
197.40,161.3095,196.131,176.488166667,207.738,157.4405,188.318513889,127.827166667,197.619,232.14275
197.78,222.5,263.75,223.75,287.5,207.916666667,256.180555556,169.375,262.5,310.0
198.16,212.5925,258.518333333,217.407166667,272.963166667,199.999833333,240.431958334,184.25925,265.5555,298.889
198.54,208.6805,263.541666666,220.139166666,262.499833333,195.139,231.799888888,192.882,261.4585,293.22925
198.92,199.2755,267.753666666,235.144833334,266.304333333,186.956666667,231.883930556,191.847666667,269.565333334,308.6955
199.30,212.015333333,294.961333334,255.426333333,286.434166667,204.263833333,251.93825,206.976583333,298.062,337.7905
199.68,167.295666666,246.855333333,216.352166667,223.270333333,163.836666667,197.405486112,179.402416666,240.8805,271.69825
200.06,189.007166667,271.276666666,246.454166667,235.106333333,174.822666666,208.008333333,197.3405,278.369,287.76575
200.44,169.136,245.061666667,226.851666666,206.4815,152.777833333,183.024875,182.098833334,251.543333333,270.833
200.82,180.0,263.333333333,244.333333333,225.333333333,158.666666667,189.666666667,186.333333333,267.666666666,308.5
201.19,175.163166666,253.267666666,230.392333333,226.143833333,162.418333334,191.911944445,183.4965,262.745166667,308.33325
201.57,145.757666667,215.151333334,200.909,191.212166667,137.575833333,162.651458333,161.0605,235.454333333,280.45425
201.95,133.615666667,209.322,202.542333333,172.598833334,136.158333333,150.847236111,152.5425,226.836,283.89875
202.33,141.808,215.254333333,218.361333333,177.966166666,148.305,168.691083333,162.85325,231.0735,283.051
202.71,151.488,225.595166667,218.4525,182.142833333,158.631166667,169.766902778,166.815416667,245.238,297.76825
203.09,174.107166667,227.6785,214.881,185.416833333,175.595166667,172.023861111,169.3455,258.035833334,299.107
203.47,179.310333334,223.563166666,211.7815,183.908,173.563333333,173.012541667,173.8505,244.253166667,287.931
203.85,191.666833333,240.705166667,242.948666667,212.5,194.551333333,210.203180556,197.596416667,279.807666666,326.923
204.22,190.941833333,254.71,265.217333333,240.579666667,208.695833333,231.612347223,205.797166667,282.971166666,352.17375
204.60,283.908,357.471333333,383.908,345.402333333,276.436666667,362.164819445,295.977083333,421.264333333,546.552
204.98,661.904833334,770.238,817.857166667,711.904666666,586.904666667,828.769666667,683.333166667,896.428666665,1119.6425
205.36,9633.33333335,11066.6666667,11683.3333333,9883.33333335,8483.33333332,12045.8333334,10133.3333333,13050.0,15325.0
205.74,1950.0,2113.88883334,2338.88883334,1983.33333334,1661.11116666,2289.58326389,1936.11108334,2397.22216667,2745.83325
206.12,1172.72733333,1206.06083333,1324.24266666,1171.21233333,949.999833333,1365.02513889,1153.788,1357.576,1581.81825
206.50,589.855,594.202833333,649.2755,590.579833334,481.884166666,679.046027778,558.695666666,652.8985,814.13075
206.87,434.946333333,428.494666666,494.623666667,435.483833333,343.010833333,508.422847222,402.68825,470.430166667,589.51625
207.25,311.594,318.8405,366.3045,306.521666667,252.174166667,372.977152778,301.449166666,315.217333334,419.02175
207.63,304.2555,321.276666667,367.7305,301.418333334,255.673833333,358.599569444,297.872333334,316.666666666,422.3405
208.01,280.128,291.025666667,326.923166666,267.307666666,234.615333333,323.530986111,269.391083333,280.128,378.84625
208.39,209.7045,209.4935,235.021166666,198.523333334,176.582333333,225.597791667,200.00025,207.595,271.2025
208.77,187.362666666,194.5055,219.414,177.2895,165.384666667,196.367597222,187.637166666,183.882833334,237.91175
209.14,170.068,172.108666666,204.0815,165.476,155.272166666,173.044097222,167.176833333,168.7075,215.561
209.52,171.5355,172.659333334,210.486666667,176.4045,155.805166666,177.574736111,174.157416667,170.599166667,227.247
209.90,163.333333333,163.137333334,198.235333333,171.568666667,149.215666666,171.960777778,172.05875,170.588166667,218.52925
210.28,195.502666667,198.941833333,245.238166666,206.084666666,189.947,211.750430556,220.899333334,210.3175,256.746
210.66,260.465166667,248.4495,334.496,266.278833334,244.573666667,274.838555556,296.899166667,283.3335,335.465
211.03,673.809666667,684.523833331,972.619166667,740.476333333,679.762,763.492180555,854.761916668,764.285666666,960.71425
211.41,-1394.44466667,-1313.88883333,-2077.77766667,-1580.5555,-1294.4445,-1570.37040278,-1784.72241666,-1633.33333333,-2033.33325
211.79,-266.666666667,-228.472166667,-427.777666666,-321.527833333,-240.277666667,-331.828763889,-360.763916666,-315.972,-413.54175
212.17,-127.305,-105.319166667,-190.4255,-139.716166666,-97.1631666665,-150.797708333,-156.20575,-137.5885,-180.31925
212.55,-74.2424999998,-57.0704999999,-119.191666667,-78.5353333333,-42.1715,-94.6130972222,-101.767583333,-86.8686666667,-112.5
212.92,-46.7106666667,-25.6578333332,-80.921,-58.3333333333,-27.4121666667,-64.2541944445,-71.4910000001,-60.3068333333,-80.26325
213.30,-42.1171666667,-15.5406666667,-70.4956666668,-46.3963333334,-18.9188333333,-56.1186388889,-67.5675833335,-52.2523333333,-77.02725
213.68,-67.4999999998,-33.889,-103.611333333,-63.6111666666,-39.4445,-82.3147083333,-96.1111666665,-81.9443333334,-110.41675
214.06,-59.7436666668,-28.2051666667,-92.3078333335,-53.5895,-36.154,-64.7223472222,-83.58975,-62.0511666667,-95.3845
214.44,-43.7811666666,-5.47283333335,-75.1243333335,-32.8356666666,-13.6818333333,-47.9064305556,-58.0845833333,-44.527,-80.59725
214.81,-33.8028333334,-6.1035,-73.4741666665,-29.3426666666,-12.911,-41.2952222222,-49.6480833334,-34.2721666667,-69.01425
215.19,-76.8516666668,-28.7038333334,-108.333166667,-54.9383333333,-44.7531666667,-72.196402778,-77.6233333334,-72.5308333334,-102.315
215.57,-34.2721666667,-4.9295,-55.8686666665,-20.8921666666,-21.5965,-29.3819861111,-39.7888333333,-42.4881666667,-49.29575
215.95,-45.0396666667,-18.0555,-61.9045,-34.3253333333,-35.5158333333,-42.1792916667,-51.78575,-54.1666666667,-59.524
216.32,-27.4191666666,-6.631,-52.5091666665,-26.7025,-32.258,-32.3177777778,-43.9963333333,-41.3978333333,-48.38725
216.70,-29.1666666667,-7.46533333335,-53.1250000002,-28.8193333333,-40.7983333334,-39.5980277777,-40.5380833333,-40.9721666666,-47.65625
217.08,-35.3256666667,-20.1086666667,-58.3335000002,-35.1448333333,-41.6666666667,-50.4682777778,-43.93125,-47.645,-57.337
217.46,-34.3751666667,-26.7361666667,-59.3749999998,-35.7638333333,-45.3123333333,-54.1520138889,-45.5730833333,-45.8333333333,-56.771
217.83,-43.5606666667,-28.4090000001,-70.0754999998,-37.3105,-53.5983333333,-57.2445416667,-51.6099166667,-47.7273333333,-56.25
218.21,-46.8355000002,-30.3796666668,-79.9578333332,-35.4431666667,-60.5485,-69.1105833333,-61.0759166667,-61.6033333333,-69.62025
218.59,-97.5,-81.3888333335,-130.277833333,-82.2223333332,-113.0555,-118.333444445,-116.25,-117.777666667,-118.75
218.97,-142.045333333,-123.8635,-167.803166667,-115.151333333,-149.999833333,-160.164083334,-168.939333333,-173.106166667,-174.43225
219.34,-108.169833333,-85.294,-131.3725,-87.9085,-109.803833333,-123.556375,-141.340083333,-128.104666667,-152.451
219.72,-157.5395,-137.3015,-201.1905,-130.555666667,-156.746166667,-170.998555555,-206.944416667,-175.396833334,-232.143
220.10,-455.952666667,-398.809333334,-617.856833333,-373.809666666,-447.618833333,-500.39675,-615.476166667,-553.5715,-728.57125
220.47,3266.66666666,2608.33333333,4250.0,2650.0,2791.66666666,3204.16666666,4183.33333334,3825.0,4987.5
220.85,454.761833334,379.762,601.190333333,376.190333333,411.904833333,457.440638888,633.33325,563.095166667,741.07175
221.23,760.416666665,616.666666665,956.250000001,672.916666666,729.166666667,769.270833333,1091.66666666,908.333333331,1137.5
221.61,538.888666667,415.277833333,636.111,462.5,486.111166667,536.921333334,738.194333334,637.5,758.33325
221.98,664.583333334,535.416666666,712.5,660.416666667,537.5,718.055555555,1026.04166667,845.833333333,1065.625
222.36,-626.190333332,-526.190333331,-773.8095,-716.6665,-523.8095,-714.087166667,-1102.38083334,-766.666666667,-1117.857
222.74,-146.528,-103.472333333,-193.055666666,-181.25,-106.9445,-154.629458333,-293.402666667,-167.361,-328.125
223.11,-110.784666667,-56.862833333,-138.7255,-117.156833334,-81.8626666667,-112.540875,-208.088166667,-122.058666667,-228.67625
223.49,-78.5715000002,-38.8889999999,-85.3174999998,-90.0793333334,-59.1268333333,-82.142972222,-161.904666667,-90.0795000002,-154.1665
223.87,-72.0126666667,-25.1571666668,-47.1698333333,-67.6098333333,-50.629,-64.1508333334,-122.484416667,-61.6351666667,-115.566
224.24,-58.4698333331,-15.5736666666,-29.2346666666,-38.7978333333,-39.8906666666,-39.4355138888,-91.5298333333,-37.705,-77.86875
224.62,-65.459,-26.5699999999,-41.3045,-42.7535,-47.1015,-51.4290277777,-99.6376666667,-48.7921666667,-91.66675
225.00,-35.8843333333,-10.0341666667,-17.0068333334,-23.1291666667,-24.1496666667,-21.4710138889,-60.034,-26.1905,-56.3775
225.38,-17.6551666667,6.49716666665,-4.23733333333,-1.271,-6.77966666667,-4.77848611111,-37.7825,-9.88716666666,-37.92375
225.75,-5.9953333333,8.993,2.75783333333,-2.75766666666,0.959333333334,4.02684722223,-28.597,-6.9545,-22.84175
226.13,-14.1666666667,-0.59516666665,-9.40466666668,-12.1426666667,-12.9763333333,-7.430625,-38.9285,-15.9525,-31.7855
226.51,-19.065,-4.67633333335,-5.3955,-16.4266666667,-16.307,-13.94875,-39.9281666667,-24.7001666666,-31.83475
226.88,-17.9388333333,-7.6335,-5.598,-20.8651666666,-19.9746666667,-17.2814861111,-40.2034166666,-26.972,-28.0535
227.26,-11.678,-6.1225,-1.3605,-19.5011666667,-14.2858333333,-12.0182083333,-30.0453333334,-20.635,-17.00675
227.64,-17.3661666666,-11.0723333333,-10.373,-24.3591666667,-18.7645,-18.3373194444,-34.8485,-29.4871666666,-24.47575
228.01,-13.7971666666,-14.1278333334,-16.777,-28.5871666667,-19.978,-20.2169583334,-34.16125,-32.4501666666,-20.199
228.39,-11.0466666667,-13.2751666666,-16.6665,-29.7483333333,-18.5078333333,-19.210375,-30.9594166667,-30.5235,-17.878
228.76,-11.5078333333,-16.2698333333,-15.6745,-34.8215,-24.901,-17.675375,-31.4980833333,-33.7301666667,-14.2855
229.14,-18.5416666667,-24.5833333333,-21.1458333333,-41.25,-29.8958333334,-26.9097222222,-36.40625,-40.3125,-13.90625
229.52,-33.9285,-44.6426666667,-40.1191666667,-65.0,-49.0476666667,-43.1843472222,-56.6069166666,-65.8331666667,-26.25
229.89,-47.2898333333,-60.027,-50.8128333333,-73.1706666667,-66.1248333333,-58.2545,-70.664,-77.3713333334,-33.943
230.27,-41.4103333333,-51.5385,-43.974,-60.128,-55.2565,-42.3290972222,-56.2820833334,-71.795,-27.3075
230.65,-47.9673333333,-57.9945,-53.5228333333,-61.2465,-57.317,-40.2887638889,-58.6720833333,-73.0351666666,-34.95925
231.02,-54.7618333333,-59.6638333333,-61.2045,-59.944,-58.4033333333,-44.0593333333,-62.465,-78.8516666667,-42.227
231.40,-66.3551666667,-70.0933333333,-74.9221666666,-70.2491666667,-74.2988333333,-58.3853333334,-78.7383333333,-94.86,-60.74775
231.78,-57.4713333334,-66.3793333334,-68.1033333334,-62.6436666667,-68.5343333334,-51.6523333334,-72.7731666667,-81.0343333333,-55.17225
232.15,-61.111,-65.1236666666,-62.963,-59.722,-65.7408333333,-51.9417083333,-73.3025,-78.2406666667,-56.713
232.53,-74.6296666665,-80.5553333334,-65.3701666666,-72.037,-73.148,-62.6695833333,-89.62975,-91.4813333331,-65.83325
232.90,-71.8518333335,-70.5556666666,-62.037,-67.5926666667,-64.6295,-70.5402777777,-88.8889166667,-86.4816666666,-68.05575
233.28,-72.8173333333,-61.9046666667,-62.5,-65.873,-59.3253333334,-68.4194166666,-90.1786666667,-79.5635,-65.77375
