wavelength,Back_PhrAlam,Belly_PhrAlam,Breast_PhrAlam,Crissum_PhrAlam,Crown_PhrAlam,DorTail_PhrAlam,Patch10_PhrAlam,Rump_PhrAlam,Throat_PhrAlam,WingTip_PhrAlam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,91.6666666668,116.666666667,69.9999999999,131.666666667,136.666666667,70.3333333332,115.0,108.333333333,140.0,65.0
179.16,77.7776666666,224.999916667,116.666583333,88.8889166667,141.66675,111.944579167,200.0,138.888916667,263.888833333,5.5555
179.54,-33.3333333334,110.416666667,-2.08333333342,35.4166666667,45.8333333332,21.1458333334,72.9166666666,52.0833333334,108.333333333,31.2499999999
179.93,-31.25,-47.9166666667,43.7500000001,16.6666666667,18.7500000001,4.37499999992,-43.7500000001,-81.25,-18.75,7.49995621163e-11
180.31,247.02375,367.261916667,204.761916667,230.357083333,297.023833333,224.5536875,336.90475,360.119,255.95225,233.9285
180.69,321.666666667,514.166666667,265.833333333,316.666666667,395.0,324.541666666,493.333333333,515.0,325.833333333,329.166666666
181.07,244.047666667,400.595166667,227.380916667,236.309666667,291.66675,268.154875,406.547666667,401.785666667,239.285666667,269.047666666
181.45,-2625.0,-4366.66666666,-2408.33333333,-2425.0,-3233.33333333,-3006.25,-4991.66666667,-4925.0,-2283.33333333,-3008.33333334
181.83,-112.280583333,-185.08775,-92.5439166666,-87.7191666667,-133.772,-128.245495834,-234.649166666,-221.929916666,-67.5437499999,-116.66675
182.21,-55.4486666667,-107.371916667,-54.80775,-41.9870833333,-89.1023333333,-76.0415500001,-155.448666667,-129.80775,-31.08975,-67.9487500002
182.59,18.8775833332,-18.0272500001,-2.72100000002,15.6463333333,-17.3468333333,-4.61727916665,-50.5100833334,-25.85025,18.5375,-5.78233333334
182.97,28.70375,-7.27508333333,7.93641666665,26.8518333333,-9.52374999999,7.0371375,-28.3066666667,-5.55549999998,24.2064166667,4.89416666666
183.35,39.861,-5.69449999997,14.1665833333,32.22225,-7.36116666666,11.4236666667,-26.1113333333,5.27783333333,30.0001666667,3.75000000001
183.73,62.4295000001,20.76275,36.2995,55.9321666666,18.0790833333,32.309275,-5.22599999999,32.6270833333,53.9547500001,27.40125
184.11,60.0939166666,23.1220833333,37.44125,52.1127500001,27.5821666667,27.5646458334,1.17383333336,38.1456666667,50.5869166667,32.9811666667
184.49,48.9864999999,20.946,30.1801666667,46.1714166667,27.4775,23.5133916666,-5.63058333335,32.3198333333,43.69375,32.883
184.87,47.4535833333,21.9908333333,27.3148333334,45.7175833333,24.3055,25.2606875,-6.36575000001,32.7545833333,46.8750833333,28.9351666667
185.25,51.7068333333,32.1285,33.2328333333,47.69075,31.0241666667,30.3514208333,7.73099999998,41.26525,51.7069166667,31.024
185.63,52.0832499999,27.77775,29.7221666667,49.3055,31.9445833333,27.2152416667,-4.72216666665,39.02775,60.0000000001,23.47225
186.01,69.7531666667,42.43825,42.2839166667,67.9013333333,52.6233333333,45.3240625001,10.0309166667,56.0186666666,80.0925,30.2469166667
186.39,92.0732500001,52.6421666667,53.8616666667,89.8374166666,76.0160833332,62.8354791666,12.6015,75.2031666668,106.910416667,35.3658333333
186.77,98.6979166667,61.1979166667,56.5104166667,96.8749999999,83.8541666668,70.6510416667,14.8437500001,71.3541666666,130.46875,36.9791666667
187.15,135.069583333,104.513833333,89.58325,127.083333333,130.20825,112.013916667,28.4723333334,112.500083333,174.653,38.8888333334
187.53,132.777833334,107.222333333,105.27775,131.111166667,152.22225,117.819420833,64.1665000001,129.166666667,169.166666667,64.4445
187.91,88.8888333333,64.9306666667,72.9165833333,90.6250833334,107.812666667,81.3542499999,50.8680833334,98.4375833333,113.194416666,44.09725
188.29,105.315916667,87.9311666667,93.3907500001,105.172333333,121.982666667,105.610570833,76.2931666666,117.52875,126.00575,68.2471666666
188.67,110.294166667,95.5882500001,95.34325,106.005,120.343166667,111.770941666,90.8088333333,127.450833334,130.514666667,76.2255
189.05,126.209666667,109.408666666,113.575333333,131.586083333,143.145083333,129.4288,111.42475,152.419333333,151.20975,99.0591666667
189.43,125.126333333,106.5655,117.045416667,136.489916667,146.46475,133.693145833,120.075666667,157.32325,146.969666667,107.197
189.81,114.244166667,93.4109166667,105.135666667,117.248,125.872,118.081291667,106.97675,137.790833333,126.938,93.2170833333
190.19,114.777666667,92.3334166667,103.888916667,117.5555,124.999916667,118.733333333,105.222333333,142.222083333,129.5555,88.7778333333
190.57,102.8125,82.3958333333,91.9791666668,105.0,114.479166667,105.59375,99.0624999998,130.3125,121.458333333,81.5624999999
