wavelength,Back_DigCaem,Belly_DigCaem,Breast_DigCaem,Crissum_DigCaem,Crown_DigCaem,DorTail_DigCaem,Rump_DigCaem,Throat_DigCaem,WingTip_DigCaem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,12.6666666667,52.6666666667,21.3333333333,40.6666666667,18.6666666667,28.0,33.3333333333,28.6666666667,36.6666666667
179.54,-4.16666666667,15.8333333333,23.3333333333,60.0000000001,30.0,24.1666666667,24.1666666667,8.33333333333,40.8333333334
179.93,183.333333333,103.333333333,171.666666667,81.6666666667,94.9999999999,148.333333334,71.6666666666,166.666666667,90.0000000001
180.31,-199.5556,-61.3333333333,-200.0,-65.7779333333,-107.1112,-222.222333333,-42.6666666667,-167.555533334,-46.6667333333
180.69,-149.697066667,-42.4241999999,-135.7576,-40.6059333333,-76.9697999999,-158.182,-19.3938666668,-110.303133333,-27.8787333334
181.07,-108.275733333,-23.908,-100.689733333,-23.9080666667,-51.2644666665,-122.758666667,-17.701,-83.4483333334,-15.8620666665
181.45,-127.2,-33.3333333333,-123.466666667,-29.3333333334,-68.0,-151.466666667,-30.4,-102.133333333,-20.8000000001
181.83,-132.0,-38.9333333333,-142.666666667,-51.7333333334,-83.1999999999,-168.8,-46.4,-102.933333333,-29.3333333333
182.21,-108.172066667,-34.6237333333,-120.8602,-53.5483333333,-74.6236666666,-142.365533333,-45.3763333333,-89.4624,-34.1936666667
182.59,-119.333266667,-34.6667333333,-120.444533333,-58.6667333333,-80.2221333333,-139.777733333,-44.0000666667,-83.5556666668,-30.2223333333
182.97,-137.066666667,-26.6666666667,-129.333333333,-51.7333333334,-85.5999999998,-141.6,-36.5333333333,-86.9333333334,-22.6666666667
183.35,-146.4102,-36.6666666667,-132.820466667,-50.7692666667,-88.2054000001,-146.410066667,-30.7693333333,-101.282066667,-35.6412000001
183.73,-224.058,-94.4927333333,-202.6088,-96.2319333332,-145.797066666,-212.753666667,-62.3187999999,-153.043533334,-86.9566000001
184.11,4.43536326938e+15,2.50768615615e+15,4.27330191915e+15,2.73371909199e+15,3.48005425751e+15,4.22638942303e+15,2.15371004907e+15,3.47152471277e+15,2.74224863674e+15
184.49,-2133.33333333,-1075.55546667,-2113.33326667,-1106.66673333,-1604.44453333,-2006.6666,-1011.111,-1562.2222,-1382.2222
184.87,452.444466667,243.111133333,487.555533333,274.222066667,357.777866666,446.2222,245.777733333,364.444333334,342.6666
185.25,277.777866667,169.382666666,301.481466667,182.2222,236.0494,274.321066667,155.0618,226.419733334,214.8148
185.63,245.656466667,167.676866667,269.696933333,174.141266667,209.697066667,255.353466667,139.191866667,204.040466667,196.363666667
186.01,156.8554,111.069133333,177.232733333,113.710733333,134.5912,170.440333333,87.1698666667,133.081666667,131.698133333
186.39,134.237333333,100.677933333,157.288266667,95.5932666667,112.881266667,155.9322,77.2882000001,109.943533333,119.886933333
186.77,121.1112,99.4948666665,149.393866667,94.7474000001,110.505,150.606066667,80.3029333334,107.979733333,122.4242
187.15,113.421066667,106.929866667,147.280733333,98.8596666668,109.2106,149.736866667,93.7720000001,110.1754,123.859866667
187.53,127.204333333,125.376333333,174.838666667,120.107533333,126.774266667,180.107466667,117.8494,128.602266667,141.935466667
187.91,125.432066667,127.407333333,180.493733333,124.074066667,125.308733333,191.851933333,122.839533333,128.148133333,144.6914
188.29,155.213866666,159.658133333,235.7266,148.888866667,141.0256,250.7692,147.6922,155.042666667,175.2136
188.67,134.693933333,144.7618,204.0816,147.210933333,121.2244,219.183533333,131.836733333,142.9932,143.5376
189.05,145.811933333,168.205133333,227.008533333,166.666666667,121.196466667,257.435866666,146.324666667,160.854733333,149.572533334
189.43,122.1704,152.713133333,200.620133333,150.3876,93.0232666668,230.0776,127.907,138.604666667,138.139466667
189.81,113.191533333,146.808533333,187.801466667,142.978733333,84.9645999999,211.631133333,121.985733333,126.099333333,136.312133333
190.19,142.166666667,194.833333334,225.0,186.5,105.166666667,250.5,157.0,169.666666667,166.666666667
190.57,149.833333333,195.833333333,221.166666667,200.0,110.166666667,251.666666667,157.5,180.666666667,159.833333333
190.95,149.833333333,195.333333333,213.833333333,209.333333333,98.6666666666,249.833333333,155.333333333,177.666666667,153.0
191.33,151.7074,189.918666667,211.057066667,216.9106,95.2845333333,248.943066667,142.439133333,177.886133333,153.8212
191.71,145.925933333,198.3334,208.703733334,219.259133333,70.7407333332,251.666533333,123.1482,172.222133333,151.852
192.09,139.047666667,194.095133333,207.047533333,228.9524,71.6192000001,255.428533333,122.6666,180.381,151.047666667
192.47,148.5714,233.571466667,234.523866667,277.619133334,76.1905333333,309.523866667,143.095266667,221.428466667,174.523733334
192.85,224.8148,395.925866667,356.2964,422.222066667,112.5926,482.963066667,238.889,343.703666667,293.333333333
193.23,289.2306,534.359000001,503.589733333,565.128333334,140.000066667,637.435866667,315.8974,438.974333333,411.7948
193.61,675.555599999,1198.8888,1128.88886667,1283.33333333,390.000066667,1387.77773333,727.777733332,1026.66666667,892.222200001
193.99,-545.333333333,-1225.33333333,-1114.66666667,-1357.33333333,-161.333333333,-1408.0,-692.0,-1085.33333333,-822.666666667
194.37,680.0,1392.0,1300.0,1493.33333333,305.333333333,1642.66666667,865.333333335,1264.0,1061.33333333
194.75,2460.0,6686.66666667,6246.66666667,7200.00000001,866.666666668,7713.33333334,3853.33333333,5900.0,5280.0
195.13,-175.238133333,-888.571533333,-753.333466667,-877.142799999,28.5714000001,-953.333266666,-380.000000001,-688.5714,-620.952333333
195.51,1.8519333332,-303.3334,-209.2592,-268.888866667,98.5184666667,-280.740666667,-91.8518666668,-206.2962,-178.8888
195.89,198.095333333,1006.66666667,781.904733333,977.142933333,-34.2856666659,909.523933333,477.142733333,769.523800001,700.952266666
196.27,116.25,507.916666667,371.25,462.083333333,20.0,410.416666666,247.5,383.75,356.25
196.65,85.1852666669,320.0,235.802333333,292.592533333,22.9629333333,241.234533333,161.2346,231.852,230.617266667
197.03,96.0920666667,312.643866667,238.390866667,298.3908,42.7587333332,234.482733333,158.8506,237.701066667,232.1838
197.40,121.240266667,268.217066667,221.550333333,262.635733333,88.5271333333,217.3644,170.077533333,223.565933333,213.6432
197.78,109.2,233.6,195.333333333,237.466666667,77.6000000001,196.266666667,153.6,203.466666667,188.933333333
198.16,122.623066667,218.251333333,192.240533334,231.147533333,102.185666667,192.787,159.0164,193.6612,187.431733333
198.54,138.939466667,255.909133333,231.515066667,289.242466667,108.030266667,231.6666,190.606066667,226.969733333,225.757666667
198.92,143.181733333,268.0304,237.272866667,295.909133333,112.8788,231.2122,198.1818,233.181866667,224.848466667
199.30,156.326466667,263.537466667,241.088466667,294.557866667,125.714066667,234.421733333,210.4762,238.775466666,226.2586
199.68,150.303,227.7778,217.7778,256.5656,136.161666667,209.697066667,189.595866667,205.252533334,206.464533333
200.06,162.557066667,236.347,225.9362,255.7078,159.726066667,224.1096,200.274,215.890466667,216.347066667
200.44,180.8696,255.458933333,249.661933333,278.550666667,174.4928,248.2126,217.7778,227.439533333,233.140066667
200.82,181.238133333,257.238066667,251.523866667,281.809533333,181.142733333,252.0952,224.4762,230.2856,238.190466667
201.19,146.217133333,205.8426,201.348266667,224.869,143.6704,202.097333333,186.367066666,185.7678,188.764
201.57,130.537666667,190.322533333,178.064533333,205.734933333,123.011,182.509,168.9606,167.2402,167.957066667
201.95,119.0826,169.052066667,158.165133333,181.100933333,109.235466667,161.101066667,150.030533334,147.767533333,149.9084
202.33,111.913533333,165.4938,149.567933333,172.716,104.1358,155.555666667,141.296266667,146.049266667,143.333266666
