wavelength,Back_CneRubm,Belly_CneRubm,Breast_CneRubm,Crissum_CneRubm,Crown_CneRubm,DorTail_CneRubm,Rump_CneRubm,Throat_CneRubm,WingTip_CneRubm
198.54,1205.55555555,423.333333333,854.999999999,890.833333333,1605.0,1360.0,974.166666667,1145.0,1411.66666667
198.92,201.984188889,94.7618000001,142.9763,147.261966667,253.809533333,228.2144,163.666646667,210.238133333,225.952533333
199.30,173.933888889,88.6486666666,128.017966667,135.945966667,217.657666667,210.180333333,145.513586667,177.117133333,199.999933333
199.68,149.512133333,64.7155333333,108.780433333,113.008133333,191.056933333,185.691066667,115.983686667,151.869933333,172.845466667
200.06,232.395833333,106.041666667,173.229166667,166.770833333,267.916666667,273.75,180.583333333,227.083333333,253.541666667
200.44,252.341288889,102.380933333,184.047666667,156.309566667,296.428666667,311.547566667,201.09524,239.2858,266.6666
200.82,296.135244444,119.999933334,202.898533333,186.086966667,352.753666667,386.9565,246.666773333,285.507266667,306.3768
201.19,286.919177778,117.272666667,187.4243,161.969766667,351.212133333,406.6667,259.303086667,286.363733334,301.212066667
201.57,309.824511111,125.614133333,184.912333333,143.859466667,385.263133333,466.4912,282.03504,303.508733333,339.6492
201.95,286.432711111,120.701733333,157.193066667,108.596533333,358.947266667,451.578933333,256.87732,277.5438,312.982333333
202.33,306.814922222,101.3334,137.7778,102.888833333,398.222266667,545.111033333,287.333233333,305.3334,356.889
202.71,539.444588889,134.4444,153.888766666,102.777766667,766.666666666,1217.22216667,562.555459999,577.777733333,703.333333333
203.09,-109.037111111,44.8889333333,41.3334333332,43.5556333335,-199.5556,-398.666833334,-124.933306667,-119.111133333,-168.444533334
203.47,-4.49284444438,73.913,88.9854333333,91.1592333335,-62.0291333334,-200.0,-23.4203666667,-20.5797333334,-48.1158666667
203.85,-8.70367777784,81.4814000001,111.4814,120.740733333,-71.4813999999,-250.185366666,-37.9259266666,-32.9629333333,-58.8887999999
204.22,42.7160666667,222.963066667,292.592566667,304.074133333,-63.7036,-397.407433333,-14.5186,7.40753333335,-41.4814666666
204.60,64.5678444446,227.4074,295.5555,335.9259,-19.2592000001,-348.8889,2.6665666666,40.0000000001,-22.2221333334
204.98,71.4814333333,297.7778,419.999866667,526.111099999,-32.2224000006,-530.555466667,-26.4444199999,62.2222666667,-44.4444666666
205.36,37.0988666666,118.518466667,150.1851,172.592466667,-13.7036666667,-147.7777,8.81484,29.6296,-8.1482
205.74,85.8333333334,180.0,203.958333333,239.791666667,37.9166666666,-80.8333333333,58.9583333331,61.25,37.5
206.12,61.8840666667,136.521733333,153.188366667,160.579633333,31.3043333335,-43.6231333334,42.6087400001,47.5361333333,33.6232
206.50,50.4902555556,95.2940666666,119.1176,129.7058,27.8432666667,-8.33343333334,46.2548933333,41.3726000001,39.9999999999
206.87,37.3085666667,75.4074,87.3333666666,94.3704333333,18.0741333333,-8.8888666666,39.4222733334,26.2223333334,32.2963333333
207.25,28.7856111111,76.8992666666,89.5348333332,88.2945000001,11.7830666667,-1.24033333328,29.4418533334,24.8062666667,21.0853333334
207.63,21.0232777778,84.5614666667,99.9999,91.0526666666,-1.4034,4.47373333334,25.9648333333,16.3158666667,24.5614
208.01,34.8936,82.4112666666,99.7871999999,97.3050666668,5.53186666665,27.0213333334,32.4396666667,26.9502666667,37.0213333333
208.39,44.6077777777,106.666733333,114.803833333,123.137266667,-18.8235333334,27.3528999999,29.9608133334,17.8431333334,32.1568
208.77,62.3077222222,131.5384,155.769233333,146.0256,-27.4358666667,29.8716666667,48.1538666667,12.3077333333,35.3845333333
209.14,84.2539888888,140.380866667,153.999966667,143.238,19.6192,62.5714000001,75.33334,47.8095333333,57.5238666667
209.52,77.936488889,139.999933333,152.380933333,138.7618,31.4286666667,63.8094666666,78.13338,52.5713333332,60.3808666667
209.90,72.1604666666,132.0372,142.7778,128.425933333,15.7408000001,47.9628666667,63.53698,41.6666666667,54.6296666667
210.28,110.185177778,165.925933333,171.574,170.092433333,51.2964,86.2036666667,100.036966667,73.5186000001,93.5185333332
210.66,122.031711111,182.857066667,178.762066667,175.523666666,65.3333333333,90.9523666667,107.295166667,80.3808666667,98.0952
211.03,134.5878,194.838733333,207.956866667,210.7527,66.6666666667,98.7097333335,121.01072,81.5054,103.440866667
211.41,140.555522222,183.703733333,190.092533333,212.5925,71.1111999999,107.129633333,133.500073333,83.8889333333,115.000066667
211.79,136.0207,162.4806,162.713166667,185.658866667,72.8682666668,102.247966667,126.697613334,84.6512000001,101.085266667
212.17,147.541244445,166.808466667,169.148933333,183.120566667,94.8936666667,107.305,146.071013333,104.680866667,112.482333333
212.55,134.612777778,146.868733333,147.8284,155.9091,100.505066667,100.201933333,129.272853333,108.686933333,113.838266667
212.92,138.181777778,152.6262,146.010166667,160.808133333,102.121133333,100.656466667,130.2221,112.828333333,117.4748
213.30,138.960544444,147.4194,144.838566667,155.215133333,95.0538,93.6023,128.30112,105.591333333,111.7204
213.68,153.333355555,153.111133333,153.222133333,164.4999,101.7778,96.2222,138.544366667,110.222266667,120.0
214.06,139.571455556,136.571466667,136.142733333,146.6191,97.6190666667,90.1427666667,128.83808,105.619066667,113.333333333
214.44,123.861744444,121.544666667,121.0975,127.9267,87.9674000001,85.9348999999,112.284486667,100.325133333,101.300733333
214.81,112.532177778,109.379866667,107.713166667,113.875933333,78.9147999999,73.3333333333,99.2789866667,90.5426666666,94.5734666667
215.19,115.100988889,114.318133333,108.636233333,113.5984,80.0759333334,79.2046000001,102.378866667,95.0757333334,94.2424666667
215.57,127.214733333,121.5526,115.251133333,120.456566667,79.8174,79.4977000001,104.4109,98.4474666668,98.7213333333
215.95,130.282188889,127.090066667,122.1694,134.761766667,81.3755333331,80.6877666667,111.132373333,100.423333333,106.2434
216.32,119.253677778,117.396,113.906366667,125.312566667,80.7293333333,68.1773,101.812646667,89.5835333335,99.5836
216.70,102.969433333,105.517066667,97.5288000001,115.919466667,64.4828000001,59.4828000001,94.4712133334,72.4138666667,82.8736666666
217.08,84.1503555555,85.4904000001,83.2842333333,97.4020999999,55.0001333334,54.1666666666,80.3235733334,66.2744666667,70.294
217.46,86.9093999999,86.8965333335,82.1454333333,100.728,65.5172666667,63.8696999999,80.8123933335,73.0268666667,77.5479333334
217.83,84.5324222223,84.9505333334,76.1716666666,95.6766000001,66.6666,68.9110666666,78.4686599999,73.5974,76.2378
218.21,83.7989444444,86.5396666667,80.5712666667,93.9047333334,72.3808666667,73.5875333334,83.01584,73.6507333333,75.6189333333
218.59,82.3416333334,88.1002666667,79.2115333333,93.8709333334,72.8316000001,70.8601000001,84.5449399999,68.8171333333,73.4767333333
218.97,95.6377888888,104.855866667,93.8683666667,113.209866667,81.6459999999,88.4364,101.950386667,82.8804666667,82.4690666666
219.34,101.039077778,111.775066667,96.5801333334,117.7057,89.1776000001,93.0735333333,106.2685,89.0042000001,92.7274
219.72,90.8023555556,106.3704,96.3332000001,108.8148,88.1482,89.1850666666,103.74082,86.4445333334,88.8148666667
220.10,89.5178333333,104.151,95.5345333333,103.427833333,88.2390000001,84.2453,100.49064,87.2956666667,89.0566666667
220.47,87.2828333334,101.9394,92.9696333333,100.666733333,84.7879333333,85.2728333334,97.9636000001,88.1212,86.1819333333
220.85,83.1780222222,91.0077333334,88.6562333333,92.9716333335,75.4522,75.7623000001,87.54522,80.6717333333,80.6201333333
221.23,87.2888888888,95.04,89.7066666667,95.9733333335,76.64,76.8533333333,90.5493333332,81.76,82.9866666667
221.61,83.3029777778,92.9091333333,85.9999000001,91.0907666667,69.1515333333,71.6363999999,87.5090800001,78.5454666667,77.8787333333
221.98,83.1463555555,92.025,90.6543000001,93.7070999999,68.8472666667,69.9688333334,88.2803133333,79.2523333333,77.6324666667
222.36,81.6085777778,88.5713333333,83.5554999999,91.6191666668,56.3174666667,64.8571333333,81.7397133333,75.9366,74.4762666667
222.74,89.999911111,96.5217333333,92.6810999999,100.072433333,55.7246,68.4782666666,89.2536333332,81.8840666667,81.0870666667
223.11,79.2880111111,82.3948000001,82.4271333333,88.2524333333,53.5275333333,59.3204333333,77.9676266667,71.1326666667,74.2395333334
223.49,84.3888888888,80.9333333334,85.9,88.9,54.5333333333,61.7333333333,79.1066666667,71.4666666667,74.0666666667
223.87,85.4993555555,76.4982666666,79.5286333333,84.7137999999,49.4947333333,58.2154,75.2054533333,67.8113333333,69.6969333333
224.24,91.1369666666,75.7363333333,77.7132333333,82.5969,43.3336,60.31,75.78294,66.2790666667,64.0310666667
224.62,90.4132222222,74.1026,71.8376666667,78.8034666667,32.5640666667,57.6495333333,72.5897733334,56.3246666667,57.9487333333
225.00,88.0148222222,78.6667333332,68.2666333333,76.0000333333,38.3110666667,60.2223000001,76.3642999999,59.2888666667,57.0666666667
225.38,79.7936666666,68.6666,58.0001,60.9522666667,30.1904666667,50.6666333333,67.8761333334,48.5714,48.9522666667
225.75,85.7894444445,74.2689333333,60.9943333333,59.1813,25.0291333333,54.8537999999,77.3332,47.7194,53.0994666667
226.13,58.8692666667,46.3158000001,33.3333,24.3274333333,-4.79540000001,36.1404,50.1286266667,23.6258,28.4211333333
226.51,41.9534777778,24.8388,23.2794666667,9.67733333332,-14.3011333333,17.4732,36.11828,8.27953333331,16.6667333333
226.88,29.2939666667,20.9028,17.5347333333,11.1806,-3.95846666666,15.5556333333,25.12492,12.2222,15.8333333333
227.26,23.2953222222,18.4615333333,16.2678666667,6.35316666667,-4.67240000001,12.8775,20.1026533333,10.4272666667,13.3902
227.64,17.4516555556,15.6088,13.2936333333,7.22560000001,-0.998133333333,11.9960666667,17.5249,10.6986,12.1356666667
228.01,14.7963333333,14.3564666667,11.7821,7.0626,0.164866666668,12.3762333333,15.1880666667,8.77893333333,12.343
228.39,10.0868888889,10.6511333333,9.80473333333,5.93733333333,0.885466666666,11.4192,11.92182,7.08339999999,10.7812666667
228.76,7.68963333334,7.97713333333,7.57459999999,5.115,0.804533333334,10.1608333333,9.91725333334,6.29886666667,9.83900000001
229.14,6.73942222224,6.78580000001,7.01393333333,4.43446666666,1.30946666667,9.41463333333,8.81147999999,5.87293333334,9.0872
229.52,9.17903333333,10.3430666666,10.4308666667,8.2059,4.96039999999,13.2894333333,11.41238,9.62193333332,12.6649333333
229.89,10.3755444445,11.1581333333,10.9154333333,9.3976,7.01099999999,14.2566666667,11.95462,10.7512,13.5681333333
230.27,9.00625555556,10.6367333333,9.85026666665,8.77900000001,6.56166666667,12.8313333333,10.9034066667,9.39319999999,12.7042
230.65,10.3229111111,12.7066666667,11.4243666667,10.8263,9.70093333335,14.8648666667,12.7948933333,11.3818,14.7436666667
231.02,10.0047333333,11.5669333333,11.1823666667,9.84340000001,9.587,15.0427,12.3248866667,10.4844666667,14.7151333333
231.40,10.4193111111,11.1496666667,10.0504666667,9.6746,9.76139999999,15.7267,12.6190333333,11.0050666667,14.9819333334
231.78,9.64633333333,10.9104,9.78913333334,9.62399999999,9.70653333333,15.8691,11.98796,10.6245333333,15.8917333333
232.15,8.69137777778,10.4362,8.81626666666,9.11226666667,9.26793333335,15.2882333333,11.3318466667,10.3737333333,15.2804
232.53,10.2153222222,13.0104666666,10.5407,10.9202333333,11.2995333333,16.5295333333,13.1250733333,11.8805333333,17.4174
232.90,10.8909888889,13.9698666667,11.5989666667,11.7265,12.2991333333,16.7462666667,13.9762066667,12.7446,17.6928666667
233.28,11.9423888889,14.4584,12.0319,12.9388,12.5776,18.0435,15.35164,13.7531333333,18.4550666667
233.66,11.8350111111,13.3163333333,12.3905666667,13.2155,12.0706666666,18.0724333333,15.1565266667,13.2323333334,17.7946666667
234.03,9.42508888889,11.8240666666,10.9037,12.4294666667,10.4147333333,15.6881666667,12.6169266667,11.0282,15.9702
234.41,12.2010111111,14.1966666667,12.3740333333,14.8842,12.662,16.8666333333,14.2621133333,12.6139333333,17.7938
234.78,8.60282222222,10.231,8.4488,10.9900333333,8.79533333334,12.8383,9.84986000001,9.40593333333,13.9604
235.16,7.62235555554,8.98213333334,6.96196666667,10.0466666667,7.1796,11.5695666667,8.88588666666,9.27746666666,12.3853333333
235.54,9.42997777777,11.1014,9.52896666667,12.0073333333,9.84066666666,13.4711333333,11.1319066666,10.9565333333,13.9421333333
235.91,9.82923333334,11.2983333333,8.49813333334,11.3404,9.79646666667,12.9754666667,10.66814,11.2980666667,12.5472666667
236.29,9.06590000001,10.2584,8.15643333334,10.2040666667,9.53740000001,12.1021666667,10.3591133333,11.1973333333,12.4355333333
236.66,6.05855555556,6.0632,3.97196666667,5.92286666667,5.81053333333,8.46316666666,5.99576,7.62113333333,9.08073333334
237.04,3.80445555556,4.1206,0.743100000002,3.31856666667,2.50186666667,6.6373,3.12587333333,5.048,6.75500000001
237.41,1.72026666667,2.52926666667,0.182766666667,1.56436666667,0.730933333332,4.53223333333,1.33188666667,2.66073333333,5.20473333334
237.79,-0.1821,0.765933333335,-1.74463333333,-0.780099999999,-0.851066666666,2.55306666667,-0.758766666665,0.992933333333,3.461
238.17,-1.2079,-0.232400000001,-1.32176666667,-2.22946666667,-1.3362,2.68706666667,-0.694380000002,0.551933333333,2.52726666667
238.54,-1.62627777778,-0.911599999999,-0.619633333332,-2.4288,-1.52413333333,3.3405,-0.757826666668,0.954466666667,2.5784
238.92,-0.692233333332,0.806933333333,-0.046266666668,-1.34923333333,0.119000000001,5.06606666667,0.562193333335,1.5476,3.50533333333
239.29,-1.2033,0.0899999999992,-0.437733333332,-1.731,-0.102999999998,4.42723333333,0.030926666668,0.373333333333,2.61253333333
239.67,-3.34321111111,-1.70513333333,-2.8655,-3.00756666666,-2.66433333333,2.12556666667,-1.99654666667,-1.91833333333,1.31433333333
240.04,-4.59814444444,-2.65193333333,-2.9088,-3.6057,-3.52206666667,1.25776666667,-2.48012666667,-2.80926666667,1.216
240.42,-3.20592222222,-1.29546666667,-1.3945,-1.93426666667,-2.19533333333,2.52796666667,-1.83266,-1.61046666667,2.10526666667
240.79,-1.09064444444,0.792866666666,0.962266666666,-0.007666666666,-0.2464,4.3342,0.289413333334,0.839133333333,3.9184
241.17,0.793488888889,1.97813333333,2.5519,1.42433333333,1.59573333333,5.29513333333,1.90370666667,2.42673333333,5.66446666667
241.54,1.17977777778,2.261,2.44693333333,1.78716666667,2.2144,5.80656666667,2.09478,2.88293333333,6.068
241.92,1.65921111111,2.72413333333,2.71603333333,2.3065,2.6016,6.1771,2.53945333333,3.12306666667,6.4538
242.29,2.4091,3.3066,3.16576666667,3.04686666666,3.2434,6.83413333333,3.25228666667,3.76286666667,7.18606666667
242.67,2.27616666667,3.3266,2.88286666667,2.96836666667,3.174,6.68306666667,3.17441333333,3.5668,7.0318
243.05,2.55332222222,3.59286666667,3.42056666667,3.40273333333,3.43173333333,6.87913333333,3.44295333333,4.0716,7.62426666667
243.42,3.91438888889,5.21826666667,4.79906666667,4.7261,4.83133333333,7.93256666667,4.66143333333,5.56193333333,9.14266666666
243.80,4.11863333333,5.5142,5.22426666667,4.65223333333,4.98926666667,8.14983333333,4.87573333334,6.00513333333,9.06533333334
244.17,4.67191111111,5.82173333333,5.66533333333,5.06123333333,5.433,8.80213333333,5.47859333333,6.506,9.33233333333
244.55,5.03337777778,6.12006666667,5.9011,5.22113333333,5.74466666667,9.27826666666,5.89358666667,6.7876,9.74560000001
244.92,5.21105555556,6.29553333333,5.97636666667,5.53763333333,6.01226666667,9.50120000001,6.03991333333,6.86613333333,10.1097333333
245.30,4.76822222222,6.04833333334,5.4878,5.1174,5.7784,9.43546666667,5.68773333333,6.5742,9.75759999999
245.67,4.97241111111,6.21346666667,5.63163333333,5.26946666667,5.87026666667,9.6464,5.84311333333,6.80746666667,9.92106666667
246.05,4.77117777778,5.8664,5.3514,4.97006666667,5.6018,9.45176666666,5.52177333333,6.569,9.63773333333
246.42,4.55718888889,5.66293333333,5.10726666667,4.8271,5.36546666667,9.15823333333,5.27090666667,6.56753333333,9.61333333334
246.79,4.3067,5.22733333333,4.813,4.55483333333,4.99053333333,8.88489999999,5.08182,6.4702,9.40533333334
247.17,4.05495555555,4.7148,4.44266666667,4.28796666667,4.65933333333,8.6753,4.82332,6.1276,8.9712
247.54,3.38184444444,3.93413333333,3.7683,3.64476666667,4.02366666667,8.27886666667,4.24727333333,5.46753333333,8.37199999999
247.92,3.29982222222,3.70453333333,3.52356666667,3.6383,3.941,8.1112,3.98149333333,5.31426666667,8.37353333333
248.29,3.39422222222,3.8676,3.64536666667,3.83043333333,4.06306666667,8.16396666667,3.94934,5.28346666666,8.52026666667
248.67,3.08095555556,3.68306666667,3.46956666667,3.5879,3.831,7.8579,3.69458,5.11273333333,8.21606666667
249.04,2.95332222222,3.61153333333,3.3601,3.41476666667,3.845,7.81373333333,3.73694666667,5.10386666667,8.11026666667
249.42,3.17044444444,3.8076,3.71466666667,3.6487,3.9962,7.99923333333,4.00864666667,5.4698,8.31066666666
249.79,2.6915,3.3736,3.28736666666,3.22913333333,3.4542,7.45293333333,3.50541333333,5.12446666667,7.8506
250.17,2.61486666667,3.1794,3.18516666667,3.24366666667,3.52033333333,7.3388,3.59708,5.26866666667,7.84313333333
250.54,2.60248888889,2.9998,3.04773333333,3.2311,3.50726666667,7.33523333333,3.46676666667,5.272,7.65593333334
250.92,2.5,3.02253333334,2.96293333333,3.15566666667,3.62366666667,7.2797,3.41014666667,5.20146666667,7.59233333333
251.29,2.62317777778,3.35126666667,3.28493333333,3.34396666667,3.79166666667,7.3112,3.56033333333,5.31326666667,7.77306666667
251.66,3.23223333333,3.9382,3.93643333333,3.92906666667,4.55606666667,7.57133333333,4.11806,5.8908,8.31033333333
252.04,3.03608888889,3.96806666667,3.7588,3.7104,4.3076,7.42996666667,4.03052666667,5.59526666666,7.95073333333
252.41,2.59034444444,3.55813333333,3.0836,3.07583333333,3.758,6.89163333333,3.50250666667,5.32566666667,7.34686666667
252.79,3.12202222222,3.78073333333,3.1544,3.44036666667,4.158,7.1509,3.89426,5.5582,7.75573333334
253.16,3.65746666667,3.97193333333,3.4699,4.07133333333,4.26466666667,7.37536666667,3.99447333333,5.8386,7.98273333333
253.54,3.79378888889,3.94793333333,3.61183333333,4.25213333333,4.49326666667,7.44319999999,3.89836666667,5.8566,7.9748
253.91,4.54311111111,4.53893333333,4.33906666667,4.8491,5.25493333333,8.02456666667,4.56424,6.37086666667,8.71026666667
254.28,4.515,4.93426666667,4.82696666667,4.92796666667,5.41146666667,7.99576666665,4.46292666667,6.539,8.79420000001
254.66,3.90068888889,4.30713333333,4.24636666667,4.10746666667,4.90133333333,7.12656666666,3.81426,5.63873333333,8.3366
255.03,4.11742222222,4.1758,4.185,3.90023333333,4.9818,6.8784,3.73397333334,5.6512,8.2468
255.41,4.11851111111,4.02953333333,3.93423333333,3.53143333333,4.88306666667,6.87646666667,3.67982666667,5.78933333333,8.35006666667
255.78,2.85966666667,2.767,2.6652,2.1387,3.6612,5.68793333333,2.42439333333,4.54533333334,7.22313333333
256.15,3.00462222222,2.609,2.8155,2.2381,3.61446666667,5.7581,2.40064,4.7896,7.3636
256.53,4.13016666667,3.73773333333,4.27586666667,3.61793333334,4.97726666667,6.87243333333,3.62718,6.0924,8.82513333333
256.90,3.87918888889,3.52453333333,4.34006666667,3.551,4.7466,6.9176,3.66219333333,6.1866,8.52
257.28,3.20272222222,3.1632,3.87506666667,3.08526666667,4.2256,6.33846666667,3.24514666667,5.79293333333,8.09433333333
257.65,3.24368888889,3.2502,3.78296666667,3.18886666667,4.005,6.3562,3.50164,5.7422,8.12933333333
258.02,3.29977777778,3.41406666667,3.84386666667,3.37533333333,4.09993333333,6.59836666667,3.80874666667,5.86266666667,8.03846666667
258.40,3.79711111111,3.71633333333,4.00386666667,3.8954,4.2836,7.055,4.32370666667,6.1126,8.22
258.77,4.24363333333,4.38993333333,4.43606666667,4.38383333333,4.5932,7.6548,4.80643333333,6.62046666667,8.368
259.15,4.42078888889,4.74413333333,4.6926,4.69066666667,4.7586,8.03516666667,5.07224666667,6.877,8.6284
259.52,4.37902222222,4.73793333333,4.57893333333,4.62706666667,4.7662,8.01263333333,5.04519333333,6.77653333333,8.50646666667
259.89,4.66258888889,4.97293333334,4.79086666666,4.85013333333,4.93406666667,8.2577,5.24847333333,6.94986666667,8.6752
260.27,4.66476666667,5.04633333333,4.8736,4.89833333333,5.0548,8.2419,5.40736,7.0104,8.77186666667
260.64,4.36368888889,4.73633333334,4.58113333333,4.5593,4.7196,7.91453333333,5.16174666667,6.7354,8.47133333334
261.01,4.2969,4.72426666667,4.5173,4.48883333333,4.63673333333,7.7877,5.14024666667,6.68186666667,8.52993333334
261.39,4.21774444445,4.65,4.4547,4.40923333334,4.6004,7.83503333333,5.17091333333,6.59646666667,8.531
261.76,4.23867777778,4.69633333333,4.41523333333,4.4709,4.7726,7.86653333333,5.20388,6.66306666667,8.56426666667
262.13,4.00875555556,4.47226666667,4.16173333333,4.21096666667,4.56493333333,7.74783333333,4.9975,6.49066666666,8.39533333334
