wavelength,Back_CneRubm,Belly_CneRubm,Breast_CneRubm,Crissum_CneRubm,Crown_CneRubm,DorTail_CneRubm,Rump_CneRubm,Throat_CneRubm,WingTip_CneRubm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,23.8888888889,49.5833333333,34.375,20.625,8.75000000002,18.125,33.6666666666,22.0833333333,10.0
179.16,326.666666667,260.0,233.333333333,283.333333333,276.666666667,250.0,227.333333333,276.666666667,436.666666667
179.54,428.888888889,153.333333333,263.333333333,133.333333333,599.999999999,326.666666667,235.333333333,360.0,480.0
179.93,-59.1666666666,-49.9999999999,-135.0,-170.0,-70.0000000001,-75.8333333334,-145.0,-83.3333333334,-31.6666666666
180.31,127.222222222,60.6666666667,21.1666666667,23.8333333333,177.333333333,152.5,25.4333333335,118.666666667,178.0
180.69,134.611111111,64.3333333332,18.5,17.3333333333,193.333333333,161.0,22.4333333333,115.333333333,186.333333333
181.07,70.2279111111,47.8632,14.2736,8.11956666667,98.4616000001,86.8378333333,11.7265200001,61.8803333334,99.1453333335
181.45,65.6789666668,45.9259333333,23.6418666667,19.2592666667,89.3826000001,80.3704333333,24.5801066667,64.568,83.9506
181.83,64.3111111111,48.4,21.6666666667,16.9333333333,91.0666666668,86.6,21.24,64.9333333333,86.0000000001
182.21,66.5498222222,40.8771999999,12.4560333333,15.7018333333,108.070266667,96.3157999999,13.4035,74.0351333333,92.2806666666
182.59,52.0951333333,31.8096000001,-5.61906666666,13.7142,100.952466667,94.2856333333,0.72385333336,65.1429333333,84.3809333333
182.97,53.0042555556,20.9876,-19.1356999999,-7.77790000007,106.913533333,97.6543333334,-15.2097466666,62.7159999999,88.6418666666
183.35,40.5555999999,16.6666666667,-28.2053,-9.87189999999,113.589733333,88.0767999999,-21.5128133333,72.0514000001,85.3846666667
183.73,45.3536444446,-5.15146666646,-31.0606333333,-9.2424,116.9698,83.4848333333,-39.5151799999,86.6666,89.6970000001
184.11,37.5055333334,14.4217333333,1.29263333327,13.6735333333,59.1837999999,56.3263666667,-5.90464666666,47.483,52.2448666667
184.49,38.2851333333,23.4784666667,2.39126666674,19.2752666667,54.9276,69.2029999999,-4.17392666667,54.9274666667,51.7392666667
184.87,34.3537333333,23.5374666666,4.21763333326,22.6529666667,44.2178,64.2178000001,-4.25840666665,52.7891333333,42.3129333334
185.25,9.86111111112,-6.87499999992,-33.5416666668,-7.1875,18.9583333333,46.0416666667,-45.9583333333,33.9583333333,13.125
185.63,-149.722033333,-158.888866667,-259.444566667,-191.944466667,-153.333266667,-61.1111666667,-312.055673333,-117.777666667,-160.555466667
186.01,-89.8147666667,-85.8333333334,-141.111166667,-94.9999666667,-91.3888666667,-36.5277333333,-167.083426667,-61.6666,-96.1110666668
186.39,-68.6973,-51.4940666666,-101.724133333,-71.2644333333,-58.6207999999,-18.2759999999,-135.471233333,-48.0458666667,-78.6208
186.77,-656.296300001,-606.666466666,-803.8888,-685.555433333,-624.444333335,-447.777866667,-938.777686667,-591.111066667,-795.555533333
187.15,-248.366122222,-239.2158,-311.5686,-246.470533333,-239.215733333,-190.3922,-340.1176,-232.549,-307.450933333
187.53,-238.235366667,-206.274666667,-279.411733333,-244.705766667,-251.372533333,-185.294166667,-318.941053333,-232.941133333,-311.3726
187.91,-157.948566667,-116.410266667,-184.743566667,-164.230666667,-162.564133333,-132.820533333,-204.666613333,-161.538466667,-206.410333333
188.29,-511.919222222,-375.757466667,-575.151633333,-510.6061,-519.3938,-436.060666667,-585.93936,-490.302933333,-616.363533334
188.67,-486.5079,-352.857,-518.095233333,-483.333366667,-480.476133333,-433.5714,-546.9523,-463.8094,-540.476266667
189.05,-422.614433333,-289.803933333,-453.1372,-410.392066667,-426.274533333,-368.235266667,-464.745066667,-403.137266667,-467.843133333
189.43,-135.0,-79.6666666667,-143.75,-131.916666667,-140.166666667,-108.0,-151.2,-128.333333333,-160.0
189.81,-104.823177778,-53.9394666667,-111.287766667,-100.303033333,-106.212066667,-80.2273000001,-116.666586667,-92.5758,-129.091066667
190.19,-154.659488889,-98.0644666666,-167.5269,-170.3225,-182.795733333,-150.1073,-175.07528,-157.419266667,-200.43
190.57,-232.133333333,-174.666666667,-253.2,-252.8,-297.333333333,-247.866666667,-255.093333333,-249.6,-293.6
190.95,-94.7164999998,-58.3673333333,-103.945566667,-106.802666667,-132.7892,-109.387766666,-103.782326667,-103.129266667,-123.2654
191.33,-131.975366667,-75.7408000001,-136.944466667,-141.573966667,-173.888866667,-140.277933333,-139.185133333,-132.962933333,-169.074
191.71,-162.908655556,-116.078466667,-160.392333333,-165.784433333,-201.960733333,-187.745066667,-162.960886667,-165.882266667,-194.3138
192.09,-296.878355556,-230.476333333,-286.825433333,-293.492033334,-375.873,-334.603266667,-285.841346667,-305.3968,-349.8412
192.47,-294.949622222,-226.363733333,-269.393966667,-277.575633333,-373.636333333,-348.788,-283.060493333,-308.1818,-350.0
192.85,-358.819444444,-281.25,-318.958333333,-326.458333333,-459.583333333,-452.083333333,-353.458333333,-375.833333333,-435.833333333
193.23,734.222222223,638.666666667,633.666666667,699.666666667,878.000000001,897.0,746.466666668,755.333333334,839.333333332
193.61,297.296311111,264.2222,259.8889,279.666566667,341.555666667,347.2224,295.066646667,296.4444,324.888933333
193.99,410.463066667,368.055533333,338.6111,366.3888,457.222133333,466.6667,401.1665,397.222266667,435.5556
194.37,648.888888889,542.916666667,517.291666667,541.25,686.25,720.0,615.333333333,584.166666667,672.5
194.75,-4485.0,-3493.33333333,-3441.66666667,-3523.33333333,-4693.33333333,-5005.0,-4067.33333333,-3613.33333333,-4640.0
195.13,-1209.84126667,-931.428666669,-901.904666667,-902.380900001,-1260.0,-1321.42853333,-1117.33338667,-961.904733335,-1236.19046667
195.51,-1118.19444444,-874.166666666,-840.416666666,-881.666666667,-1215.83333333,-1255.0,-1096.5,-944.166666667,-1139.16666667
195.89,-1513.33333333,-1194.66666667,-1094.66666667,-1238.66666667,-1796.0,-1804.66666667,-1578.53333333,-1318.66666667,-1625.33333333
196.27,-389.4445,-279.259266667,-256.296333333,-329.629466667,-447.777666667,-453.888833333,-397.407386667,-345.925866667,-419.259266667
196.65,-824.027777779,-548.333333333,-539.166666667,-684.583333333,-923.333333333,-907.499999999,-801.833333333,-718.333333333,-877.500000001
197.03,1428.88888889,945.333333333,948.0,1148.66666667,1617.33333333,1486.66666667,1288.66666667,1261.33333333,1540.0
197.40,-350.208333333,-186.666666667,-215.208333333,-275.625,-421.666666667,-390.0,-293.875,-294.166666667,-388.75
197.78,-184.914677778,-75.641,-115.0,-139.4871,-234.871733333,-230.5127,-153.435893333,-161.538466667,-218.9744
198.16,-424.545388889,-162.424266667,-303.3333,-336.969566667,-576.363533333,-535.4545,-347.090873333,-401.2122,-518.7878
