wavelength,Back_TiaBicm,Belly_TiaBicm,Breast_TiaBicm,Crissum_TiaBicm,Crown_TiaBicm,DorTail_TiaBicm,Rump_TiaBicm,Throat_TiaBicm,WingTip_TiaBicm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,38.6363333333,82.5759166667,62.1212500001,50.7575,59.8485,75.757625,57.5756666667,46.2121666667,50.0000833333
179.16,96.8750000001,100.0,78.125,92.7083333332,80.2083333334,120.833333333,71.875,89.5833333333,101.041666667
179.54,-75.0000833332,-47.2221666666,8.3335,-18.0555833333,-108.333416667,-19.4444583333,-83.3333333334,-38.8888333334,-99.9999166667
179.93,-88.2716666668,21.29625,-60.1853333334,-38.425875,-34.2591666667,-16.3581666667,-42.5925833334,-34.2590833333,-38.2715833333
180.31,-128.472166667,11.1111666667,-88.8889999999,-77.2567916667,-59.0278333333,-47.743,-87.1527499999,-57.9861666666,-73.2640833335
180.69,-200.877333334,-39.0349999998,-153.069916667,-137.280625,-111.403416667,-111.622708334,-173.68425,-102.631666667,-136.842166666
181.07,-281.0185,-89.3516666667,-203.240916667,-203.703916667,-174.536916667,-189.583416667,-234.259333333,-162.037083333,-197.68525
181.45,-157.142833333,-33.3333333333,-102.678416667,-122.767833333,-79.7618333335,-118.452375,-124.107166667,-88.6904999999,-96.7261666667
181.83,-123.4375,-6.51041666665,-55.2083333333,-99.4791666667,-40.1041666667,-76.8229166667,-82.8124999999,-63.2812499999,-54.4270833333
182.21,-131.0345,-7.47125000017,-47.9885833333,-116.522958333,-40.2299166668,-88.0746666667,-96.2642499999,-79.023,-63.793
182.59,-460.833333333,-180.0,-255.833333333,-467.916666667,-228.333333333,-346.666666666,-432.5,-350.833333333,-343.333333333
182.97,-850.0,-454.999999999,-503.333333334,-945.833333334,-473.333333333,-641.666666667,-828.333333333,-715.0,-661.666666666
183.35,-786.666666667,-425.000000001,-485.0,-879.166666667,-401.666666667,-605.0,-758.333333333,-651.666666667,-600.0
183.73,2229.16666666,1387.5,1508.33333333,2356.25,1291.66666667,1547.91666666,2004.16666667,1966.66666667,1887.5
184.11,392.361,259.722083333,290.277833333,396.180708333,280.555583333,297.5695,343.055583333,375.0,358.33325
184.49,256.25,192.708333333,181.770833333,272.395833333,179.166666667,185.677083333,223.958333333,255.208333333,263.541666667
184.87,175.8065,136.827916667,132.79575,177.957041667,131.45175,120.161083334,155.913833333,162.096833333,189.516166666
185.25,171.354166667,154.427083333,150.0,182.291666667,147.916666667,135.9375,163.541666666,162.239583334,207.552083333
185.63,184.444416667,168.611166667,155.277833333,197.083333333,158.611166667,134.583166667,167.77775,171.111166667,219.16675
186.01,237.698166666,213.492083333,192.460333333,258.134833333,189.6825,173.611041667,190.873083333,209.9205,271.428583333
186.39,185.632083333,155.747166666,149.425333333,205.172458333,145.402333333,144.683791667,144.827583333,154.59775,200.574666667
186.77,142.129666667,123.842583333,112.037166667,169.444541667,113.425916667,116.319625,111.111166667,111.574166667,148.37975
187.15,114.120416667,104.861166667,81.4815833333,153.009291666,84.2593333332,104.861208333,83.5648333334,77.54625,103.240666667
187.53,86.4341666668,80.8139999999,47.28675,129.554458333,53.10075,73.83725,56.7829166668,50.7750833332,64.9224166666
187.91,75.7715833333,71.9137499999,46.4506666667,111.80575,48.7654166666,66.2809166667,50.3087499999,46.1419166667,51.6973333333
188.29,58.5749166666,61.2320000001,42.39125,88.0435833334,40.8211666667,60.2656666667,37.0773333333,40.57975,37.8019166667
188.67,44.9588333333,51.646,29.7325,74.0225833333,32.61325,49.8455416667,24.3825833333,32.4075833334,24.0740833333
189.05,32.2916666667,45.5208333333,22.9166666667,64.21875,19.0625,50.0,14.2708333333,22.3958333333,15.3125
189.43,19.7318333333,33.5248333334,12.9310833333,54.0227916667,7.85433333333,42.4329583333,6.70491666666,14.7510833333,4.40608333335
189.81,21.36525,36.1700833333,14.1843333333,55.2304583334,9.57449999998,47.9610833333,12.5888333333,19.681,12.8546666667
190.19,23.374,39.5325833333,9.75608333333,60.772375,8.33333333335,54.420625,12.4999166667,17.17475,13.8211666667
190.57,22.2943333333,35.065,7.03458333333,62.987125,1.19041666668,53.6254583333,10.3895,17.0995000001,13.3115833333
190.95,27.1369166667,36.2179166667,16.1325,64.3698333333,5.76933333335,56.8375416667,16.1324166667,21.0471666667,15.8121666667
191.33,35.0000833333,39.1110833333,21.111,77.2778333334,5.88900000003,67.777875,21.8889166667,26.5554166667,22.4445
191.71,30.3459999999,32.3900833332,1.25791666667,90.6447083334,-16.35225,63.9150833333,4.40258333332,14.4654166667,3.93091666666
192.09,34.4015833334,28.4188333334,-9.40166666667,110.042541667,-37.3933333334,68.3761666666,-1.2819166666,9.61533333318,-6.83750000008
192.47,34.6774166669,22.8495,-25.2687499999,135.08075,-59.1398333333,54.56975,-6.98908333325,-7.25808333334,-27.1504999999
192.85,42.2221666667,30.0000833334,-27.4999999999,132.222208333,-44.1666666667,52.2222916667,-13.3331666666,-12.4999166666,-18.3333333332
193.23,59.3750833333,40.9721666667,-37.5000833332,170.312541667,-50.3470833333,52.9515000001,-30.9026666666,-12.4998333333,-28.8194166668
193.61,48.9315833334,31.6239166667,-10.8974999999,109.508708333,-25.2135000001,41.7734166667,-17.9488333334,7.0511666666,-7.69224999993
193.99,69.6759166667,46.9908333334,-0.9260000001,121.527708333,-5.32408333317,52.4306666667,-16.2037499999,18.75,4.62950000007
194.37,62.3454999999,37.3456666666,-27.7777499998,145.215958333,-45.3703333333,53.5493333332,-61.7284166666,-5.24691666668,-12.0370000002
194.75,8.3334166665,-9.31375000015,-98.5294166667,156.617708333,-128.431333333,20.0978750001,-172.058916667,-63.7254166668,-81.8627500003
195.13,37.5001666669,26.5350833334,-4.38591666667,108.771958333,-26.3159166666,50.6580000001,-35.5261666667,4.16666666675,0.438583333417
195.51,49.6296666665,36.4815,10.0000833333,108.981541667,-6.66674999993,63.8887499999,-14.9998333334,23.3334166668,20.1850833332
195.89,64.0352499999,56.1403333333,27.7775833333,109.210416667,24.1228333333,86.4033749999,16.5203333333,47.9533333332,46.3450833334
196.27,87.5785833334,80.9747500001,42.9245833333,137.499916667,40.7232499999,110.456166667,40.0943333333,70.7547500001,66.5093333332
196.65,81.4814166667,68.5185000001,23.1480833333,130.833291667,30.0000833333,110.27775,33.3333333334,59.6296666667,57.4074166666
197.03,89.3678333332,69.2529999999,-2.01149999993,168.247083333,10.0573333336,118.103291667,22.1264166665,56.0345833334,58.6208333334
197.40,74.3054166666,50.0,-45.13875,170.833375,-22.5694999999,126.0415,-3.12491666667,32.9860833333,31.9445000001
197.78,65.9722500002,53.1249166667,-53.8193333333,147.916541667,-23.2639166666,136.111166667,0.34724999975,37.15275,20.8331666668
198.16,58.5585833334,43.0180833332,-33.5586666666,98.0855416666,-5.18024999982,104.842458333,24.0990833333,29.0539166666,11.937
198.54,21.875,2.60416666667,-179.166666667,110.9375,-108.333333333,149.739583333,-32.8124999999,-43.75,-76.5625000001
198.92,-28.3333333335,-43.3333333333,-232.222166667,53.3334166667,-166.666583333,111.9445,-68.3332500002,-117.77775,-142.777833333
199.30,-132.638833333,-181.944416666,-361.111166667,-47.9165416666,-319.444416667,19.4443333333,-182.638916667,-267.361083333,-284.027916667
199.68,1591.66666667,1962.5,2970.83333333,1185.41666667,2666.66666667,597.916666666,1970.83333333,2520.83333333,2604.16666666
200.06,1125.0,1208.33341667,1933.33325,755.555666666,1802.77783333,286.111083332,1363.88891667,1641.66666667,1811.11116666
200.44,-311.666666667,-277.5,-501.666666667,-168.333333333,-464.999999999,39.5833333335,-322.5,-399.166666667,-485.833333333
200.82,-211.111166667,-161.666583333,-326.111166667,-99.7222083334,-296.111166667,40.8331666668,-198.333333333,-258.333333333,-307.222083333
201.19,-321.212166667,-267.424166667,-504.545583333,-153.030208333,-447.72725,23.48475,-304.545416666,-413.6365,-447.727416667
201.57,1377.77775,1072.22225,1911.111,713.888875001,1780.55558334,13.8889166675,1402.77783333,1691.66666667,1683.33333333
201.95,-451.041666667,-315.625,-665.625,-223.958333333,-610.416666666,68.75,-473.958333332,-580.208333332,-571.875
202.33,-1050.0,-791.666666665,-1516.66666666,-578.125000001,-1341.66666667,32.2916666675,-1129.16666667,-1310.41666667,-1366.66666667
202.71,364.881,285.71425,543.4525,249.702333333,442.857083333,23.2142083333,391.66675,447.619,469.64275
203.09,1008.33333333,854.166666667,1444.44433333,783.333375,1252.77766667,226.388875,1043.05558333,1188.88891667,1200.0
203.47,309.02775,281.25,427.777833333,262.500083334,378.819416667,116.14575,322.916583333,366.666666667,352.083416667
203.85,199.583333333,187.291666667,262.291666667,172.083333333,241.25,79.0625000001,212.708333333,246.25,232.5
204.22,181.02825,171.808416667,226.595666667,150.797875,214.361583333,69.7695000001,192.375916667,216.489333333,207.624083333
204.60,187.601583334,178.049,230.89425,145.42675,218.292666667,58.6379583334,200.000083333,222.3575,217.07325
204.98,190.384666667,185.8975,238.88875,151.923041667,225.641,67.4144583332,207.906083333,230.128083333,225.85475
205.36,172.743083333,173.784666666,207.291666667,143.055583333,206.770916667,75.7812499999,184.5485,200.694333333,202.08325
205.74,166.83675,162.415083333,191.32675,135.54425,201.0205,68.2824583333,170.91825,186.90475,188.435416667
206.12,175.850416667,172.95925,187.925,139.965875,212.755166667,85.4590833334,180.442166667,192.006833333,200.17
206.50,152.232,151.041583333,155.654833333,118.15475,181.994,73.3631666667,158.184583333,165.178583333,183.928583333
206.87,242.47325,230.914083333,229.03225,171.639875,289.51625,98.6557083333,241.128916667,249.462333334,299.1935
207.25,255.1725,241.66675,250.000083334,175.431125,308.046083333,113.649375,253.44825,264.080583333,314.36775
207.63,275.59525,257.738166667,269.642833333,205.80375,328.27375,144.642791667,271.130916667,291.071333333,331.547416666
208.01,215.208333333,204.375,210.0,164.479166667,252.916666667,128.333333333,212.916666667,228.958333333,251.041666667
208.39,173.45675,166.666666667,170.987666666,129.783958333,195.833416666,112.731708333,171.9135,183.950666667,200.771583333
208.77,161.202166667,155.05475,163.11475,127.322375,173.907083333,113.3195,160.519166667,168.989,184.016333333
209.14,160.582166667,159.259083333,167.46025,130.555458334,170.502583333,113.954958333,159.9205,171.428583333,183.201
209.52,165.27775,168.611083334,171.11125,132.430625,169.861083333,115.6945,167.22225,180.833333333,189.166583333
209.90,164.58325,169.722083333,169.16675,128.472083333,166.80575,109.374916667,166.805583333,178.0555,184.027666667
210.28,133.783916667,147.072083333,142.792833333,111.43025,139.414333333,98.9301249999,142.117166667,152.70275,155.518083334
210.66,138.526583333,155.917916667,153.623083333,122.222166667,151.44925,106.884041667,147.826083334,157.246333333,165.8215
211.03,123.995916667,139.257083333,131.42575,108.032083333,134.839416667,95.8333749999,128.514083333,135.84325,146.787333333
211.41,132.825166667,145.630083333,139.939,120.985916667,144.105833333,104.573166667,139.126,143.089333333,158.841583333
211.79,140.064166667,154.16675,148.718,133.760708333,160.042666667,107.585333334,149.038333333,151.068333333,172.97
212.17,133.105,147.60275,136.986416667,121.061666667,158.789916667,96.1759583335,149.20075,146.23275,171.918
212.55,136.90475,146.190416667,135.714166667,120.476166667,162.380916667,96.3690833335,156.547666667,147.857166667,171.904833333
212.92,141.666583333,146.025583334,144.487166667,121.410375,172.94875,95.5768333332,160.384666666,146.02575,175.12825
213.30,132.487916667,129.347916666,135.507333333,110.688333333,162.318916667,89.4928333333,147.343,135.265666667,165.096583333
213.68,131.306416667,126.126166667,133.445916667,106.137416667,159.234333333,86.9369583333,142.567583333,128.490916667,158.446083333
214.06,135.563416667,130.516333333,137.089166667,104.166583333,159.624583333,83.2162083333,146.713583333,126.291,158.568
214.44,159.672583333,150.297666667,168.75,120.163708333,190.029833333,92.7084166667,172.619,144.494083333,187.351083333
214.81,189.40975,174.131916667,198.09025,135.069375,227.083166667,107.20475,197.569416667,168.055583333,213.02075
215.19,304.012333333,273.765583333,322.531,193.364166667,363.888916667,159.876583334,302.1605,266.049333333,320.370333333
215.57,415.47625,371.031833333,444.4445,258.531875,485.714333333,211.30975,380.9525,346.4285,415.476416667
215.95,413.09525,386.904666667,448.412666667,252.579416667,493.650833333,232.341458333,364.682333334,336.507916667,428.968083333
216.32,350.36225,341.304416667,386.232,212.681041667,428.985333333,183.152083333,310.50725,293.116,379.710083333
216.70,444.90725,456.018583333,503.240833334,276.851916667,557.870333333,253.009291666,397.685166667,384.25925,498.148166667
217.08,528.645833333,524.479166666,592.1875,328.645833334,646.874999999,304.166666667,469.270833333,454.166666667,609.895833333
217.46,436.904666667,419.444583333,462.3015,268.650833333,523.412583333,279.960375,383.333416667,379.761833333,507.53975
217.83,557.291666667,534.895833333,576.5625,319.791666667,669.791666667,335.416666667,486.458333333,492.1875,667.1875
218.21,318.15475,305.65475,328.571416667,174.702333334,364.880916667,195.535708333,278.5715,284.523833333,381.249916667
218.59,271.846833334,262.838,267.79275,149.77475,300.675833333,176.914375,235.585583333,239.41425,326.126
218.97,282.40725,278.93525,277.083416666,147.801,302.777833333,202.314875,246.29625,253.00925,341.435166667
219.34,309.31375,306.372583334,309.068583333,157.720625,324.509833333,228.553916667,272.794,281.862916667,371.81375
219.72,399.107166667,381.845166667,389.881,204.464375,410.714333334,292.559333334,341.96425,358.03575,465.773833334
220.10,540.873,497.222333333,509.52375,271.031791667,534.52375,372.420583334,443.253833333,469.8415,604.762083333
