wavelength,Back_SalFulf,Belly_SalFulf,Breast_SalFulf,Crissum_SalFulf,Crown_SalFulf,DorTail_SalFulf,Rump_SalFulf,Throat_SalFulf,WingTip_SalFulf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,208.333333334,129.166666667,177.678571429,143.75,216.666666667,233.333333333,201.041666667,112.5,182.291666667
179.16,73.7653611112,68.5186666666,90.2117261905,73.1480833333,58.33325,68.0555416666,84.7223333333,63.888875,78.7037083333
179.54,-308.333333333,-308.333333334,-613.095238096,-125.0,-291.666666666,-670.833333332,-487.5,-254.166666667,-495.833333333
179.93,27.5795277778,-8.33295475536e-12,12.7550595238,1.11022302463e-16,16.0715833334,-11.607125,-5.357125,2.97629166668,-8.9285
180.31,143.869666667,164.942666667,191.338154762,155.74725,184.195416667,257.614791666,255.172375,158.62075,169.396625
180.69,137.596888889,156.589166667,169.296726191,143.217,174.80625,220.833291667,215.019375,145.445625,164.437958333
181.07,153.086416667,182.4075,195.006678572,156.250083333,197.916583334,261.69,251.620375,156.018416667,187.384416667
181.45,171.614583333,198.4375,217.336309524,164.322916667,228.125,308.072916667,288.932291667,177.604166667,206.119791667
181.83,173.888972222,216.11125,230.793761905,183.888916667,248.333166667,328.75,311.666583334,185.833291667,212.91675
182.21,103.629,120.43025,135.867833333,102.688333333,138.709666667,174.664,166.532208333,105.510791667,115.658416667
182.59,95.1390277778,110.526333333,127.20877381,95.5043333335,126.973916667,155.8115,146.326666666,96.4364166665,105.482666667
182.97,86.9769444444,110.822333333,121.938761905,91.1255,124.459,150.324625,140.855,91.7749166667,101.947958333
183.35,91.3399722222,122.426416667,132.790785714,98.2843333333,133.088333333,165.195958333,150.674041666,99.0807083333,106.433916667
183.73,92.5610555555,133.47475,147.820845238,110.028166667,146.7515,185.028333333,168.5735,110.310791667,119.491625
184.11,125.793638889,190.079416667,195.351452381,148.016,207.53975,246.428625,225.694375,145.53575,175.595375
184.49,144.074027778,224.166583334,247.341166667,173.889083333,261.111083334,305.694291667,276.944458333,170.972333333,218.88875
184.87,181.111111111,346.111,418.968190476,242.22225,401.111083333,484.999875,448.333333333,254.999875,321.944416666
185.25,122.555555556,226.333333333,269.047619048,169.333333334,260.333333333,290.333333333,275.333333333,186.833333333,212.833333333
185.63,107.592555556,208.0555,232.460285714,158.888916667,231.6665,240.139041667,226.388791667,154.027791667,188.611083333
186.01,91.1805555556,165.0,177.172619048,126.666666667,185.833333333,182.083333333,172.083333333,128.125,158.645833333
186.39,120.486,256.59725,274.007940476,199.65275,304.861,284.5485,280.208416666,189.583416667,248.610916667
186.77,134.027777778,344.270833333,357.366071429,257.291666667,417.1875,360.416666667,357.03125,215.885416667,334.895833333
187.15,110.185138889,327.777666667,341.1905,215.5555,406.666666667,311.9445,340.555416667,176.388958333,313.611
187.53,84.006638889,189.141333334,190.656571429,119.949583334,214.899,160.100958333,178.787791667,100.37875,186.489833333
187.91,103.584305556,205.107583334,206.720404762,119.892666667,234.408666667,167.876291667,179.301166667,100.941,195.161375
188.29,78.9583333333,165.0,172.529761905,94.3749999998,185.416666667,122.708333333,138.75,88.8541666667,139.479166667
188.67,98.3715833335,232.758666667,240.435071429,126.724083334,254.310333333,156.752916666,182.471333333,138.936708333,176.867583333
189.05,87.8968333333,235.714083333,219.430416667,122.619083333,249.404666667,164.285833333,173.511833333,123.065583333,155.505958333
189.43,69.5075833333,160.4165,152.5705,93.1816666667,173.106166667,105.871208333,131.34475,92.7082916667,113.162875
189.81,76.1111111112,164.583333333,164.761904762,95.2083333332,181.875,96.0416666667,135.208333333,104.166666667,122.083333333
190.19,98.055611111,219.16675,204.642678571,112.222166667,219.16675,108.055708333,160.694416667,119.027666667,144.861083333
190.57,111.206861111,234.195333334,196.633880952,108.333333333,216.666583333,105.747125,153.591833333,116.235666667,138.649291667
190.95,112.60675,260.897333333,195.009238095,96.1539999999,224.0385,78.5255416666,149.51925,114.903875,138.621791667
191.33,112.037027778,254.938166666,188.668380953,106.17275,220.987583333,84.1049583333,128.70375,124.691333333,140.123333333
191.71,96.6434722223,238.541666666,180.506059524,99.6526666668,224.65275,60.4166666668,115.104125,99.3055,113.888875
192.09,57.3412222223,182.14275,130.229452381,69.0474999998,170.238083333,19.6427916667,80.9525000001,76.6370000001,69.0476249999
192.47,60.9027777777,150.208333333,108.720238095,69.7916666665,130.0,31.7708333333,78.8541666667,79.4791666665,74.375
192.85,82.4900000001,140.476166667,103.996428571,81.6962500001,129.315416667,58.1102916667,87.7975833333,85.9373333334,91.1457916668
193.23,83.937111111,132.004833333,108.005571428,86.3525833334,128.26075,57.0047916667,86.5338750002,89.4926666667,101.811625
193.61,102.843805556,188.293583333,143.310607143,111.904833333,175.0,65.9722083333,95.436625,124.107208333,128.372833334
193.99,83.8541666667,168.402666667,120.535738095,96.1806666666,150.173583333,61.8923333334,82.0312083334,106.076458333,109.548583333
194.37,86.9444444443,183.958333333,131.488095238,100.833333333,166.875,57.6041666667,84.4791666667,119.166666667,116.979166667
