wavelength,Back_SpoBoem,Belly_SpoBoem,Breast_SpoBoem,Crissum_SpoBoem,Crown_SpoBoem,DorTail_SpoBoem,Patch10_SpoBoem,Rump_SpoBoem,Throat_SpoBoem,WingTip_SpoBoem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,88.5416666668,62.5,96.875,101.041666667,88.5416666668,100.0,56.25,101.041666667,42.7083333333,39.5833333334
179.16,47.2221666666,4.62966666665,11.1111666667,29.62975,62.037,10.18525,18.5185833333,56.4815000001,0.926,-27.7779166666
179.54,79.1666666666,75.6944166666,79.1665833333,77.7777500001,46.5278333333,70.1388333333,48.6110833333,95.8333333334,43.75,29.86125
179.93,-52.7778333333,-11.1110833333,7.49889039753e-12,-11.1110833333,19.4445,-4.16675,-88.8890000001,26.3888333333,-29.1666666667,-101.388916667
180.31,-16.4474166667,-44.0789166666,4.16674999993,40.5701666667,38.3773333333,-27.8509166667,-65.5700833333,38.3771666667,-48.2457499999,-100.000083333
180.69,-19.44425,-45.6598333334,-6.07641666674,32.118,34.5486666667,-33.1596666667,-61.4582500001,22.5693333334,-47.9166666667,-89.0625000001
181.07,-37.4031666668,-60.4651666668,-22.6744166668,26.7441666667,31.58925,-53.8758333333,-76.7442499999,8.72091666665,-62.7908333334,-102.906916667
181.45,-44.0475833334,-60.0000833333,-20.2380833333,41.4285833333,42.1428333334,-61.9047500001,-85.7141666667,14.0474999999,-67.8570833333,-114.52375
181.83,-60.7526666667,-87.3657499999,-51.6130833333,35.2149166667,54.0323333334,-87.9032499998,-109.139833333,-8.871,-87.6344166666,-148.387166667
182.21,-136.274583334,-213.7255,-149.019416667,32.353,40.6862499999,-227.94125,-238.7255,-71.0784999998,-204.902166667,-316.176416667
182.59,-24.9999166665,-81.4103333333,-50.9614999999,68.9103333333,69.8716666667,-88.7818333333,-83.6537500001,13.7820833333,-70.51275,-158.33325
182.97,14.4928333335,-67.0289166666,-22.8260000001,128.985416667,124.63775,-61.5942499999,-69.2029166666,46.3769166666,-56.1594166667,-132.608833333
183.35,63.4257500002,-23.6110833332,33.79625,231.9445,212.963,-13.4259166667,-30.0925000001,117.592583333,-52.3147500001,-108.33325
183.73,47.6666666667,13.0,46.3333333333,171.0,171.0,-12.0,-2.33333333332,108.0,-34.3333333332,-49.0
184.11,51.4956666666,45.0855833333,57.2650833333,127.77775,149.145416667,13.4615,22.0085833333,94.6580833333,8.97441666665,-11.3247499999
184.49,67.7349999999,53.6325833333,63.4616666667,133.76075,153.205,30.9829166667,25.2136666667,112.606916667,13.67525,-12.3931666668
184.87,101.262583333,93.6868333332,109.343583333,165.909083333,187.12125,62.3739166667,50.5049166666,164.394083333,44.9495,4.54558333334
185.25,92.9824999998,80.9209999998,98.9034166665,127.4125,158.333416666,55.9211666667,37.5000833333,148.464916667,40.3509166667,-7.45616666685
185.63,74.8225833334,71.8085,90.4255833333,106.5605,128.723333333,46.0993333333,35.6383333332,128.90075,34.5745,-4.25524999992
186.01,70.2990833333,67.7351666667,107.69225,109.615333333,136.5385,32.2649166666,25.2136666666,145.940166666,29.2735,-13.4615
186.39,74.183,74.3465,115.196083333,107.189666667,133.0065,49.0195833334,46.2418333334,135.130833333,38.23525,21.0784999999
186.77,84.188,86.7520000002,144.230666667,134.188166667,167.307666667,51.0683333335,51.49575,174.78625,48.9315,31.1967499999
187.15,69.9685000001,69.6542500001,113.67925,104.402333333,124.371166667,50.4716666667,51.8868333333,143.553416667,51.8869166666,36.3207500001
187.53,72.22225,67.4073333334,116.851833333,89.6295833334,124.074166667,45.0,42.4075,150.555583333,53.1481666666,29.8148333333
187.91,68.7036666667,63.5185833333,120.5555,85.9258333333,116.851833333,48.7038333333,39.62975,139.814833333,54.6295833333,29.81475
188.29,77.7778333333,68.2099999998,162.963,106.790333333,135.802583333,34.2594166667,30.8641666667,194.13575,38.58025,29.9381666667
188.67,99.1666666668,88.3333333332,290.833333333,118.333333333,251.666666667,-57.5000000002,-26.6666666666,399.166666667,-4.99999999993,-10.8333333333
