wavelength,Back_CorPilf,Belly_CorPilf,Breast_CorPilf,Crissum_CorPilf,Crown_CorPilf,DorTail_CorPilf,Patch10_CorPilf,Rump_CorPilf,Throat_CorPilf,WingTip_CorPilf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-145.833333333,-175.0,-302.083333333,-475.0,-245.833333333,-104.6875,-175.0,-133.333333333,-266.666666667,-433.333333333
179.16,51.0416666667,70.8333333334,82.8125000001,136.979166667,75.0,74.0885416667,86.9791666667,73.9583333333,100.0,126.5625
179.54,83.33325,78.5713333334,94.0476250001,85.1191666667,95.2381666668,32.9613281249,119.047583333,50.3967777778,104.761916666,42.2619583334
179.93,-51.6666666667,-25.0,2.50000000001,17.5,-53.3333333333,13.2291666667,53.3333333333,-16.1111111111,16.6666666666,-84.1666666667
180.31,-53.3333333334,25.8333333333,24.1666666667,181.875,41.25,-35.4947916667,112.291666667,62.2222222223,76.6666666668,96.0416666667
180.69,-6.30075000002,39.8374999999,40.1424583333,110.67075,51.2196666667,10.20065625,76.1180833334,66.8699444443,69.5120833333,77.5406666666
181.07,-20.032,11.5385833333,14.5031666667,62.1792499999,17.7884166667,-7.82263020833,43.0289583334,38.6752222222,37.33975,40.78525
181.45,-11.61225,13.1149166667,12.4999583334,50.8879166666,17.6228333333,-5.105796875,36.0654583333,37.2495555556,34.836,30.8061666667
181.83,-42.7884166667,-16.0255833333,-17.1474166667,39.2627916666,-6.08966666667,-31.3701927083,16.3462083333,30.1816666667,10.4165833333,16.987
182.21,-43.7908333334,-20.915,-24.0195416667,32.3529999999,-4.57516666668,-38.2966510417,6.29095833334,34.6948888889,6.04575000002,22.63075
182.59,-40.3648333333,-30.2085,-37.0444166667,13.4114583333,-14.4533333333,-44.962859375,-14.713375,17.8819166667,-3.64608333335,9.50520833332
182.97,4.57958333332,11.26125,6.04354166668,33.333125,25.7509166667,3.68343750001,16.77925,39.2142222222,30.4804166667,34.422
183.35,7.42175,16.08075,10.2862916667,32.5521666667,29.62225,11.1897083333,19.01025,40.8201666667,36.6535833333,34.1471666667
183.73,1.20966666665,10.0805833333,4.70416666668,24.2944166667,25.4704166667,7.92583854168,11.1223333333,37.4551666667,33.7365833333,27.6207916667
184.11,7.67716666665,14.8293333333,14.5340833333,29.6585416667,32.349,15.10425,18.5695833333,44.4881944445,34.9738333333,34.2847083333
184.49,8.757,16.4549166667,14.7953333333,33.2980416667,31.2146666667,17.1522083333,22.740125,51.8124722222,40.0423333333,38.4535416667
184.87,-1.56241666666,7.03133333332,5.51220833333,33.8542083333,26.302,10.2159479167,19.8784166667,47.3090833334,36.97925,37.4567083333
185.25,2.8053333333,15.4288333333,4.86804166668,35.849875,35.066,15.5681927083,29.0842916667,51.1276944444,40.4290833333,41.0477916667
185.63,1.77991666668,14.8866666667,4.93533333332,31.7557083333,37.0549166667,16.9750364583,32.1195416667,51.0788611111,39.1585833334,42.3543333333
186.01,3.87925,18.6063333333,11.925375,29.0590833333,39.0085833333,22.3869479167,32.8306666667,50.5027777778,43.46275,44.5761666667
186.39,7.71608333332,20.98775,16.3271666667,33.4259583333,39.9383333333,26.2537708333,34.87675,46.3375,44.93825,46.0185
186.77,8.00275,21.6931666667,18.9814583333,34.1600833333,43.6509166667,30.7168333333,36.6734583333,48.8316388889,48.4126666667,44.31225
187.15,12.1094166667,25.8465,23.958375,34.6682083333,43.6198333334,35.526453125,40.3322083333,51.10675,49.4140833333,46.0287916667
187.53,13.8136666667,26.9518333333,23.9489583333,35.88575,43.0181666667,36.6929947917,41.0658333333,51.9018055555,47.67275,50.5254583333
187.91,15.39025,28.078,27.890375,37.500125,49.1740833333,39.6677604167,43.4684583334,52.5525555555,48.4235,50.0749583333
188.29,17.5848333333,31.4265,26.9772916667,35.2048333333,47.6693333333,38.290078125,42.5847083333,49.5292222222,49.6469166667,48.5167916667
188.67,13.4666666667,23.7333333333,21.8666666666,24.1333333333,44.1333333334,33.4833333334,36.6333333334,40.4666666667,43.9333333333,44.5666666667
189.05,16.3626666667,25.6083333333,25.669125,24.7871666667,45.8029166667,33.0026354167,37.16525,42.8223888889,41.4841666667,41.1494583333
189.43,19.3626666667,30.2081666667,34.0074166667,30.1469583333,51.8995,41.433046875,37.530625,46.6706388889,44.79175,41.6055416667
189.81,16.2378333333,28.6764166667,32.7817083333,28.3395,47.6101666667,38.200796875,33.05775,45.5473611111,39.7059166667,37.5307083333
190.19,24.2371666667,35.446,35.8568333333,32.7759583333,51.6431666667,43.6509427084,36.0915,49.2371111111,41.9015,38.6445416666
190.57,20.5183333334,34.944,31.3025,26.0155416667,53.1511666667,42.1875677084,32.2129166667,50.9337777777,39.7759166666,33.473375
190.95,22.7641666666,37.7371666667,31.5377916667,24.559625,53.5231666667,42.5939739583,33.8074166666,54.3135833333,39.7018333333,37.6355
191.33,0.0926666666925,25.0926666667,16.8980833333,9.81470833333,51.2963333333,30.5556979167,15.50925,48.5493333333,27.4073333333,22.2222916667
191.71,-12.7659166667,14.9823333333,7.66858333332,-3.36870833335,40.78,19.4813333333,2.48216666667,37.0568333333,15.6915,8.86516666667
192.09,-13.5185,20.0925833333,4.629625,-6.66658333333,38.9815,14.3172708333,-1.20379166665,36.1727777778,14.537,8.61120833332
192.47,-30.1586666667,4.66258333335,-10.1189166667,-24.851125,26.78575,3.42253645833,-23.511875,23.4788055556,2.18250000002,-16.4187083333
192.85,-47.4535833334,-2.08333333332,-20.081125,-38.1365416667,15.5091666667,-8.02230729168,-37.615625,19.3286944445,-10.9954166667,-32.0024583333
193.23,-42.9325,0.316583333342,-24.7363333333,-41.50825,8.33325000002,-6.309234375,-35.2847916667,16.5962777778,-6.8565,-28.0062916667
193.61,-57.9954166667,-13.7388333333,-42.7927916666,-59.6284166667,-6.86933333333,-22.7477135417,-49.1555,7.16963888889,-23.87375,-40.7657916667
193.99,-73.5675000001,-23.958,-61.3277916667,-76.7575833333,-13.0205833333,-34.0979739583,-65.8850833333,-5.64219444442,-34.8956666666,-59.57
194.37,-89.9123333333,-33.9181666667,-68.2018750001,-94.9561666668,-21.3451666667,-44.179421875,-86.9882916667,-16.6178611111,-48.8305833334,-70.9064583334
