wavelength,Back_DacLinf,Belly_DacLinf,Breast_DacLinf,Crissum_DacLinf,Crown_DacLinf,DorTail_DacLinf,Rump_DacLinf,Throat_DacLinf,WingTip_DacLinf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,21.52775,1.38883333332,49.3055,7.40733333333,4.86116666667,20.8334166667,22.22225,21.52775,34.0279166667
179.16,53.9681666667,51.58725,64.6825,62.4338888889,45.635,70.2381666667,66.2698333333,54.3650833334,63.8886666667
179.54,61.1111666667,40.5555833333,53.3333333333,51.8518888889,47.77775,71.1109166666,59.4443333334,32.77775,68.3333333333
179.93,44.9075,31.0184166667,41.20375,38.8888888889,37.5000833333,56.0185833333,38.4259166667,26.8518333333,62.0370833333
180.31,35.5333333334,17.7333333333,38.2666666667,20.6222222222,24.4666666667,48.9333333333,42.8,19.2,45.3333333333
180.69,37.5585,22.535,41.2559166667,23.3176666667,26.7018333333,52.8169166667,44.014,21.8898333333,48.5915833333
181.07,43.1443333333,28.90075,42.1395,28.1323333333,32.3286666667,61.584,48.93625,25.2954166667,53.9009166667
181.45,38.0,24.8666666667,36.5333333333,20.2666666667,27.6,62.2,45.3333333333,18.7333333334,51.8666666667
181.83,39.0419166667,27.2308333333,39.042,21.5224444445,29.7245,66.0105,46.0630833333,23.425,53.2150833333
182.21,38.8406666667,24.3478333333,38.4058333333,21.3526666666,28.6955,69.9999166667,46.4493333333,22.9709166667,50.7245833333
182.59,45.8755,30.0503333333,40.4881666667,25.3647777778,32.7441666667,80.6398333335,51.852,28.5353333333,55.63975
182.97,49.6837499999,31.11825,44.6203333333,29.8172222222,32.4893333334,97.3630000001,56.5401666667,31.5400833333,61.3924166667
183.35,53.6764166668,31.7401666667,51.8381666668,37.5817777778,34.43625,112.86775,56.8626666667,36.6420833333,69.7304166666
183.73,64.3816666668,33.8709166667,52.5535833333,47.8493333334,37.5,134.677416667,61.6934166667,43.4140833333,79.8387499999
184.11,67.0044999999,41.5541666667,52.8154166667,51.8017777778,43.4684166667,127.702666667,58.8963333334,50.22525,80.9683333334
184.49,66.7708333334,42.8125,50.1041666666,52.0833333333,47.2916666667,119.6875,56.875,53.4375,81.25
184.87,76.6394166667,31.9671666667,51.3661666667,58.2877777778,47.26775,136.065583333,55.4645,58.4699999999,84.1530833334
185.25,83.8140833333,24.03825,56.7309166667,60.6838888889,47.7565,142.147416667,50.6411666667,64.2628333333,92.3077500002
185.63,120.833416667,36.7425,82.1969166667,83.3333333333,67.0455000001,171.969666667,66.6666666666,82.9545833333,117.803083333
186.01,147.22225,55.1283333332,97.4359166667,104.273666666,88.2479166666,191.23925,82.0511666667,92.5213333333,139.529833333
186.39,141.287833333,65.3409999999,98.6742499998,92.9293333332,83.3333333332,175.7575,84.8484166667,99.0531666668,136.93175
186.77,116.949,58.8983333333,93.7852499999,86.4408888889,73.7288333332,146.04525,78.9548333334,86.5819999998,116.666583334
187.15,92.1624999999,51.885,75.9920833333,70.2381111111,62.59925,108.134916667,63.3928333333,70.2379999999,89.7816666667
187.53,85.2835833333,53.2800833333,72.1630833334,62.766,59.66325,100.177333333,61.17025,65.7800833333,79.9645
187.91,79.7618333333,52.89125,71.2584166666,56.009,53.4864166667,88.1804166668,56.9728333333,60.8843333333,72.4489166667
188.29,82.6164999999,56.54125,73.5664166666,57.945,53.3153333334,82.258,56.2724166667,59.6773333333,72.5805833333
188.67,81.0861666666,54.8688333333,74.8127500001,62.1723333333,51.4981666667,82.7715833333,51.3108333334,56.3671666667,67.9775
189.05,79.6297499999,56.4815,70.1852500001,57.0371111111,50.463,78.0554166667,52.2221666667,53.426,66.7593333333
189.43,76.3541666666,52.0833333333,74.5833333334,51.25,48.5416666667,76.875,49.375,47.6041666667,54.0625
189.81,67.9876666667,45.2236666667,68.3943333334,45.664,43.0894166667,67.07325,40.9551666667,45.935,44.3088333334
190.19,63.3599166666,29.1005833333,65.8731666666,31.7458888889,29.3650833333,61.1111666666,23.148,37.5660833333,29.8943333333
190.57,57.5756666667,4.54566666668,57.5758333334,18.687,12.1211666666,51.32575,-0.189416666668,14.2045833333,6.43941666667
190.95,50.9804999999,-27.2059166667,24.9998333333,-5.88233333333,-21.8138333333,18.1370833334,-31.1274166667,-9.3136666666,-23.0391666668
191.33,66.0714166666,-126.785666667,-0.59541666675,-57.143,-135.71425,-52.3809999999,-134.523833333,-86.3095000001,-117.261833333
191.71,111.111083333,997.222166667,508.333249999,559.259222222,1122.22225,766.666750001,1022.22225,786.111083334,925.000083333
192.09,58.3334166668,179.76175,108.730166667,118.518444445,202.777833334,149.603166667,186.507916667,138.888833333,184.127083333
192.47,56.7071666666,117.479583333,78.4553333332,83.1979999998,132.317083333,96.7479999999,110.772333333,94.7155833334,117.682916667
192.85,55.7824166668,96.5986666666,69.0476666668,79.5917777779,122.108833333,93.1972500001,84.864,84.6939166667,105.952333333
193.23,56.9444166667,88.1171666667,67.2838333333,70.9876666667,115.5865,83.6420833334,83.0245833333,81.7900833332,101.08025
193.61,58.1666666666,86.4999999999,87.4999999999,71.1111111111,126.5,85.1666666666,78.8333333332,85.1666666668,96.6666666668
193.99,61.4585000001,84.5051666666,89.06275,68.2293333333,113.4115,78.5156666668,74.3489999999,80.4687499999,87.8908333331
194.37,76.9344166666,93.7501666664,111.904916667,74.8014444444,133.184583333,96.1309999998,81.8453333332,89.4345833333,101.190333333
194.75,76.2931666667,85.0574166667,105.747333333,67.2413333333,126.867833334,97.2700833333,78.8793333333,80.4598333334,95.1149166668
195.13,66.3636666667,67.1213333334,86.81825,53.7374444444,109.696916667,85.3029999999,67.7272499999,67.1211666667,83.3331666667
195.51,62.0536666667,60.7142500001,79.3154999999,49.2064444444,98.95825,78.7202499999,64.8809999999,59.0773333332,75.8928333333
195.89,29.2682499999,29.0650833333,46.9512500001,18.9702222222,81.3008333333,50.4065,39.0245,23.7804166667,50.6096666667
196.27,16.6666666667,12.7083333332,36.875,-4.44444444443,55.0,28.125,23.3333333333,9.37499999998,30.625
196.65,-13.6110833333,-21.1111666666,20.2778333333,-35.1851111111,38.6110833332,4.99991666665,4.72233333332,-28.0555,9.44450000002
197.03,-14.28575,-6.9046666666,16.9048333333,-25.0794444444,32.61925,11.1904166667,26.4285833334,-35.2380833333,10.476
197.40,-39.7435833333,-29.16675,-14.7435833335,-62.3932222222,20.1922500001,8.97433333341,8.97441666657,-81.41025,-13.1410833335
197.78,-16.6665833333,-7.73808333335,-15.1784999999,-50.396888889,45.238,39.5834999999,44.6429166667,-58.3334166667,8.9285833334
198.16,-141.66675,-120.370333334,-173.148,-264.197555556,38.8888333333,38.8889166667,71.2964166667,-277.777666666,-33.3330833334
198.54,-44.6970833333,-9.09083333325,-46.2121666668,-79.2930000001,46.5910833333,52.6516666668,62.8786666668,-71.212,14.7725833333
198.92,-46.0144166667,1.44933333342,-42.0290000001,-61.3526666666,50.0,65.5797499999,67.0291666668,-40.2173333333,38.406
199.30,-25.7245833332,11.5939999999,-23.5505833334,-48.7922222221,60.5073333332,83.3333333332,84.7826666668,-24.2754166666,43.1161666667
199.68,17.3424166667,36.7116666665,24.3243333334,1.802,76.5765833332,80.1801666666,82.2071666666,19.8198333333,60.36025
200.06,52.0467500001,71.0526666666,60.38,41.9104444445,91.5204166667,106.286666667,97.95325,55.40925,78.5088333333
200.44,62.5849999999,85.5443333334,77.7211666667,50.5667777778,121.2585,135.8845,115.816416667,70.0680833333,95.2382499999
200.82,79.6666666668,96.3333333335,94.8333333334,58.0,135.666666667,149.833333334,124.5,81.3333333334,109.0
201.19,86.5247499999,90.4255833333,106.38275,59.5744444444,146.453833333,149.29075,121.985916667,88.2979166666,110.993083333
201.57,90.5038333333,88.9535,119.379666667,63.8242222223,162.209333333,149.031166667,129.45725,88.3721666666,120.155166667
201.95,101.4285,92.3808333335,140.476166667,70.4762222223,191.4285,165.952416667,142.857333333,97.3809166666,148.5715
202.33,86.6070833334,81.2499999999,118.4525,74.8013333334,150.892916667,130.654666667,108.779666667,91.0714166666,116.518
202.71,94.8149166666,82.77775,129.6295,80.2471111113,178.14825,136.4815,122.962833333,94.2592499999,134.25925
203.09,88.3335000001,58.8095000001,127.142833333,60.3173333335,198.333333333,126.666666667,110.476083333,63.3334166667,120.0
203.47,99.1935000001,59.4085833332,157.526916667,81.0036666667,237.096833333,149.46225,125.537583333,65.8603333333,153.225916666
203.85,103.787833333,54.9241666669,203.030333334,108.080777778,304.5455,187.878833333,163.6365,73.8637500001,193.560583333
204.22,118.333333333,42.5000000003,232.916666667,142.777777778,337.5,188.333333333,175.0,104.583333333,224.166666667
204.60,88.7596666667,41.8606666668,130.4265,104.651222222,179.845,116.278833334,110.465166667,73.8372500001,132.752083333
