wavelength,Back_PooThom,Belly_PooThom,Breast_PooThom,Crissum_PooThom,Crown_PooThom,DorTail_PooThom,Rump_PooThom,Throat_PooThom,WingTip_PooThom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,33.3333333333,122.727272727,48.3333333334,39.9999999999,145.0,134.166666667,101.666666667,58.3333333333,144.166666667
179.16,59.9999333333,71.9786242424,75.6864,72.5490666667,55.6862666667,60.7842333333,80.3920666667,68.6273333333,49.6078666667
179.54,3.33333333331,1.43939393939,-9.16666666668,17.5,6.66666666666,20.8333333333,39.1666666667,30.0,-3.33333333332
179.93,-220.0,-289.696969697,-126.666666667,53.3333333334,-726.666666667,-503.333333333,-200.0,-100.0,-353.333333333
180.31,10.2857333333,-16.3982969697,6.66666666668,38.0953333334,-59.2380666666,-13.7143333333,19.0476666667,37.3333333333,-56.2857666666
180.69,25.6565333333,8.73279393941,22.2222,42.5251333333,-15.3535333333,10.3535,32.9292666666,43.4344,-8.78776666666
181.07,35.0407333333,20.0886969697,29.8373333333,44.4714666667,0.243866666667,26.8292666667,40.4066,48.3739333333,11.0975
181.45,26.6666666667,7.21281818183,13.4979333333,27.572,-12.6749333333,19.3827333333,28.7243333333,39.2594,6.5433
181.83,24.6666666667,3.68939393938,12.0,27.5833333333,-18.8333333333,17.875,23.0833333333,34.6666666667,3.41666666666
182.21,34.8148666667,11.7321878788,20.5762,36.2139333333,-2.38686666667,32.5513333333,34.4856666667,40.9052666667,15.5967666667
182.59,20.9318,2.66545454546,11.6846666667,25.9498666667,-7.52693333334,20.3583666667,24.0142666667,29.0321333333,4.6952
182.97,14.7102,-6.80496969698,5.65213333333,22.6811333333,-10.1448666667,10.7607666667,23.4782666667,23.9131333333,6.30439999999
183.35,16.6335333333,-5.24454545456,8.64680000001,21.5182,-6.6666,12.4423666667,23.6304,25.4784666667,10.4950333333
183.73,19.8753333333,-2.32239999999,8.8474,22.2429333333,-8.2866,11.9314666667,24.7350666667,26.7910666667,14.1431666667
184.11,22.9744,4.89033939393,12.4614666667,26.2565333333,-0.205133333334,15.1794,29.4872,29.8460666667,20.6665666667
184.49,22.8702666667,7.70623636363,13.7501333334,26.4814,2.5926,18.3796,30.2314,31.7592666667,19.9072333333
184.87,21.9548,4.48398787877,10.1254,24.0101333333,-2.45613333333,15.94,26.8171333333,29.6241333333,17.9449
185.25,15.8586666667,2.7777939394,4.29286666667,22.0202,-5.00006666668,9.19196666667,23.0808,26.8182,12.0707666667
185.63,11.706,-3.45509090909,-0.052466666666,20.8398,-8.29393333333,4.06826666667,16.9028,23.4646,7.874
186.01,16.8172,4.75463030303,6.40853333333,20.5590666667,2.02146666667,8.19359999999,20.8602666667,23.613,13.0324
186.39,12.5348666667,2.77267272728,3.75253333333,17.0059333333,-2.19566666667,3.13373333334,16.2474666667,21.0380666667,9.76036666667
186.77,12.9004,1.5583939394,0.90913333332,14.5453333333,-4.8052,1.01736666665,14.9784,19.8268,9.7835
187.15,13.7106666667,4.07089090909,3.68986666668,15.5555333333,-3.22859999999,5.76513333334,15.933,21.4676,13.8784333333
