wavelength,Back_DiuSpem,Belly_DiuSpem,Breast_DiuSpem,Crissum_DiuSpem,Crown_DiuSpem,DorTail_DiuSpem,Patch10_DiuSpem,Patch11_DiuSpem,Rump_DiuSpem,Throat_DiuSpem,WingTip_DiuSpem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,106.666666667,107.333333333,95.0256410257,116.666666667,89.9999999999,77.8271604939,108.666666667,126.666666667,94.4444444445,130.0,101.333333333
179.16,89.0909333334,110.909133333,119.393871795,103.636333333,85.4544666667,86.8013604938,93.9393333333,107.272866667,85.8586666666,88.4848666666,90.6059999999
179.54,92.0512333333,127.179533333,120.591830769,120.256333333,107.692333333,101.576459259,106.153933333,115.384733333,108.376088889,102.051266667,70.5127
179.93,33.5416666667,40.0,55.8974358974,37.7083333333,45.4166666667,28.3179012346,53.75,43.75,44.3055555555,30.0,17.5
180.31,71.6871,107.7366,104.222917949,93.1275666666,81.4813999999,79.2593530864,104.4444,100.411466667,83.5940111111,81.3168,64.1564
180.69,76.0,117.583333333,113.371794872,96.4583333333,85.1666666666,82.9228395062,113.0,105.583333333,84.5277777779,87.0833333333,66.9166666667
181.07,71.6455666667,118.227866667,110.133102564,91.2656999999,82.6159999999,80.7155728396,114.346066667,100.843733334,80.4923333334,76.7932666667,66.8775666667
181.45,57.7489333334,109.697066667,98.9344153847,79.3938666667,71.5151999999,72.592565432,108.052,92.4675333333,70.3028888888,65.8873999999,56.1904
181.83,45.3521333333,101.314466667,89.8519025642,69.4366,60.845,59.8157901234,104.0376,83.9435333334,59.7964555556,56.2441333333,53.1455
182.21,37.0587666666,122.7452,101.548446154,79.2811,59.3464,63.2292098765,123.921666667,98.17,62.2003666667,61.0456666667,63.6601666667
182.59,46.25,176.458333333,147.980769231,105.9375,73.9583333334,79.4830246914,179.583333333,142.708333333,80.0347222223,81.4583333334,95.0
182.97,23.9215666666,144.509733334,121.779738462,75.2941666666,54.5097333334,55.9984197532,149.411733333,113.9216,58.9216444445,51.1764666667,74.7059
183.35,17.5237666666,123.047466667,107.765676923,68.4763999999,47.8096,55.1463555556,141.523733333,108.761866667,64.4762555556,42.6667333333,69.3334
183.73,-7.94866666666,142.307666667,117.810625641,71.0257999999,35.1281333335,54.9003604939,164.359,124.8718,62.2649888889,34.1024666666,70.1283
184.11,-34.3477666667,128.116066666,105.038912821,36.3769333333,14.4927333335,36.4789185184,159.999933333,106.666533333,51.3043888888,8.69566666652,61.0145666667
184.49,-23.5554666666,199.555666667,158.39311282,61.1111333334,32.0,74.7819185185,256.0,166.666733333,85.7778111112,12.4445333333,109.555633333
184.87,12.5758999999,156.666666667,134.755230769,75.4546,51.2121333331,75.9482938271,197.8788,144.242333333,99.9495111112,23.9394000001,110.303
185.25,36.9999999999,182.666666667,177.487179487,105.5,80.6666666666,100.604938272,228.0,183.666666667,131.444444444,40.0000000001,124.5
185.63,89.9999,181.025733333,169.348958974,126.410233333,115.897533333,123.096,222.820466667,183.8462,150.854722222,81.2820666667,139.999933333
186.01,77.7778999999,145.555466667,125.427348718,91.8518333333,95.7407333332,107.187997531,169.074066667,139.8148,111.419866667,67.4074666667,105.277733333
186.39,57.3457666667,102.0988,84.9382051282,65.0618333333,75.0618,76.1637506173,113.827133333,93.3333333333,75.4938555555,49.0122666667,70.0
186.77,39.1005333334,76.4019333333,61.8803128205,43.4921,54.3915999999,52.1458172839,84.8678000001,61.1639333334,49.1006555555,30.3704,43.4920333333
187.15,43.0476,77.2381333334,58.6666410256,50.6190666667,61.3333999999,48.878325926,84.8571999999,61.3332666667,49.9522666667,37.1429333333,42.0000666667
187.53,31.3725666667,68.2354,47.7300871795,40.7353666667,51.8627333333,35.4247555555,73.8234,52.6471333334,35.6535555555,26.1764666667,26.5196333333
187.91,37.8788333333,83.3940666667,57.4358820513,46.4242,62.9091333333,42.5994271604,92.8485333332,66.1818666667,41.8585777778,26.5455333333,30.3635666667
188.29,12.4323,84.6847333335,41.0394666666,22.0722,40.3603333333,10.9375950618,92.2522666667,49.7296666667,7.68774444448,-7.74780000002,-2.16223333334
188.67,9.44449999999,70.1586666666,25.7874871795,14.127,31.9046666667,3.41571358026,77.3016,43.4920000001,-4.44444799996e-05,-8.41273333339,-7.61916666665
189.05,-3.63633333334,69.0908666665,5.56323589745,-4.74750000002,28.0807333333,-11.5525876544,74.5452666666,30.9091333333,-24.2423888888,-24.2424666667,-35.6565666666
189.43,-56.3768666667,51.5941999999,-43.6343384616,-53.7681333333,-4.058,-56.8761259261,64.0579333334,-23.7680666667,-90.8213333333,-76.5218,-95.7970333333
189.81,-375.555433333,-71.8519333333,-302.393107692,-342.222233334,-194.814866666,-359.725656789,-17.0370666667,-267.407333333,-431.234488889,-385.185333333,-435.555466667
190.19,2011.66666667,666.666666669,1689.23076923,1973.33333333,1206.66666667,1943.8271605,213.333333333,1620.0,2293.88888889,1933.33333333,2245.0
190.57,257.254866666,103.529466667,237.345492308,290.196233333,189.411733333,268.990664197,40.3921333335,231.372466667,312.875888889,266.666666667,303.9216
190.95,156.559333333,68.8171333334,146.219810257,168.0645,120.0,164.532150617,33.5484666667,137.419466667,193.369188889,162.1506,176.774166667
191.33,126.5217,74.7826666667,125.451461539,141.811466667,114.782533333,135.448259259,53.0435333333,116.811533333,160.531377778,141.3044,146.086766666
191.71,120.196,75.8169333333,122.724984615,137.908666667,114.771266667,132.544234568,60.9151999999,121.5686,156.492422222,138.169933333,135.8169
192.09,126.9231,85.3846666667,131.617441026,149.807733333,119.359,147.15571358,73.9744666666,136.410133333,167.008566667,146.410266667,141.7307
192.47,136.7543,79.6492000001,146.437158974,162.105066667,119.999933333,168.226133333,61.2280666667,151.052533333,189.6491,155.964933333,153.245633333
192.85,146.495833333,75.3846666666,150.769210257,163.760566667,115.213533333,174.6058,70.9402000001,157.777666667,196.695155555,156.7522,158.034
193.23,146.6667,78.7233999999,145.357307692,151.276633333,111.489266667,163.341185185,75.1772666665,145.957333333,180.591088889,149.503533333,146.028433333
193.61,148.510666667,77.0213333334,144.571758974,160.9929,112.1986,165.158851852,86.2411333334,145.957533333,178.557922222,143.1206,145.6029
