wavelength,Back_SalAtom,Belly_SalAtom,Breast_SalAtom,Crissum_SalAtom,Crown_SalAtom,DorTail_SalAtom,Rump_SalAtom,Throat_SalAtom,WingTip_SalAtom
235.54,-9.34599999999,-1.3502,-1.16026666667,-4.91573333334,-4.32493333334,-9.24495111112,-6.37133333333,-4.19833333333,0.147533333334
235.91,-7.79093333332,0.473333333334,0.0590666666666,-3.0374,-2.68253333334,-5.49385333333,-5.75946666667,-3.0374,1.81466666667
236.29,-2.90426666667,5.24200000001,3.72606666667,1.64386666667,1.2238,-0.086573333334,-1.9362,0.749,5.78986666667
236.66,0.234533333333,7.65486666667,5.32653333333,4.89113333333,2.42886666667,1.87260444444,0.385333333333,2.78066666667,7.75526666666
237.04,5.1474,11.9845333333,8.04653333333,8.86813333333,5.84493333333,6.43092,4.5426,6.71306666667,10.6047333333
237.41,7.8492,13.5697333333,9.09086666666,11.0127333333,7.4352,7.90429777778,6.11979999999,8.55866666667,11.9142666667
237.79,9.97126666667,15.4023333333,10.3304666667,12.8161333333,8.59206666666,9.30647999999,7.72993333334,10.0574666667,13.9223333333
238.17,9.68820000001,14.9273333333,9.42473333332,12.0998666667,8.01120000001,9.37482666667,7.51213333333,9.79906666668,13.4580666667
238.54,8.53493333335,13.1048666667,8.414,10.2553333333,6.33073333333,8.36377777776,6.08873333333,8.19873333334,11.3306
238.92,4.82086666666,9.68133333333,5.71066666667,7.14473333333,3.0678,4.7923911111,2.749,5.20593333333,7.91506666667
239.29,3.79866666667,9.30533333335,5.51953333333,6.8324,2.67686666667,4.34426666667,2.1798,4.47406666667,7.20213333334
239.67,3.35746666666,9.03366666666,5.2054,6.79953333334,2.5846,3.62073333333,2.36713333333,3.7198,6.79946666666
240.04,3.35486666667,8.58686666667,5.2966,6.645,3.00986666667,3.19601333334,3.096,4.28266666666,6.39706666667
