wavelength,Back_MelRicf,Belly_MelRicf,Breast_MelRicf,Crissum_MelRicf,Crown_MelRicf,DorTail_MelRicf,Rump_MelRicf,Throat_MelRicf,WingTip_MelRicf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-222.222166666,-161.111333333,-169.4445,-227.777833333,-191.666666666,-269.444333334,-200.0,-244.444666666,-247.222166667
179.16,216.666666667,250.0,278.5715,242.857,290.476166667,273.809666667,230.952333334,264.285666666,252.380833333
179.54,-45.4546666667,-37.8788333333,-93.9396666665,-77.2726666666,-78.7880000001,-69.6971666666,-74.2421666667,-27.2726666667,-115.151333333
179.93,304.166666667,295.833333333,258.333333334,258.333333333,212.5,291.666666667,266.666666666,79.1666666667,383.333333333
180.31,3050.0,3394.44433333,3816.66666666,3377.77783333,3677.77766666,3605.5555,3722.22233333,2122.22216667,4150.00016667
180.69,10216.6666667,11116.6666666,12416.6666666,10416.6666666,11933.3333333,12166.6666666,12483.3333334,6783.33333334,13966.6666666
181.07,2006.66666667,2216.66666666,2448.33333334,1940.0,2296.66666666,2343.33333334,2430.0,1080.0,2680.0
181.45,600.0,659.804,692.647,592.157,669.607833333,688.235166666,721.568666667,276.4705,803.921666666
181.83,288.738666666,311.711833333,317.79275,281.531333334,309.459333334,310.360166666,340.540666666,127.928,369.369166667
182.21,339.785,369.354833333,384.13975,332.795666666,365.053833333,372.042833333,414.516166667,156.989333334,417.742166666
182.59,348.924666667,379.032166666,388.172166667,340.322666667,350.0,370.967833333,414.516166667,163.978666667,412.365666667
182.97,581.4815,657.4075,636.57425,545.370333333,562.037166666,609.259333333,701.851833334,289.814833334,694.4445
183.35,1540.47616667,1695.238,1550.0,1385.71433333,1397.61916666,1657.14283333,1759.52366666,811.905,1850.00016667
183.73,-1192.59266667,-1300.00016667,-1223.148,-1046.29616666,-1044.44433333,-1311.11116667,-1324.07416667,-679.629666665,-1414.815
184.11,-191.496666667,-201.020166667,-178.401333333,-174.149666667,-158.503333333,-206.122333333,-215.986166666,-88.0953333335,-233.333166667
184.49,-169.5035,-174.1135,-150.531833334,-139.716333334,-141.134833333,-193.262666666,-195.390166667,-67.376,-216.312333333
184.87,-188.759666667,-200.775333333,-170.155083333,-168.9925,-161.240333333,-215.1165,-207.752166667,-81.7828333335,-234.496166666
185.25,-151.234666667,-154.938333333,-134.413833334,-134.259333333,-132.716,-166.358,-168.827166666,-74.3826666665,-194.135833333
185.63,-90.8118333333,-86.966,-83.8675,-71.795,-73.7181666667,-94.8716666667,-104.487166667,-37.1795,-118.589833333
186.01,-62.9253333333,-64.4558333334,-60.8845,-47.449,-50.0,-73.98,-75.8505,-24.8296666666,-84.694
186.39,-52.5,-52.0,-49.5833333333,-35.8333333333,-42.3333333333,-63.6666666667,-62.8333333333,-16.5,-79.0
186.77,-36.1358333333,-32.596,-41.3716666667,-20.9438333333,-30.8258333334,-46.6076666666,-45.7226666666,-6.63716666665,-61.9468333333
187.15,-33.3333333333,-22.3683333333,-37.7924166666,-15.6431666666,-23.8305,-45.1755,-39.4736666666,1.16933333335,-57.8948333333
187.53,-26.0503333334,-10.6441666667,-33.3335,-8.26316666665,-13.1653333333,-33.4731666667,-28.9916666667,5.8825,-52.101
187.91,-18.2168333333,-0.2583333333,-18.0879166667,-2.9716666667,0.517,-22.222,-15.3746666667,7.75183333335,-39.0178333333
188.29,-22.3118333333,-3.3601666667,-25.9405833334,-2.55366666665,-3.898,-26.4785,-17.2043333333,2.28516666665,-44.8923333333
188.67,-25.4973333333,-8.08450000001,-29.3531666666,-11.0695,-7.58716666665,-27.6121666667,-14.428,-1.36833333335,-43.408
189.05,-16.44,2.15416666668,-17.9704166666,-2.38083333335,2.15433333335,-15.4193333334,-3.2878333333,5.32883333335,-30.2718333334
189.43,-11.1111666667,6.77783333333,-15.6110833333,-0.0001666667,7.11099999998,-12.7778333333,-0.11116666665,7.99983333335,-22.0
189.81,-7.83716666665,5.258,-13.9878333334,1.1905,9.22633333333,-9.52383333334,6.05166666665,4.5635,-16.369
190.19,-3.6935,11.2613333333,-6.26141666665,6.66666666665,15.4055,-0.54066666667,11.982,7.38766666665,-7.5675
190.57,1.4561666667,13.026,-2.75075,7.8478333333,18.7701666666,4.93533333334,14.644,9.22333333334,-2.02266666667
190.95,-1.724,10.1808333333,-7.22483333334,2.7913333333,15.9278333334,1.23166666667,12.0691666667,6.89666666665,-4.18716666667
191.33,-2.85716666665,8.73000000001,-7.34133333333,0.1586666667,14.6826666667,2.143,11.5076666666,3.80983333335,-3.889
191.71,-1.88666666665,9.51266666668,-4.87441666667,1.10066666665,13.4433333334,2.7515,10.456,5.6605,-3.30166666667
192.09,-1.85183333335,12.7315,-6.21141666667,4.24383333335,13.2716666667,5.24683333333,12.1141666667,10.185,0.0
192.47,0.68016666665,13.5205,-8.03558333333,6.6328333333,14.9661666667,6.63266666667,16.0713333333,11.4795,2.55116666667
192.85,-0.1783333333,17.1123333333,-8.244,6.9516666667,15.597,6.95183333334,16.3103333333,8.11016666665,-0.178333333335
193.23,-0.68033333335,16.5816666667,-7.483,5.61233333335,15.5611666666,8.58849999999,14.9658333333,6.97283333335,0.339999999998
193.61,2.22783333335,21.9473333334,-2.35141666666,9.24083333335,19.2245,14.439,20.627,9.65333333335,3.878
193.99,-0.5465,24.2258333333,-3.50658333334,7.0128333333,17.2133333333,10.7466666667,16.6663333333,8.37866666665,-2.368
194.37,-2.5251666667,24.4445,-9.3435,3.93933333335,15.0505,6.16166666667,17.98,5.15116666665,-10.7068333333
194.75,-6.00416666669,24.0165,-8.12625,4.6585,14.4928333333,3.83033333333,17.8051666666,2.58783333335,-12.8365
195.13,-3.70366666667,22.9041666667,-0.974416666665,10.4286666667,15.9843333334,5.84816666667,18.8108333334,3.801,-9.9415
195.51,-1.77516666667,24.6548333333,0.542416666665,14.497,15.7791666667,8.08683333333,18.8361666667,3.74733333335,-9.76316666667
195.89,0.7751666667,28.779,3.48841666666,19.3798333333,23.6433333334,14.8256666666,23.2558333334,7.46133333335,-1.5505
196.27,3.77533333335,28.6373333333,3.72941666667,20.2578333333,24.6778333334,14.3646666667,21.4548333333,8.7475,-2.2098333333
196.65,-3.0225,22.798,0.73425,14.3351666667,18.6528333333,10.6216666667,16.5803333333,2.50433333335,-3.886
197.03,-0.56633333335,19.7411666667,4.16683333334,15.534,19.4173333334,14.2395,17.5566666666,4.28816666665,-0.6471666667
197.40,2.044,21.7768333333,4.20575,19.1823333333,20.912,13.5221666667,18.3176666667,5.346,0.629
197.78,0.9523333333,17.6983333333,2.02391666666,18.2538333333,20.0795,10.6348333333,18.4128333334,3.33333333335,-1.111
198.16,4.5065,16.81,4.97141666667,20.4578333333,22.747,13.4478333334,22.4608333333,6.50916666665,5.43616666665
198.54,2.7895,15.6903333333,4.219,18.968,20.2231666667,13.4586666667,18.4798333334,2.7195,4.60249999999
198.92,0.1441666667,12.1213333333,-1.22633333333,15.5123333333,17.0271666667,11.9048333334,16.8106666667,-0.64916666665,1.5871666667
199.30,-2.7523333333,11.6208333333,-1.338,14.526,18.0428333333,12.9968333333,15.9785,-1.6055,0.53533333335
199.68,-7.971,7.48799999998,-6.80383333334,5.0723333333,16.2641666666,7.16600000001,10.628,-6.9245,-2.89866666667
200.06,-7.70449999999,1.9655,-8.8835,2.04416666665,14.544,2.59433333334,8.72633333333,-10.4558333334,-2.59416666665
200.44,-10.7656666667,-3.26983333333,-9.88841666666,-1.7543333333,10.9251666667,-0.63816666665,4.38616666666,-15.5501666667,-5.90099999998
200.82,-17.8758333333,-8.20366666667,-14.4645,-8.03083333335,9.75833333331,-3.5405,-1.89983333334,-19.948,-14.076
