wavelength,Back_ThrPalf,Belly_ThrPalf,Breast_ThrPalf,Crissum_ThrPalf,Crown_ThrPalf,DorTail_ThrPalf,Patch10_ThrPalf,Patch11_ThrPalf,Rump_ThrPalf,Throat_ThrPalf,WingTip_ThrPalf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-148.148333333,-69.5767619047,-122.222277778,-221.052625731,14.8147777779,-55.5555555554,-70.3704444446,-88.8890000003,-140.7406,33.3332222222,-44.4444444443
179.16,307.407444444,393.650880952,405.555777778,332.358865497,166.666444445,311.111111111,325.925888889,225.926,351.111111111,292.592666667,285.185222222
179.54,122.222222222,128.888888889,150.555555556,127.076023392,106.666666667,93.3333333332,113.333333333,116.666666667,125.777777778,117.777777778,127.777777778
179.93,223.754888889,230.18618254,247.892833333,238.294093567,176.245111111,181.609333333,204.214555556,196.168666667,209.655,186.590111111,244.444555556
180.31,209.764111111,213.684388889,228.451111111,223.923391813,157.575777778,165.319888889,180.134666667,180.134666667,186.397466667,172.390444444,227.946222222
180.69,202.539666667,209.546523809,219.047666667,212.882122807,157.777888889,162.539777778,182.222111111,175.873,177.079222222,183.492111111,232.063444444
181.07,296.135222222,288.371166667,307.971166667,297.381081872,230.917888889,232.367111111,259.420444444,266.183555556,236.135244444,268.599,343.478222222
181.45,762.5,704.662698413,748.61111111,742.105263159,637.500000001,616.666666667,650.000000001,662.5,554.444444444,686.111111111,966.666666666
181.83,399.999888889,362.184984127,382.026111111,385.965111111,321.568777778,333.333333333,331.372555555,352.941111111,292.549,385.620888889,504.575222222
182.21,463.247888889,406.776515873,427.777611111,424.741362573,315.384555555,372.649333333,367.521444444,385.469888889,322.735088889,476.068333333,585.47
182.59,1651.85188889,1526.71957143,1677.77766667,1553.99605263,1048.14811111,1429.62955556,1244.44433333,1385.18522222,1177.77771111,1855.55566667,2318.51844444
182.97,1077.77777778,1022.38095238,1150.0,1078.3625731,757.777777778,957.777777777,860.0,897.777777778,832.444444444,1195.55555556,1557.77777778
183.35,1166.66666667,1096.03174603,1241.11111111,1287.25146199,884.444444444,1046.66666667,991.11111111,1024.44444444,968.88888889,1344.44444444,1664.44444444
183.73,925.396888887,861.904896826,1007.93633333,1030.49290059,758.730333332,850.793666667,857.14288889,826.984222221,861.904755555,1095.23822222,1338.09511111
184.11,541.414222222,525.036007936,650.0,594.89625731,451.515111111,487.878777778,507.070666666,484.848333333,517.373666667,656.565666667,845.454444444
184.49,214.53,233.028134921,283.333055556,250.224894737,197.008333333,208.546888889,217.948777778,202.991333333,229.230733334,272.222222222,369.658111111
184.87,215.555555556,269.920634921,309.444444444,280.087719298,196.111111111,214.444444444,253.333333333,217.222222222,252.333333333,307.222222222,415.555555556
185.25,-903.703666669,-1303.7038254,-1653.70377778,-1354.97080702,-814.814777778,-885.185222222,-1329.62966667,-977.77788889,-1231.11102222,-1625.92611111,-2240.74066667
185.63,-120.635,-241.666722222,-321.8255,-236.925444445,-154.761777778,-134.127,-248.412777778,-151.587222222,-215.396755556,-290.476111111,-438.888777778
186.01,-108.496777778,-170.261444444,-258.823555556,-190.884105263,-128.104555555,-103.267777778,-224.183111111,-122.222222222,-184.052422222,-222.222222222,-354.248222222
186.39,-232.098777778,-311.992904762,-506.790388889,-381.41645614,-299.999888889,-229.629444445,-460.494,-270.370333333,-376.049444444,-475.308555556,-681.481444444
186.77,-75.5556666666,-115.872904762,-229.999888889,-112.085649123,-107.407333333,-24.4443333333,-208.888888889,-101.481555556,-119.851844444,-201.481444445,-325.185222222
187.15,-17.9487777778,-30.8914523809,-104.487166667,-17.0040467838,-17.9485555556,25.641111111,-91.4528888887,-21.7948888888,-16.7523555555,-79.487111111,-139.316222222
187.53,-43.2952222222,-47.1537539681,-102.682055556,-31.1555438597,-40.996111111,-3.0651111111,-101.532555556,-50.9578888888,-29.8852,-88.5060000001,-137.547888889
187.91,-14.9871111111,-8.36102380953,-47.8036666668,-1.42781871347,-13.4366666666,20.672,-42.3773333332,-15.2453333333,6.04653333332,-37.4676666667,-68.9923333332
188.29,-14.987,-2.67626190473,-57.1059444444,7.67040350878,4.39277777767,41.8604444445,-26.3565555555,-11.628,5.32293333333,-31.7828888889,-56.5890000001
188.67,-16.3581111111,-5.9084126984,-70.8332777777,9.29169590641,6.17277777777,45.0617777778,-28.395,-17.2841111111,3.2714888889,-20.9878888889,-71.2962222222
189.05,-39.4264444444,-8.96062698413,-106.989055556,-2.37687134506,0.3582222222,35.4838888888,-47.3117777778,-46.9533333332,0.6450222222,-22.9391111111,-87.8136666669
189.43,-39.0945555556,-16.3433333332,-125.308388889,7.1259532164,-7.40744444457,45.2675555554,-45.6791111111,-59.2594444444,9.465,-46.0906666667,-102.469222222
189.81,-16.3398888889,-3.40806349193,-87.7450555557,26.4705380117,14.7058888889,55.2287777778,-18.9542222222,-31.0457777778,24.2484888889,-12.0913333333,-58.4967777778
190.19,-39.0477777778,-29.9093015874,-115.396888889,6.75029239766,-8.5713333333,25.0794444444,-45.3968888889,-55.8732222221,-16.1270444444,-28.2538888889,-73.0158888888
