wavelength,Back_CatAnaf,Belly_CatAnaf,Breast_CatAnaf,Crissum_CatAnaf,Crown_CatAnaf,DorTail_CatAnaf,Patch10_CatAnaf,Patch11_CatAnaf,Rump_CatAnaf,Throat_CatAnaf,WingTip_CatAnaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,89.5833333334,29.1666666667,144.791666667,-33.3333333333,4.16666666675,31.25,35.4166666667,62.4999999999,19.0972222223,122.916666667,114.583333333
179.16,8.33341666682,-16.6665833332,134.722291667,-66.6664999999,-66.6666666667,-27.7776666665,-83.3332500001,13.8888333333,-77.3148055556,2.77783333342,40.2778333334
179.54,-4.16666666673,83.3333333333,-55.2083333333,95.8333333334,87.5000000002,37.4999999999,54.1666666667,39.5833333335,62.1527777777,72.9166666668,80.2083333333
179.93,-48.6110833334,-23.611,-86.1110833332,-51.3888333333,-19.4445833333,-69.4444166666,-52.7778333333,-18.0555833334,-27.0832638889,-62.5000000001,-40.972125
180.31,80.5555000001,31.7902499999,154.012583333,-0.925916666575,2.77758333325,83.3332916667,51.2346666666,4.93833333342,-9.4135277777,39.8146666666,79.16675
180.69,70.1219166666,37.6017499999,129.67475,21.748,18.4959166666,81.0975833334,53.86175,24.5935833333,13.3130694445,42.4796666666,68.4959583334
181.07,52.4508333333,28.59475,106.944291667,20.915,16.9935,72.7939583333,48.85625,15.3593333333,14.2156527778,32.6796666667,48.4478333333
181.45,51.3333333333,24.5,101.25,21.3333333333,20.5,76.8333333333,60.3333333334,14.6666666667,17.4166666667,31.3333333334,47.0
181.83,45.0000833333,22.5,85.6945833334,27.36125,25.0001666667,71.3889583334,57.4999999999,17.639,17.91675,27.0831666668,47.7084583334
182.21,36.3184166667,15.6716666667,68.1592083333,20.7710833333,17.4128333333,57.400375,49.2538333333,11.94025,12.1890416667,15.2985,38.8058333333
182.59,29.9768333333,14.0048333333,63.252375,20.48625,18.28725,56.3656666667,42.361,10.0694166667,8.37184722222,13.889,31.6549166667
182.97,33.8095,15.47625,66.0120000001,25.7144166666,25.4761666667,61.6665833333,45.9524166667,12.26175,15.4562777778,14.7619166667,30.178375
183.35,47.57375,22.3628333333,72.7321666668,41.6665833333,39.6626666666,72.4157916667,54.6414166667,30.4851666667,30.239125,30.1688333333,39.082375
183.73,50.8334166667,23.70375,72.0832500001,46.3888333333,45.0,72.6850833333,56.29625,33.5185,35.2777083333,32.8704166667,39.259125
184.11,55.8711666667,27.8410833333,79.7348333332,56.7235833333,53.50375,79.214125,65.1515833333,44.0340833333,43.4028055556,36.6476666667,40.956375
184.49,58.6173333334,30.019,80.2083333333,65.1515833334,53.5985833333,79.9716666667,70.0758333334,44.5076666667,48.6900416667,38.0681666667,41.0037083333
184.87,60.8134166667,25.0001666667,78.8194583332,69.4444166667,53.373,78.4224583333,72.9165833333,42.5594166666,47.9827638889,40.07925,41.5675416667
185.25,72.6495833333,33.0129166667,83.4937083332,86.5384999999,64.9572500001,84.5620416667,86.218,56.4103333333,55.7513611111,45.51275,47.4892083333
185.63,78.6185,39.91225,94.2981666666,96.7104166666,66.3376666666,87.11625,88.15775,63.7060833334,63.2309722222,47.6974166667,49.2325833334
186.01,92.3386666668,46.9086666666,113.172,115.188166667,73.3870833334,98.7904166668,102.687916667,76.6129166667,77.0163611112,57.7958333333,55.712375
186.39,109.242583333,65.1515,139.242375,136.969666667,88.4847500001,117.348625,119.696916667,97.72725,98.2069861111,72.8788333333,67.1969583332
186.77,111.299583333,63.1355833332,131.63825,129.519666667,84.8871666667,109.18075,118.50275,97.4576666669,100.682722222,72.1750833334,66.7373750001
187.15,94.80675,54.1061666667,107.004833333,107.125666666,67.63275,86.2923333333,98.0676666666,85.2658333333,89.7746249999,61.8356666666,55.8574166666
187.53,104.647583333,47.596,127.243541667,133.33325,68.4294166667,90.5449583332,114.58325,95.6732499999,105.208277778,58.65375,60.0960833334
187.91,115.079333333,48.0161666667,131.5475,154.761833333,59.3254166667,93.4526250001,130.555583333,107.936666666,108.763180556,63.4920833333,57.4405833332
188.29,145.402333333,51.4368333334,170.689708333,201.436833334,62.3563333334,108.045958333,163.2185,143.67825,139.9905,73.5633333335,61.0632083332
