wavelength,Back_ThlSorm,Belly_ThlSorm,Breast_ThlSorm,Crissum_ThlSorm,Crown_ThlSorm,DorTail_ThlSorm,Rump_ThlSorm,Throat_ThlSorm,WingTip_ThlSorm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,366.666666667,96.6666666666,293.333333333,413.333333333,-60.0000000001,220.0,204.0,280.0,93.3333333332
179.16,-20.8888888889,68.6666666666,5.99999999999,14.6666666667,33.3333333334,6.66666666665,47.6000000001,12.0000000001,28.0
179.54,199.555555556,152.666666667,144.0,147.333333333,98.6666666668,164.0,156.0,145.333333333,200.0
179.93,72.1367777778,53.3333,56.4102,32.8203333333,21.5383333333,37.9486666667,53.2818466667,31.795,49.2308
180.31,410.833333333,216.875,239.583333333,277.708333333,178.75,213.75,230.416666667,171.666666667,265.0
180.69,1128.1482,576.111166667,590.555533333,750.000066667,420.000133333,558.888933333,582.888866667,391.111066667,693.3334
181.07,-1364.88888889,-726.0,-715.333333334,-829.333333333,-508.0,-673.333333333,-638.4,-462.666666667,-834.666666665
181.45,2374.81482222,1519.99993333,1297.7779,1534.4444,962.222200001,1326.66666667,1256.44448,900.000066666,1493.33333333
181.83,-846.031800001,-548.0952,-443.3334,-505.238133333,-311.4286,-439.047666667,-359.23814,-210.4762,-442.8572
182.21,-138.758133333,-84.3136666667,-61.8625666667,-75.5882333334,-39.4118666667,-60.3921333334,-45.6274799999,-7.25499999998,-59.0195333334
182.59,-113.5,-75.4166666667,-45.5,-60.4166666667,-29.1666666667,-49.8333333333,-32.7333333333,-10.1666666667,-48.8333333333
182.97,-265.731066667,-189.298166667,-131.227966667,-146.666633333,-87.0175333332,-114.386066667,-91.43852,-58.5964666667,-122.105266667
183.35,-277.530733333,-221.296333333,-147.592566667,-163.888833333,-99.9999333335,-113.3334,-92.1479933333,-81.8517999999,-144.073933333
183.73,-204.1414,-159.242466667,-108.0304,-129.0907,-63.9393999999,-80.3028666667,-53.54548,-36.9696666667,-95.7575333334
