wavelength,Back_PooTorm,Belly_PooTorm,Breast_PooTorm,Crissum_PooTorm,Crown_PooTorm,DorTail_PooTorm,Patch10_PooTorm,Patch11_PooTorm,Patch12_PooTorm,Patch13_PooTorm,Rump_PooTorm,Throat_PooTorm,WingTip_PooTorm
187.53,-488.148133333,-557.7776,-638.518533333,-382.534112281,-702.962933334,-704.444399999,-848.148066667,-683.703733333,-533.333333333,-511.481333333,-643.333333333,-400.7408,-791.111133333
187.91,-145.000066666,-146.0714,-186.6666,-98.6715192983,-207.618933333,-207.1428,-245.952266666,-193.095266667,-159.285866667,-144.404866667,-189.880933333,-107.381,-225.4762
188.29,-104.444466667,-103.888866667,-154.444466667,-74.2573298246,-165.777866667,-168.444466667,-200.444466667,-165.3332,-128.000133333,-105.0001,-148.333366667,-75.1110000001,-189.999866667
188.67,-106.419866667,-127.0372,-189.8766,-91.8519508771,-195.8026,-195.5556,-218.0246,-193.580333333,-162.2224,-139.259366667,-178.024633333,-94.5677333333,-223.703666667
189.05,-110.3448,-144.482766667,-188.046,-100.423403509,-221.3794,-200.919333333,-217.701,-203.908133333,-171.264266667,-139.080266667,-180.0,-97.0116000001,-235.6324
189.43,-111.238066667,-146.476333333,-184.190333333,-113.894722807,-221.9048,-188.761866667,-200.952333333,-195.619066666,-166.285733333,-143.8093,-174.285633333,-97.5237333333,-212.571466667
189.81,-55.4322,-89.7531666667,-106.419866667,-59.5191333333,-134.8148,-110.0,-109.2592,-112.839466667,-89.1356666667,-75.4320333333,-93.4568333332,-43.5804,-121.605
190.19,-29.5371333333,-54.1204333333,-63.5183999999,-28.4063052632,-81.1112000001,-64.5370666666,-66.2962,-70.6481333333,-48.7963333333,-34.0743333334,-51.0186,-18.8889333333,-73.9815999999
190.57,-15.625,-33.6111666667,-37.7082666667,-17.3501649123,-53.8195333334,-42.5694666666,-40.5556,-50.4166000001,-30.5555333333,-15.6598,-29.9652666667,-6.18060000001,-47.5694
190.95,0.130799999993,-21.8627666667,-22.0262,-4.74026315788,-37.0588,-26.7974666667,-24.3138,-35.7516,-16.8626666667,-1.14386666666,-16.3725333333,3.33319999998,-33.1373333333
191.33,2.7778,-14.5678333333,-18.2098666667,-2.04357894736,-24.5061333333,-16.2345333333,-16.7284666667,-29.3211333333,-12.7160666667,0.67906666666,-12.963,7.16066666666,-24.3828
191.71,8.83193333334,-9.37323333334,-9.28773333333,5.07126315792,-15.9543333333,-6.15386666667,-5.52706666668,-20.2848666667,-8.37606666666,5.04273333333,-7.09400000002,12.9344666666,-14.5298666667
192.09,11.4782666667,-9.65229999998,-5.39140000001,3.57896491228,-15.7682,-1.56520000001,-3.24640000002,-20.4057333333,-7.3622,6.1738,-5.24646666666,12.4638666667,-12.8696
192.47,5.8064,-11.8815,-4.3548,0.50932280702,-15.4301333333,-2.84953333334,-2.84939999998,-18.0645333333,-11.828,2.76869999999,-4.91943333333,9.08613333332,-11.9893333333
192.85,4.29939999999,-8.23676666666,-2.65693333334,2.21727368422,-13.4780666667,-1.01439999999,-1.01446666666,-16.0870666667,-10.4346666667,6.20770000001,-2.9227,8.30899999999,-11.6907333333
193.23,9.92900000001,1.56023333332,1.93853333334,7.82619298246,-4.9172,2.60053333334,6.76119999999,-9.88173333333,-4.25526666667,12.5769666666,2.36403333334,12.5768,-5.76826666668
193.61,15.6691333333,7.71283333334,5.54733333333,13.8761719298,1.21653333332,7.68873333334,11.5329333333,-4.76873333333,-0.19466666666,17.7127666667,5.25543333333,16.4962,-3.16293333333
193.99,12.617,5.17909999999,-2.25893333335,11.0860947368,-2.53440000001,3.80159999999,6.44626666667,-10.0825333333,-8.42973333333,11.2671,-1.5151,10.9642,-5.61979999999
194.37,12.7327333333,0.0601,-8.34839999999,6.29049473685,-6.96693333333,-2.5826,4.80473333335,-14.5344666667,-14.2943333333,7.17703333333,-8.01809999999,10.6306666667,-13.2731333333
194.75,17.4638,0.036300000006,-9.05793333334,8.83680701754,-6.1594,-3.04346666667,7.82613333335,-12.3188,-18.0435333333,10.4347333333,-6.37686666666,12.9709333333,-17.0289333333
195.13,19.8374,4.47153333333,-5.6098,12.2722210526,-4.55286666667,-3.98373333335,13.496,-11.2196,-18.7805333333,7.84550000001,-1.74809999999,22.8454,-11.8700666667
195.51,21.7351333333,0.68493333334,-3.65306666666,15.0107052631,-13.516,-10.137,15.6165333334,-13.7900666667,-26.7580666667,-0.73053333332,1.18719999999,28.1278,-17.3516
195.89,29.8096,8.38096666666,3.80946666666,16.1052035088,-10.3811333333,-5.90479999999,20.5714,-9.23806666665,-21.3332666667,1.57126666674,8.14286666667,36.2856,-14.8570666667
196.27,41.7646000001,18.2352333333,9.11759999998,24.5355754386,3.23526666666,-3.23533333332,30.9803999999,-3.4314,-14.9019333333,5.7843666666,16.4705666667,49.1176,-8.33333333333
196.65,63.7037333333,26.9135333333,6.41966666666,31.9884421053,5.06179999995,-2.9628,39.2592666667,-6.66666666667,-9.75313333334,13.5801666667,25.1851,69.1357999999,-7.53086666667
197.03,95.4470666666,39.4310666666,17.2357333333,42.7814526316,16.748,2.43899999992,66.6665999999,0.65039999998,-1.95133333335,24.1463333333,44.6340666667,100.650333333,17.2356000001
197.40,146.666666667,59.2,7.99999999992,51.7754385963,17.8666666666,12.8000000001,101.866666667,-8.80000000001,-19.2000000001,15.6000000001,74.2666666667,155.733333333,31.9999999999
197.78,152.666666667,62.0,-18.6666666667,21.5087719298,-1.00000000013,-20.0000000001,116.0,-46.3333333333,-73.6666666667,-7.3333333334,82.6666666669,166.333333333,24.9999999999
198.16,189.743666667,75.8974,-12.8205999999,-27.0716070174,-45.6409333332,-81.5385333333,187.1794,-131.282066667,-181.0256,-62.5639999999,102.564133333,231.795,-18.4616
198.54,156.666666667,74.7620333332,-25.2380666667,-34.8372,-49.9999333334,-87.1428666667,173.3334,-131.904666667,-196.666733333,-91.6666333334,111.666833333,219.047533333,-0.000133333400009
198.92,109.855133333,51.5941666666,-21.7391333333,-14.7978877194,-30.1449333332,-39.4202000001,114.202933333,-75.9419999999,-120.2898,-51.5943000001,67.2463666667,139.999933333,23.4782
199.30,111.746066667,39.5237999998,-59.6823999998,-60.5513368423,-43.8095333335,-62.8570000001,87.9364000001,-113.9682,-159.047533333,-63.4920666667,33.9683333334,106.6668,-0.95226666666
199.68,106.060533333,27.2726666666,-76.6665333334,-76.2201052631,-38.7878,-63.9393333334,78.1818666667,-115.757666667,-149.394,-47.5757333333,18.7877999999,105.1516,18.4848
200.06,181.666666667,-17.0833333334,-330.833333333,-316.97368421,-196.666666667,-310.833333333,130.833333333,-401.666666667,-511.666666667,-222.5,-49.1666666666,175.0,-14.1666666668
200.44,154.5454,42.7273333332,-207.2728,-175.4706,-127.272733333,-192.727266667,151.515133333,-230.909133333,-329.090866667,-120.303066667,1.51520000014,172.7274,67.2727333333
200.82,92.5,53.0556333334,-47.7777333333,-27.8947368422,-15.8333333333,-36.3890666668,119.166666667,-61.1111333333,-109.166666667,-22.9165666668,42.9166333335,121.6666,87.2222666666
201.19,77.0666666667,49.0666666667,-42.3999999999,-17.445614035,-8.80000000007,-24.2666666666,111.733333333,-57.6,-110.666666667,-20.5333333334,36.5333333333,124.0,73.3333333333
201.57,52.1567999999,28.4313666667,-29.0196,-13.9835473684,-3.33346666673,-17.647,85.6861999999,-38.0390666666,-86.2745333333,-15.8823333332,22.5489999999,87.6470000001,61.7646666667
201.95,57.1212000001,35.1515333333,6.36353333334,7.2168736842,22.8787333333,-1.0605333336,88.7878666667,-8.63633333336,-39.6969333334,2.5001,31.8939666666,89.3940666667,59.5455333333
202.33,58.642,43.5185,14.815,15.3604736842,37.5308666667,13.7037333332,86.5431333333,6.54326666669,-13.3333333333,16.9753666666,37.2222333333,89.6296000001,60.7408
202.71,68.9695999999,53.8788,34.5454666667,27.1517087719,46.9091333333,26.6666666666,95.2728,15.3939333333,1.57586666667,26.1211999999,45.8787333333,91.2726666667,71.6364666667
203.09,65.5952,56.4881,39.5239333333,28.8408315789,53.9284666666,31.7858000001,93.8095999999,21.9047333333,3.09519999999,23.7500333333,43.5119666667,91.1904666667,72.6190666667
203.47,53.6611333333,46.3932,36.6121333333,27.5583157895,47.3225333334,33.0055333333,86.7759333333,22.4044,-3.16946666666,19.6722,38.2514000001,84.8087333333,66.5574
203.85,58.3562,53.6986,42.9223333333,36.6931157895,48.8584,40.1826666666,85.2968666667,28.5844,7.032,28.0820333333,46.3468333333,78.8129333333,64.7489333333
204.22,63.8596666666,58.7719333333,47.2807333333,44.3074350877,50.0875999999,47.2805333333,90.2632666666,33.3332666666,12.1052,33.5963999999,50.0877333334,81.9297333334,65.5262666667
204.60,59.6825333333,56.1509,42.7779333333,42.1010736842,45.1586666667,47.3016,89.6825333332,29.6031333333,11.6666,32.4999333334,48.4523333334,73.8889999999,57.6984666667
204.98,63.8333333333,55.9166666667,43.25,38.0219298246,42.0833333334,46.75,94.0833333334,25.0,6.58333333333,29.2916666666,48.6250000001,72.4166666665,57.0833333333
205.36,67.5503333334,63.4537666667,48.7549333334,40.0972491228,45.4618666666,51.5662666667,96.8674666667,26.5864666667,13.0120666667,28.9559000001,54.4176333333,70.4417333333,60.4018666666
205.74,64.2144,58.3523,44.7509333333,36.4025368421,40.1532666666,46.9732,88.2758666667,20.9195333333,13.7166,27.7777,53.3717666666,68.8121333334,54.4828666667
206.12,69.0833333333,65.1666666667,47.0,39.0,40.8333333333,53.5,91.2499999999,22.3333333333,11.1666666667,30.7916666666,58.8749999999,70.0,65.6666666667
206.50,71.8142666665,63.1645333333,43.8817333333,40.8171052632,35.2742,50.4642,87.3418666667,24.5569333333,7.59500000001,28.3546000001,59.6624666667,66.6666000001,71.0549999999
206.87,70.4762666667,62.8095,37.2382,32.4761859649,29.3333333333,47.2380666666,85.5238666667,15.9046666667,-7.33333333333,17.8572666666,53.2857333334,66.9524666667,67.3334666667
207.25,67.6543333334,59.9383,30.6170666667,20.7991649123,11.9753333334,38.2716666667,92.2222,-4.07400000001,-33.3334000001,-2.77790000007,48.2097,69.6297333334,59.6296666667
207.63,84.6032,73.2540666667,37.3015999999,22.3724736842,8.25413333339,40.1586666667,119.999933333,-10.6348666667,-42.8571333333,-11.4284666666,60.9523333334,93.1746000001,70.1589333334
208.01,125.0,96.25,-1.25000000013,-35.3508771931,-67.0833333333,8.33333333334,236.666666667,-94.5833333335,-205.0,-107.291666667,76.4583333333,154.166666667,85.4166666668
208.39,126.666666667,98.4614000001,-50.2564000001,-62.8610070175,-101.025533333,2.0512666666,249.7436,-119.487133333,-301.5384,-148.461666667,96.1539333332,181.5386,104.615466667
208.77,1.4814,2.22236666666,227.407333334,231.033126316,273.333333333,142.222333333,-155.5556,298.518533333,542.962933333,368.888833333,-3.33333399958e-05,-127.4074,-36.2962666665
209.14,109.523866667,70.0000000002,363.809333333,387.218042105,433.333266667,289.523866667,-76.1904666664,457.142933333,772.380866667,582.380766666,126.1905,-23.8094666667,49.5237333334
209.52,79.3333333334,85.1666666666,204.0,191.245614035,210.333333333,155.0,17.9999999999,209.666666667,318.666666667,262.333333333,102.0,34.3333333333,63.3333333334
209.90,81.0525999999,84.4737333333,140.526466667,142.142175439,152.280666667,123.6842,44.9123333333,139.4736,211.929866667,184.035133333,93.6841333333,61.0525999999,70.7016666666
