wavelength,Back_TanMeyf,Belly_TanMeyf,Breast_TanMeyf,Crissum_TanMeyf,Crown_TanMeyf,DorTail_TanMeyf,Patch10_TanMeyf,Patch11_TanMeyf,Patch12_TanMeyf,Rump_TanMeyf,Throat_TanMeyf,WingTip_TanMeyf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,62.5,95.8333333333,33.3333333333,104.166666667,133.333333333,25.0,91.6666666667,108.333333333,54.1666666667,66.6666666667,91.6666666667,-87.5
179.16,93.3333333333,60.0,120.0,6.66666666667,-13.3333333333,226.666666667,153.333333333,73.3333333333,133.333333333,40.0,93.3333333333,220.0
179.54,88.8886666667,177.778,288.889,122.222333333,77.7776666667,266.667,166.666666667,277.778,366.666666667,166.666333333,111.111,533.333
179.93,133.333333333,133.333333333,26.6666666667,86.6666666667,173.333333333,80.0,93.3333333333,120.0,-66.6666666667,80.0,46.6666666667,120.0
180.31,156.666666667,143.333333333,55.0,115.0,200.0,70.8333333333,99.1666666667,121.666666667,-60.0,164.166666667,100.833333333,25.0
180.69,184.615666667,153.846333333,72.6496666667,129.06,216.239333333,68.3763333333,106.837666667,139.316333333,-57.265,186.324666667,125.641333333,30.769
181.07,221.875,156.25,67.7083333333,147.916666667,223.958333333,79.1666666667,122.916666667,147.916666667,-95.8333333333,215.625,127.083333333,62.5
181.45,211.627666667,161.240333333,101.550333333,142.636,193.023,110.852666667,153.488333333,148.837333333,-24.031,209.302333333,131.783,109.302
181.83,184.276666667,152.201666667,112.578666667,128.302,176.100666667,107.547333333,152.201333333,135.220333333,10.692,196.855333333,118.239,122.642
182.21,167.284333333,122.222333333,109.876666667,124.074333333,156.173,93.2096666667,148.148,119.136,8.02466666667,192.592333333,108.024666667,96.296
182.59,161.333333333,108.666666667,98.0,122.666666667,157.333333333,82.0,156.0,104.0,8.0,196.0,89.3333333333,70.0
182.97,149.359,96.7946666667,117.308,121.794666667,148.717666667,86.5386666667,168.589666667,95.513,23.718,200.0,82.6923333333,65.385
183.35,102.381,56.6666666667,81.9046666667,91.9046666667,103.809333333,62.381,124.285666667,70.0,15.238,139.047666667,57.143,57.143
183.73,91.358,48.5596666667,74.0743333333,84.774,88.066,60.0823333333,119.341666667,64.609,27.1606666667,112.757,59.6706666667,61.728
184.11,97.059,43.6273333333,83.8233333333,99.0196666667,93.6276666667,68.6276666667,138.725333333,67.157,33.8233333333,119.118,64.2156666667,73.529
184.49,112.727333333,40.0,97.576,130.909333333,113.333333333,84.2426666667,182.424333333,77.5756666667,34.5453333333,140.0,70.909,85.455
184.87,93.72,42.5123333333,78.7443333333,110.144666667,100.966,86.4733333333,159.420333333,68.599,36.715,114.976,48.309,69.565
185.25,90.6666666667,52.889,89.7776666667,108.444666667,108.444666667,92.4443333333,158.222333333,70.2223333333,48.4446666667,113.777666667,50.2223333333,78.667
185.63,73.913,27.053,70.0483333333,98.5506666667,108.212666667,85.024,140.096333333,57.9706666667,27.053,89.372,39.6133333333,75.362
186.01,86.7816666667,22.414,77.0116666667,129.885,131.034666667,107.471333333,164.942333333,81.609,28.7353333333,94.2526666667,49.4253333333,100.0
186.39,116.34,46.405,99.3463333333,156.209,171.242,133.333333333,203.921666667,112.418333333,54.902,107.843333333,80.392,147.059
186.77,140.909,59.091,123.484666667,181.060666667,203.030666667,162.121,239.394,132.575666667,53.788,118.181666667,112.121,220.455
187.15,146.376666667,77.5363333333,105.797333333,192.029333333,205.797,163.768,231.159333333,136.231666667,62.319,111.594333333,128.260666667,247.826
187.53,175.396666667,111.905,128.571333333,223.016,240.476333333,197.619333333,265.872666667,149.999666667,87.302,139.682666667,153.174666667,297.619
187.91,276.543,179.012333333,223.456666667,353.086333333,391.358,280.247,423.456666667,240.741,96.2963333333,222.222333333,241.975333333,470.37
188.29,282.666666667,233.333333333,278.666666667,356.0,430.666666667,284.0,460.0,262.666666667,113.333333333,212.0,265.333333333,524.0
188.67,301.449333333,237.681,282.608666667,359.42,457.971,328.985666667,473.913,273.913,124.637333333,194.203,284.058,578.261
