wavelength,Back_CoeFlam,Belly_CoeFlam,Breast_CoeFlam,Crissum_CoeFlam,Crown_CoeFlam,DorTail_CoeFlam,Patch10_CoeFlam,Patch11_CoeFlam,Rump_CoeFlam,Throat_CoeFlam,WingTip_CoeFlam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,144.814814815,300.0,176.666666667,303.333333333,140.0,106.666666667,176.666666667,196.666666667,198.333333333,226.666666667,133.333333333
179.16,-54.0740740739,6.66666666654,-133.333333333,-26.6666666665,160.0,-13.3333333334,406.666666667,-153.333333333,293.333333333,173.333333333,26.6666666666
179.54,28.2407407407,91.6666666667,58.3333333333,55.8333333333,46.6666666667,38.3333333333,86.6666666667,19.1666666666,58.7499999999,37.5,68.3333333333
179.93,-120.246874074,24.4444666667,-64.4444666666,-51.1110666667,-108.888866667,-68.8889333334,-46.6666666666,-66.6665999999,-48.889,-122.2222,-126.6666
180.31,101.253488889,173.333333333,196.410266667,164.8718,174.8718,113.076866667,189.487066667,114.358933333,204.743466667,149.999933333,170.2564
180.69,81.8518518519,144.166666667,176.666666667,140.208333333,145.208333333,96.2500000001,166.458333333,103.333333333,176.5625,138.75,145.208333333
181.07,84.2164814816,123.418933333,161.196466667,124.9572,138.974466667,95.7264666667,149.4018,100.342,160.341833334,130.427333333,129.743533334
181.45,75.8417481481,106.666733333,146.212,110.303066667,120.909,85.6061333333,124.393866666,95.9090000001,137.878866666,110.303133333,115.303066667
181.83,68.4938740739,82.5185333334,124.000133333,92.2962,101.333266667,69.1851999999,95.7037333332,88.4445333334,118.148133333,92.2962666666,102.222133333
182.21,52.5344592592,70.9373333334,95.7290666666,73.8541333334,81.4581333333,56.6665333333,73.9582666667,72.9164000001,89.5833000001,74.8957999999,82.8123333333
182.59,52.9403777777,63.1312666667,87.2728666667,68.2828666667,74.5454000001,45.2524,63.8383333334,67.1717333333,80.4545333333,72.0201333333,79.3939333333
182.97,46.5133925927,47.5862,78.3908,58.9654666667,57.3564,29.6552,54.2528666667,59.5402,65.7470333333,55.6323333333,68.8506000001
183.35,51.0698962962,47.7777333333,70.1851333335,62.2222666666,59.0740666667,32.9629333333,51.3889333334,61.7591333334,63.0093333333,58.7962666667,73.0556000001
183.73,55.5556370371,49.1568,67.3895333333,58.5543333334,56.3051333333,37.8312,51.0040666667,62.1686666666,62.4498,61.2048000001,66.506
184.11,60.3703555555,54.7287333333,64.1860666667,53.7985333333,55.5814666667,39.5348666667,51.8605333333,54.8837333333,63.3720666667,63.9534666667,69.1473333333
184.49,55.9762814816,43.106,53.7878,48.1818666666,47.1211999999,37.5756666667,42.8787333333,43.5606,57.5757,56.3636666666,65.0001333333
184.87,64.3412370371,48.9452,56.2868666667,51.9832000001,50.8016666666,40.4217333333,45.4008,42.6160666667,63.9239333333,55.5274,72.3206666667
185.25,55.1472296296,39.7437333333,44.9572666667,41.9658666667,36.9230666667,24.4446,34.5299333333,29.4018,54.6153333333,39.9999333333,64.7862666667
185.63,54.1688,38.8372,42.3256,42.6358000001,33.2558,20.8527333333,31.3178,26.3565333333,53.7984333333,40.8526666667,60.5426
186.01,68.8725703704,56.1171333333,61.1720666667,61.9047333333,51.8682,35.8974666667,51.0623333333,43.2234,70.5861,58.8279333333,73.6994666667
186.39,81.8190296296,60.3376666667,73.6709333333,73.2489999999,53.6709333333,39.9155333333,58.7340666667,47.6792,81.4346333333,62.7004666666,84.3882666666
186.77,78.2596666666,60.2408666667,67.4699333333,72.2891333334,51.6466,43.3734666667,55.9035333333,46.3453333333,81.3251666667,55.8232666667,81.8472
187.15,77.0612666666,68.2608666667,65.2898666666,73.0434666667,59.7826666667,46.3767333333,57.5361333333,47.2464,81.4491333333,58.6232666667,81.5217333333
187.53,81.7028148148,64.5022,60.2597999999,68.6580000001,53.6796666667,38.2683333333,54.3722666667,36.4500666667,78.3983333333,56.5370000001,81.8182
187.91,86.7316888889,57.193,49.3567333334,64.6784666667,45.9648666667,25.614,47.6023333333,19.1812666666,73.5672333333,45.0291999999,80.7018
188.29,79.0337555556,43.285,45.6039333333,59.2270666667,45.0240666667,24.7344,41.8358000001,24.8310666667,60.8212333334,39.0338666667,71.0146
188.67,76.8302962962,49.2247333333,46.8992,56.0464666667,44.1860666667,30.1549333333,46.4341333334,33.876,59.0309666667,41.2403333333,68.2170666667
189.05,62.8117259259,34.1497333333,33.9455333333,42.4488666667,31.5646,21.9048,31.3606,22.3809333333,45.2382,33.6734,55.102
189.43,62.2296296297,32.5333333333,33.9333333333,39.7333333333,28.8,25.6,28.3333333333,19.9333333333,42.4333333333,35.4,55.4666666667
189.81,58.4681037037,26.5907333333,29.318,30.3787333333,21.8181333334,20.7575333333,24.3939333333,8.93940000002,36.1742333334,27.1969333333,52.8788
190.19,60.5502296296,17.2381333333,23.7141333333,23.238,16.6668,18.3809333334,19.1427333333,-0.66666666666,31.2856666667,22.6666,56.1905333333
190.57,54.0562444444,14.7790666667,17.3493333333,17.3494666667,14.9397333333,15.9037333333,15.502,-0.160666666654,27.1084666667,21.526,45.4618
190.95,60.0770296296,18.6145333333,22.1645333334,21.1256,16.5368666667,17.9220666667,17.9222,3.54993333333,30.6060666666,27.1860666667,47.0996
191.33,57.0760814815,10.6141333333,16.4034666667,12.4563333333,7.89473333333,13.5965333333,9.64913333332,3.94733333335,22.8071333333,20.7017333334,46.3158
191.71,59.3106518519,10.2776,16.2963333333,11.6667333333,9.99999999999,12.2222,6.01853333332,9.81486666667,27.2221666667,18.8888666667,50.1852
192.09,57.4174962964,10.8108,16.3062,16.4864666667,10.991,12.2523333333,7.56753333336,12.5224666667,27.7027,23.6036,53.4232666667
192.47,60.6192814815,6.66666666668,12.3497333333,12.3496666667,0.1092,15.4097333334,-0.6558,15.1913333333,30.9290666667,25.3552,58.4698666667
192.85,76.2572962962,-9.12280000009,8.2456,12.6316,-14.9122666667,4.56133333334,-28.5965333332,11.5788666667,30.7895666667,28.9473333333,77.5438666667
193.23,162.424281481,22.7273999999,39.6969333332,53.0303333333,7.57566666666,35.1514666666,-22.7274000001,62.4243333333,65.4545666667,70.9089333336,160.909
193.61,203.148148148,19.5833333333,33.7499999999,67.9166666666,22.0833333333,22.5000000001,-42.5000000002,86.2499999999,86.4583333333,85.8333333333,197.916666667
193.99,357.777681481,74.5454666667,63.0304666666,153.939466667,67.8787333335,55.1515333333,-52.1212666664,208.484733333,141.212,161.818133333,336.363666667
194.37,173.204444444,62.3188666666,31.3042666668,81.7389999999,24.0578,20.8696,-20.5798666668,95.9420666666,78.9855666669,82.3188666667,171.594333333
194.75,651.11111111,253.333333334,-123.333333333,273.333333334,-71.6666666668,-101.666666667,-376.666666667,278.333333334,169.166666667,215.0,758.333333333
195.13,137.777703704,15.1110666668,-84.8887999999,43.1110666666,-63.9998666665,-71.5555333333,-143.1112,45.3333999999,-11.7778,19.9999333333,173.7778
195.51,167.802466667,34.2222000001,-61.7776666668,94.6666666666,-31.5555333332,-59.1111333333,-115.999933333,78.2223333331,22.8888000001,60.4444666667,182.222133333
195.89,149.432081482,22.2223333333,-53.3332666667,109.333333333,-44.8888,-35.1110666667,-126.222133333,64.0000666667,-19.5555666666,58.6665333332,163.555466667
196.27,113.055555555,-7.08333333334,-62.4999999999,71.6666666664,-77.0833333334,-37.5,-157.083333334,29.1666666667,-45.2083333334,9.1666666668,130.0
196.65,97.6608148148,-10.8771333333,-47.7192666667,69.8246000001,-56.1403999999,-35.4386,-128.772066667,20.7016666666,-58.2455666667,-14.0350666666,101.7544
