wavelength,Back_SalSimf,Belly_SalSimf,Breast_SalSimf,Crissum_SalSimf,Crown_SalSimf,DorTail_SalSimf,Patch10_SalSimf,Patch11_SalSimf,Patch12_SalSimf,Patch13_SalSimf,Rump_SalSimf,Throat_SalSimf,WingTip_SalSimf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,18.1818666667,6.06066666667,6.66660000001,0.606,-12.7273333333,13.3332666667,13.3333333333,-21.8182666667,10.9091333333,34.0908333333,1.8182,1.21213333334,-19.3939333333
179.16,26.6667333333,35.5554,27.7777333333,31.1112,-22.2222666667,20.0000666667,28.8888666667,1.11106666665,-22.7776666667,37.5,1.1110666666,34.4444666667,5.55553333334
179.54,150.0,128.333333333,196.666666667,148.333333333,185.0,205.0,148.333333333,205.0,242.5,170.833333333,141.666666667,183.333333333,155.0
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,-373.3334,-365.777733333,-348.888866667,-386.666733333,-517.3334,-444.888933333,-330.666733333,-406.666733333,-351.111266667,-237.222166667,-407.5556,-343.111133334,-427.555666667
180.69,-566.111066667,-527.222333334,-517.2222,-578.333333334,-741.666733333,-645.555533334,-501.6666,-617.222266667,-521.389,-381.9445,-593.333333333,-511.6666,-628.888933333
181.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181.45,9180.0,8226.66666666,8720.0,9313.33333333,11206.6666667,10613.3333333,8780.0,9420.0,8363.33333333,6891.66666666,9373.33333333,8199.99999999,9473.33333334
181.83,1948.0,1724.0,1782.66666667,1909.33333333,2322.66666667,2152.0,1840.0,1886.66666667,1642.0,1403.33333333,1992.0,1678.66666667,1940.0
182.21,450.555666667,384.4442,403.888866667,427.222133333,511.388866667,480.2778,431.944466667,435.555466667,364.0278,336.111166667,436.111066667,385.833266667,442.7778
182.59,326.296266667,280.555533333,301.481533333,315.000133333,366.111266667,352.963066667,317.963,321.2962,268.333433333,257.4075,310.9258,285.5556,322.592533334
182.97,372.8888,310.8888,344.666666667,362.666733333,418.222266667,398.444466667,374.222333333,365.333266667,307.2222,298.611083334,352.0,334.6666,366.666733334
183.35,362.795733333,296.344066667,335.483866667,351.1828,400.430133333,391.397733333,371.397866667,362.580666667,296.774133333,299.193666667,339.569933333,333.978533333,357.4194
183.73,312.792866666,241.982,293.333333333,294.774866667,339.279333333,335.135,313.153133333,311.892,257.567466667,253.378416667,279.099066667,279.8198,301.982
184.11,290.635,214.127066667,274.4444,275.079466667,315.872933333,298.7302,290.317533333,290.158733333,244.682566667,231.746,256.031733333,259.365,277.9364
184.49,259.4444,189.722333333,243.333266666,241.111066667,276.666533333,264.027733333,261.527866667,256.5278,218.194466667,203.125083333,221.111066667,229.861066667,243.194466667
184.87,194.895666667,149.5832,189.479,186.979,215.6248,205.208133333,203.228866667,196.6664,171.5102,154.166416667,174.583133333,183.020533333,186.6664
185.25,188.0874,141.967266667,181.530066667,180.765066667,209.836,195.628466667,198.4698,186.557333333,160.819766667,149.316833333,164.480933333,180.327866667,181.4208
185.63,163.999933333,124.857066667,156.285733333,160.1904,182.4762,171.523733333,173.7142,160.2858,143.571366667,129.40475,140.6666,159.9048,158.857
186.01,165.948666666,122.461466667,163.5898,173.025666667,190.1538,180.512866667,184.923133333,164.615333333,147.794766667,134.487333333,141.436,170.359,169.128266667
186.39,193.710733334,143.0188,200.880533333,214.968466667,235.597533333,219.2452,224.528333333,196.478,187.4843,158.805,171.194866667,210.440333333,202.012466667
186.77,186.9136,133.827066667,189.3828,206.172866667,223.8272,212.5926,217.283933333,181.851866667,184.135866667,148.456916667,168.0248,207.036933333,187.160533333
187.15,143.8496,104.319266667,146.291133333,157.0892,175.868466667,168.169,165.633666667,138.873266667,145.4929,111.854416667,129.4836,162.8168,143.474066667
187.53,131.025466667,99.3160666667,134.273533333,145.470066667,162.307666667,150.427333333,153.8462,126.239466667,135.384566667,107.799083333,118.205066667,150.512733334,131.709333333
187.91,123.7334,101.066733334,134.844533333,144.5334,162.9334,148.266666667,155.7332,126.311133333,134.622033333,108.888833333,114.755533334,153.955533333,125.333266667
188.29,105.844866667,91.6894000001,120.822066667,130.776266667,148.7672,136.8038,141.461266667,113.516066667,120.137033333,97.2602500001,94.5206666667,145.570866666,107.6712
188.67,117.049266667,106.7758,137.486333333,153.224,177.158466667,157.595666667,166.338666667,128.4152,133.989066667,112.704916667,111.6942,165.683066667,124.371733333
189.05,135.2382,123.2654,162.7212,183.9456,206.666733333,187.074866667,199.727933333,149.251733333,155.102033333,134.863833333,125.578266667,194.966,147.0748
189.43,119.880866666,113.452266667,140.476133333,168.690533333,183.095266667,165.8334,174.642866667,132.619,139.285666667,120.38675,112.142866667,177.023866667,134.047666667
189.81,110.952333333,102.2618,132.738133334,155.595266667,172.262,155.833533333,164.1666,131.7858,129.345233333,114.4345,103.571466667,170.0,120.5952
190.19,119.359,110.2564,143.846133333,162.179466667,175.641,164.487133334,173.846133333,141.282,140.897366667,117.30775,105.384666667,178.974466667,122.5642
190.57,100.000066667,98.3606666667,120.4372,135.628266666,143.825,136.830666667,146.666666667,122.185733333,111.311466667,99.0435833332,91.8033333335,150.601066667,106.3388
190.95,99.9999333333,99.8924,124.838866667,134.408666667,142.9032,134.7312,146.2366,123.440866667,111.720366667,101.747333333,92.7957333333,148.279533333,108.387066667
191.33,110.154,110.564133333,135.897666667,140.205133333,146.051266667,140.512666667,156.615266667,137.128066667,116.256366667,117.564083333,104.307733333,153.7436,120.102533333
191.71,123.1446,121.886866667,151.069133334,159.119533333,158.867866667,156.478,177.3586,152.704466667,129.622566667,123.113166667,113.584933333,177.358466667,134.339866667
192.09,101.587333333,100.634933333,120.5292,129.7354,129.524,126.7726,145.079333333,122.222266667,105.502766667,103.042166667,92.3809333333,146.0318,113.650666667
192.47,88.8617333331,89.9186666667,104.9594,111.951333333,107.1544,106.666666667,126.585333334,104.1464,94.5935333333,89.9390833333,85.2032000001,121.382333333,98.6990666668
192.85,78.6666666667,78.8666666666,91.0666666666,96.9333333333,89.5333333333,91.5999999999,107.133333333,91.8000000001,86.2999999999,79.5833333333,75.5333333333,105.266666667,84.6666666667
193.23,79.4968,80.3774000001,88.5535333334,96.0377333333,87.9244666666,90.7547333335,106.100533333,88.3647999999,87.5784666667,78.0660833333,76.1634666667,102.327133333,81.0064
193.61,86.3636666665,84.7272000001,93.7576666667,95.6968666667,90.1211999999,92.0000000001,109.3334,92.3635333335,90.4847666667,80.5304166666,78.1212,104.181866667,80.9090666667
193.99,84.1519333334,85.2046666668,90.9942666666,95.5554666667,87.0760666666,86.0233333333,108.596533333,86.7251333333,85.4094333334,77.1930833333,76.6666666667,100.760333333,79.0644
194.37,73.3333333333,75.7077333333,77.3972,82.8766000001,77.0776,73.4246666666,94.0639333333,75.5250666667,73.2648666667,69.121,68.9497333333,84.8858666666,70.2738666667
194.75,68.8889333333,71.4286,72.5623333333,76.8253999999,71.9273333333,68.0272666667,89.5691333333,67.4377333333,69.5919,65.4195,62.9934,79.2743333333,62.8118
195.13,64.5034,67.5055333333,66.9314666667,73.1126666667,67.4613333334,64.0176666667,86.3134666667,62.1632,64.3266666667,61.4236666667,60.3974,75.0994,57.7041333333
195.51,57.6623333334,59.87,60.5628,66.4935333333,60.2166,56.6666666667,78.7012,54.0260666667,57.9869,54.00425,54.2854666667,69.3073333333,51.6017333333
195.89,51.2175333333,52.974,55.2894,60.0400666667,54.5309333333,49.9402666667,70.6986,48.5030666667,52.8143333333,50.4989166667,50.1396666667,60.9980666667,46.1078
196.27,50.5376666667,50.8816666667,53.8494666667,57.8064,52.0,46.7096,71.699,45.8064,50.1075333333,47.4730833333,49.8063333333,61.4624,43.656
196.65,47.633,47.8744,52.1256666667,55.314,51.2077333334,43.6715333333,73.0919333333,43.3334666667,49.1304666667,44.203,48.9372,62.1253333333,40.0000666667
197.03,42.7737333333,44.2824,48.1265333333,50.9002666667,46.2287333333,36.3016666667,69.6835333333,37.4696666667,44.7688666667,36.8005833333,44.3308666667,59.4161333333,36.545
197.40,40.2035333333,42.1881333333,44.4784,45.4961333333,42.3409333333,29.4148,66.1069333333,32.0611333333,41.2469,29.70725,39.4403333334,57.4046666667,34.0458
197.78,34.2186666667,36.9792,38.6978666667,40.3646,36.7186666666,25.3124666667,62.1874666667,25.9374,37.7864,24.0231666667,35.6249333333,50.5729333333,29.6353333333
198.16,31.0933333333,33.44,36.2666666667,34.8266666667,33.44,23.9466666667,59.7333333333,25.7066666667,37.5733333333,21.4666666667,32.9066666667,47.6266666667,27.68
198.54,20.2806666667,24.4913333333,27.7894666667,24.4913333333,26.3158666667,12.2104666667,55.5087333333,16.2806,32.3859,9.47374999999,22.5964666667,47.5087333333,16.421
198.92,25.4166666667,34.0,34.8333333333,32.4166666667,32.3333333333,15.25,64.9166666667,27.1666666667,39.9583333333,10.9375,28.5833333333,57.0833333334,21.3333333333
199.30,27.2428666667,36.4608666667,36.2963333333,36.2139333333,32.0164,15.4732666667,65.4320666667,29.8764666667,43.4979333333,12.65425,26.9135333333,57.3662666667,20.2468666667
