wavelength,Back_RamCarm,Belly_RamCarm,Breast_RamCarm,Crissum_RamCarm,Crown_RamCarm,DorTail_RamCarm,Rump_RamCarm,Throat_RamCarm,WingTip_RamCarm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,171.666666667,148.333333333,208.333333333,224.166666667,186.666666667,216.666666667,185.833333333,183.333333333,227.5
179.16,108.333333333,86.6666666666,119.166666667,126.666666667,115.416666667,117.5,123.75,101.25,123.333333333
179.54,101.666666667,51.6666666666,171.666666667,195.0,130.0,166.666666667,158.333333333,130.0,171.666666667
179.93,48.5716,1.90480000001,73.3333333333,116.1904,81.9047333332,102.857066667,91.4286000001,55.2382000001,98.0951333334
180.31,310.115,205.287266667,331.264266667,361.839133333,299.310333333,341.3792,337.011466667,258.620733333,364.827533333
180.69,359.753,222.469133333,400.0,411.111066666,344.6914,382.222266667,382.2222,293.827066667,421.481533333
181.07,1211.4286,646.666666667,1336.19046667,1315.238,1098.0954,1244.76186667,1239.0476,939.047733333,1365.7144
181.45,-769.333333333,-380.0,-829.333333333,-786.666666667,-643.333333333,-758.666666667,-756.000000001,-557.333333333,-832.0
181.83,-1225.7142,-623.809466667,-1229.52373333,-1187.61906667,-979.047399999,-1141.90473333,-1175.2382,-859.999933333,-1255.23806667
182.21,-1078.51846667,-623.703666667,-1073.33333333,-1029.62973333,-850.3704,-960.000000001,-1013.33333333,-781.481466667,-1080.74073333
182.59,-1849.99993333,-1204.44446667,-1904.44433333,-1798.88886667,-1481.11113333,-1673.33333333,-1786.6668,-1386.66673333,-1831.11106667
182.97,-1033.33333333,-694.0,-1113.33333333,-1034.66666667,-854.0,-978.666666666,-1021.33333333,-804.0,-1029.33333333
183.35,-5213.33333333,-3526.66666667,-5553.33333333,-5263.33333333,-4596.66666667,-4963.33333333,-5346.66666667,-4266.66666667,-5163.33333333
183.73,1490.0,1020.83333333,1602.5,1460.0,1282.5,1401.66666667,1457.5,1236.66666667,1420.83333334
184.11,2072.22233333,1396.6666,2206.66673333,1969.99993333,1697.77773333,1940.00006667,2057.77773333,1712.22226667,1911.11113333
184.49,3968.8888,2702.22233333,4242.22233333,3817.77773333,3306.66666667,3793.3332,3928.889,3388.889,3666.66666667
184.87,3837.7778,2740.00006667,4011.111,3751.11113333,3206.6668,3895.55553333,3951.1112,3404.4444,3620.0
185.25,374.666733333,295.619,392.190533333,378.095266667,332.571466667,385.904733333,405.3334,347.809666667,370.285666666
185.63,257.254933334,206.928133333,271.633933334,269.150333333,235.555533333,269.542533333,283.790733333,246.2744,257.2548
186.01,228.333266667,188.809466667,243.333266667,240.119,212.2618,238.5714,255.238066667,223.571266667,227.976133333
186.39,215.480266667,178.305066667,227.796466667,222.711933333,201.694933333,226.5536,240.677933333,214.9152,208.361733333
186.77,172.270666667,143.574866666,185.700666667,179.999866667,165.7004,182.898466667,197.2946,183.478333333,172.753533333
187.15,172.7928,144.2342,181.891733333,174.144066667,168.018,181.171133333,198.8288,185.765666667,175.765666667
187.53,182.723133333,152.018666667,193.239466667,183.004666667,171.830933333,188.075066667,208.732466667,192.582133333,182.347333333
187.91,156.962066667,134.092866667,167.3418,158.9874,150.295466667,165.063333333,186.5824,170.210933333,158.143266667
188.29,127.025133333,108.9606,136.774266667,132.544866667,125.0896,137.562733333,153.5484,141.362133333,133.9784
188.67,116.246133333,103.171466667,131.003266667,124.919066667,118.770333333,127.7672,144.595466667,131.326866667,123.689266667
189.05,111.1728,99.5679333331,128.8272,118.5802,111.234533333,120.5554,137.654266667,127.098733333,117.222133333
189.43,120.8238,104.419466667,140.9738,126.8914,117.003733333,128.539333333,149.737666667,135.1312,125.243333333
189.81,129.382733333,107.160533333,151.851866667,130.9464,124.1974,131.440266667,159.3416,139.2592,130.288
190.19,134.599066666,112.405,159.915666667,133.755333333,130.210866667,142.447266667,166.497933333,146.835466667,137.890333333
190.57,113.183533333,98.9513333333,135.3558,114.0074,109.962666667,122.5468,142.996266667,126.367133333,120.224666667
190.95,124.700933333,109.658133333,146.666666667,121.111066667,120.0854,131.965666666,151.623866667,132.649666667,128.718133333
191.33,111.645533333,102.447333333,130.0422,107.3418,104.894533333,117.383933333,130.886133333,113.080066667,115.443
191.71,108.3982,106.320333333,123.29,103.030266667,100.779133333,115.497933333,126.666666667,112.294333333,117.056333333
192.09,114.8258,117.9104,132.935266667,110.447733333,110.348133333,123.6816,138.209,123.2836,131.343266667
192.47,114.1936,124.731133333,131.720333333,105.161333333,107.4194,121.397733333,138.172066667,128.172066667,129.57
192.85,103.535333333,109.293,111.919266667,89.0909333332,90.6060666667,104.4446,121.212066667,113.535266667,116.262666667
193.23,106.274466667,112.745066667,107.9412,90.0980666667,97.0587333333,105.5882,124.4118,111.960666667,117.8432
