wavelength,Back_HetXanm,Belly_HetXanm,Breast_HetXanm,Crissum_HetXanm,Crown_HetXanm,DorTail_HetXanm,Patch10_HetXanm,Patch11_HetXanm,Patch12_HetXanm,Rump_HetXanm,Throat_HetXanm,WingTip_HetXanm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,626.666666667,613.333333333,476.666666667,220.000000001,500.0,520.0,493.333333334,380.0,200.0,377.499999999,466.666666667,466.666666667
179.54,50.8334,44.1666,52.9166,51.1111333333,53.6112,40.2779333333,32.4999333334,40.5556,33.0555333333,28.4722166667,39.7222,57.9167333333
179.93,28.4444,26.2222666667,22.6666666666,28.4445333333,40.4445333333,16.4445333333,13.7776666667,21.7777333333,16.8890666667,-8.61110833334,10.6667333333,8.44453333333
180.31,50.8985333333,52.6956,59.5364,55.4782666667,61.1014666667,49.7392,40.9275333333,46.8984666666,32.1158,23.4999916667,43.5362666667,43.2464666667
180.69,53.5449333333,54.3385333333,58.9947666667,58.1481333333,62.0634666667,48.5714,44.0212,47.2486,31.5343333333,25.0065,45.5556,43.9417333333
181.07,53.9612666667,53.5266666667,54.0337666667,54.4442666666,58.8406666667,48.0195333333,44.3962,48.0676,30.5796666667,26.859975,44.4443333333,41.5457666667
181.45,55.4085333333,55.1433333333,56.8653,58.2780666667,59.2053333333,49.9338666667,46.5784666667,50.4194666667,35.7615333333,30.3863416667,46.0486,44.8344333333
181.83,51.8310666666,53.3333333333,54.4601,54.1784,57.324,50.3286,44.9764,49.7652,32.9577333333,29.4248416667,42.6760666667,39.4365666667
182.21,58.8654,56.5956666667,61.4658,59.2906666666,63.026,60.8982666667,53.097,57.9196,42.0330666667,40.5555083333,49.2198666667,44.8936
182.59,62.7038666667,62.7972,66.8766,61.7249999999,67.599,64.1027333333,57.1096,59.9532666667,47.4592666666,44.6211416667,53.5198,52.7973333333
182.97,63.5324,65.8706,68.5323,60.8458,68.3580666667,65.7711333333,60.3482666667,58.4079333333,47.8110666667,45.6157416667,52.388,54.5024999999
183.35,61.9354666667,64.8925333333,67.5267333333,57.5805999999,64.1936,65.5376666667,60.1075333333,57.2581333333,46.2364666667,45.080525,49.8925333333,52.1773666666
183.73,60.9896,65.5728666667,66.3021666667,56.0418,65.3645333333,62.6042,62.8123333333,58.0208,47.6562666667,47.6302833333,48.5937333333,51.927
184.11,56.9466,61.9848,60.9414333333,52.2646666667,61.7304666667,59.5419333333,59.1348,55.9796,45.6998666667,49.3512083333,45.3944,49.6691
184.49,52.2024,60.893,62.2023333333,49.8809333333,61.3689333333,56.1309333333,57.0832666667,52.1427333333,44.2262666667,48.742625,41.5476666666,46.7260333333
184.87,51.6993333333,61.6339333333,64.9673666666,49.8039333333,63.4641333333,62.6144,57.7778,54.8364666667,48.2352666667,50.7433166667,40.6536,46.3727333333
185.25,49.5122,61.626,69.7561333333,55.8536,73.3332666667,73.1707333333,63.5772,58.0488,54.4714,56.6970333333,38.9430666667,48.6991666666
185.63,50.5819333333,59.6824,74.2327666667,59.8942666667,86.8783999999,84.3386666666,68.2538666667,59.5766666667,52.6984,63.4656416666,40.7407333333,49.8413000001
186.01,58.87,70.2825333333,89.0398,69.6044666667,94.0113999999,86.7796666666,80.2260000001,68.2484666667,62.825,73.4180916667,50.7344666667,58.9264666667
186.39,46.3416,80.3252666667,91.9511333333,73.6584666666,95.6098,88.2923999999,82.4390666666,60.8130666666,50.244,73.1909916666,43.2520666667,65.6910666667
186.77,33.9785333333,72.4732666667,85.5915,69.0322666667,90.3224666668,103.440866667,80.6452666667,54.8386666666,40.6450666667,67.7418249998,19.5698666667,49.7850000001
