wavelength,Back_TanXagf,Belly_TanXagf,Breast_TanXagf,Crissum_TanXagf,Crown_TanXagf,DorTail_TanXagf,Patch10_TanXagf,Patch11_TanXagf,Patch12_TanXagf,Rump_TanXagf,Throat_TanXagf,WingTip_TanXagf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,9.25933333333,51.8517777778,24.074,7.40744444443,1.18423789293e-15,3.70377777777,-16.6665555555,29.6294444444,18.5184444445,37.0371111111,-1.85188888889,12.9631111111
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,133.333333333,125.925888889,137.037111111,87.0370000001,64.8147777778,81.481611111,131.481333333,50.0,164.814777778,66.6666666667,101.851777778,103.703666667
179.93,-177.777777778,-233.333333333,-333.333333333,-244.444444444,-277.777777778,-216.666666667,11.111111111,-488.888888889,-155.555555556,-177.777777778,-177.777777778,-188.888888889
180.31,186.666666667,174.074222222,152.592666667,146.666555556,134.074111111,228.888888889,97.0369999998,373.333111111,128.148333333,234.074,154.074,145.185222222
180.69,318.518555555,313.580222222,264.197666667,267.901,250.617333333,410.493888889,208.642,675.308555555,251.851666667,420.987666667,274.074222222,277.777777778
181.07,-446.666666666,-373.333333333,-304.444444444,-313.333333333,-268.888888889,-624.444444443,-262.222222222,-1022.22222222,-253.333333333,-611.111111111,-326.666666667,-375.555555555
181.45,401.85188889,301.852,311.111111111,279.629555555,259.259222222,600.0,327.777666667,877.777666668,194.444555556,533.333222222,337.036888889,398.148111111
181.83,1411.11111111,972.222222223,1083.33333333,683.333333332,705.555555556,1844.44444445,1144.44444444,2772.22222222,916.666666668,1561.11111111,1116.66666667,1361.11111111
182.21,-633.333333332,-436.111111111,-419.444444446,-255.555555556,-386.111111111,-929.166666666,-511.111111111,-1363.88888889,-408.333333333,-783.333333335,-455.555555556,-722.222222223
182.59,1205.55555555,1022.22222222,988.888888888,444.444444445,1072.22222222,2080.55555555,1016.66666666,3022.22222222,850.000000001,1805.55555556,894.444444444,1566.66666667
182.97,429.629666666,305.555555556,342.592555557,201.851777778,392.592666667,642.592611111,422.222222222,985.185222224,255.555777778,638.889000001,281.481444445,524.074111111
183.35,-101.234555556,-113.580444444,-112.345888889,-64.1976666667,-155.555555556,-302.469111111,-124.691333333,-502.469222222,-32.0987777778,-295.061666667,-61.7284444446,-270.370333333
183.73,1.851888889,-44.4444444443,-31.4815555554,12.963,-166.666555556,-347.222277778,-74.074,-668.518555554,-24.073888889,-303.703777778,18.5185555554,-364.814777778
184.11,44.9999999999,22.2222222222,49.4444444443,46.1111111111,-23.8888888891,-52.5,-2.22222222211,-154.444444444,33.8888888888,-28.8888888888,53.3333333332,-81.1111111111
184.49,8.730222222,5.55533333337,34.9206666664,12.6983333334,-125.396666667,-128.571444444,-23.8095555557,-250.793555555,2.38088888867,-70.635,18.2542222222,-170.634888889
184.87,-22.2223333333,-14.8147777779,22.222222222,1.852,-157.407444444,-141.666611111,-12.037111111,-288.888888889,27.7776666667,-83.3334444443,28.7036666668,-199.999888889
185.25,427.777777777,422.222222222,336.11111111,450.0,1061.11111111,794.444444444,441.666666668,1444.44444445,419.444444443,727.777777776,350.000000001,1036.11111111
185.63,-1500.0,-1483.33333333,-1111.11111111,-1188.88888889,-2855.55555556,-2063.88888889,-1227.77777778,-3294.44444444,-1505.55555555,-1922.22222222,-1055.55555555,-2527.77777778
186.01,349.572555555,350.427444444,259.829222222,301.709333333,561.538555556,425.213722222,269.230777778,590.598222222,283.760555556,399.145222222,229.059888889,482.906
186.39,227.536222222,213.526555556,174.879222222,169.082,324.154555556,239.372055556,183.091777778,349.275444444,175.362222222,237.681444444,140.096666667,292.270444444
186.77,276.111111111,262.222222222,203.333333333,197.777777778,365.555555555,250.0,236.666666667,423.333333333,223.888888889,284.444444444,177.222222222,342.777777778
187.15,292.592666666,315.432,242.592777778,204.321,414.814777778,329.012277778,279.012444445,500.617222222,243.21,331.481444444,230.864,410.493888889
187.53,590.123555555,535.802444444,455.555444445,340.740666667,788.889111111,633.950555555,544.444555556,1013.58022222,458.024666667,653.086333333,438.271555556,813.580222222
187.91,-5111.11111111,-4122.22222222,-3800.0,-2033.33333334,-7077.77777778,-4983.33333333,-4866.66666667,-8400.00000002,-3388.88888889,-5466.66666667,-3222.22222222,-6700.0
188.29,6044.44444445,4822.22222222,4822.22222222,2766.66666667,7544.44444444,5533.33333333,5522.22222222,9366.66666666,3988.88888889,6300.0,3755.55555555,7644.44444445
188.67,-760.317555555,-515.872888889,-534.920666667,-173.015666666,-909.523777777,-637.301722222,-665.079333332,-1220.63488889,-449.206555556,-761.904777778,-331.745888889,-923.809444445
189.05,-330.555555555,-190.972222222,-211.111111111,-45.8333333333,-376.388888889,-291.666666667,-265.972222222,-529.166666667,-186.805555555,-329.166666667,-146.527777778,-394.444444444
189.43,-275.132333333,-161.375666667,-147.619111111,-34.920777778,-277.248777778,-236.772555555,-213.756666667,-388.889,-132.804333333,-247.619111111,-112.698222222,-314.285666667
189.81,-367.973777778,-218.300666667,-173.202666667,-90.8495555553,-343.137333333,-323.202555555,-313.725555555,-526.143888889,-216.993444444,-331.372555555,-173.856111111,-418.954333333
190.19,-490.476,-323.809555556,-270.634888889,-140.476222222,-470.634888889,-448.015666667,-476.984111111,-714.286,-353.174666667,-480.158666667,-286.507888889,-591.269888889
190.57,-6911.11111111,-4500.0,-4077.77777778,-2544.44444444,-6777.77777778,-6677.77777778,-7111.11111111,-10355.5555556,-5533.33333333,-7222.22222222,-4411.11111111,-8400.0
190.95,-2188.889,-1225.92588889,-1203.70366667,-611.11111111,-2025.92588889,-2212.963,-2251.85188889,-3074.074,-1459.25922222,-2218.51866667,-1203.70355556,-2674.07411111
191.33,-607.407444445,-305.555555555,-318.518444445,-182.407444444,-498.148222222,-500.462833333,-573.148222222,-723.148333334,-410.185111111,-541.666555555,-301.851888889,-692.592666667
191.71,-983.333333334,-504.166666667,-533.333333333,-250.0,-763.888888889,-759.027777778,-912.500000001,-1075.0,-645.833333333,-845.833333334,-516.666666667,-1063.88888889
192.09,1103.70355555,648.148,603.703666667,466.666777778,820.987666667,865.432111111,992.592444442,1174.07411111,774.074111111,946.913555554,681.481444444,1155.55555556
192.47,583.950444444,351.234444444,281.481444444,250.000111111,418.518555556,461.419722222,509.259333333,603.703777778,435.802444445,512.963,382.716111111,581.481666667
192.85,541.269888889,380.423444444,295.767222222,289.418111111,404.761777778,444.973666667,493.650777778,570.899555555,435.978666667,503.174555556,400.529,575.661222222
193.23,364.515888889,266.666777778,204.659666667,196.774111111,268.100444445,294.265277778,348.028666667,383.154111111,315.412,337.992666667,278.136222222,405.734888889
193.61,366.269888889,248.809555555,194.444555556,172.618888889,252.777888889,285.118833333,341.269888889,391.666777778,333.333444445,334.523777778,271.031777778,415.079333333
193.99,522.807111111,361.403444444,296.491333333,209.356777778,363.742666667,407.8945,464.912111111,538.596555555,489.473555556,485.38,374.853888889,610.526222222
194.37,387.962888889,264.814777778,200.925888889,151.852,257.870333333,306.713,347.685111111,379.166666667,372.685111111,348.148111111,276.852,472.222111111
194.75,1209.72222222,790.277777779,531.944444445,416.666666666,711.111111111,941.666666668,1023.61111111,1059.72222222,1016.66666667,991.666666666,861.111111111,1393.05555555
195.13,2472.22222222,1738.88888889,1055.55555556,1050.0,1538.88888889,1895.83333333,2033.33333333,2283.33333333,2133.33333333,2061.11111111,1827.77777778,2930.55555556
195.51,2283.33333333,1763.88888889,866.666666665,1025.0,1472.22222222,1829.16666667,1869.44444444,2305.55555555,1908.33333333,1930.55555556,1727.77777778,2847.22222222
195.89,709.629777778,585.185111111,301.481444444,362.222111111,505.185111111,587.777611111,589.629666667,710.370444444,628.148333333,617.037111111,551.111111111,885.185111111
196.27,658.823666667,568.627444445,322.222222222,343.137222222,499.346333333,569.934611111,570.588444444,637.908333333,608.496666667,577.777777778,532.679666667,837.908444445
196.65,1076.66666666,961.111111112,536.666666665,535.555555556,853.333333333,935.555555554,975.555555554,1020.0,973.333333333,966.666666667,816.666666667,1464.44444445
197.03,639.505888889,577.160444444,341.358,325.308777778,494.444444444,559.876444445,584.567888889,568.518555555,555.555666667,554.321,470.370333334,853.703888889
197.40,423.703666667,387.407333333,244.444555556,226.296222222,343.703555555,385.3705,374.814777778,374.074111111,355.926,369.259222222,315.185111111,555.185222222
197.78,325.757444444,309.848555555,209.848444444,201.262666667,278.787777778,305.302944444,298.989777778,290.404,269.697111111,290.909222222,261.616222222,419.697
198.16,362.762777778,344.444444444,222.522555555,225.525333333,311.711666667,342.192111111,330.03,317.717666667,301.801888889,334.534444445,304.804777778,478.678666667
198.54,502.991222222,456.410444444,299.572666667,302.564222222,424.786444444,466.666611111,424.786333333,438.034222222,411.111111111,459.829222222,417.521444444,654.700666667
198.92,493.415555555,463.374555556,302.469111111,319.341666667,444.444444444,456.995722222,412.757333334,442.386888889,432.921777778,472.016444444,412.757222222,653.909444444
199.30,356.910555556,334.688444445,218.157222222,231.165555555,321.138111111,321.951222222,296.747888889,308.13,317.344111111,345.257555555,300.000111111,450.948444444
199.68,263.703666667,246.666888889,165.555444444,166.851777778,240.370333333,242.222333333,220.925888889,225.370333333,245.925888889,257.963,216.666777778,324.444444444
200.06,270.306555556,245.785333333,162.452111111,167.815888889,239.463444444,247.030444444,222.796777778,219.348666667,247.701111111,260.153111111,214.367777778,320.306444444
200.44,360.683777778,328.490111111,200.569777778,214.529777778,315.099666667,327.492888889,292.877444444,284.045444444,315.954444444,352.421777778,267.521444444,427.065444444
200.82,378.086555555,338.271666667,218.518555556,223.148222222,313.580222222,344.9075,291.357888889,292.592555555,319.444555556,369.135777778,292.283888889,439.506333333
201.19,327.777777778,287.777777778,182.5,192.222222222,268.611111111,296.944444444,252.777777778,254.722222222,273.055555556,327.222222222,257.777777778,385.277777778
201.57,424.904222222,379.310333333,225.670444445,256.322,345.594,381.034555556,347.509666667,331.417666667,357.471444444,439.463444444,341.379222222,503.831444444
201.95,865.079333333,750.0,419.047444444,491.269888889,667.460222222,743.253944444,715.873,665.079333333,712.698333333,889.682555555,687.301555555,1026.19044445
202.33,697.531111111,610.493888889,335.802555556,417.901222222,519.135666667,593.827277778,582.098666667,553.703666667,548.765333333,688.888777778,554.321,800.000111111
202.71,1058.33344444,940.740888889,508.333333333,630.555444444,803.70388889,886.573944446,933.333444444,837.963000001,865.740777778,1040.74077778,829.629555557,1188.88877778
203.09,11477.7777778,10477.7777778,5011.11111111,6477.77777778,8222.22222221,9527.77777779,10655.5555555,8744.44444444,9244.44444445,11055.5555556,9044.44444444,13355.5555556
203.47,-1092.59266667,-974.074111111,-419.753,-618.518666666,-740.740888889,-914.814722223,-1066.66655556,-790.123444445,-812.345666667,-1009.87655555,-877.777999999,-1364.19755555
203.85,-338.095222222,-291.269888889,-111.507888889,-201.587222222,-198.809666667,-266.269722222,-329.365111111,-226.587222222,-229.365,-300.0,-273.809444445,-424.206444444
204.22,-377.294777778,-362.318777778,-157.971,-256.521555556,-240.096555556,-321.739222222,-400.966222222,-294.685888889,-268.599,-355.555555556,-340.579666667,-522.222111111
204.60,-775.925777777,-727.777777778,-337.037,-524.999888889,-494.444444445,-661.111055555,-773.14811111,-650.0,-542.592666667,-727.777666667,-684.259222222,-1067.59266667
204.98,3344.44455556,3274.074,1603.70377778,2444.44433333,2359.25944444,2983.33322222,3551.85177778,2944.44466666,2551.852,3085.18522222,2962.96288889,4577.77788889
205.36,-4927.77777778,-5233.33333334,-2633.33333333,-3938.88888889,-3677.77777778,-4600.0,-5244.44444444,-4583.33333333,-3961.11111111,-4800.0,-4494.44444444,-6827.77777778
205.74,1327.77777778,1347.22222222,711.11111111,1108.33333333,999.999999999,1210.41666667,1354.16666666,1212.5,1093.05555556,1262.5,1191.66666667,1773.61111111
206.12,400.740777778,416.666777778,240.000111111,352.962888889,313.703555556,362.407277778,392.963,352.222333333,337.407222222,382.592555555,349.259222222,506.666666667
206.50,314.550222222,321.428444444,201.851888889,277.513333334,256.878333333,278.174444444,312.169333333,267.460222222,247.883666667,303.703777778,264.550333333,394.709111111
206.87,274.666666667,282.444444444,187.333333334,250.888888889,218.0,234.777777778,265.555555555,235.111111111,207.555555555,277.777777778,233.333333333,352.222222222
207.25,229.687333333,231.770555555,163.541444444,212.152444445,187.847111111,202.256777778,217.881666667,202.604,180.034333333,235.416444444,190.798444444,286.110777778
207.63,271.428444444,271.825444444,199.603222222,246.230222222,221.031666667,246.924666667,252.976111111,246.031777778,227.976333333,279.166666667,221.230222222,332.738222222
208.01,224.476555556,225.603777778,173.269,204.508888889,192.914777778,204.428444445,216.102888889,209.984111111,194.847,231.884,186.151444444,276.811555556
208.39,272.323111111,274.141333333,201.212111111,239.798,226.868777778,242.727277778,264.646333333,252.525222222,232.323111111,283.232222222,223.232333333,333.333222222
208.77,265.277777778,272.619111111,203.373111111,237.499888889,222.618888889,239.087333333,263.492,242.063444445,238.690555555,282.142777778,226.587333334,328.769888889
209.14,411.111,414.705888889,302.614222222,358.496666667,339.542555556,351.470833333,389.869333333,366.993555556,366.013,449.999888889,346.078444444,506.862666667
209.52,404.012333333,387.345666667,283.642222222,326.234444444,333.024666667,333.641888889,381.481666667,354.321,365.740666667,433.333444445,331.481666667,485.802444444
209.90,591.666555556,569.907222222,403.240666667,445.833333333,466.203555556,473.148111111,536.111222222,499.537111111,528.703666667,629.629555556,468.055666667,691.666777778
210.28,1852.38077778,1679.36511111,1179.36511111,1282.53977778,1420.63488889,1423.01577778,1646.03166667,1560.31744445,1549.20644444,1938.09522222,1409.52377778,2153.96822222
210.66,-12288.8888889,-10655.5555555,-7822.22222222,-7988.88888889,-9066.66666668,-9233.33333334,-10822.2222222,-10422.2222222,-10755.5555555,-12688.8888889,-9066.66666667,-14033.3333333
211.03,2435.55555556,2046.66666667,1500.0,1502.22222222,1720.0,1762.22222222,2133.33333334,2022.22222222,2031.11111111,2320.0,1791.11111111,2622.22222222
211.41,1348.14822222,1176.54322222,870.370444444,879.012222221,988.888777778,966.049277777,1175.30855556,1120.98777778,1102.469,1303.70377778,1087.65444445,1465.43211111
211.79,606.111111111,536.111111111,398.333333333,391.666666667,439.444444445,408.055555556,546.666666667,499.444444444,478.888888889,607.222222222,508.888888889,658.333333333
212.17,466.666555555,415.811888889,305.982888889,310.683777778,329.059777778,325.427444445,408.547111111,385.042777778,361.538333333,470.940111111,392.735111111,514.102555556
212.55,459.401555556,394.871666667,295.299111111,314.529888889,329.059777778,313.461555555,371.794777778,344.017,343.589888889,443.162555555,368.376222222,514.53
212.92,846.153888888,690.598222222,525.640888889,560.683666667,562.393111111,554.700833333,681.196555556,598.290555556,589.743555556,797.435888889,662.393222222,916.239222222
