wavelength,Back_DigMysm,Belly_DigMysm,Breast_DigMysm,Crissum_DigMysm,Crown_DigMysm,DorTail_DigMysm,Patch10_DigMysm,Patch11_DigMysm,Patch12_DigMysm,Rump_DigMysm,Throat_DigMysm,WingTip_DigMysm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,113.333466667,115.238266667,104.7618,70.4762,73.3333999999,76.1904666667,49.5238,48.5712666667,98.0952666668,51.4285333333,77.1429333334,98.0953333335
179.16,152.222266667,146.666666667,150.0,120.0,144.4444,132.222333334,71.1111999999,94.4444666666,138.889,121.111133333,93.3332000001,121.111066667
179.54,97.3333333334,82.6666666666,68.0,81.3333333333,89.3333333334,118.666666667,30.6666666667,56.0000000001,108.0,60.0000000001,30.6666666667,24.0
179.93,293.333333333,310.0,103.333333333,220.0,96.6666666667,356.666666667,200.0,210.0,256.666666667,206.666666667,71.6666666667,233.333333333
180.31,60.7528,61.5053333333,35.8063333333,42.5806666667,43.2259333333,70.2149333333,20.6453333333,34.6237333334,69.7848,40.1074666667,17.5807333333,46.1289333333
180.69,52.2856666667,52.762,28.8572,37.6190666666,38.8571333333,59.8095333333,20.2856,31.1429333333,63.4285999999,32.8572,14.4761,32.762
181.07,42.7380666666,44.6428,10.3572,32.0238666667,30.9523333333,55.476,6.78573333332,18.0952666667,58.3334666667,26.1904666667,-3.8689,16.1904
181.45,19.3333333333,15.6,-21.7333333333,9.60000000001,8.13333333335,31.4666666667,-11.7333333333,-8.93333333334,34.3999999999,3.6,-39.8,-15.0666666666
181.83,4.86106666666,-2.08326666666,-36.5276666667,-12.4999333333,-15.1388666667,15.1389333333,-28.1944,-32.3610666667,13.0556666667,-14.4444,-62.9861666666,-34.3055333333
182.21,-3.39853333334,-7.05893333332,-34.7710666667,-16.9934,-17.1241333333,4.83659999999,-34.7712,-39.8692666666,7.0587333334,-22.7451333333,-63.5292666667,-43.7908666667
182.59,-27.1666666667,-35.5,-71.5,-44.6666666666,-43.6666666667,-26.5,-74.3333333333,-75.4999999999,-12.8333333333,-55.3333333334,-110.583333333,-93.1666666667
182.97,-47.1546000001,-55.447,-80.6503333333,-64.2275999999,-64.5528666667,-58.2113333333,-91.0568666666,-96.0976,-32.5203333332,-68.2925999999,-134.633966667,-109.105666667
183.35,-57.5308666667,-77.0369333333,-100.493933333,-74.3208666667,-83.4569333334,-95.8022666667,-126.1728,-144.4444,-42.9629333333,-84.9382666667,-189.629633334,-151.358
183.73,-97.1014666665,-103.4782,-153.9128,-109.5652,-107.246466667,-154.782533334,-163.4784,-203.188333333,-67.2464666668,-127.5364,-251.449266667,-212.173933333
184.11,-43.3334,-47.6470000001,-75.0980000001,-55.0980666667,-49.4117999999,-91.9607333333,-85.4901999999,-117.647133333,-27.8431333331,-63.3333333333,-141.3727,-117.2548
184.49,-73.8095333333,-83.5714666667,-110.2382,-74.0475333334,-79.9998666667,-126.428533333,-114.7618,-169.0476,-64.0475333335,-90.7143333331,-186.785733333,-158.809466667
184.87,-128.4848,-140.605933333,-166.3636,-124.5456,-131.515066667,-183.939533333,-189.394,-254.848533333,-123.636266667,-139.393933333,-276.060666667,-215.757533333
185.25,-82.2857333333,-89.5237999999,-92.3811333333,-76.3809333333,-77.3334,-107.619066667,-111.809666667,-149.7144,-74.0952000001,-81.3334000001,-165.5237,-124.571533333
185.63,-83.3331999999,-89.0740666667,-91.6666666666,-79.0739999999,-79.8147333332,-100.925733333,-115.740733333,-149.629733333,-70.7405333334,-87.0369999999,-152.870366667,-119.814733333
186.01,-87.9568666667,-91.6129999999,-95.4838666667,-76.1289999999,-73.3333333334,-115.053733333,-109.462333333,-155.483933333,-61.9356,-78.4946666667,-155.591433333,-112.9032
186.39,-139.710133333,-173.333333333,-157.3912,-137.971,-115.6522,-183.768133333,-173.623066667,-241.159333333,-127.826,-119.130333333,-241.3043,-169.855066667
186.77,-341.2122,-417.575866667,-385.454733333,-334.545466667,-260.000066667,-424.2424,-381.818066667,-551.515266667,-316.9696,-284.8484,-550.606066667,-374.545533333
187.15,-531.666666667,-606.666666667,-613.333333333,-499.166666667,-387.5,-593.333333333,-552.5,-799.166666668,-539.166666667,-403.333333333,-729.583333333,-533.333333334
187.53,-410.2564,-456.922933333,-462.564066666,-385.640933333,-301.5384,-411.282066667,-391.282066667,-558.974333333,-428.205133334,-305.128266667,-515.641,-386.666666667
187.91,-385.640933333,-461.0254,-437.948733333,-383.077,-325.1282,-406.666733333,-389.743666667,-544.1026,-455.3846,-280.512933333,-510.000033333,-384.102533333
188.29,-490.0,-636.666666667,-560.666666667,-480.666666667,-427.333333333,-550.0,-498.0,-729.333333333,-614.666666666,-371.333333333,-672.333333333,-527.333333333
188.67,-218.039266667,-307.843266667,-285.4902,-249.019666667,-188.235333333,-287.450933333,-232.156733333,-380.784333333,-303.9216,-139.607933333,-327.647,-248.627466667
189.05,-469.166666667,-662.500000001,-631.666666666,-583.333333333,-432.5,-648.333333333,-490.0,-850.0,-670.000000001,-265.0,-716.25,-521.666666667
189.43,1836.66666667,2610.0,2770.0,2456.66666667,1733.33333333,2763.33333333,2023.33333333,3516.66666667,2920.0,1106.66666667,3053.33333333,2173.33333333
189.81,-761.333333331,-1034.66666667,-1141.33333333,-976.0,-694.666666667,-1129.33333333,-801.333333333,-1390.66666667,-1234.66666667,-397.333333333,-1184.0,-817.333333333
190.19,681.666666667,895.833333333,941.666666667,819.999999999,644.166666667,911.666666667,745.000000001,1070.0,1013.33333333,459.166666667,933.333333334,728.333333333
190.57,2122.22213333,2688.88893333,2840.0,2422.2222,1968.88886667,2691.1112,2171.11126667,3097.77773333,2931.111,1477.77773333,2663.33336667,2108.88886667
190.95,-276.666666667,-388.666666667,-375.0,-333.666666667,-267.0,-382.0,-292.666666667,-451.666666667,-419.0,-187.0,-356.833333333,-288.666666667
191.33,-292.0,-428.0,-385.666666667,-368.333333333,-300.333333333,-408.333333333,-309.666666667,-474.666666666,-442.666666667,-212.0,-413.666666667,-324.666666667
191.71,-7186.66666667,-10313.3333333,-9300.00000001,-9120.00000001,-7513.33333333,-9826.66666667,-7680.0,-11233.3333333,-10306.6666667,-5740.0,-10143.3333333,-8060.0
192.09,2742.22213333,3704.44446667,3411.11093333,3297.77766667,2682.22233334,3506.66653333,2724.44446667,4064.44453333,3760.0,2224.44453333,3722.22233333,2922.22206667
192.47,2121.66666667,2836.66666667,2663.33333333,2491.66666667,2053.33333333,2660.0,2101.66666667,3115.0,2838.33333333,1711.66666667,2880.0,2196.66666667
192.85,-1793.33333333,-2337.33333333,-2158.66666667,-2040.0,-1696.0,-2082.66666667,-1721.33333333,-2532.0,-2330.66666667,-1537.33333333,-2419.33333333,-1838.66666667
193.23,-294.814866666,-400.7408,-360.000066667,-340.0,-286.9134,-336.7902,-291.358133333,-428.641866666,-393.0864,-261.728333333,-407.4074,-308.888933333
193.61,-460.0,-605.666666667,-539.333333333,-525.666666667,-458.0,-507.0,-443.666666667,-636.0,-581.666666667,-414.0,-604.333333334,-479.666666667
193.99,-628.889,-816.888933333,-705.777733333,-718.222266667,-620.8888,-703.555466667,-621.333266667,-857.333266667,-792.444400001,-565.777666666,-829.111133333,-668.888933333
194.37,-364.266666667,-459.733333333,-402.133333333,-418.133333333,-346.4,-408.533333333,-354.666666667,-481.066666667,-452.266666667,-325.6,-475.2,-386.133333333
194.75,-464.912333333,-562.456,-492.6316,-534.034933333,-432.2808,-512.631666667,-446.315733333,-581.4034,-570.8772,-410.5262,-605.614,-503.508733333
195.13,-724.1026,-810.7694,-764.102600001,-796.923066666,-659.999866667,-760.000066666,-671.794866667,-816.4102,-825.128199999,-629.743533333,-906.410233333,-757.435933333
195.51,-2016.0,-2141.33333333,-2021.33333333,-2081.33333334,-1696.0,-1989.33333333,-1853.33333333,-2150.66666667,-2166.66666667,-1678.66666667,-2314.66666667,-1984.0
195.89,-956.666666667,-972.666666667,-908.666666667,-968.666666666,-776.666666667,-906.666666667,-874.000000001,-1015.33333333,-1011.33333333,-787.999999999,-1058.0,-936.666666667
196.27,-715.5556,-802.222333333,-690.555600001,-777.777866667,-625.5556,-737.222133333,-726.6666,-810.5556,-802.777799999,-582.2222,-803.333166667,-742.777866667
196.65,-2115.0,-2325.0,-2090.0,-2361.66666666,-1888.33333333,-2140.0,-2205.0,-2425.0,-2423.33333333,-1708.33333333,-2332.5,-2236.66666667
197.03,1700.0,1926.66666667,1782.66666667,1964.0,1598.66666667,1878.66666667,1892.0,2057.33333333,1996.0,1364.0,1909.33333333,1846.66666667
197.40,527.058733333,605.882266667,554.1176,603.5294,479.215666667,583.137133334,583.9216,629.411666667,620.392066667,417.647066666,592.157033333,563.529333334
197.78,625.777733333,696.000133333,641.777666667,697.7778,546.222333333,688.888866667,686.666733333,727.555533333,705.333266667,482.666666667,686.0,664.888866667
198.16,285.585733334,311.7116,298.558533333,308.108066667,261.081066667,309.729733333,305.2252,331.711666667,313.8738,222.7028,305.765733333,299.999933333
198.54,258.861733333,280.325266667,271.869933333,275.772333333,243.577266667,275.284666667,269.7562,319.512066667,288.455466667,195.447133333,283.577333333,268.617866667
198.92,234.242466667,266.363733333,261.212066667,255.606,227.8788,267.121266667,252.121266667,307.727333333,271.3636,178.787933333,265.2272,252.8788
199.30,215.833333333,258.1946,239.444466667,242.500066667,215.555666667,251.666866667,232.7778,291.9444,255.5556,160.2778,248.958233333,238.472133333
199.68,218.297866666,265.39,245.531866667,250.3546,226.099333333,256.7374,236.5956,298.297666667,264.680866667,158.865133333,248.581466667,246.8084
200.06,188.700466667,233.107333333,216.7232,215.028333333,200.565,224.4068,208.587533333,247.570666666,230.282466667,141.129933333,213.3333,215.480266667
200.44,175.589733333,205.3334,198.256533333,197.128066667,180.4102,200.205133333,192.718066667,221.7436,211.794933333,134.461466667,197.179466667,201.230866667
200.82,222.411466667,263.688,250.070866667,257.588733333,225.815533333,260.851266667,242.411333333,274.893733333,268.794333333,166.241133333,253.8299,258.865266667
201.19,222.978666667,267.659666667,245.6738,255.319266667,217.305,252.482333333,235.177266667,262.2696,267.376,171.205733333,249.5035,255.886533333
201.57,241.860466667,295.038666667,269.767333333,281.860533333,241.085333333,285.581333333,252.248133333,284.341066667,291.6278,190.0776,276.976766667,282.015466667
201.95,332.564,426.153866667,380.256466667,392.820533334,333.5898,395.641066667,341.282066667,387.179466667,413.333133334,237.9488,382.692266667,392.051266667
202.33,633.939400001,871.515133333,730.303,827.272799999,616.969733333,786.666733334,635.757533333,703.030266667,809.090866666,426.6666,732.121233333,755.1516
202.71,512.1212,810.302933333,633.333333333,758.787933333,520.000133333,735.757599999,557.5758,555.151533333,710.909000001,359.3938,630.909166666,683.636266666
203.09,368.75,546.25,411.666666667,527.083333333,362.5,480.833333333,380.833333333,353.333333333,468.333333333,251.666666667,420.833333333,462.083333333
203.47,174.414333333,236.036066667,177.117133333,236.2162,164.324333333,210.630466666,174.4144,155.3152,214.954933333,127.567666667,176.936966667,198.918933333
203.85,122.121266667,180.757666667,128.030333333,175.7576,116.9696,155.303066666,121.666666667,108.0304,155.454533333,100.757666667,123.787933333,144.999933333
204.22,104.276866667,146.9184,104.0252,149.182466667,95.4717999999,127.672933333,91.5722666667,87.9244000001,123.521933333,85.7861999999,95.7862333334,118.742
204.60,106.938733333,156.734866667,106.530666667,149.659733333,90.0678666667,127.0748,77.4149333333,79.7279333333,115.918266667,80.1360000001,85.7142666667,112.244933333
204.98,97.488,129.1788,92.1739333332,122.028933333,83.5749333333,107.5362,75.9420666667,72.8501333333,104.637666667,74.6859333334,75.0725666667,95.8454666666
205.36,82.1722000001,102.397,74.2320666666,101.7228,74.9812,89.8128666667,64.9439333333,62.9962,89.9626,61.3482000001,63.1836333333,79.925
205.74,75.9574666667,89.0070666667,63.5462,91.1348,67.7304666667,75.6028666668,57.3758666667,52.6241333333,82.2694666667,54.1843999999,52.3403333333,67.8723333333
206.12,57.1717333334,75.3538,47.6093333333,75.0168666666,50.5724666667,62.8283333333,46.1954,39.192,69.6972000001,45.2525333333,39.3939333333,52.0538666667
206.50,53.3333333333,71.6832666667,47.7887333333,69.9010666667,47.6566666667,60.3301333334,47.3266666666,38.6138666667,67.3927333333,45.6765333333,38.3827666667,52.6072
206.87,58.7233999999,75.1772666667,51.4182000001,72.0567333333,47.2339333333,59.3618,50.2128,40.9220666667,72.5531333333,49.8580666667,37.2340333334,54.8225333333
207.25,49.7163333333,65.8154666667,44.0426,63.8296666667,37.2341333333,50.2838,41.8439333333,35.3192,67.6595333333,41.5601333333,28.0142333333,45.6028
207.63,45.8333333333,62.1969333333,42.5756666666,60.2273333333,33.1818,47.1213333333,41.3637333333,31.6666,66.0607333334,37.9546666667,25.7955333333,43.7121333333
208.01,49.5583333333,57.1083333333,48.8351999999,63.1324,33.253,47.8714666667,46.4256,31.1646666667,68.8354000001,36.0642666667,24.8996,45.7831333333
208.39,45.1112000001,53.0000666667,44.3332666667,60.2222,22.5555999999,38.2222,44.5556666667,21.7777333333,73.889,23.0001333333,11.7778333333,38.8887333333
208.77,50.3226666667,52.4731333334,45.6990000001,63.4408,28.4945333333,43.4407333333,53.0106666667,24.9461333333,80.2150666667,28.4946666667,18.6559666667,38.8172666667
209.14,49.2856666667,55.1191333334,47.7382,63.2141333333,24.2856666667,45.2380000001,54.2857999999,26.0714666667,82.1428666666,25.4762666666,15.9523333333,38.9285333333
209.52,67.1112666667,75.8518666667,60.5926666667,73.3333333333,24.5925333334,56.7407333333,63.1109999999,27.5555333333,97.3335333335,31.8519333334,13.8519,45.3332666665
209.90,86.3702666666,96.1481333334,78.2222666666,91.9999333332,37.9259333333,73.6295999999,73.4814666666,48.8889333333,107.851733333,50.9630000001,32.0740666667,62.6666666666
210.28,78.6667333333,82.3589333334,68.8205333334,85.6411333335,45.4359333333,61.6408666666,64.6153333333,53.1282,88.6154666667,46.4615333333,34.9232,58.5641333333
210.66,85.6250666667,90.7290666666,65.9374000001,89.3750666666,51.8750666667,64.7917333333,65.8335333333,61.7707333333,94.6876,47.6040666667,43.9583333333,58.2291333334
211.03,79.7015333333,87.2637999999,53.5322666667,79.9005333333,47.2636666667,59.9999333334,60.2986,53.7313333333,85.7711333333,39.6019333333,40.2984666667,46.8658
211.41,81.9792666667,90.2082666667,53.8541333333,76.5624000001,44.9999333333,61.1457333333,62.1872,49.7917333333,80.9374666667,38.4374,38.3854333333,46.6666666667
211.79,85.9016666668,93.9890666666,64.2623333333,77.9235333334,46.2296,61.9671999999,60.765,48.1966666667,82.0764666667,38.6885333333,34.2622666667,46.6666000001
212.17,83.6363333333,103.2726,57.5757999999,75.2726666667,41.6970666667,68.8484666667,54.7879333334,46.0606,87.2726666667,38.9091333334,35.3333,40.4848666667
212.55,81.4814666666,106.4814,37.4074,69.4445333333,11.4813999999,58.8890666667,36.4815333332,15.1852666667,88.1482000002,13.5186,-1.01856666668,10.3702666667
