wavelength,Back_BanRotm,Belly_BanRotm,Breast_BanRotm,Crissum_BanRotm,Crown_BanRotm,DorTail_BanRotm,Patch10_BanRotm,Rump_BanRotm,Throat_BanRotm,WingTip_BanRotm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,190.476333333,119.047333333,119.047333333,190.476333333,138.095333333,185.714,123.809666667,176.190333333,176.190666667,47.6193333333
179.16,140.476,30.9523333333,88.0953333333,40.476,57.143,80.9523333333,66.6666666667,95.238,90.4763333333,45.238
179.54,90.0,66.6666666667,26.6666666667,3.33333333333,3.33333333333,20.0,10.0,53.3333333333,60.0,-33.3333333333
179.93,146.154,76.923,56.4103333333,82.0513333333,87.1796666667,138.461333333,82.0513333333,87.1796666667,97.436,41.0253333333
180.31,147.474666667,70.202,68.6866666667,63.6363333333,75.7576666667,134.343666667,73.7376666667,133.838333333,130.808,11.1113333333
180.69,172.413666667,80.4596666667,66.6666666667,60.345,83.3333333333,146.552,81.0346666667,158.046333333,147.701333333,-6.89633333333
181.07,167.901333333,77.778,70.9876666667,46.2963333333,80.247,141.975333333,73.4566666667,154.938333333,145.061666667,-16.0496666667
181.45,160.666666667,80.0,76.6666666667,54.6666666667,74.0,144.0,78.6666666667,160.0,148.0,-30.0
181.83,221.568666667,93.137,128.431666667,78.4313333333,98.0393333333,212.745,128.431333333,245.098,219.607666667,-48.0393333333
182.21,308.772,128.07,229.824666667,89.4736666667,138.596333333,328.07,191.228,417.543666667,342.105333333,-121.052666667
182.59,311.764666667,188.235333333,343.137333333,156.862666667,190.196333333,290.196,247.058666667,470.588333333,411.764666667,-94.1176666667
182.97,232.051,158.974333333,297.435666667,180.769,200.0,224.358666667,189.743666667,339.743333333,332.051333333,2.564
183.35,193.333333333,130.0,243.333333333,175.555666667,182.222333333,193.333,171.111333333,292.222,288.889,-12.2223333333
183.73,186.021666667,133.333333333,232.258,170.967666667,191.397666667,188.172333333,166.667,278.494666667,304.301333333,-34.4083333333
