wavelength,Back_TanLabf,Belly_TanLabf,Breast_TanLabf,Crissum_TanLabf,Crown_TanLabf,DorTail_TanLabf,Patch10_TanLabf,Rump_TanLabf,Throat_TanLabf,WingTip_TanLabf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,39.1666666667,31.0416666667,12.2222222222,-5.1388888889,-14.1666666668,21.1805555557,91.2499999999,24.8611111111,7.08333333333,-5.763888889
179.16,78.4847777779,31.5151111111,42.0706666667,66.3636666667,56.5656666667,76.8687777777,145.353555556,50.5051111111,73.1313333334,105.707111111
179.54,-46.2962222223,-2.77783333333,-124.074111111,-75.9259999999,34.2592222222,-94.4442777778,-146.296333333,-107.407444444,-142.592555556,16.6667777778
179.93,7.93644444433,-4.9602222222,-15.4761666668,11.5078888889,6.34933333333,-14.285777778,-27.1823333334,-4.36511111113,7.34122222223,53.5715
180.31,242.703777778,193.704777778,157.165333333,319.146888889,180.817111111,307.350333333,449.729444444,182.702,245.211111111,134.726777778
180.69,226.408888889,194.404611111,147.634333333,293.966,188.995333333,278.535277778,364.566777778,168.434333333,230.263,149.986611111
181.07,2898.016,2472.88355555,1669.709,4242.85711111,2369.57666667,3812.69833333,5897.35455557,1760.31744444,3086.11111111,1553.96833333
181.45,-2118.00766667,-2072.47766667,-1518.71011111,-3969.47644445,-1920.56188889,-3556.32188889,-4959.64244444,-1438.31411111,-2156.32177778,-948.722888889
181.83,274.025777778,268.996166667,182.951777778,458.122111111,271.305,387.590333333,543.547666667,192.568555556,260.637,193.516944444
182.21,129.433111111,149.042833333,111.214777778,258.730222222,159.264777778,203.641222222,274.832333334,97.9817777777,142.420666667,121.011166667
182.59,106.929555556,116.905666667,90.0237777777,197.968888889,131.421777778,146.774166667,207.765777778,82.7955555556,125.925888889,113.500722222
182.97,97.0108888889,108.416777778,108.256444444,179.957111111,128.725111111,128.487,158.946222222,91.891,119.893777778,129.306222222
183.35,96.5031111112,116.296333333,123.464,186.405222222,138.474888889,135.163333333,157.287555556,93.3441111112,126.808222222,147.984722222
183.73,95.8766666665,114.531166667,130.891166667,175.321,128.769777778,140.295833333,149.253222222,98.4451111112,131.226555556,153.430611111
184.11,100.270777778,118.815055556,146.061944445,184.284777778,140.287,149.059444444,155.028777778,109.522777778,147.247777778,171.925722222
184.49,80.1842222223,98.2276666668,124.320111111,155.805888889,116.257111111,119.679055556,136.687222222,84.9917777778,132.263777778,145.839611111
184.87,66.2706666668,84.8396111111,131.955111111,158.086888889,111.115111111,113.5065,140.430333333,71.667,129.746111111,149.153555556
185.25,55.9631111111,76.3778333334,114.655166667,133.900333333,98.7947777777,93.049,109.870555556,60.1275555554,111.722333333,122.275388889
185.63,105.779444445,130.240166667,162.942722222,194.532555556,143.033444444,137.593277778,149.735333333,101.587333333,165.147444445,177.289222222
186.01,126.780111111,152.574,210.781166667,243.147666667,164.104222222,167.0935,168.506888889,121.011,198.749888889,207.617166667
186.39,109.345444444,128.213611111,179.927666667,203.767777778,143.225444445,134.589222222,148.116,94.2226666669,180.163888889,176.204111111
186.77,150.450444444,197.139833333,252.251944444,307.936555556,191.162555556,197.876277778,179.565111111,158.744444445,256.570777778,255.634333333
187.15,35.7575555556,99.5455555557,115.833333333,168.232333333,108.787777778,54.8738888888,70.7827777777,5.93422222233,115.454555555,127.752388889
187.53,8.93255555567,108.213666667,129.106611111,179.411777778,108.126555556,32.8106666667,40.8280000001,0.239555555333,98.475,126.819111111
187.91,54.0403333333,188.018888889,187.990777778,253.759888889,195.454333333,69.3321666667,106.902444444,88.3277777778,145.398333333,184.680111111
188.29,46.7452222223,218.350111111,171.156222222,254.826111111,182.267111111,53.0305,94.107777778,100.056111111,119.023444444,190.656611111
188.67,84.7385555557,262.663444444,235.130666667,341.83,220.163444444,113.415,155.490222222,170.490111111,188.039222222,232.843222222
189.05,-22.6735555557,144.817888889,71.2572777778,167.584666667,128.758111111,1.72733333333,10.7066666668,13.7721111113,-3.205777778,66.8067777777
189.43,2846.29633334,418.981444444,1548.37955556,613.194444446,6.01844444433,2496.06477778,2487.963,2740.74066667,3743.51855555,2384.49066667
189.81,-3576.73611111,-678.472222222,-1896.18044444,-889.583222221,-28.8194444467,-2943.40277778,-2853.29855555,-3201.04155555,-3947.91666667,-2431.77077778
190.19,774.581333332,134.109555555,524.079111111,309.102,-1.70477777767,666.864555556,658.112666668,711.689444443,867.031888889,507.290777778
190.57,956.924222221,10.8293333333,696.517777778,306.320444444,-1.36877777767,757.508111111,715.297888889,760.104666666,1088.40588889,470.853555556
190.95,341.632555555,94.5930555557,337.476666667,219.559,73.9004444443,366.487166667,276.898222222,330.620444444,415.706777778,221.330388889
191.33,335.899222222,155.432,375.435555556,257.921333333,134.957555555,388.353333333,287.217555556,376.059333333,418.361555555,246.939777778
191.71,338.304111111,108.082722222,376.294944444,256.662555556,110.442777778,422.619111111,301.294777778,380.242222222,421.7,221.365833333
192.09,381.27,125.555722222,395.793777778,246.984,146.349222222,470.476166667,320.317333333,406.190666667,418.888666667,230.396888889
192.47,240.633888889,96.385222222,246.207166667,162.998555556,109.152555556,314.3875,193.091222222,275.676555555,287.428777778,162.517555556
192.85,219.223888889,96.796,240.770277778,156.613888889,93.1805555554,285.714166667,177.836666667,249.853,259.670666666,147.795333333
193.23,255.944222222,112.130333333,291.881777778,188.971333333,119.194,345.434388889,224.307777778,300.306222222,313.609111111,163.367333333
193.61,422.979777778,78.7878888887,460.353444444,271.043777778,165.824777778,579.882111111,331.902111111,412.541888889,435.016777778,181.186833333
193.99,287.777777778,158.625777778,395.584888889,236.081888889,151.725,401.228055556,293.596444445,371.403555555,393.684222222,193.859666667
194.37,317.647111111,262.817666667,550.072666667,253.376888889,150.326888889,433.66,388.525777778,528.031777778,561.583,242.193166667
194.75,1178.88888889,-377.777777778,157.777777777,461.111111111,836.666666665,1342.22222222,152.222222222,-436.666666666,-115.555555557,-56.6666666667
195.13,-704.166666665,90.8333333333,-253.75,-388.888888889,-526.666666667,-819.444444444,-237.5,-58.611111111,-222.222222223,-120.833333333
195.51,4466.66655556,779.629555554,4779.62955555,2355.55555556,1492.59255556,6109.25922222,3877.77777778,3937.037,5351.85188889,2038.88888889
195.89,863.174555554,31.904777778,479.365,546.666555556,642.539666666,972.063333332,393.333222222,273.333333332,373.333444447,376.349277778
196.27,290.115444444,185.245222222,489.935,206.565777778,108.802222222,469.083722222,429.942333333,410.822333333,586.652333333,199.819611111
196.65,267.407444445,172.962888889,470.185277778,238.333222222,125.184888889,445.370333333,467.222444444,387.407444444,550.185,234.629666667
197.03,98.8603333333,91.7377777778,201.994388889,108.974444444,70.0855555556,186.182333333,216.239222222,173.077111111,257.834888889,117.521277778
197.40,51.6980000003,67.7537222223,166.262666667,68.282888889,32.2174444443,114.655944445,169.331555556,134.256666666,223.597888889,92.8186666667
197.78,-231.282222221,86.7806111111,123.817666667,-154.928666667,-212.022777778,-80.6552777777,191.509888889,114.843333333,357.236333334,-11.5099444443
198.16,-69.914666667,71.7092222222,116.324611111,-14.0169999998,-37.094,30.8546666667,151.965777778,74.8718888888,217.948777778,17.0084444443
198.54,2833.78388889,304.129111111,1077.85283333,1635.73566667,1863.36333333,1484.90983333,-0.900888889,927.027222223,-640.690777777,1843.01816667
198.92,-531.345555555,18.4252222222,-116.055166667,-271.636,-380.351666666,-201.605555555,161.264111111,-139.577,309.964444445,-344.699222223
199.30,-589.386444443,-46.9735,-199.170722222,-239.759666666,-411.27711111,-274.419500001,156.426111111,-156.633555556,235.364777778,-420.025
199.68,-313.503888889,-24.0199444446,-121.8315,-84.9567777778,-220.370333333,-145.947555555,98.604888889,-72.8236666668,162.253555555,-267.063611111
200.06,-144.033,-14.3370555556,-50.527111111,-30.1521111111,-77.0836666668,-46.6713333333,84.8273333335,-20.2557777779,99.5115555557,-111.869555556
200.44,995.816555555,362.896444444,614.734833334,548.654333334,749.080666667,692.233,81.534888889,425.739444446,-6.554888889,935.918055557
200.82,287.202,114.971555556,195.299111111,196.830111111,235.722,245.318944445,107.2,166.508111111,69.0156666668,306.076444444
201.19,204.817333333,104.3245,153.893277778,160.720555556,183.237444444,185.328888889,102.400444444,127.375,75.4876666667,229.669222222
201.57,192.448222222,95.3577777777,156.007666667,169.905888889,165.282666667,166.13,107.448222222,99.9717777779,68.8796666667,230.941611111
201.95,224.197666667,114.007666667,203.257166667,196.657333333,192.497666667,195.584166667,109.819555556,133.067444444,61.4433333335,294.045555556
202.33,187.760333333,109.814277778,191.646222222,181.663555556,185.871222222,188.870944445,118.576222222,131.612444444,67.07,264.682888889
202.71,262.850888889,146.422611111,290.586388889,305.695777778,303.788111111,300.954111111,149.186222222,197.081888889,48.2604444446,417.045277777
203.09,132.355,76.3712222223,152.655388889,161.425666667,140.976555555,155.852388889,104.227666667,93.5186666665,77.1751111111,190.068055556
203.47,130.313111111,71.9245555556,150.974555556,157.711444444,130.865222222,163.271944445,115.970333333,100.139222222,95.6688888889,183.582944444
203.85,127.528555556,67.8347222221,165.016277778,166.536555556,132.379444444,164.024277778,119.181555556,102.748,108.102888889,183.420111111
204.22,139.201444444,67.3161111111,174.663388889,170.899444444,157.395444444,180.820111111,153.090444444,119.588666667,112.181222222,218.921222222
204.60,131.781111111,60.9202777778,187.724833333,164.720222222,150.751444444,182.7605,161.480777778,121.015111111,127.088,219.198111111
204.98,134.071333333,62.4295555555,220.8625,185.248888889,163.341666667,174.519166667,176.268666667,127.719666667,141.99,243.515888889
205.36,104.037777778,66.5117222222,179.040611111,149.484888889,128.115666667,141.525277778,154.575222222,99.3519999999,142.239777778,180.314555556
205.74,152.161333333,85.8374444446,284.665666667,240.663333333,245.063444445,244.477777778,213.764555556,191.763444444,202.708666667,327.523277778
206.12,357.465444445,166.666611111,790.451277778,727.083222221,746.006888889,720.312499999,561.284666668,511.979111111,523.958333332,1111.89227778
206.50,1323.89933333,924.842888888,2775.57644445,2899.371,2887.42144444,2550.10483333,1998.95188889,2002.93488889,1962.26411111,4310.27255557
206.87,285.998222222,232.475111111,556.820222222,566.937666667,522.538333333,443.541166666,496.160888889,349.683888889,449.593444445,827.190555557
207.25,-194.113777778,-141.3525,-289.285777777,-341.964222222,-345.965888889,-227.711666667,-205.754,-311.144111111,-197.321444444,-598.164777777
207.63,1431.31322222,973.232333332,2712.12105556,3002.42422222,2610.70711111,1936.76755555,2056.16155555,2356.76777778,1996.56544444,4668.38377777
208.01,136.111,123.586611111,297.270888889,328.265111111,248.635777778,261.257388889,249.171666667,226.656888889,269.444555556,472.660833333
208.39,71.5806666665,63.3733888888,150.761166667,161.726777778,114.497888889,135.995777778,117.282111111,108.695555556,148.994888889,208.407444444
208.77,78.1081111112,70.7615555556,161.577888889,185.614222222,128.731333333,139.517777778,114.872888889,116.397222222,157.619111111,235.854611111
209.14,96.4647777777,80.3028888888,185.064944445,204.112444444,154.473222222,172.3665,127.994222222,143.722888889,169.192,270.8515
209.52,348.271555556,301.790055556,538.45688889,604.074111111,506.666666666,519.567944444,352.963111111,459.259222223,449.62988889,869.074
209.90,369.015888888,260.833333333,483.436444446,556.349222223,447.539777778,467.833444446,313.111111111,447.381000001,423.634888888,797.071444443
210.28,126.519111111,76.7490000001,162.932666667,175.647555556,140.486666667,145.194888889,108.061111111,138.513555556,156.051777778,248.541444444
210.66,107.065666667,60.9553888889,138.810166667,147.342333333,112.695444445,118.715555555,87.4965555556,115.809,131.364222222,206.595222222
211.03,145.307444444,90.5474444443,197.793055556,200.683333333,151.370777778,175.768611111,105.928666667,174.294555555,181.975888889,293.819611111
211.41,127.576333333,71.2465555557,179.313444445,177.277111111,139.947333333,152.102277778,91.7483333334,144.779555556,154.770777778,258.712166667
