wavelength,Back_SicColf,Belly_SicColf,Breast_SicColf,Crissum_SicColf,Crown_SicColf,DorTail_SicColf,Patch10_SicColf,Rump_SicColf,Throat_SicColf,WingTip_SicColf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,20.139,2.08333333334,18.0556666667,39.5834166667,5.55549999997,18.0555833333,29.16675,22.91675,19.4443333333,-8.33333333336
179.16,59.2591666667,68.5185833334,46.2963333333,48.14825,108.333416667,65.74075,91.6665833332,46.2964166667,84.2591666668,37.9630833332
179.54,76.25,61.6666666667,75.0,66.25,59.1666666667,66.6666666666,70.4166666667,78.3333333334,58.3333333333,75.4166666667
179.93,108.333416667,120.512916666,128.846166667,123.076916667,111.5385,125.000166667,121.794833333,94.2308333334,102.564166667,103.205083333
180.31,69.0195833333,62.9410833334,79.5098333334,68.7256666666,66.8626666668,68.6275000001,61.86275,64.9999166666,68.6274166667,57.1569166667
180.69,67.683,56.1991666667,74.08525,67.7845,62.3984166667,67.6827500001,60.5690833333,62.1950833333,65.244,49.8984166668
181.07,70.7363333333,63.8565833334,80.9109166666,65.98825,67.7325833334,71.8022499999,61.725,61.8218333333,70.5426666667,58.3333333333
181.45,74.05075,59.9155833333,82.0674999999,67.9325833333,61.9197500001,66.5611666666,53.7975,60.1265,67.19425,59.07175
181.83,73.4523333332,53.2144166667,80.9524999999,67.0238333333,63.9286666667,72.9760833333,53.5715,57.4999999999,70.2380833333,56.0715
182.21,64.3940833333,45.7791666667,71.9696666668,55.1948333334,55.0865833333,63.9610833333,47.6191666667,52.1645833333,69.2640833334,50.10825
182.59,69.9134166667,53.788,79.1125000001,68.7229166666,62.9869166666,66.9913333332,56.6018333333,63.09525,71.8616666667,51.948
182.97,68.0208333333,47.8125,72.8125000001,64.7916666667,57.6041666667,64.5833333333,58.3333333333,56.1458333333,64.1666666667,51.1458333333
183.35,52.0575,37.963,56.9958333333,51.7488333333,37.0369166667,47.7366666667,46.605,41.0493333333,52.7778333333,33.0246666667
183.73,59.1549166667,30.7511666667,57.1596666666,52.2300833333,33.2159166667,48.0046666667,47.6525,36.97175,57.3943333333,31.3380833333
184.11,55.7291666667,39.6875,56.4583333333,48.8541666667,32.2916666667,50.4166666667,46.6666666667,40.7291666667,55.1041666667,31.3541666667
184.49,60.8740833333,45.5285,60.9754166667,54.26825,38.1098333333,52.5406666666,49.6950833333,42.4795833333,64.5325,38.7196666666
184.87,64.6258333333,53.7415,69.3027499999,58.4183333333,48.38425,58.5884166667,54.0815833333,48.9795833333,69.3028333333,46.3435
185.25,65.5721666667,52.357,63.8889166667,60.1850833333,48.4005833333,56.3131666667,54.882,53.1985833334,67.17175,45.8754166666
185.63,58.41125,50.15575,58.3334166667,52.8815,45.5606666667,51.3239166667,53.8161666667,46.807,63.785,42.3675833333
186.01,53.03825,53.7325,54.7743333334,53.2118333333,38.1945833333,44.0971666667,46.7014166667,37.2395,60.33,38.0208333333
186.39,44.082,39.1305,44.4445,44.6859166667,21.73925,30.7971666667,31.4010833333,18.3574166666,47.2221666666,23.1884166667
186.77,40.4473333333,33.9430833333,35.4675,36.7885833333,16.057,29.6748333333,23.0690833333,14.3293333334,41.9715833333,26.3211666667
187.15,44.9233333333,40.1340833333,44.2529166667,40.32575,28.7356666667,39.9425833333,33.3333333333,19.9233333334,50.0959166667,33.9080833333
187.53,55.876,46.1538333334,54.594,54.9145833333,40.59825,54.16675,52.3505,26.1751666667,57.7990833333,44.4445
187.91,54.5108333333,56.72775,56.1161666667,60.3210833333,46.0244166667,56.0398333333,57.4158333333,37.9969166667,58.3334166667,48.24175
188.29,40.6944166666,46.0418333333,46.3889166667,48.125,35.2083333333,46.8054166667,47.08325,26.7360833333,45.41675,37.3611666667
188.67,42.1085,43.4973333333,49.053,47.4745833333,36.995,48.8635833333,49.3686666667,26.83075,46.4015,35.6691666667
189.05,39.3266666666,42.4658333333,46.17575,42.6369166667,33.39025,45.7191666666,49.88575,24.7145833333,43.5503333334,33.3334166667
189.43,34.2593333333,37.5,43.9815,34.3171666667,28.9930833333,42.5348333334,47.2800833333,19.2709166666,35.9374166667,27.1411666667
189.81,37.9310833333,37.70125,47.5861666667,34.1953333333,29.65525,49.6551666667,48.4480833333,25.3448333333,37.184,29.5401666667
190.19,36.1701666667,33.2741666666,44.9173333333,27.305,27.54125,49.34975,48.2269166666,26.2410833334,34.1016666666,21.98575
190.57,40.49,43.0393333333,47.8920833334,31.9118333333,32.255,53.0391666667,52.20575,33.8725833333,39.755,30.6863333333
190.95,35.4298333333,37.9979166666,43.8154166667,24.0564166667,28.4066666667,49.3185833333,49.8951666667,30.0313333333,33.8050833333,22.7464166667
191.33,35.8433333333,32.27925,42.018,22.8915,24.29725,44.3271666667,47.79125,28.66475,30.6224166667,18.976
191.71,37.2439166667,31.3315833333,39.9441666666,21.3688333334,24.3484166667,44.4134166667,47.3929166667,29.5159166667,29.5623333334,21.5548333333
192.09,34.0818333333,29.0419166666,37.0259166667,14.7704166667,20.8083333333,40.7185,47.1556666667,24.4011666667,25.8983333333,18.7625
192.47,43.4830833334,34.2413333333,43.9636666666,19.6581666666,27.03,47.9166666667,56.3034166667,33.2266666667,33.9744166667,26.2286666667
192.85,36.2903333333,25.8065,35.2151666667,11.1828333333,19.5699166667,39.5698333334,47.258,27.7419166666,24.7848333334,21.129
193.23,38.9293333334,28.5280833333,35.5839166666,14.051,22.567,42.8831666667,50.8515833333,32.42075,26.9465,27.5548333333
193.61,46.6828333333,33.3333333333,40.534,17.3139166667,23.2200833333,50.4855,60.5986666667,35.51775,35.5179166666,31.1489166666
193.99,45.4275833334,34.2920833333,38.938,21.9765833333,24.5574166667,45.28025,58.3333333333,33.8495,36.4306666667,31.5633333333
194.37,43.6716666667,33.0200833334,40.1628333334,22.619,25.68925,40.9148333334,53.3206666666,32.7693333333,36.4035833333,33.6466666667
194.75,39.4203333334,21.3044166667,32.46375,14.3479166667,19.3479166667,32.4638333333,49.2029166666,27.5364166667,25.5795833333,22.60875
195.13,42.8880833333,24.2096666667,35.5603333333,16.66675,23.1323333334,36.2786666666,56.8246666667,32.25575,33.6205833333,30.2441666667
195.51,34.4500833333,22.2508333333,25.5154166667,7.90383333332,13.6596666667,26.3746666667,50.0,28.0069166667,29.2953333333,26.8898333333
195.89,28.6231666667,23.3695833334,18.56875,-2.89849999998,12.1375833333,17.39125,46.4674166667,25.5435,30.3443333333,22.9166666667
196.27,15.625,5.62499999999,3.02083333336,-23.6458333333,-3.4375,7.60416666667,31.7708333333,14.7916666667,17.5,6.87499999999
196.65,11.5671666667,-4.10433333333,-7.33833333333,-40.1741666667,-16.2935,-2.86075000002,28.4825,9.7015,10.199,-3.35808333331
197.03,6.91825,-0.314666666667,-16.8238333333,-58.0188333335,-23.5849166667,-9.11958333333,42.7675,17.9244166667,15.5660833333,-3.1445
197.40,-20.9350833333,-32.317,-42.07325,-114.430833333,-59.5529166668,-40.2439166666,19.10575,-15.04075,-14.2275833334,-41.4635
197.78,2.91158333332,-0.200833333335,-5.32125000001,-44.1766666667,-15.66275,-4.11633333335,23.4940833333,8.13266666666,5.62258333334,-3.71483333335
198.16,4.97325,0.537749999985,-5.77950000002,-58.7364166667,-20.0269166667,-2.55366666668,35.7525833333,9.81158333332,7.93016666665,0.8065
198.54,-12.5,-16.8650833333,-38.2935833333,-108.53175,-41.0713333333,-28.1744999999,36.9048333333,-7.14283333332,-7.34124999999,-11.1110833333
198.92,11.5646666667,2.38108333333,-11.3945833333,-74.6599999999,-17.5170833334,-12.07475,46.4285833333,15.8163333333,24.3198333333,12.0748333333
199.30,-1.62041666665,-11.111,-31.4815,-118.749916667,-33.5649166666,-28.9349999999,45.139,4.39800000003,3.93524999998,6.48141666667
199.68,9.86400000002,6.63258333332,-5.78250000002,-76.8706666667,-10.2039166667,5.95233333335,44.38775,12.5850833333,10.3741666667,21.5985
200.06,7.63899999999,-1.90966666665,1.21516666665,-79.8610833333,-13.3680833334,6.94425,42.3610833333,2.95133333333,8.68058333332,13.1943333333
200.44,7.78691666664,-2.45908333334,3.96174999999,-54.6447499999,-3.96166666667,11.7485,37.0219166667,0.13658333335,9.69941666667,14.6175
200.82,-12.1095833333,-12.6301666667,-10.4168333334,-62.5002500001,-13.0211666667,-3.12508333335,16.14575,-11.719,-2.86466666668,2.47375
201.19,-8.10183333333,-11.4581666667,-1.27300000002,-47.5694166667,-8.91199999998,0.462916666667,17.4768333333,-7.87025000001,-2.8935,1.85175
201.57,-7.57575000001,-16.4500833333,-8.11708333335,-42.9654166667,-15.1513333334,-3.57149999998,21.3203333333,-7.68400000003,-2.05625000001,-1.94808333333
201.95,-5.32125,-14.759,-8.43374999997,-39.4579166667,-14.759,-5.12050000002,24.0964166667,-3.01208333335,0.200916666667,-5.72291666669
202.33,-9.30416666668,-15.8576666667,-11.165,-35.92225,-11.1650833333,-7.84791666665,18.36575,-4.61174999998,-1.69908333333,-10.4368333333
202.71,3.40283333333,0.625083333332,7.70833333332,-14.0279166667,4.09733333334,7.63883333335,31.59725,14.16675,16.1110833333,4.44441666667
203.09,-14.0305833333,-19.3026666667,-11.0544166667,-34.5238333333,-11.3944166667,-4.08158333335,21.5135,-2.29591666667,1.95575000002,-8.5885
203.47,-10.2994166667,-23.7826666667,-12.9213333333,-33.0525,-9.45674999999,-5.80533333335,24.0636666667,-2.05991666664,8.70791666667,-11.7976666667
203.85,-15.2175,-38.8889166667,-18.47825,-48.7921666666,-14.4929166667,-15.459,25.0000833333,-3.62325000001,16.3043333334,-22.3430833333
204.22,-19.15425,-39.0548333333,-20.39825,-46.3930000001,-17.2885,-9.82583333332,27.86075,-0.248749999982,16.66675,-22.0149166667
204.60,-75.2688333333,-122.043083333,-87.0968333333,-153.494583333,-86.5591666667,-72.8496666667,18.0108333333,-31.9893333333,-1.07541666685,-97.8495833334
204.98,-47.65625,-100.0,-59.6354166668,-134.635416667,-69.2708333332,-52.3437500001,42.96875,-22.3958333333,18.4895833333,-75.7812500001
205.36,-38.7096666668,-96.5055000001,-59.40875,-147.580666667,-68.0108333333,-50.5375833332,58.0644999999,-27.6882500001,33.60225,-66.9354166668
205.74,3.94725,-39.4736666666,-11.4035833333,-97.3683333334,-19.9560833333,-17.9825,70.6140833333,14.9122499999,65.1314166667,-21.7105833334
206.12,-5.76916666683,-138.461416667,-67.3078333332,-309.615416667,-54.4873333332,-80.7693333335,137.8205,17.9488333334,166.666583333,-68.5899166667
206.50,88.5416666668,143.75,106.770833333,333.854166667,144.791666667,155.729166666,-9.89583333325,61.9791666666,-56.2500000001,138.020833334
206.87,84.9999999999,141.25,115.0,298.75,146.25,160.416666666,31.6666666666,90.4166666667,1.66666666683,142.916666667
207.25,78.0304166667,136.363583333,146.212,465.1515,199.242416667,231.818083333,-44.6970000001,132.57575,-88.6364166666,211.363833333
207.63,-116.666666667,-185.0,-138.333333334,-1001.66666667,-371.666666667,-456.666666668,198.333333333,-133.333333333,338.333333332,-378.333333333
208.01,-569.444416665,-605.555583333,-619.444416666,-1899.99991667,-986.111000002,-1211.11108333,147.22225,-724.999916667,130.555666667,-894.444416666
208.39,-195.0,-185.0,-211.666666667,-961.666666665,-423.333333333,-738.333333333,153.333333333,-281.666666667,271.666666667,-403.333333333
208.77,-341.666666667,-179.166666667,-218.749999999,-1181.25,-525.0,-983.333333333,218.749999999,-322.916666668,360.416666666,-416.666666668
209.14,335.833333333,232.5,245.0,600.833333334,360.833333333,565.0,87.5000000002,284.166666667,45.8333333335,365.0
209.52,310.606,215.1515,221.212166667,534.848583333,307.57575,518.181833333,88.6364166667,281.81825,44.6970000002,343.939333333
209.90,203.161,160.919416667,163.2185,266.666666667,198.275916667,268.390916667,115.229833333,190.517166667,109.770166667,202.873583333
210.28,200.78125,157.291666667,145.3125,240.364583333,198.177083333,240.625,108.072916667,185.677083333,106.510416667,179.166666667
210.66,343.518416667,289.814833333,244.444666667,394.444416666,319.9075,405.0925,161.111166667,284.72225,159.722083333,288.888833333
211.03,250.308583333,221.605,175.30875,275.925916667,238.889,289.506166667,121.296416667,222.222166667,121.9135,205.864
211.41,376.96075,340.19625,238.235416667,407.352916667,357.352833333,443.6275,199.019666667,310.784333333,180.392166667,296.078333333
211.79,497.222333333,453.333333334,342.222166667,477.777833333,467.222333333,573.888916667,315.0,441.666916667,296.666666667,415.000083333
212.17,401.470583333,383.823583333,291.66675,396.078416667,357.353083333,488.725333333,283.823583333,347.058916667,230.882333333,339.705833333
212.55,339.393916667,349.242583333,258.712333333,331.818166667,295.075833333,399.242416666,263.636416667,303.409166667,233.3335,284.46975
212.92,-1033.3335,-1258.33333333,-822.222166668,-1018.05558333,-895.833416667,-1354.1665,-856.944333333,-972.222250001,-772.222166667,-905.5555
213.30,-106.25,-170.572916667,-87.7604166666,-128.125,-99.4791666666,-169.010416667,-89.5833333332,-107.552083333,-70.0520833332,-79.6875000001
213.68,-174.359,-239.10275,-146.153833333,-178.52575,-150.000083333,-241.98725,-170.512833334,-146.795,-118.91025,-119.230833333
214.06,-63.8212500001,-103.6585,-52.2357499999,-69.1056666667,-48.7805,-113.618,-74.3901666666,-38.4146666667,-23.17075,-30.6908333333
214.44,-75.4760833334,-134.523833333,-71.90475,-84.9999166666,-51.4286666666,-149.76175,-103.809416667,-46.4285833333,-33.3331666668,-51.6666666666
214.81,-144.697,-241.288,-137.878833334,-154.166666667,-101.893916667,-249.2425,-200.37875,-106.818083333,-86.7425,-104.924083333
215.19,-93.6110833332,-138.333416667,-86.3889166665,-86.9444166665,-49.4444166666,-150.833166667,-126.388916667,-59.1666666667,-38.6110833333,-53.8888333332
215.57,-123.55075,-180.43475,-96.0143333335,-107.246416667,-35.5071666666,-177.174166666,-147.101416667,-55.7970833334,-38.7681666666,-74.2753333334
215.95,-18.4684166667,-54.5045,-9.23424999993,-14.6395833333,26.5764166667,-68.0180833333,-38.0630833333,17.3425,25.9009166666,5.63066666667
216.32,-15.1709166666,-42.5213333333,-3.84608333332,-10.04275,24.3589166667,-57.0513333333,-29.2734166668,23.5041666667,22.0086666668,5.342
216.70,-12.3105,-32.1970833333,-0.56808333335,-9.28025000003,18.37125,-51.1364166667,-16.4773333333,23.2953333333,23.8636666667,-0.947000000009
217.08,-5.95233333333,6.74608333332,26.58725,12.6983333333,38.29375,-27.381,1.75010006487e-11,43.4524166667,52.9760833332,19.64275
217.46,-68.6111666667,-28.3334166666,-15.5555,-18.3333333334,7.22216666667,-95.0000000001,-53.0555000001,8.05558333335,29.16675,-39.7222500001
217.83,-101.894,-65.9090833333,-44.3181666666,-53.4090833333,-20.4545,-147.3485,-92.0454166666,-30.303,11.3638333332,-79.5455000001
218.21,4375.0,3350.0,2741.66666667,3433.33333333,1958.33333333,5008.33333334,3525.0,3233.33333333,2383.33333333,3591.66666666
218.59,666.666666667,506.481583333,450.925916667,583.33325,400.925916667,732.407416667,529.629583333,557.407333333,437.037083333,568.518416667
218.97,5316.66666666,3691.66666666,3458.33333334,4558.33333334,2766.66666667,6191.66666666,3708.33333333,4358.33333333,3275.0,4108.33333333
