wavelength,Back_DacBerf,Belly_DacBerf,Breast_DacBerf,Crissum_DacBerf,Crown_DacBerf,DorTail_DacBerf,Rump_DacBerf,Throat_DacBerf,WingTip_DacBerf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-16.6666666667,-108.333333333,-108.333333333,-70.8333333333,4.16666666667,-58.3333333333,-75.0,-25.0,-25.0
179.16,-6.06066666667,-60.606,-60.606,-60.6063333333,-33.3336666667,-21.212,-28.788,9.091,-48.485
179.54,-21.4283333333,-47.619,-19.0476666667,-14.2856666667,-11.905,-4.76166666667,-7.14266666667,14.286,33.3336666667
179.93,-28.5716666667,-90.476,-114.285666667,-61.905,-4.76166666667,-23.8096666667,-58.3335,-42.857,-40.4763333333
180.31,-13.084,-55.763,-51.402,-38.006,-13.084,-1.869,-28.0373333333,22.43,-15.576
180.69,-6.23066666667,-52.9593333333,-55.1403333333,-42.056,-13.3956666667,2.804,-23.8316666667,27.1025,-14.642
181.07,-7.07066666667,-50.8416666667,-57.5756666667,-47.138,-14.1413333333,6.06066666667,-23.2323333333,27.778,-19.8653333333
181.45,-5.61766666667,-52.06,-67.4156666667,-44.569,-16.4793333333,12.3593333333,-28.4643333333,27.528,-28.0896666667
181.83,3.704,-56.4813333333,-85.6483333333,-51.389,-32.8703333333,23.148,-44.4443333333,33.3335,-49.9996666667
182.21,17.1056666667,-28.5086666667,-54.8243333333,-25.0003333333,-21.053,33.772,-28.5088333333,60.526,-30.7016666667
182.59,38.6473333333,-7.24633333333,-28.9856666667,-20.773,-11.111,67.1496666667,-20.7731666667,86.2315,-23.1886666667
182.97,48.2756666667,2.29866666667,-51.1493333333,-17.816,-14.368,87.3563333333,-30.1723333333,81.8965,-27.586
183.35,62.222,36.2963333333,-69.6296666667,-10.3706666667,-6.66666666667,129.629666667,-35.1851666667,96.6665,-19.2593333333
183.73,97.5306666667,58.0246666667,-155.555333333,7.40733333333,-29.6296666667,204.938333333,-84.5678333333,118.5185,-50.6173333333
184.11,89.5833333333,41.6666666667,-136.458333333,8.33333333333,-31.25,178.125,-97.9166666667,67.1875,-57.2916666667
