wavelength,Back_SicLuom,Belly_SicLuom,Breast_SicLuom,Crissum_SicLuom,Crown_SicLuom,DorTail_SicLuom,Patch10_SicLuom,Rump_SicLuom,Throat_SicLuom,WingTip_SicLuom
225.38,140.9848333,120.0000667,144.9998667,119.8484667,157.7272667,142.7273333,106.8182,114.8485333,137.4243333,136.6666
225.75,151.8254667,132.6984667,153.9682667,126.6666667,173.0158,151.1110667,119.6826,117.4603333,151.4286,145.7142667
226.13,238.5505333,200.5797333,236.8116667,192.1739333,290.7247333,241.7391333,189.5652,173.6232667,240.2899333,225.9421
226.51,-1494.444333,-1180,-1420.000067,-1262.222333,-1982.222267,-1584.444533,-1295.555533,-1144.444467,-1522.2222,-1350.000133
226.88,-103.5801667,-60.7408,-88.148,-86.4198,-153.0864,-102.7160667,-92.09866667,-67.90133333,-104.4444667,-82.716
227.26,-50.35453333,-20.56733333,-38.8652,-35.1772,-76.73773333,-47.65953333,-51.3476,-29.78726667,-49.3616,-27.23406667
227.64,-40.40233333,-17.5862,-33.90806667,-28.85073333,-62.18393333,-45.05746667,-42.98853333,-19.77013333,-40.91946667,-18.96546667
228.01,-17.25,-2,-12.5,-5.166666667,-32.83333333,-19.91666667,-19.91666667,-0.166666667,-14.5,-2.291666667
228.39,-5.607466667,3.675933333,1.3084,3.3644,-16.94706667,-5.607466667,-7.351933333,7.102733333,-2.617,4.330133333
228.76,5.3139,9.130466667,12.36713333,12.12566667,-1.449266667,5.845466667,4.251133333,15.12073333,8.8888,15.6763
229.14,9.213533333,11.87266667,15.84266667,13.40833333,5.243533333,10.18733333,8.9514,14.7192,13.0712,17.45303333
229.52,14.00333333,16.20926667,18.8562,15.8822,9.673266667,13.5294,13.00653333,16.17646667,15.68626667,19.52606667
229.89,20.10243333,21.37413333,23.50886667,20.7018,16.28653333,18.74273333,17.42686667,19.97066667,21.05266667,24.00576667
230.27,23.2218,22.7894,27.05733333,22.53833333,19.66526667,21.7016,19.2468,22.31513333,23.62626667,25.28603333
230.65,24.22043333,24.6774,28.6022,24.62366667,21.93553333,24.51613333,21.371,24.8656,24.7312,25.8736
231.02,22.4066,22.5484,27.3874,23.83533333,21.41566667,22.21373333,20.87513333,24.04113333,22.77986667,23.91243333
231.4,22.11786667,22.30586667,27.64406667,23.13286667,22.65666667,23.00753333,22.90726667,25.18806667,23.53373333,23.93493333
231.78,19.72116667,19.97333333,25.31213333,21.75306667,19.52193333,21.11566667,20.31893333,22.4968,21.27486667,21.58023333
232.15,17.2989,17.8736,22.24133333,19.3104,16.63786667,17.8448,17.6724,19.31026667,18.93673333,18.0747
232.53,13.62256667,16.073,19.1476,16.80373333,13.8812,16.16426667,16.22533333,15.9816,15.89046667,15.3273
232.9,14.92066667,19.2698,18.9206,19.143,15.14286667,17.17473333,17.14293333,17.5556,18.1904,16.17463333
233.28,14.73866667,20.55553333,18.562,19.281,14.4118,17.84313333,17.15693333,18.00666667,18.20266667,15.9641
233.66,11.7098,17.68566667,17.44373333,17.27106667,9.844666667,14.3696,14.57686667,14.95666667,15.09473333,12.90136667
234.03,4.747,11.76246667,11.83253333,11.16933333,3.8046,8.481533333,9.354333333,8.1674,8.202533333,6.178066667
234.41,2.653033333,11.39446667,9.2858,10.5782,2.1428,6.6326,7.653133333,5.034066667,7.823133333,4.302833333
234.78,1.715233333,8.3172,6.699,8.220066667,0.129333333,4.0452,4.692533333,1.877066667,5.437,1.779966667
235.16,-0.193266667,4.637666667,2.447666667,4.702,-3.735866667,0.354266667,1.030466667,-1.417,2.028866667,-0.628066667
235.54,-2.945233333,0.744466667,-1.585666667,0.711933333,-8.5112,-5.501666667,-4.466,-6.569666667,-2.1358,-5.275066667
235.91,0.583766667,3.994,2.027666667,3.686666667,-4.823333333,-1.935533333,-1.382466667,-2.8264,1.505266667,-1.351566667
236.29,4.103666667,6.834733333,6.0224,5.154133333,-0.728333333,1.120466667,1.568666667,0.196133333,3.949666667,3.921666667
236.66,7.9624,9.635533333,8.9878,7.449266667,2.3212,3.184866667,4.048666667,2.3212,6.693533333,7.139166667
237.04,9.310833333,10.3508,10.45106667,7.518866667,2.381066667,4.6366,4.837066667,3.2582,7.794533333,8.621433333
237.41,9.489,9.9756,10.70566667,8.102266667,2.165533333,4.890466667,4.403933333,3.406266667,7.664266667,10.4866
237.79,8.404333333,9.432733333,9.598066667,7.801466667,3.144133333,5.366466667,4.278933333,4.468133333,7.896066667,11.974
238.17,7.349833333,9.092933333,8.08,6.0778,1.013,4.8056,2.473466667,3.721933333,7.3734,11.30733333
238.54,4.954966667,6.3738,5.810866667,2.455066667,-1.261266667,2.770333333,0.2252,2.027066667,3.581066667,7.995466667
238.92,4.444533333,5.933,5.415266667,2.955733333,-1.316066667,3.344133333,1.833866667,2.804666667,3.948333333,8.727033333
239.29,5.7911,7.405066667,6.181466667,4.578133333,0.569533333,5.506266667,3.2278,4.303733333,5.126533333,9.9789
239.67,7.7019,8.9458,8.053266667,8.129266667,3.532866667,8.736933333,6.419733333,6.989666667,6.818733333,12.35526667
240.04,7.816666667,8.683333333,7.366666667,8.333333333,4.133333333,9.816666667,6.55,7.616666667,7,12.175
240.42,7.607733333,8.840333333,6.5208,8.956933333,4.099133333,10.00726667,6.666666667,8.3152,6.972933333,11.4005
240.79,8.141266667,9.789333333,6.914533333,9.43,5.254,10.19826667,7.1748,9.1326,7.5216,11.62336667
241.17,6.826666667,8.289133333,5.629266667,8.366533333,4.4592,9.3046,6.357533333,7.6932,6.2914,10.33666667
241.54,7.3025,8.355733333,6.2096,8.643933333,4.9974,9.339266667,7.252866667,7.709933333,6.537533333,10.2283
241.92,7.344966667,8.5266,6.1634,8.787133333,5.1392,9.047666667,7.1428,7.223666667,6.5858,9.6226
242.29,8.746533333,9.6134,7.602733333,10.06926667,7.024866667,10.16686667,8.880733333,8.7016,7.7086,10.79773333
242.67,8.184533333,9.5094,7.107,10.12746667,7.091466667,10.1352,8.6366,8.3738,7.477666667,10.7763
243.05,8.105433333,9.610666667,7.304333333,9.848066667,7.082066667,9.766466667,8.179266667,8.2832,7.601133333,10.864
243.42,7.731566667,9.408866667,7.193733333,9.879,6.837466667,9.508533333,8.076866667,8.3974,7.699466667,10.69803333
243.8,7.049833333,8.502133333,6.413533333,8.902933333,5.963466667,8.5302,7.0464,7.3418,6.976066667,9.581533333
244.17,6.558466667,7.9372,6.0942,8.069733333,5.298266667,7.490266667,6.296666667,6.338533333,6.087266667,8.942433333
244.55,5.952466667,7.292466667,5.795933333,7.374133333,4.9592,6.6396,5.625866667,5.448933333,5.673533333,8.210933333
244.92,5.6111,6.764666667,5.411666667,7.052266667,4.6208,6.104533333,5.254866667,4.947866667,5.4052,7.679766667
245.3,4.9807,6.303333333,4.927066667,6.553533333,4.2716,5.772933333,4.956733333,4.343266667,4.819733333,7.0658
245.67,4.505933333,5.8578,4.261733333,6.020733333,3.9196,5.1738,4.337733333,3.800133333,4.174733333,6.452233333
246.05,4.736666667,5.485133333,4.4608,5.745933333,4.0964,5.061466667,4.327933333,3.540266667,3.933933333,6.437666667
246.42,4.5765,4.9684,4.085466667,5.463933333,3.8198,4.765733333,3.923266667,2.963866667,3.779333333,6.1846
246.79,5.1796,5.217,4.3696,5.840133333,4.087133333,5.129866667,4.332333333,3.376933333,4.170333333,6.706066667
247.17,5.1104,5.073666667,4.120133333,5.740466667,3.8916,5.1434,4.228533333,3.224733333,4.0154,6.405
247.54,5.323633333,5.105466667,4.106466667,5.4642,3.7958,5.2794,4.106666667,2.859666667,3.973266667,6.191266667
247.92,6.078066667,5.8368,4.7802,5.971666667,4.4504,5.922066667,4.762466667,3.531933333,4.790733333,6.755333333
248.29,6.442866667,6.135533333,5.135533333,6.454933333,4.823066667,6.392333333,5.1668,3.9862,5.3924,7.0384
248.67,6.6351,6.088,5.186666667,6.572,4.899,6.705333333,5.1026,4.029533333,5.358733333,7.145466667
249.04,6.501333333,5.799866667,5.138533333,6.397,4.681733333,6.343066667,4.858066667,3.930266667,5.070266667,7.1323
249.42,6.833266667,6.015666667,5.6212,6.6666,5.012533333,6.230133333,4.9282,4.1432,5.3034,7.388366667
249.79,6.8663,5.9626,5.690866667,6.736733333,5.221266667,6.1396,4.850666667,4.196133333,5.443733333,7.3914
250.17,7.118566667,6.336,5.8598,7.292733333,5.414333333,6.5168,5.1324,4.7002,5.855333333,7.669766667
250.54,6.718933333,6.077466667,5.573733333,7.0516,4.775533333,6.234333333,4.7232,4.594866667,5.564266667,7.2582
250.92,6.1868,5.539333333,5.295666667,6.712533333,4.239666667,5.767933333,4.016266667,4.051733333,5.239866667,6.6439
251.29,6.424,5.669333333,5.562666667,6.938666667,4.474666667,5.845333333,4.058666667,4.304,5.488,6.56
251.66,6.529666667,5.783933333,5.893666667,7.2972,4.7642,6.030666667,4.2324,4.983533333,5.8168,6.907933333
252.04,5.6064,4.952,5.189,6.700533333,3.981866667,5.448333333,3.519466667,4.292133333,4.997266667,6.305766667
252.41,5.2599,4.593733333,4.616733333,6.132733333,3.5716,4.881,2.888333333,3.8472,4.455933333,5.894366667
252.79,5.6555,5.133933333,5.1744,6.488066667,3.802866667,5.007266667,3.6186,4.263933333,5.110933333,6.554266667
253.16,5.634133333,5.084,5.3132,6.5666,3.8364,5.531,3.912866667,4.213,5.466333333,6.584233333
253.54,5.7333,5.173266667,5.214866667,6.3408,3.7452,5.6948,3.9822,4.397133333,5.789666667,6.376366667
253.91,6.214066667,5.683466667,5.863333333,6.648733333,4.0048,6.241066667,4.610333333,4.814133333,6.378866667,6.8855
254.28,5.923833333,5.518066667,5.892533333,6.554266667,3.639133333,5.8178,4.363266667,4.594133333,6.417066667,6.647766667
254.66,6.8947,6.340866667,6.920733333,7.403,4.4118,6.067133333,4.9332,5.0766,7.201133333,7.149033333
255.03,7.583833333,7.3654,7.735133333,8.064466667,5.0738,6.391266667,5.719,6.041666667,7.9368,7.788933333
255.41,6.920066667,7.138266667,7.3284,8.081733333,4.582933333,5.772666667,5.6176,5.519133333,7.5114,7.652333333
255.78,6.988166667,7.717,7.659866667,8.845933333,5.008933333,5.8236,6.137933333,5.652066667,8.081533333,8.1709
256.15,7.734966667,8.7394,8.789066667,9.836133333,5.769266667,6.445933333,7.015666667,6.709333333,9.0386,8.896033333
256.53,8.120633333,8.923533333,8.9996,10.1834,5.898266667,6.7636,7.705066667,7.096133333,9.255866667,8.861266667
256.9,8.127266667,8.8608,8.8478,10.0682,5.731866667,6.8938,7.536466667,6.958733333,8.899666667,8.545833333
257.28,8.1389,8.6258,8.3764,9.6824,5.532866667,6.6726,7.0882,6.5954,8.6494,8.233966667
257.65,8.0446,8.125866667,7.9474,9.343733333,5.564266667,6.5564,7.112933333,6.335933333,8.141733333,8.3595
258.02,8.2239,7.9666,7.5288,9.253,5.624066667,6.783933333,6.982533333,6.4048,7.921466667,8.289266667
258.4,8.502466667,8.046333333,7.563666667,9.156333333,5.8532,7.377466667,6.8794,6.355066667,8.000866667,8.416766667
258.77,8.109,7.574,7.045533333,8.6674,5.583333333,7.2914,6.596933333,6.038533333,7.613866667,8.278566667
259.15,7.731066667,7.084066667,6.499866667,8.1096,5.2444,7.236133333,6.186533333,5.5666,7.257133333,8.014266667
259.52,7.8075,6.814466667,6.327133333,7.715666667,5.127333333,7.3186,6.031133333,5.3766,7.110266667,7.8662
259.89,7.4318,6.358466667,5.861466667,7.062733333,4.701666667,6.982466667,5.550933333,4.862133333,6.506266667,7.3203
260.27,7.3375,6.2608,5.4916,6.8134,4.5906,6.955333333,5.2776,4.715,6.1936,7.279066667
260.64,7.1821,6.162066667,5.482066667,6.722666667,4.555733333,6.934733333,5.138333333,4.636133333,6.084,7.410133333
261.01,7.017666667,6.076466667,5.377066667,6.669,4.563266667,6.902133333,5.044333333,4.5852,6.1566,7.435266667
261.39,7.147,6.2142,5.6548,6.924466667,4.815666667,7.1362,5.307133333,4.949466667,6.357866667,7.8122
261.76,7.2631,6.3634,5.826933333,7.120266667,4.772,7.391066667,5.3308,5.195466667,6.428666667,7.938533333
262.13,6.570966667,5.866933333,5.37,6.5764,4.142466667,6.9482,4.742933333,4.652466667,5.9068,7.5515
262.51,6.1274,5.492133333,4.933933333,6.1956,3.715733333,6.623,4.491866667,4.462866667,5.590866667,7.416866667
262.88,5.874666667,5.508933333,4.923733333,6.1418,3.6514,6.787533333,4.465666667,4.452933333,5.477066667,7.579566667
263.25,5.7912,5.507666667,5.077066667,6.253466667,3.725266667,6.631666667,4.5868,4.499333333,5.5568,7.729166667
263.63,5.333766667,5.412266667,5.063333333,6.1298,3.4982,6.4136,4.315333333,4.441866667,5.320333333,7.844233333
264,5.472766667,5.745866667,5.659733333,6.5598,3.551133333,6.502333333,4.599333333,4.8542,5.7748,8.366266667
264.37,5.2799,5.529933333,5.936,6.624,3.5768,6.346,4.7052,4.790666667,6.0044,8.3054
