wavelength,Back_TriMelf,Belly_TriMelf,Breast_TriMelf,Crissum_TriMelf,Crown_TriMelf,DorTail_TriMelf,Patch10_TriMelf,Rump_TriMelf,Throat_TriMelf,WingTip_TriMelf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,19.0475777778,36.1903333333,26.6666666666,24.2857666667,66.6667333334,25.7142666667,3.80973333335,45.7143999999,79.0478000001,78.0952
179.16,14.3590222222,12.8204666667,6.15386666666,30.2564333333,17.9488,23.5897333333,7.6922,10.2564666667,31.7946666667,35.3847333333
179.54,-10.3333333333,8.66666666668,-2.66666666666,-7.33333333334,-6.00000000001,-12.0,-26.0,-23.3333333333,10.0,0.66666666664
179.93,21.1532888889,6.41346666668,-1.43466666665,11.9409,28.0169333333,16.6246,2.02533333334,11.3924,26.9198,21.8565333333
180.31,14.8953,-4.15446666666,-11.7874666667,5.89373333335,24.7342666667,14.4926666667,-9.75853333332,6.56993333333,22.2222,14.2028
180.69,9.11488888888,-18.3050666667,-25.9886666667,-7.17509999999,16.497,9.94346666668,-21.695,2.03400000001,13.6724,1.6948
181.07,-12.7350555556,-52.8205999999,-71.7948666667,-52.7350666667,-2.39313333331,-10.9401333334,-69.9144666667,-20.1709333333,-12.6494666667,-33.6751999999
181.45,-35.7853444444,-94.4827333333,-113.563266667,-90.9195333335,-6.66673333335,-22.2988666667,-109.885066667,-24.3677333334,-31.7241333333,-54.0230666667
181.83,-16.1246666666,-46.9918,-63.7398666667,-48.8617666667,14.1463333333,0.65040000002,-65.6911333333,0.3252,-5.52853333338,-26.6665333333
182.21,-14.3770666667,-34.5453333334,-64.6465333332,-56.7676666667,31.7170666667,18.5859333333,-81.8181333333,12.5253333334,13.5352666667,-21.8181333334
182.59,-499.111111111,-534.666666667,-703.999999999,-763.333333333,-106.666666667,-205.333333333,-978.666666666,-233.333333333,-248.0,-469.333333333
182.97,187.189533333,183.1372,229.8038,251.764766667,55.2942,83.9216,344.313666666,97.2549333332,80.0,175.294066667
183.35,249.506188889,271.111266667,329.629533333,394.8148,2.9629333336,85.1850666664,568.1482,115.555533333,57.7778,239.259133333
183.73,323.333411111,335.555533333,454.444533333,541.666766667,-40.0000666666,63.3334,811.111133333,150.0002,10.0000000002,264.4444
184.11,-329.166666667,-295.0,-513.333333333,-595.833333333,181.666666667,48.3333333333,-1078.33333333,-160.0,89.9999999999,-169.999999999
184.49,-40.7843666666,-26.2744000001,-76.8628666668,-75.0981000001,75.2939333333,55.294,-186.274466667,10.5882,74.5097333335,10.1961333333
184.87,-53.4343444443,-43.6363333334,-132.1212,-111.515133333,96.9698666666,104.242533333,-303.636466667,18.7878,102.424133333,3.63633333332
185.25,117.4749,112.121066667,228.484866667,194.5455,4.84853333328,-18.7878666667,385.4544,69.0908666667,-16.3634666668,72.1212000001
185.63,781.111111111,669.999999999,1436.66666667,980.000000001,130.0,-93.333333332,2126.66666667,363.333333334,-50.0000000007,416.666666667
186.01,-116.111111111,-115.333333333,-254.0,-161.333333333,-32.0000000001,66.0,-399.333333333,-20.6666666668,61.3333333334,-37.3333333333
186.39,470.222222222,518.666666667,693.333333333,564.0,357.333333333,86.6666666674,1008.0,272.0,116.0,249.333333334
186.77,112.592633333,108.888933333,158.2716,119.876666667,91.8518666667,29.3827333334,189.135866667,54.5679333333,40.7407333334,60.2469333333
187.15,88.0993555554,83.8594666665,123.508933333,99.0350000001,70.0000666667,40.5263999999,146.1402,40.8771999999,39.6491333333,49.1229333333
187.53,71.0720666667,70.2924,94.3860666667,82.3391333334,56.0234,39.0642666667,109.356733333,46.0818666666,39.5320666666,54.152
187.91,60.5193888889,62.1645333333,73.9394666667,69.6971333333,48.8312,33.4198,90.736,43.7230000001,36.4502,47.7058
188.29,60.5269888889,63.7608666667,73.2479333333,71.4531666667,51.7949333334,34.9572,89.5726666667,51.0256666667,35.9830666667,54.2736000001
188.67,61.3675222222,66.3246666667,69.4871333334,75.7693333333,52.3076,34.7008,89.6581333333,51.3676000001,34.017,50.7692666667
189.05,63.0891222222,66.8132,71.0622666666,78.3882,55.3113333333,42.4175333333,87.4724666667,55.1648000001,40.8791333333,55.6777333333
189.43,68.0522222223,70.7450666667,76.9411333334,85.9217000001,57.4902,47.3726000001,92.0784666667,60.7843333333,46.8235333333,62.4313333333
189.81,75.2423333333,77.6922666667,89.8290000001,100.555633333,65.7265333333,56.8374666667,105.1282,69.6580666667,55.8120666668,74.6153333333
