wavelength,Back_SicTacf,Belly_SicTacf,Breast_SicTacf,Crissum_SicTacf,Crown_SicTacf,DorTail_SicTacf,Patch10_SicTacf,Rump_SicTacf,Throat_SicTacf,WingTip_SicTacf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,13.3333333333,60.9524666666,71.4285333335,81.4285333334,58.0951333333,16.1904035088,51.4285333334,49.5237333333,58.0953333333,31.9048166667
179.16,68.3333333334,6.66666666666,-3.33333333334,30.8333333333,21.6666666667,74.8245614034,34.9999999999,10.0,-36.6666666665,-3.75000000007
179.54,215.555533333,104.444466667,140.0,178.888833333,202.222266667,207.485354386,159.999933333,160.000133333,88.8888666667,66.6666166666
179.93,265.0,148.333333333,98.3333333334,99.1666666667,151.666666667,150.614035088,175.0,113.333333333,111.666666667,153.75
180.31,-465.833333333,-282.5,-120.833333333,-71.6666666666,-251.666666667,-473.684210526,-301.666666667,-346.666666667,-182.5,-199.583333333
180.69,-364.848533333,-224.242333333,-94.5455333335,-65.7575666667,-204.242333333,-383.6682,-247.272733334,-266.060533333,-140.606,-162.42425
181.07,-2260.0,-1700.0,-943.333333333,-731.666666667,-1446.66666667,-2442.45614035,-1586.66666667,-1720.0,-1190.0,-1230.83333333
181.45,-1208.33333333,-963.333333334,-586.666666667,-377.500000001,-810.0,-1238.24561403,-808.333333334,-918.333333334,-708.333333333,-717.500000001
181.83,-330.000066667,-282.381,-166.6666,-87.8570666667,-230.0,-354.636561404,-197.142733333,-251.4286,-203.809533333,-212.976166667
182.21,-106.875,-92.7083333335,-47.7083333334,-11.875,-72.0833333333,-128.947368421,-44.5833333334,-79.7916666667,-66.0416666668,-54.3749999999
182.59,-168.115933333,-160.579666667,-93.6232000001,-44.3477666667,-122.029066666,-212.677410526,-67.8261333334,-132.173866667,-130.7246,-91.8840000001
182.97,-215.111133333,-179.555466667,-110.6666,-41.7779,-150.666733333,-285.543922807,-41.3332666666,-147.111133333,-167.111066667,-105.5555
183.35,-277.142733333,-236.190333333,-154.285666667,-82.1428333333,-188.0952,-350.050266667,-90.4762666667,-176.1904,-237.1428,-131.547533333
183.73,-133.623066667,-124.347933333,-73.0434666668,-23.3333333333,-91.0144666667,-187.963484211,-45.7970666664,-64.6376666667,-119.710066667,-49.4203666667
184.11,-36.4229333333,-31.0568,-3.73979999994,31.4634666666,-11.5447333333,-62.1310385964,13.8211333333,9.75606666668,-27.9675333333,8.98363333334
184.49,-11.3792,-9.99999999999,11.3792666667,37.4712,4.59753333332,-25.1059298245,26.8965999999,22.9884,-3.79320000001,24.8852333333
184.87,-26.0,-32.2666666667,-4.93333333334,25.4666666667,-7.86666666667,-39.8666666667,15.7333333334,9.33333333332,-18.9333333333,17.4333333333
185.25,-23.7333333333,-28.9333333333,-7.86666666668,21.4000000001,-11.2,-40.0912280702,11.0666666667,5.33333333334,-22.8,17.0
185.63,-14.3397333333,-22.7674,1.7611333333,24.5284000001,-0.75473333332,-34.7767017544,11.9495333333,11.9498666667,-19.8742,20.3144166667
186.01,-20.2778666667,-28.4722,0.41660000008,33.4028000001,6.25013333333,-37.2660105263,1.3888666666,12.6388,-28.1943333332,24.9305166667
186.39,-52.3528666668,-68.4313333334,-34.1175333333,19.2157000001,-13.1372,-82.5490807018,-33.3333333333,-19.4118000001,-73.7254666666,1.66678333333
186.77,-47.4074666667,-53.7036666666,-31.6665999999,14.7222333333,-16.1112666667,-74.4542982457,-42.4073999999,-19.4444666667,-64.0741333334,1.94453333332
187.15,-82.3656666667,-90.1075333333,-70.7528,-6.3439666666,-41.5054,-115.336789474,-86.8817333333,-66.6667333333,-106.0214,-32.9031000001
187.53,-216.666666667,-222.5,-192.083333333,-74.375,-129.166666667,-280.153508772,-233.333333333,-210.416666667,-269.166666667,-126.875
187.91,-925.333333333,-885.333333333,-750.666666667,-490.666666667,-573.333333333,-1045.8245614,-894.666666666,-905.333333333,-1088.0,-638.999999999
188.29,-2596.66666667,-2386.66666667,-2070.0,-1656.66666667,-1623.33333333,-2790.52631579,-2480.0,-2400.0,-3060.0,-1765.83333333
188.67,692.5926,619.999999999,552.592466667,455.9258,460.740733333,701.208550877,634.074066667,625.185133334,781.481533333,497.59255
189.05,-496.0,-418.666666667,-374.666666667,-274.333333333,-300.0,-501.192982456,-436.0,-430.0,-614.666666667,-341.833333333
189.43,-253.3332,-201.0526,-172.9824,-121.579133333,-144.912266667,-238.725747368,-232.982333333,-214.736866667,-296.842066667,-158.8597
189.81,-169.5238,-129.761933333,-119.285733333,-78.2143333333,-103.095066667,-160.426063158,-153.333333333,-154.523933333,-208.0952,-93.0357000001
190.19,-154.761866667,-121.904733333,-104.5238,-85.3570666666,-98.3333333333,-142.055136842,-144.761866667,-145.9524,-191.666733333,-80.7738333334
190.57,-121.2904,-103.655866667,-83.6558666666,-74.4086333333,-86.8818000001,-107.560887719,-123.440866667,-125.5914,-157.204133333,-66.9355166665
190.95,-92.2521999998,-94.9548666666,-74.5946666667,-60.5405999999,-72.4325333333,-88.8383789474,-97.1172000001,-108.829,-129.729666667,-61.8468333333
191.33,-124.000066667,-143.7778,-104.666666667,-96.4444666667,-115.7778,-124.549814035,-137.111066667,-144.444533333,-173.555533333,-80.7777999999
191.71,-94.4999999999,-119.833333333,-92.6666666667,-84.3333333333,-94.1666666667,-104.359649123,-108.833333333,-113.166666667,-132.666666667,-74.9583333335
192.09,-41.4942,-66.6667333333,-52.7586000001,-41.7240000001,-44.3677333333,-55.8801192982,-55.2874666667,-55.8620666667,-67.0114666667,-32.9886666667
192.47,-25.3105333333,-54.2372666667,-45.7626666666,-28.9266666667,-37.0621333334,-45.7092140351,-48.7006,-47.4577333334,-48.9265333333,-26.52545
192.85,-2.70859999998,-38.8543333333,-28.0210666667,-18.7502,-22.3959333333,-27.7522736842,-36.1459999999,-28.0209999999,-32.3960666666,-11.9793833333
193.23,-16.8889333333,-75.4073333334,-54.6668,-38.2962000001,-41.9260666667,-50.8381578948,-64.5928000001,-50.2222666666,-59.9999999999,-38.8517666667
193.61,3.79093333333,-57.6469999999,-39.8693333333,-22.8103666667,-16.4706666667,-30.1960736843,-35.1633333334,-26.2745333333,-37.9084666667,-23.3660333334
193.99,13.0864666667,-52.5926666667,-33.4568,-18.8888666667,-7.4074,-16.1338666667,-27.1605333334,-17.4074,-28.0248666666,-24.5987666667
194.37,25.977,-32.6436,-20.4598,-6.89636666667,7.93113333333,-3.56932631577,-9.42533333327,-6.20686666667,-17.9310000001,-16.7816333333
194.75,29.6044,-23.6157333333,-13.7853333333,1.243,16.4970666667,-1.34993333333,-5.64973333328,7.2316,-12.8812666667,-6.77971666666
195.13,34.7312,-7.84953333332,-4.30106666667,11.4517,25.8064666666,13.8484035088,2.90320000006,20.7526666666,-4.73113333326,5.32260000001
195.51,38.4976666667,6.38493333333,6.00946666666,19.2019333333,36.2441333333,22.6290666667,12.2065333333,31.0797333333,7.69940000002,12.9810333333
195.89,49.5652000001,23.8647333333,16.5217333333,30.5313333333,46.1835333333,40.6559228069,25.9904,43.4781333333,22.4153999999,30.5796666667
196.27,53.6613333333,30.4919333333,21.4206666667,35.3551666667,52.7868,52.6259263159,30.4917333333,46.6666666666,24.4807333333,35.1639999999
196.65,49.6969333333,28.687,23.0302,32.8787333333,58.2828666667,56.7731438597,35.8586000001,47.6767999999,22.7274000001,37.0707166667
197.03,38.5555333333,22.0,11.8888666667,27.5556,54.5556666667,50.0173649123,33.4444,39.0001333333,10.7777333334,29.9445333333
