wavelength,Back_OrcAbem,Belly_OrcAbem,Breast_OrcAbem,Crissum_OrcAbem,Crown_OrcAbem,DorTail_OrcAbem,Patch10_OrcAbem,Patch11_OrcAbem,Rump_OrcAbem,Throat_OrcAbem,WingTip_OrcAbem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,76.8116666667,72.8777619048,105.797111111,81.6423333333,85.5072777778,62.3187777778,58.4541111111,76.8116666667,87.4395555555,89.3721111112,72.4637777778
179.16,44.0972222222,50.0248015873,53.125,46.5277777778,47.2222222222,44.4444444445,46.5277777778,37.5,53.8194444444,48.9583333333,54.5138888889
179.54,82.2223333333,91.0051507937,104.444666667,122.963111111,84.0741111111,101.481333333,85.9258888889,89.6295555557,93.3332222223,113.333333334,72.5927777778
179.93,43.2747777778,70.9273730159,74.8536666667,81.2864444444,52.0466666667,59.6491111111,53.801,77.7781111111,63.1577777778,66.6666666667,64.3273333333
180.31,54.6295555556,68.664031746,92.5927777778,91.9443333333,60.9721666666,58.2405555555,54.6297777778,70.2777777778,78.8888888889,76.5738888889,74.9074444444
180.69,52.013,64.4812936508,87.7616666667,86.9565555555,57.5685,57.7295555555,52.8181111111,67.7133333333,75.7648888889,71.1755555556,71.095
181.07,39.8572222222,56.7932222222,81.7533333333,84.9133333334,43.9347222222,51.6817777778,45.0562222222,62.3853333333,72.2730000001,60.0408888889,66.5647777778
181.45,39.726,65.579531746,98.9345555556,103.044,36.6818333333,53.7291111111,43.6833333333,77.3210000001,92.2373333332,64.5356666667,73.6682222221
181.83,30.2287777778,54.5751507936,90.0326666667,97.2222222222,22.2221111111,42.9738888889,39.8694444444,67.9736666667,91.8302222222,45.915,74.1830000001
182.21,43.5374444445,66.5209920633,127.664333333,123.809555555,28.6848333333,59.8638888889,48.752888889,88.8889999998,124.716444444,57.1428888889,101.587333333
182.59,34.5678888889,78.9242222222,139.506111111,141.049333333,7.56188888887,73.7655555554,46.2962222222,88.5803333336,154.629555555,42.5925555557,112.037111111
182.97,53.2566666666,116.748730159,162.452222222,182.758777778,29.3104444444,119.540222222,72.4137777778,124.137888889,210.727777778,63.9846666667,148.275777778
183.35,98.2222222221,126.317460318,188.444444444,213.333333333,30.8888888888,147.111111111,91.5555555556,152.888888889,240.0,74.6666666666,164.888888889
183.73,87.6068888889,115.842492063,164.957333333,175.640888889,-3.63233333343,121.367555556,72.2222222221,124.359111111,185.470222222,50.0001111112,131.196555555
184.11,99.6168888888,102.462928571,111.494444444,143.678222222,7.66277777767,116.475222222,62.0689999999,114.942666667,170.881222222,50.9578888889,94.2528888889
184.49,88.6574444446,91.5509920634,88.4257777778,112.962777778,40.5093333334,108.333444444,62.7314444446,100.231555555,131.25,57.4074444444,89.8148888889
184.87,99.6914444443,98.7432619047,84.2592222223,130.555666666,32.4073333333,115.432111111,64.8148888888,108.333333333,149.382777778,60.8024444445,92.901
185.25,88.3237777779,88.3509603176,77.7777777777,109.227777778,45.6685555554,96.2335555557,70.998111111,92.0904444443,118.079222222,67.2317777778,82.8625555554
185.63,72.1552222222,74.4980238095,67.2021111111,87.0147777778,48.2597222222,80.7228888889,64.5245555557,74.8324444442,88.0856666667,58.7684444445,69.0762222221
186.01,68.4211111111,71.355452381,61.4036666667,78.2162222222,46.783611111,74.1227777777,57.4562222223,70.0293333334,84.7953333333,57.1637777778,63.888888889
186.39,57.2814444445,59.0383650794,45.6311111111,60.9492222222,37.3247777778,60.7335555556,47.465,53.7218888889,66.2352222222,48.328,52.1035555556
186.77,59.7223333334,51.7006984127,49.8016666667,61.9048888889,36.5575,56.0514444444,48.611,50.992,62.8967777778,48.2143333333,50.0992222222
187.15,47.175,37.7924761905,37.4764444445,45.7626666667,23.1638333333,42.7495555556,36.8172222222,35.8756666667,46.7985555556,36.2522222222,35.6873333333
187.53,43.2951111111,32.2798253968,32.1837777778,42.433,20.4501666667,41.3793333333,35.3447777778,33.3333333333,44.5403333333,34.4826666667,35.4404444444
187.91,36.9508888889,25.4643888889,22.5666666667,36.1757777778,16.1929444444,34.7975555555,29.2851111111,27.6486666667,40.1377777778,27.2178888889,29.0267777778
188.29,34.4062222222,25.2706984127,23.1417777778,36.7816666667,18.2759444444,35.0191111111,30.8044444444,24.6743333333,37.7777777778,21.3792222222,31.5707777778
188.67,30.4473333333,20.8205793651,16.1614444444,32.5397777778,14.7187222222,27.5612222222,26.6233333333,20.1297777778,31.9624444445,16.0895555556,27.2005555555
189.05,28.2052222222,20.1771904762,16.168,27.6353333333,13.4259444445,25.0,21.8661111111,17.5926666667,27.493,11.8945555555,22.9343333333
189.43,24.7365555555,15.0793730159,7.867,23.5197777778,6.77205555554,19.789,14.4364444444,10.7865555556,19.5457777778,1.62222222223,14.5174444444
189.81,26.3776666666,12.2984285714,6.95566666667,30.8041111111,9.80133333333,21.4093333333,12.4661111111,11.7434444444,21.6801111111,-0.451666666667,15.5375555555
190.19,28.2974444444,19.0763174603,13.1895555555,35.8914444444,15.5475,26.2988888889,14.9481111111,18.3053333333,21.5028888889,6.315,19.6641111111
190.57,17.1717777778,6.952515873,-3.30566666667,26.1706666667,2.8006111111,10.9274444444,3.3058888889,5.14255555557,8.44822222222,-11.662,5.69322222222
190.95,6.82966666666,2.0240793651,-22.63,15.4944444444,-4.68922222221,3.77177777779,-8.0528888889,-3.6697777778,-3.97544444443,-23.6493333333,-7.33955555556
191.33,11.9584444445,8.0643015873,-17.5142222222,16.29,0.564888888877,6.02633333333,-4.42544444444,1.8832222222,4.33144444446,-19.2091111111,-5.17877777779
191.71,5.60155555556,6.05405555556,-20.8447777778,8.99900000001,-2.70883333332,2.112,-8.72344444445,-1.7446666667,-2.66299999999,-27.4563333333,-14.0495555556
192.09,0.218,3.80499206349,-29.5205555556,5.88211111112,-4.35744444442,-2.72322222222,-9.25922222222,-7.08044444447,-7.95200000001,-38.5622222222,-14.3791111111
192.47,-3.62055555556,5.13643650795,-37.8276666667,2.62177777778,-11.2983888889,-3.24600000001,-11.3606666667,-5.61777777777,-12.9837777778,-48.4394444445,-20.3494444444
192.85,-23.7873333333,-12.5865238095,-64.9450000001,-21.7526666667,-31.6117777778,-19.0924444445,-30.3598888889,-29.4208888889,-37.0892222222,-78.7167777777,-45.6963333333
193.23,-18.0952222222,-18.0614206349,-69.6825555557,-20.7937777778,-27.1428333333,-13.492,-24.4444444445,-28.0951111111,-30.3176666667,-78.5714444446,-34.9206666667
193.61,-15.8058888889,-18.343468254,-64.3192222221,-24.1001111111,-20.892,-3.44277777779,-18.4663333333,-27.2301111111,-24.4131111111,-74.3347777777,-25.1955555556
193.99,-28.9928888889,-34.0772301587,-92.5345555554,-46.1804444444,-39.7568333333,-15.2775555556,-34.8957777778,-45.1386666667,-48.7845555556,-97.5692222223,-44.4443333334
194.37,-62.7160000001,-75.6613412699,-162.222,-87.1606666667,-89.0123888888,-45.926,-72.3456666667,-90.6173333332,-93.3334444444,-166.913555556,-94.567888889
194.75,-51.7544444443,-65.142126984,-160.818666667,-73.6843333332,-64.7660555554,-15.4971111111,-59.9415555556,-78.9474444443,-82.7485555554,-173.684222222,-86.5495555557
195.13,-64.4444444446,-68.3447063492,-167.936555556,-70.1586666667,-61.1112777777,-8.25388888889,-56.5078888889,-81.2697777777,-82.8571111112,-194.603222222,-84.761888889
195.51,-62.5000000001,-85.0446428572,-167.013888889,-65.625,-59.201388889,-1.38888888887,-44.0972222222,-84.7222222222,-90.9722222221,-197.569444445,-75.6944444442
195.89,-50.7937777778,-72.7323492064,-151.587333333,-54.7618888888,-42.8571111112,22.6190000001,-24.2064444444,-76.5872222223,-75.7937777778,-193.650777778,-57.142888889
196.27,-35.8023333333,-66.6080873014,-134.156444444,-47.3251111112,-34.9793333332,29.2182222223,-30.8643333334,-67.4896666669,-75.3086666667,-189.300333334,-73.6625555557
196.65,-40.2297777778,-88.1498968254,-136.015333333,-47.1264444443,-41.379388889,4.59766666667,-29.501888889,-85.4405555558,-79.3103333334,-180.842888889,-90.0382222221
197.03,-75.8168888889,-160.644309524,-241.830333333,-87.5817777779,-81.6993888889,1.30733333343,-72.5491111112,-169.934666667,-137.908555556,-323.529444444,-158.169777778
197.40,-29.2398888889,-72.4728095237,-177.777666667,-48.5381111112,-40.9357777778,14.6198888888,-16.9591111112,-137.427,-94.7367777779,-243.274888889,-100.000111111
197.78,-71.6049999999,-93.6949126983,-209.876222222,-111.111111111,-89.5061666667,-36.4197777777,-66.6666666666,-166.666777778,-150.617333333,-280.246888889,-146.296444444
198.16,-73.6842222222,-78.738579365,-200.0,-130.994111111,-80.9941666667,-60.8186666667,-61.9882222221,-164.327333333,-142.105333333,-248.538111111,-122.222333333
198.54,-7.40733333333,-2.93411904756,-76.0943333334,-60.6058888889,-3.36705555553,-5.7238888889,-3.70377777777,-58.9225555557,-35.6903333333,-98.6533333332,-28.2827777778
198.92,-40.7406666667,-33.2541190477,-133.703666667,-108.888777778,-33.3332777778,-43.3333333333,-33.3333333333,-91.4815555556,-68.5185555556,-134.814666667,-62.5925555558
199.30,-60.7144444445,-45.4648968253,-158.730222222,-152.380888889,-47.4206111111,-65.476111111,-49.2064444444,-111.508111111,-88.8887777779,-139.682444445,-77.3810000001
199.68,-194.074111111,-140.264420635,-389.629666667,-387.407333333,-164.4445,-214.074,-194.814777778,-270.370444444,-245.926,-357.036888889,-228.889
200.06,-150.877333334,-116.249103175,-332.748666667,-328.070111111,-127.193,-201.754333333,-172.514555555,-225.146333333,-221.637444444,-302.339222222,-199.415222222
200.44,-100.793666667,-74.5181746033,-230.158888889,-227.381,-73.2143333332,-152.381,-120.634888889,-158.730222222,-152.380888889,-188.492,-113.888888889
200.82,-116.092,-87.2468730158,-232.183777778,-231.417555556,-77.2030555555,-170.881222222,-144.061333333,-154.406111111,-170.498111111,-186.973111111,-109.195333333
201.19,-202.469222222,-148.500833333,-363.580333333,-369.753,-132.716,-283.950555556,-243.209777778,-235.802444445,-280.246777778,-298.765555556,-188.888777778
201.57,-915.555555556,-682.380952381,-1397.77777778,-1426.66666666,-580.0,-1148.88888889,-1033.33333333,-931.111111112,-1157.77777778,-1206.66666667,-835.555555556
201.95,1377.77766666,956.878134921,2188.88877778,2107.40744444,592.592666668,1800.00011111,1537.03711111,1377.77788889,1688.88888889,1814.81488889,1037.03722222
202.33,433.333333333,354.184611111,642.424222222,624.242333333,274.747444444,545.454666667,477.777777777,467.676777778,539.393888889,610.101111111,395.959666667
202.71,260.869666667,223.844007936,364.251111111,343.961333333,170.290055556,287.922777778,269.565333333,251.690777778,316.425222222,351.690777778,242.995333333
203.09,303.381666667,301.000793651,416.908222222,404.831111111,217.391222222,361.352666667,333.816444445,314.975888889,386.956666667,411.111111111,300.483
203.47,201.634,213.772087302,270.261555555,285.620888889,143.627333333,254.575333333,227.777666667,206.536,270.588222222,295.098,213.071888889
203.85,175.146222222,180.430325397,216.666666667,237.719333333,107.163833333,220.175333333,184.210555555,173.684222222,229.239888889,245.906444444,174.561444444
204.22,155.975,152.440785714,177.148666667,191.614333333,100.838555556,182.39,150.943222222,153.039888889,179.874222222,188.469444445,145.492555556
204.60,140.211555556,130.599603175,152.028,168.077444445,101.410833333,159.259444445,126.807888889,138.977,156.261,164.726777778,134.215222222
204.98,100.823,88.6831825397,109.328111111,131.138444444,71.7421111112,118.518555556,88.6146666667,103.978,113.854666667,119.341555555,100.548666667
205.36,117.230111111,102.473134921,134.782666667,150.563666667,79.3879999999,146.216,100.644,123.832555555,132.850222222,138.969333333,115.780888889
205.74,123.787111111,102.123611111,138.654111111,152.425555556,81.2987777779,147.730777778,101.252111111,119.092333333,138.184666666,138.341222222,129.734
206.12,131.795,117.154992063,161.196555556,168.034222222,91.7095,167.008555556,111.453,130.085444445,156.239333333,154.700777778,150.085333333
206.50,112.865555556,98.7991507937,145.467777778,150.584666666,75.2191666668,145.175444444,92.3976666665,107.894777778,131.432666666,131.286444444,122.514555555
206.87,110.242888889,95.5727539682,150.173222222,157.291333333,65.1039444443,156.597,83.333111111,107.465222222,136.284333333,133.680333333,117.187333333
