wavelength,Back_SicLuvm,Belly_SicLuvm,Breast_SicLuvm,Crissum_SicLuvm,Crown_SicLuvm,DorTail_SicLuvm,Patch10_SicLuvm,Rump_SicLuvm,Throat_SicLuvm,WingTip_SicLuvm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-93.3333333334,-110.4762,-101.904866667,-109.523733333,-80.9525,-50.4761,-72.3810000001,-67.6191333334,-91.4285333335,-137.619
179.16,8.1158,31.3043333333,16.8116,24.0578,18.6956666667,24.7828333333,22.0290666667,25.7971333333,12.4638666667,30.2899666667
179.54,120.0,173.333266667,75.5555333334,66.6666666667,84.4444666665,103.333433333,171.111066667,131.111066667,88.8888666665,93.3333666666
179.93,66.2222,73.7778,62.6666666667,46.6666,48.6666333333,62.6666666667,56.4443333333,48.8888,63.5555333334,77.7776666667
180.31,-26.7949333333,-13.5896666667,-37.0514,-53.7181333334,-18.2693666667,13.5899333333,-19.8719333334,-36.154,-22.3077333333,-3.78193333333
180.69,-42.7161333333,-19.5060666667,-49.7531333334,-61.9754000001,-28.642,7.53093333333,-29.6295333333,-46.1728666666,-33.8272,-8.27166666667
181.07,-61.4414,-18.7386666667,-68.8288,-83.4234,-46.3063333334,11.1712,-44.6846666666,-70.4503333335,-44.1442,10.5407333333
181.45,-274.0,-140.0,-274.666666667,-402.0,-260.666666667,-5.00000000006,-224.666666667,-331.333333333,-202.0,-63.6666666667
181.83,-142.5,-57.0833333332,-137.5,-189.583333333,-119.791666667,37.9166666667,-109.583333333,-167.916666667,-83.7500000001,-7.70833333334
182.21,-707.999999999,-373.333333333,-650.666666668,-801.333333333,-571.333333333,-82.0,-543.999999999,-677.333333334,-488.000000001,-276.0
182.59,-456.666666666,-212.5,-430.833333333,-455.833333334,-367.916666667,-71.6666666668,-314.166666667,-408.333333333,-318.333333333,-204.583333333
182.97,-236.2962,-11.8519333334,-222.963066667,-250.3704,-212.5927,47.7777333332,-89.6297333334,-210.370533333,-152.592666667,-29.6297333333
183.35,-193.333333333,96.6666666666,-154.166666667,-166.666666667,-162.916666667,140.833333333,5.0,-200.0,-109.166666667,85.8333333334
183.73,333.333200001,-111.111066667,221.1112,257.777733333,241.6667,-153.888933333,41.1109999998,321.111066667,224.444466667,-52.2222333334
184.11,-616.666666666,930.0,-126.666666667,-126.666666666,-351.666666666,859.999999999,483.333333335,-320.0,-443.333333333,618.333333333
184.49,154.666666666,-448.0,-7.99999999986,25.3333333332,174.666666667,-306.666666667,-280.0,50.6666666667,172.000000001,-293.333333333
184.87,-69.6296666667,-314.814866667,-101.481333333,-62.9629333333,4.0741000002,-231.110966667,-266.6666,-89.6296,-5.1852000002,-207.777666667
185.25,245.185133333,451.111133333,268.888866667,231.851866667,181.851866667,372.592633333,422.962933333,244.444466667,134.074,337.037033333
185.63,126.666733333,201.212133333,131.818066667,119.393933333,110.6061,173.7877,189.090933333,122.424333333,84.5454666668,168.939466667
186.01,212.000000001,554.666666667,173.333333333,102.666666667,94.6666666667,360.666666667,485.333333333,188.0,17.3333333332,335.333333333
186.39,-233.333333333,-695.555666668,-168.888866667,-37.7777333335,-6.66666666814,-406.666633333,-786.666599999,-202.2222,148.888866667,-385.555666666
186.77,-273.333333333,-551.666666667,-301.666666666,-68.3333333334,-132.5,-445.833333333,-625.000000001,-263.333333333,-21.6666666666,-255.833333333
187.15,86.6666666668,145.1852,83.3334000001,45.1851333335,61.1111333334,136.6668,149.259333333,99.6296000001,36.6666,65.5555333334
187.53,83.4921333334,134.920666667,79.3652000001,29.8413333334,54.1270333332,115.238233333,136.825333333,109.841266667,46.6666000001,32.3807666666
187.91,72.0833333334,123.333333333,98.3333333335,-0.41666666666,30.4166666668,107.708333333,152.083333333,115.0,38.3333333332,21.0416666666
188.29,85.3333333334,101.333333333,100.666666667,25.0,37.3333333333,91.4999999999,123.333333333,106.666666667,60.0,23.3333333333
188.67,41.9047999999,47.8095333333,60.1905333333,26.4762,26.6666666665,48.6665333333,61.3334666667,62.2856666666,37.7143333335,11.2379666667
189.05,35.4545333333,41.6666,58.9393999999,30.1515333333,23.3333333333,39.5454666667,42.4242666667,52.1211333333,35.6059999999,16.5151333333
189.43,43.4041333333,48.2269333333,67.3757999999,36.7376666667,25.532,44.5389333333,49.22,59.5746666666,47.2338666666,20.1416666667
189.81,49.3617333335,59.8580666665,67.0920666667,56.4538666666,30.5674333333,39.7871333333,59.4326,60.993,54.7516666667,32.8368
190.19,64.4444000001,75.3086666667,90.8639999999,73.3334,48.2099,59.6296666667,74.6913999999,75.1852666667,72.4691333335,58.3950333333
190.57,69.5522666667,81.5920666667,90.8458666667,76.7166,59.5023333334,65.2736333333,66.9650666667,73.6318,78.4079333333,64.3780333333
190.95,68.9681999999,79.6826666666,84.3649999999,80.3174666667,53.5714333334,61.5079,63.9682,67.1428666667,77.6986000001,65.8334333333
191.33,79.1397333333,96.9893333333,101.075266667,98.8171333333,57.0430666667,63.1183666666,71.8279999999,73.7634666666,94.1935999999,81.6667
191.71,81.9191999999,93.3333999999,104.5454,104.747466667,66.3131333333,58.6364666667,73.1314,78.0809333333,97.1717333333,93.9394
192.09,100.5376,108.602133333,108.387133333,122.365533333,78.1182999999,66.129,81.9354666667,91.9354,109.784933333,100.215033333
192.47,114.468066667,118.8652,126.666666667,139.716133333,85.3901333333,60.2836,91.4894666668,103.971533333,128.510666667,118.085133333
192.85,165.416666667,167.916666667,181.875,186.25,131.666666667,77.8125000001,149.583333333,146.458333333,191.25,174.0625
193.23,195.466666667,189.066666667,213.6,230.133333333,163.466666667,74.1333333333,188.266666667,157.6,231.733333333,206.533333333
193.61,239.629533333,232.592666667,266.6666,285.925933333,211.1112,61.8517666666,240.740666667,195.185066667,293.703866667,262.222233333
193.99,192.941133333,174.509666667,221.5688,207.843133333,175.098133333,28.2351666667,181.960866667,143.5294,239.608,192.745033333
194.37,149.166666667,122.499933333,159.999933333,168.333466667,138.333233333,8.61110000001,118.6112,99.9999999999,176.3888,153.194366667
194.75,155.833466667,115.277733333,159.444533333,184.444333333,119.999866667,-15.5554666667,126.6666,99.4444000001,171.388866667,162.360966667
195.13,264.666666667,124.0,255.333333333,269.333333333,171.666666667,-236.666666667,218.0,180.666666667,266.0,261.666666667
195.51,115.7894,46.6667333334,127.0174,118.245533333,63.8595999999,-145.0878,81.0526666666,81.7543999999,134.035133333,112.455966667
195.89,43.8596666666,-5.26306666674,56.1404,64.9123333333,-10.5262333335,-200.175233333,9.12273333326,15.0877999998,83.1580000001,32.2807
