wavelength,Back_SteDiaf,Belly_SteDiaf,Breast_SteDiaf,Crissum_SteDiaf,Crown_SteDiaf,DorTail_SteDiaf,Patch10_SteDiaf,Patch11_SteDiaf,Patch12_SteDiaf,Rump_SteDiaf,Throat_SteDiaf,WingTip_SteDiaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,137.777733333,120.740733333,177.777666667,178.5184,167.407466667,145.185133333,188.888733333,139.2594,176.296266667,178.518466667,174.074066667,146.666666667
179.16,168.333333333,216.666666667,250.0,261.666666667,206.666666667,224.166666667,209.166666667,226.666666667,232.5,180.833333333,223.333333333,186.666666667
179.54,-420.0,-686.666666667,-566.666666666,-926.666666666,-426.666666667,-446.666666667,-480.000000001,-413.333333333,-346.666666667,-653.333333333,-606.666666666,-380.0
179.93,-160.0,-313.333333333,-373.333333333,-673.333333333,-206.666666667,-286.666666667,-379.999999999,-99.9999999998,-246.666666667,-446.666666666,-466.666666667,-340.0
180.31,136.923066667,165.9486,175.384666667,202.564133333,176.512733333,179.6922,179.487133333,157.230733333,169.948733333,183.077,177.128266667,150.153733333
180.69,148.361733333,180.225933333,192.655266667,225.988733333,199.096133333,200.904,199.209,174.689266667,177.7402,204.4068,201.355933333,166.440666667
181.07,143.157866667,181.052666667,183.9766,218.830533333,196.1404,197.076,193.567266667,171.695866667,166.3158,194.503,195.321666667,162.807
181.45,149.559733333,187.421333333,180.251533333,226.792466667,203.899266667,202.389933333,197.358466667,167.672933333,162.012533334,206.037666667,199.496933334,164.151133333
181.83,143.809333333,174.0476,173.5714,212.023866667,192.976266667,191.5476,191.6668,157.738133333,161.904733333,198.333533333,187.023866667,157.738066667
182.21,135.072466667,162.898533333,162.7052,184.734266667,181.642466667,176.231866667,170.338133333,149.0822,148.019533333,179.3238,172.463666667,143.864666667
182.59,151.149533333,186.4368,188.735666667,212.643733333,214.138,206.551733333,196.896466667,173.448066667,178.160866667,204.942533334,201.034533333,163.793133333
182.97,177.886,215.121733333,225.691066667,259.512133333,264.227666667,246.341466667,225.8536,199.3496,219.186933333,250.731866667,253.495933333,196.4228
183.35,158.4,186.933333333,194.133333333,222.0,223.466666666,206.133333333,194.533333333,170.8,182.4,209.066666667,215.066666667,172.666666667
183.73,151.889,171.333333333,174.8888,196.889,193.222266666,187.777733333,173.1112,165.2222,162.4444,190.333333333,197.4444,158.3334
184.11,167.1794,196.282066667,202.948733333,219.359,226.282,218.077,194.999866667,183.974333334,186.794866667,215.897333333,226.923133333,180.384733333
184.49,198.294533333,228.682066667,236.4342,257.3644,269.147333333,262.170466667,233.0232,224.961333333,222.945533333,261.7054,277.364333333,225.271266667
184.87,195.3192,236.5958,239.858133333,256.453866667,262.127733333,254.326266667,234.0426,231.347533333,240.5674,263.829666667,272.765933334,226.0994
