wavelength,Back_BanAurm,Belly_BanAurm,Breast_BanAurm,Crissum_BanAurm,Crown_BanAurm,DorTail_BanAurm,Patch10_BanAurm,Patch11_BanAurm,Patch12_BanAurm,Rump_BanAurm,Throat_BanAurm,WingTip_BanAurm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,44.4443333333,17.7776666667,22.2223333333,26.6666666667,24.4446666667,22.222,17.7776666667,66.6666666667,20.0003333333,22.222,15.5553333333,-22.2223333333
179.16,61.1113333333,44.4446666667,-50.0,-77.7776666667,38.889,-50.0,38.889,55.5553333333,-38.889,-83.3333333333,5.55566666667,-116.666666667
179.54,266.666666667,-366.666666667,-233.333333333,-633.333333333,100.0,-200.0,133.333333333,-366.666666667,-466.666666667,-800.0,-200.0,-333.333333333
179.93,18.1816666667,112.121,142.424333333,139.394,121.212333333,78.7876666667,75.7576666667,115.151666667,142.424333333,109.090666667,51.515,127.272666667
180.31,-2.778,230.555666667,251.389,341.666666667,188.888666667,216.667,158.333333333,130.555666667,268.055666667,211.111,130.555333333,327.777666667
180.69,17.117,175.675666667,177.477333333,250.450333333,145.945666667,164.865,127.027,100.901,198.198333333,167.567333333,104.504333333,246.847
181.07,34.804,118.137,115.686333333,167.156666667,101.960666667,106.372666667,93.6273333333,78.9216666667,125.98,113.235333333,75.4903333333,149.51
181.45,45.935,118.699333333,106.910333333,156.504333333,104.878333333,98.7803333333,94.7156666667,91.4633333333,129.268333333,108.943,83.3333333333,122.357666667
181.83,50.34,114.286,101.360333333,143.197333333,101.700666667,94.5576666667,95.9183333333,88.7756666667,122.789333333,97.9593333333,84.3536666667,114.625666667
182.21,63.3663333333,118.812,94.3896666667,142.244333333,99.3403333333,101.320333333,105.280666667,95.7096666667,124.092333333,102.640333333,92.7393333333,122.442
182.59,70.957,129.042666667,103.630666667,154.125666667,100.66,109.241,108.581,105.940666667,130.693333333,115.511333333,101.98,135.313333333
182.97,76.147,136.085333333,110.397666667,152.293666667,95.413,110.703333333,111.315,109.48,133.027333333,118.348333333,108.562666667,140.979
183.35,75.853,127.559333333,102.887,137.270333333,90.289,98.9503333333,110.498666667,103.412,121.522333333,109.711333333,104.724333333,129.921666667
183.73,74.6666666667,118.444666667,95.1113333333,127.333333333,81.778,88.8886666667,102.444333333,99.3333333333,110.666666667,103.333666667,97.5553333333,117.555666667
184.11,82.1656666667,115.711333333,93.2056666667,123.142333333,77.2826666667,89.5966666667,102.547666667,96.8153333333,107.643333333,108.492666667,97.24,115.711333333
184.49,78.481,116.667,90.7173333333,116.245,71.941,88.6076666667,107.384,93.249,106.962333333,105.696,94.7256666667,112.025
184.87,78.6586666667,119.105666667,93.0893333333,116.26,72.561,87.1953333333,109.552666667,94.309,108.333333333,101.626,96.1383333333,109.35
185.25,80.2683333333,116.091666667,90.8046666667,109.387,70.8813333333,84.866,109.003666667,94.8276666667,108.046,96.9346666667,93.295,102.107666667
185.63,79.1226666667,111.052666667,89.1226666667,102.456333333,71.2276666667,81.579,109.298,89.4736666667,99.4736666667,85.4386666667,90.351,101.403666667
186.01,80.5703333333,109.090666667,91.8003333333,100.178333333,68.984,79.3226666667,111.23,90.9093333333,99.1086666667,85.7396666667,90.196,101.604666667
186.39,78.0746666667,104.812666667,92.692,98.9303333333,66.6666666667,76.292,107.487,85.0266666667,96.0786666667,79.8576666667,86.8093333333,93.226
186.77,74.461,99.3366666667,88.557,93.0346666667,65.34,75.4563333333,109.121333333,83.9136666667,94.0296666667,72.9686666667,84.743,86.567
187.15,73.718,89.423,79.6473333333,88.9423333333,62.5,72.7566666667,107.852666667,75.8013333333,91.3463333333,66.6666666667,78.8463333333,82.5323333333
187.53,79.1666666667,90.5,81.5,93.3333333333,67.5,77.8333333333,116.5,78.8333333333,97.0,67.1666666667,85.1666666667,85.8333333333
187.91,83.4966666667,90.3596666667,84.8036666667,95.2613333333,73.5296666667,81.0456666667,121.242,79.2486666667,100.490333333,70.425,90.523,89.0526666667
188.29,80.5296666667,88.7846666667,84.5793333333,91.433,75.545,79.9063333333,117.601333333,77.8816666667,101.869333333,67.601,90.8103333333,88.006
188.67,77.9816666667,83.945,81.3453333333,84.5566666667,72.477,71.7126666667,111.009,75.3823333333,100.611666667,64.22,83.792,81.8043333333
189.05,77.7776666667,78.6786666667,77.177,79.1293333333,70.5703333333,71.0213333333,110.06,73.5736666667,96.246,62.6126666667,81.5316666667,78.979
189.43,75.4943333333,77.7776666667,77.7776666667,77.93,70.7763333333,72.755,109.588666667,75.3426666667,96.4993333333,61.9483333333,84.7793333333,83.105
189.81,75.1153333333,76.1903333333,73.2716666667,75.5763333333,64.6696666667,68.356,107.066,72.6573333333,93.8553333333,66.6666666667,82.181,80.9523333333
190.19,71.179,74.6723333333,69.1413333333,70.5966666667,61.1353333333,64.92,103.639,68.1223333333,88.6463333333,60.8443333333,77.438,74.8176666667
190.57,69.152,74.4153333333,66.5206666667,64.62,58.4796666667,61.8423333333,105.555666667,67.398,86.6956666667,60.0876666667,79.5323333333,75.2923333333
190.95,66.517,69.8053333333,58.1466666667,57.6983333333,51.5696666667,55.456,95.366,58.4453333333,82.6606666667,53.6623333333,74.4396666667,65.7696666667
191.33,64.502,70.707,59.163,55.267,53.1026666667,52.2366666667,92.352,60.462,80.0866666667,53.824,73.8816666667,60.029
191.71,59.7223333333,70.8336666667,56.6663333333,50.0,48.889,46.1113333333,84.1666666667,56.9446666667,75.139,53.4723333333,69.4446666667,55.6946666667
