wavelength,Back_TanFlof,Belly_TanFlof,Breast_TanFlof,Crissum_TanFlof,Crown_TanFlof,DorTail_TanFlof,Patch10_TanFlof,Patch11_TanFlof,Patch12_TanFlof,Rump_TanFlof,Throat_TanFlof,WingTip_TanFlof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,297.222222222,241.666666667,166.666666667,266.666666667,233.333333333,263.888888889,300.0,244.444444445,200.0,175.0,294.444444444,188.888888889
179.16,511.11111111,411.111111111,222.222222222,388.888888889,544.444444444,233.333333333,422.222222222,411.111111111,100.0,155.555555556,488.888888889,133.333333333
179.54,-161.111111111,-80.5555555554,-127.777777778,-105.555555556,-216.666666667,-122.222222222,-161.111111111,-166.666666667,-61.1111111111,-100.0,-130.555555556,-55.5555555556
179.93,113.333333334,84.4444444446,22.2222222222,71.1111111112,193.333333333,91.1111111111,104.444444444,157.777777778,55.5555555555,51.111111111,88.8888888889,126.666666667
180.31,-66.3581111111,-70.9876666667,30.8639999999,-41.0495555555,-96.6048888889,-64.8148888889,-111.728333334,-84.5681111112,41.6667777778,-5.2469999999,-45.0618888888,-40.1233333333
180.69,-59.2593333332,-60.7406666667,32.3456666668,-31.3578888889,-85.678888889,-57.0371111111,-98.5185555556,-71.3581111111,39.9998888889,-2.22222222233,-36.2962222222,-36.5432222221
181.07,-32.3412222222,-47.8175555555,35.1192222222,-11.9046666666,-60.1189999999,-33.9286666667,-67.0634444446,-41.4682222222,51.786,2.18255555557,-18.8491111111,-19.0475555554
181.45,-53.23,-84.4962222222,31.0077777778,-39.2764444445,-99.2246666669,-65.6329999999,-112.661333333,-70.0255555556,58.6562222222,-28.1653333331,-44.4445555554,-49.0955555554
181.83,-36.0493333333,-71.3578888889,40.9876666667,-31.1111111111,-85.6791111111,-60.7407777778,-103.456777778,-56.5432222222,65.1851111112,-26.172777778,-37.2841111111,-37.7776666668
182.21,-37.1648888889,-62.2605555555,27.203,-34.6743333333,-64.5593333334,-63.9846666667,-87.5478888889,-47.8925555556,44.636,-26.8198888889,-35.2491111111,-28.5441111111
182.59,-41.5636666667,-66.8726666667,33.5391111111,-44.2386666667,-69.3415555557,-69.7531111111,-92.3868888887,-43.0042222222,48.9713333333,-23.6625555554,-37.037,-23.4568888889
182.97,-39.2034444444,-75.6813333333,40.8805555555,-45.9121111111,-66.6664444443,-68.3438888889,-94.1299999998,-32.285,48.4275555557,-21.5933333333,-40.4612222222,-21.1741111111
183.35,-72.9345555556,-122.507111111,34.7577777778,-83.4758888891,-107.977111111,-111.395888889,-144.729444444,-67.2364444444,50.4274444443,-49.002888889,-81.1967777777,-47.5783333333
183.73,-90.0899999999,-134.834777778,33.9338888889,-84.6845555556,-117.717888889,-134.234222222,-163.063,-75.9761111111,41.1412222222,-54.6546666663,-98.4985555555,-43.2434444445
184.11,-146.666555555,-171.852,0.3702222222,-152.592555555,-176.666777778,-194.814777778,-223.703777778,-138.148111111,14.0741111111,-107.777777778,-144.074111111,-71.8518888888
184.49,-320.261555556,-402.614444444,-103.921555556,-330.065444444,-380.392111111,-448.366,-458.823444444,-322.875888889,-40.5229999998,-264.706,-334.640666667,-172.549
184.87,4.23634055857e+15,5.01821549388e+15,2.04709073972e+15,4.35717577585e+15,4.71968142767e+15,5.63660748817e+15,5.78587452127e+15,4.22923260462e+15,1.31497148211e+15,3.62505651824e+15,4.52776667083e+15,2.22478958865e+15
185.25,-3455.55555556,-3683.33333333,-1433.33333333,-3394.44444445,-3644.44444444,-4366.66666667,-4644.44444444,-3411.11111111,-1444.44444445,-2527.77777778,-3533.33333333,-1761.11111111
185.63,-518.803555556,-560.683777778,-241.025444444,-514.53,-541.025777778,-709.401888889,-730.769111111,-524.786333333,-281.196666667,-342.735111111,-561.538444445,-246.153888889
186.01,-420.138888889,-490.277777778,-188.888888889,-432.638888889,-443.055555556,-602.777777778,-592.361111111,-443.75,-238.888888889,-259.027777778,-467.361111111,-199.305555556
186.39,-420.740555556,-502.962777778,-189.629333333,-451.852111111,-460.740777778,-614.074111111,-616.296333333,-455.555666666,-239.259333333,-285.925888889,-471.851888889,-197.037
186.77,-369.444444444,-430.0,-200.555555555,-393.888888889,-392.777777778,-516.111111111,-506.111111111,-409.444444445,-249.444444445,-290.555555556,-416.666666667,-183.888888889
187.15,-282.142777778,-327.381,-163.888777778,-315.873,-301.587555556,-394.047777778,-381.349222222,-328.571444444,-216.269777778,-240.079222222,-326.587333333,-148.412666667
187.53,-215.497,-248.538111111,-118.128666667,-250.584777778,-230.409333333,-301.754222222,-291.812666667,-244.152111111,-175.146333333,-191.228111111,-247.368333333,-115.497111111
187.91,-239.473555556,-278.947444445,-144.444333333,-282.748555556,-262.280888889,-316.082,-314.912111111,-268.713333333,-198.245555556,-226.023333333,-272.807222222,-148.830333333
188.29,-183.796111111,-218.750111111,-99.537,-222.222222222,-205.092555556,-244.212888889,-243.518444444,-210.185333333,-157.175666667,-176.851888889,-220.370333333,-118.981555556
188.67,-209.420444445,-228.744111111,-100.966111111,-252.415666667,-227.053222222,-267.391333333,-259.178777778,-228.260888889,-188.164222222,-207.971111111,-240.338222222,-144.444444445
189.05,-136.195222222,-152.861888889,-67.1717777778,-175.420777778,-156.902222222,-188.047222222,-176.262555555,-156.565666667,-127.946,-147.979777778,-164.983222222,-105.218888889
189.43,-149.259333334,-169.074222222,-72.2223333333,-193.148111111,-177.037,-216.111111111,-189.629666666,-174.629555556,-135.370555556,-169.814777778,-183.148,-116.666666667
189.81,-188.235333333,-194.553222222,-77.9956666666,-233.115555555,-212.200444445,-248.366111111,-219.825666667,-213.289888889,-156.644888889,-203.703777778,-212.636333333,-146.187222222
190.19,-222.666666667,-208.222222222,-99.3333333333,-255.333333333,-236.888888889,-262.0,-240.0,-235.111111111,-178.222222222,-231.777777778,-234.444444445,-172.888888889
190.57,-200.427444444,-194.444333333,-84.829222222,-233.974444445,-214.102666667,-241.666666666,-226.282,-216.880333333,-165.598444445,-204.914666667,-226.495777778,-157.265
190.95,-189.777777778,-186.666666667,-74.6666666667,-217.555555556,-200.888888889,-233.111111111,-218.444444444,-196.0,-145.111111111,-189.555555555,-211.555555556,-147.777777778
191.33,-202.645444445,-200.000111111,-75.396888889,-229.629666667,-206.878222222,-249.470777778,-233.597666667,-196.560888889,-140.211777778,-200.264555555,-219.576777778,-153.439111111
191.71,-164.197777778,-147.901,-47.9012222222,-187.160333333,-163.703666667,-207.407333333,-191.358,-161.234555556,-105.926111111,-164.444555556,-177.284,-113.580333333
192.09,-111.949777778,-96.8554444443,-13.8365555556,-129.140222222,-107.547333333,-150.104888889,-135.220222222,-103.983111111,-65.1992222222,-110.063,-115.094222222,-64.78
192.47,-91.8128888888,-84.4054444444,-15.2045555556,-103.703555556,-87.3296666665,-133.138444444,-123.196888889,-84.6004444444,-47.3683333333,-91.813,-98.4403333333,-58.6743333333
192.85,-72.3103333334,-82.0105555557,-16.9312222222,-89.2416666668,-72.1341111111,-108.994666667,-110.052888889,-65.4322222222,-31.5695555556,-67.0193333333,-80.9523333332,-49.7355555555
193.23,-78.9684444445,-88.6906666667,-12.3015555556,-90.2777777778,-70.8333333332,-107.341333334,-109.920555556,-57.7381111111,-23.2142222222,-56.9444444445,-84.126888889,-44.8412222222
193.61,-106.763333334,-112.077333333,-42.7536666667,-126.57,-99.0338888888,-144.202888889,-146.135222222,-78.2608888889,-51.6906666667,-81.1594444444,-112.318777778,-65.459
193.99,-94.017222222,-91.0256666666,-41.453,-93.1625555558,-80.1283333332,-128.205111111,-119.658222222,-62.1794444445,-43.1625555555,-69.4445555555,-92.7349999999,-47.8634444445
194.37,-73.7777777778,-80.6666666667,-19.1111111111,-69.9999999999,-48.8888888888,-110.666666667,-98.2222222222,-38.0,-17.5555555555,-46.4444444444,-73.3333333332,-26.8888888889
194.75,-111.111111111,-112.466,-37.6693333333,-95.3930000001,-73.7126666666,-135.772333333,-113.279333333,-49.5934444444,-26.0162222222,-65.3118888889,-95.9349999999,-47.4254444443
195.13,-89.372,-85.0241111112,-29.2271111111,-85.2656666669,-64.9757777779,-111.352777778,-88.1640000002,-41.5458888889,-11.5942222222,-54.1062222222,-88.8886666668,-40.8214444446
195.51,-77.7777777779,-77.5412222222,-22.2223333333,-73.9953333333,-61.9385555557,-103.073333333,-75.6502222221,-34.9881111111,-4.7281111111,-38.5343333333,-81.323888889,-33.5697777777
195.89,-118.412666666,-124.444444444,-58.730111111,-110.158666667,-108.571444445,-153.333222222,-118.730111111,-38.4126666667,-18.4126666666,-50.7937777778,-135.238,-61.2697777778
196.27,-229.629555556,-208.465666667,-134.391444444,-221.693222222,-225.925888889,-300.0,-226.455,-89.418,-78.8360000003,-117.989555556,-280.952444444,-143.915333333
196.65,-523.333333333,-515.555555556,-386.666666667,-534.444444445,-528.888888889,-680.0,-495.555555556,-238.888888889,-284.444444444,-282.222222222,-614.444444445,-345.555555556
