wavelength,Back_NeoFasm,Belly_NeoFasm,Breast_NeoFasm,Crissum_NeoFasm,Crown_NeoFasm,DorTail_NeoFasm,Patch10_NeoFasm,Rump_NeoFasm,Throat_NeoFasm,WingTip_NeoFasm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,133.333333333,100.0,46.6666666666,180.0,120.0,406.666666667,40.0000000001,6.6666666668,-106.666666667,213.333333333
179.16,-93.3333333334,-86.6666666667,-163.333333333,-126.666666667,19.9999999999,90.0000000001,-7.1054273576e-16,-30.0,-30.0000000001,-46.6666666667
179.54,-51.8517333333,-71.8517999999,-42.2222666667,-45.9259333333,-54.8148666667,-11.8518666667,-51.1112,-53.3333333333,-33.3334333333,-28.8888666667
179.93,43.9506666667,39.0123333333,54.3211333333,50.3704,55.0617333334,60.9876,49.3827333333,50.8640666667,47.901,53.5802666667
180.31,30.7092,34.6808666667,45.0355333333,40.9220666667,56.8085333333,68.8653999999,37.1630666667,52.5530666667,42.2695333333,46.312
180.69,37.211,39.6598666667,52.0409333333,45.17,64.4898,76.5304666666,41.7687333333,59.2516666666,48.0612333333,52.449
181.07,31.4284666667,36.5078666667,52.1904666667,42.4762,60.6349333333,72.6984,38.9841333333,57.5237333333,47.5873666667,47.746
181.45,38.0180666667,43.3634666667,62.5824666667,52.2522666667,65.5254666667,77.2372000001,45.2253333333,62.3424,55.9159000001,53.9338666667
181.83,51.1111333333,60.7618666667,78.7936,69.9048,83.9366666665,96.1269999999,60.1904666667,80.8887333333,72.2855666666,69.0158666667
182.21,54.0475333334,70.4761333334,83.4126666667,75.6349333333,93.4126666665,108.650733333,61.7459999999,88.8095333333,79.8015000001,74.762
182.59,50.4166666667,70.3126666667,84.6876,74.6873999999,91.4583333332,117.083266667,55.0000666667,86.2500000001,79.8958000001,75.9376000001
182.97,41.8460666667,59.6924,67.5896,71.2819999999,74.7691333333,110.2564,49.2307333333,73.2307333333,72.1024666668,68.8205333333
183.35,54.9772666667,66.9406,74.7945333333,79.5434,77.8081333334,115.7078,62.9222666667,73.7899333333,78.8129000001,74.2466000001
183.73,61.5459333334,77.0048000001,85.3139333333,89.6617333333,82.8019333334,127.246333333,66.3768666667,80.4829999999,89.8551333334,86.2800666666
184.11,81.0885333334,99.0476000001,114.421933333,123.401333333,107.0748,176.598666666,89.9320000001,109.115666667,120.272133333,118.7754
184.49,86.8377333333,115.042666667,146.153733333,151.623933333,129.914533333,220.1708,108.888866667,132.1368,135.897433333,141.367466667
184.87,71.4035333333,110.0,141.228,150.701733333,107.5438,212.4562,100.0,123.157866667,125.1754,130.877266667
185.25,98.5506666667,125.942066667,147.391266667,154.6376,117.391266667,203.0436,112.753666667,133.913066667,141.9566,138.9854
185.63,109.1472,143.876,149.457333333,163.255866667,129.457466667,225.271333333,117.519266667,151.162733333,158.992433333,152.248133333
186.01,87.8519333333,122.6668,125.1852,131.703666667,102.963066667,193.481466667,93.0370666666,121.333333333,134.963,126.814866667
186.39,79.6080666667,131.372533333,138.039133333,139.607866667,107.450933333,218.039333333,93.1373999999,131.9608,146.176466667,128.823533333
186.77,85.6564666667,157.171733334,153.333333333,155.151466667,130.505066667,234.343466667,105.454666667,147.0706,169.999933333,127.070866667
187.15,77.6191333333,179.047533333,164.7618,160.952266667,135.476266667,251.190466667,92.143,151.190533333,183.809566667,113.5714
187.53,45.3764000001,144.731266667,125.8066,116.7742,87.7419333334,195.0538,49.6773333333,105.591466667,146.021433333,73.1181333334
187.91,26.1539333334,117.6068,95.7265333332,90.2564000001,64.4444666667,140.683666667,28.547,74.3588666667,107.179566667,45.4701333333
188.29,45.238,114.285866667,93.2142666667,86.0714666667,70.5952000001,118.4524,40.1190666667,74.2856666667,99.6429666667,54.2858
