wavelength,Back_EucPenf,Belly_EucPenf,Breast_EucPenf,Crissum_EucPenf,Crown_EucPenf,DorTail_EucPenf,Rump_EucPenf,Throat_EucPenf,WingTip_EucPenf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,13.8888666667,24.4444666667,37.7778666666,34.8015465201,50.5556,50.0000000001,46.4445066667,27.7778666667,39.4444666667
179.16,75.5555333334,82.2222666666,93.3334,132.319811722,120.0,132.222333333,163.22224,102.777666667,105.5556
179.54,-4.00000000013,-48.0,-17.3333333334,2.90842490842,2.66666666666,16.0,18.0,-51.9999999999,-29.3333333333
179.93,72.7273333333,56.3636666667,88.4848000001,70.7525333333,90.9089333333,100.606,66.3636466667,64.5455000001,59.9999333333
180.31,70.7018000001,69.6490666666,77.9532666667,83.8415637363,83.8012666667,82.6901333333,82.2456133334,67.3976333333,75.8479333333
180.69,81.1515333333,79.4544666666,90.1211999999,97.7714930403,97.0908666667,94.8485333334,93.3637333333,76.7274666667,87.1513999999
181.07,89.5144666667,86.9256666666,97.6699333333,109.361053846,102.9774,102.2006,99.4238599999,82.3623999999,92.3624
181.45,85.1712,84.6728666667,94.3302000001,105.711638095,95.3270666667,93.8317333335,92.06852,78.5046666666,89.0342666666
181.83,89.0964666667,92.5857333333,99.1277333333,109.594438095,96.8224666667,94.3301333333,96.2056466667,84.6417999999,94.3925333333
182.21,88.1045999999,92.0914666667,94.902,110.112836996,92.9411999999,86.4051333332,96.6470133333,82.4510666667,94.3137333334
182.59,83.7254666665,93.0718666668,91.9607333335,109.026465934,90.7842666667,81.0459333333,98.7647400001,79.1177333334,92.6796666666
182.97,82.4596666667,95.3397999999,87.5081333333,108.228888278,88.479,77.4758,95.5209466665,76.7314333333,87.5727333333
183.35,84.8,101.333333333,89.0,110.515750916,89.3333333333,78.4,97.0999999999,79.0999999999,86.9333333333
183.73,75.5776000001,93.5313333333,81.3862,104.411652015,77.4256666667,70.297,86.3496066667,74.5874666667,79.2739333334
184.11,62.6790666666,79.8130000001,68.4112,92.3679131869,62.8038,55.2649333333,74.59192,64.8597666667,66.0436666667
184.49,63.7333333333,76.4,72.2666666667,96.9578754579,66.4666666667,53.2666666667,76.5733333333,65.6333333334,66.0666666667
184.87,55.2873333333,66.8391333333,61.6091333333,82.7582249084,54.8848666667,43.3334666667,66.8966466667,57.7873666667,57.4712666667
185.25,57.5498666667,66.2108,64.1026,82.9112919414,56.2392666666,44.5014666667,68.2109,63.3047666667,59.3162
185.63,60.5819333333,65.2910666667,65.1852666667,81.5043311355,58.0953333333,46.9312,67.3862133333,65.5555333333,59.9470666667
186.01,61.7544,62.5564,64.7118,81.4139157509,59.7493333333,46.7168,63.8495933333,67.0928,58.6966
186.39,59.7748,61.1260666667,64.2792666666,78.6908245421,59.7297333333,48.4685333333,60.16676,68.6711,58.5585333333
186.77,57.2960666667,56.9230666667,62.937,77.1281267399,57.1094666667,47.5058666667,56.30304,66.4569333333,58.2283333333
187.15,62.2856666667,58.1428,67.7142,80.6554648352,62.0476666667,51.8096,59.4046866667,71.0000333333,65.3334
187.53,60.7018666666,55.1316,68.0262,76.9376,61.3596666667,49.8246,59.8464466667,69.8904,64.2104666667
187.91,64.0277333333,58.9351333333,72.9629333333,81.9185208791,66.3888,49.9537333333,64.1620266667,75.6945,67.6853333333
188.29,71.5062666667,61.3827333333,77.2838666667,87.1509428572,73.0369999999,50.9629333333,67.7431533333,81.1110666667,75.1604
188.67,76.7387333333,65.8991333333,77.0264,88.8941941391,76.5948000001,55.1078,70.7386133333,85.2758,80.2878
189.05,80.1990666667,66.9153333333,79.2538,92.5248311356,79.5524000001,56.1691333333,71.7859733333,88.3831,84.1294
189.43,78.6274,65.9315333333,76.7646666667,87.8557164836,77.7449333333,51.2745333333,68.3187933334,84.6325,83.8234666667
189.81,74.8990666667,60.2020666667,72.2224,84.0287963369,73.4848666667,45.0001333333,61.5706866667,79.5959666667,77.7272666667
190.19,70.6954,56.6426,68.4892,77.3871853481,67.9136666667,42.5419333333,57.5730333333,74.1007,73.7172
190.57,81.164,63.4392,77.1958666666,84.6304406594,73.4920666667,47.6190666667,63.7038466667,80.6348333333,80.7935333333
190.95,86.8907333334,66.1624,81.4004666665,88.4168827838,75.6862666666,47.4510666667,64.8794733333,85.3501333333,82.9133333333
191.33,88.8074000001,67.9511333333,84.5870666667,91.3297172162,78.7154666667,43.4861333333,65.6881866667,89.4190333333,84.1590666666
191.71,91.6666666667,70.7333333333,85.1333333333,95.7853479852,78.4666666667,41.3333333333,62.4933333333,90.9,87.8666666667
192.09,97.0296666667,75.4456,90.1650666667,99.6657135532,84.6864000001,47.5908,67.4257,96.0726,94.3233333334
192.47,94.4953333333,75.2905333333,90.0306666667,96.1870435897,80.1223333333,50.6422,62.31806,93.0276666666,89.5412666667
192.85,84.4038000001,65.7492666666,81.2843333334,85.0387831501,68.4404,40.2446,51.7002133333,84.1896,79.5719333333
193.23,76.1561333334,61.2012,73.0930666667,78.0083388278,61.3813999999,32.6726666667,45.72378,78.3784333333,72.7928000001
193.61,72.5333333333,59.5733333333,68.3733333333,75.5273260073,58.1333333333,33.8666666667,47.4293333333,74.16,69.3333333334
193.99,76.6925999999,64.031,70.8010666666,76.8401761905,61.7054666666,39.3799333333,52.646,78.6304666667,76.1757333333
194.37,78.4408,63.172,69.0322000001,78.7970172161,61.1827333334,35.3765333333,53.41936,82.1235666667,78.7096666667
194.75,68.7289333333,53.9089333333,60.3357333334,68.3408809524,53.8609333333,29.3045333333,46.0143866667,74.6284666667,70.1678666666
195.13,62.378,49.2143333333,54.9044666667,60.8545945055,48.4501333333,28.0254666667,42.1188,67.3247666667,63.9066
195.51,57.5104666667,44.3881333333,49.9998666667,55.6576937729,40.9704,23.4177333333,35.7216533333,63.9240333333,57.1729333333
195.89,56.0094666667,39.0610666667,45.9154666667,51.4104406593,36.0562666667,15.1172666667,28.6619666667,62.7464333333,53.4272
196.27,52.3262666667,31.5588666667,39.9040666667,44.8016344322,28.1535333333,11.2709333333,24.33098,57.3619666666,49.7841333333
196.65,49.2778,25.0000666667,34.8888666667,40.9646384615,23.1666666667,2.55559999999,18.52776,55.0832666667,46.3333333333
197.03,50.2309333333,18.5477333333,31.3531333333,36.0184509157,16.3696666667,-10.0988666667,10.2178333333,54.2572666667,43.5644666667
197.40,49.2752666667,9.56526666666,30.3623333333,27.3443249084,10.4347333333,-18.2609333333,1.68838000001,46.3042666667,37.6087333333
197.78,34.3137333333,-21.5687333333,11.3726,2.50324615384,-18.6274666667,-54.8038,-30.0783933334,33.1863,14.9019333333
198.16,12.8681333333,-79.0698000001,-25.8915333333,-39.405434066,-72.4030666667,-133.023266667,-87.5348066666,9.2248,-17.9844666667
198.54,18.889,-109.777866667,-31.5556666667,-58.0647912088,-109.777733333,-179.3334,-124.244473333,8.88883333328,-29.7777333334
198.92,-72.1212666666,-414.545466667,-224.848466667,-265.104921612,-416.363466667,-612.727266667,-442.848453333,-107.272833333,-215.151533333
199.30,170.0,493.8888,302.222133333,338.421854212,460.5556,646.666666667,501.166653333,167.777833333,294.444533333
199.68,120.888866667,386.666666667,253.333333333,270.830215751,351.111133333,517.777733333,376.444446666,136.444533333,229.333266667
200.06,326.666666667,1341.66666667,850.0,923.992673993,1186.66666667,1771.66666667,1271.83333333,454.166666666,756.666666668
200.44,151.0,333.666666667,250.0,251.397435897,289.0,432.0,345.6,171.0,234.333333333
200.82,341.111133333,946.666733334,768.888800001,756.404310622,844.444466667,1303.33333333,995.222193333,430.555566666,617.777733333
201.19,378.666666667,1073.33333333,873.333333334,817.765567765,990.666666667,1444.0,1151.6,438.0,676.0
201.57,455.0,1333.33333333,1151.66666667,1023.92857143,1271.66666667,1763.33333333,1535.0,505.833333334,780.0
201.95,208.333333333,474.999933333,445.555533333,391.08374945,489.4444,664.4444,583.77764,246.388866667,287.777866667
202.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202.71,415.333333333,612.666666667,625.333333333,548.021978021,575.333333333,865.333333334,801.266666667,406.0,436.0
203.09,447.272733333,600.0,615.757599999,576.613216483,571.515266667,847.272733333,773.27272,446.666733333,427.272733333
203.47,291.4814,383.703733333,393.3334,382.682185348,357.407333333,538.888933333,478.851866667,297.592466667,276.666666667
203.85,215.384533333,283.333266667,287.9486,290.910100366,266.6668,388.717866667,333.05132,221.9233,199.230666667
204.22,158.6364,198.484733333,208.484933333,205.405401832,188.030333333,262.878866667,224.878793334,155.530333333,147.575866667
204.60,151.8518,196.888933333,207.259333333,215.644339194,192.8888,261.185133333,219.6592,149.851933333,146.5186
204.98,137.904733333,167.523933333,166.857133334,176.201486813,160.381,202.571333333,180.54276,135.237933333,134.2858
205.36,155.714333333,184.285666667,182.5714,197.321281319,173.7142,221.142866667,199.695206667,157.476333333,153.333333333
205.74,166.0318,198.9418,195.661333333,216.738720147,185.3968,238.412733333,209.587453333,168.306833333,172.8042
206.12,163.521933333,209.433933333,205.408733333,230.001431502,180.503133333,246.9182,225.220146667,177.107033333,182.641466667
206.50,148.2716,203.4568,193.703666666,221.046563736,165.802533333,235.678933333,215.0988,167.2838,177.654333333
206.87,181.185333333,258.370533333,239.851933333,280.593462271,212.148133333,284.444466667,263.496346667,211.629766667,222.518466667
207.25,158.616466667,224.654,210.4402,246.252775458,185.283,237.861533333,229.496966667,189.2451,198.239133333
207.63,183.921666667,246.535933333,241.3072,276.671643956,213.463933333,264.052266667,258.353033333,217.973666667,221.699333333
208.01,185.939466667,241.939466667,236.363733333,268.821151282,202.0608,248.727333334,253.866673334,214.3635,221.212133333
208.39,205.882266667,269.803866667,260.392133333,306.196987179,220.261533333,268.104533333,280.091666667,240.522966667,246.6666
208.77,272.478533333,342.222133333,337.264933333,387.200135165,279.145266667,340.341866667,359.760686667,312.906,326.8376
209.14,345.3334,426.444266667,429.7778,498.194117582,353.777866667,431.333333333,455.97766,396.999866667,424.0
209.52,337.204266667,410.967666667,418.4946,480.619049817,336.774266667,404.3012,435.978526667,374.8387,408.387066667
209.90,265.362333334,308.985533333,314.9274,351.665170696,256.0868,302.7536,322.652186667,282.318866667,305.072533333
210.28,316.984266667,365.5556,367.7778,410.446553846,311.428533333,356.984133333,366.25402,326.349066667,352.8572
210.66,442.795666667,493.548333333,509.892266667,574.207661905,434.408733333,498.0644,500.30112,450.322733333,491.1828
211.03,406.274466667,437.058933333,475.686266667,526.067695971,398.0392,451.764733333,459.058846667,420.588233333,454.117733334
211.41,398.333266667,425.5556,469.444466667,505.692935898,379.999933333,445.1852,450.98152,403.055566667,448.1482
211.79,414.5098,445.098066667,501.372533333,527.546869231,400.588266667,471.960866667,486.74506,426.666633333,476.862666667
212.17,492.142933333,535.2382,601.904733333,638.498225275,481.190466667,568.5714,595.357033333,515.595133333,567.142733333
